ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
33,2014,2014-09-11,2,23.363,PIT,@,BAL,L 6-26,,,,,,,,,,,,,,,,,,,,,,,,
34,2014,2014-09-21,3,24.008,PIT,@,CAR,W 37-19,,0,0,,0,0,0,,0,0,,,0,0,,0,0,6,0.0,1,0,0,0,0
35,2014,2014-09-28,4,24.015,PIT,,TAM,L 24-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0,0,0
36,2014,2014-10-05,5,24.022,PIT,@,JAX,W 17-9,,,,,,,,,,,,,,,,,,,,,,,,
37,2014,2014-10-12,6,24.029,PIT,@,CLE,L 10-31,,,,,,,,,,,,,,,,,,,,,,,,
38,2014,2014-10-20,7,24.037,PIT,,HOU,W 30-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,1,0,0,0
39,2014,2014-10-26,8,24.043,PIT,,IND,W 51-34,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,1,0,0,0
40,2014,2014-11-02,9,24.050,PIT,,BAL,W 43-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0,0,0
41,2014,2014-11-09,10,24.057,PIT,@,NYJ,L 13-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,2,0,0,0
42,2014,2014-11-17,11,24.065,PIT,@,TEN,W 27-24,,,,,,,,,,,,,,,,,,,,,,,,
43,2014,2014-11-30,12,24.078,PIT,,NOR,L 32-35,,,,,,,,,,,,,,,,,,,,,,,,
44,2014,2014-12-07,13,24.085,PIT,@,CIN,W 42-21,,,,,,,,,,,,,,,,,,,,,,,,
45,2014,2014-12-14,14,24.092,PIT,@,ATL,W 27-20,,,,,,,,,,,,,,,,,,,,,,,,
46,2014,2014-12-21,15,24.099,PIT,,KAN,W 20-12,,,,,,,,,,,,,,,,,,,,,,,,
47,2014,2014-12-28,16,24.106,PIT,,CIN,W 27-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0,0,0
48,2015,2015-09-10,1,24.362,PIT,@,NWE,L 21-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,1,0,0,0
49,2015,2015-09-20,2,25.007,PIT,,SFO,W 43-18,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
50,2015,2015-09-27,3,25.014,PIT,@,STL,W 12-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
51,2015,2015-10-01,4,25.018,PIT,,BAL,L 20-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0,0,0
52,2015,2015-10-12,5,25.029,PIT,@,SDG,W 24-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,1,0,0,0
53,2015,2015-10-18,6,25.035,PIT,,ARI,W 25-13,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,7,1,0,0,0
54,2015,2015-10-25,7,25.042,PIT,@,KAN,L 13-23,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,0,0,0,0
55,2015,2015-11-01,8,25.049,PIT,,CIN,L 10-16,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,1,0,0,0
56,2015,2015-11-08,9,25.056,PIT,,OAK,W 38-35,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0,0,0,0
57,2015,2015-11-15,10,25.063,PIT,,CLE,W 30-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
58,2015,2015-11-29,11,25.077,PIT,@,SEA,L 30-39,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
59,2015,2015-12-06,12,25.084,PIT,,IND,W 45-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
60,2015,2015-12-13,13,25.091,PIT,@,CIN,W 33-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,1,1,27,0
61,2015,2015-12-20,14,25.098,PIT,,DEN,W 34-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0,0,0
62,2015,2015-12-27,15,25.105,PIT,@,BAL,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,4,0,0,0
63,2015,2016-01-03,16,25.112,PIT,@,CLE,W 28-12,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
64,2016,2016-09-12,1,25.365,PIT,@,WAS,W 38-16,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,4,0,0,0
65,2016,2016-09-18,2,26.005,PIT,,CIN,W 24-16,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,5,3,0,0,0
66,2016,2016-09-25,3,26.012,PIT,@,PHI,L 3-34,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0,0,0,0
67,2016,2016-10-16,6,26.033,PIT,@,MIA,L 15-30,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,3,4,0,0,0
68,2016,2016-10-23,7,26.040,PIT,,NWE,L 16-27,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,1,0,0,0
69,2016,2016-11-06,8,26.054,PIT,@,BAL,L 14-21,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0,0,0,0
70,2016,2016-11-13,9,26.061,PIT,,DAL,L 30-35,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0,0,0,0
71,2016,2016-11-20,10,26.068,PIT,@,CLE,W 24-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
72,2016,2016-11-24,11,26.072,PIT,@,IND,W 28-7,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
73,2016,2016-12-04,12,26.082,PIT,,NYG,W 24-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
74,2016,2016-12-11,13,26.089,PIT,@,BUF,W 27-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0,0,0,0
75,2016,2016-12-18,14,26.096,PIT,@,CIN,W 24-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
76,2016,2016-12-25,15,26.103,PIT,,BAL,W 31-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
77,2017,2017-09-10,1,26.362,PIT,@,CLE,W 21-18,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
78,2017,2017-09-17,2,27.004,PIT,,MIN,W 26-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
79,2017,2017-09-24,3,27.011,PIT,@,CHI,L 17-23,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
80,2017,2017-10-01,4,27.018,PIT,@,BAL,W 26-9,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
81,2017,2017-10-08,5,27.025,PIT,,JAX,L 9-30,,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0,0,0.0,1,0,0,0,0
82,2017,2017-10-15,6,27.032,PIT,@,KAN,W 19-13,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
83,2017,2017-10-22,7,27.039,PIT,,CIN,W 29-14,,1,1,100.00,44,0,0,118.7,0,0,44.00,44.00,0,0,,0,0,0,0.0,1,0,0,0,0
84,2017,2017-10-29,8,27.046,PIT,@,DET,W 20-15,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,0,0,0,0
85,2017,2017-11-12,9,27.060,PIT,@,IND,W 20-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
86,2017,2017-11-16,10,27.064,PIT,,TEN,W 40-17,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,4,1,1,-1,0
87,2017,2017-11-26,11,27.074,PIT,,GNB,W 31-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
88,2017,2017-12-04,12,27.082,PIT,@,CIN,W 23-20,*,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,2,2,0,0,0
89,2017,2017-12-10,13,27.088,PIT,,BAL,W 39-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
90,2017,2017-12-17,14,27.095,PIT,,NWE,L 24-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0
91,2017,2017-12-25,15,27.103,PIT,@,HOU,W 34-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,1,0,0,0
92,2017,2017-12-31,16,27.109,PIT,,CLE,W 28-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,1,0,0,0,0
