ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
18,1998,1998-11-01,8,24.047,JAX,@,BAL,W 45-19,,2,31,15.50,0,0,0,,0,0.0,0,0,0
19,1998,1998-11-08,9,24.054,JAX,,CIN,W 24-11,,2,77,38.50,0,0,0,,0,0.0,0,0,0
20,1998,1998-11-15,10,24.061,JAX,,TAM,W 29-24,,2,54,27.00,0,0,0,,0,0.0,0,0,0
21,1998,1998-11-22,11,24.068,JAX,@,PIT,L 15-30,,3,86,28.67,0,0,0,,0,0.0,0,0,0
22,1998,1998-11-29,12,24.075,JAX,@,CIN,W 34-17,,1,8,8.00,0,0,0,,0,0.0,0,0,0
23,1998,1998-12-06,13,24.082,JAX,,DET,W 37-22,,2,41,20.50,0,0,0,,0,0.0,0,0,0
24,1998,1998-12-13,14,24.089,JAX,,TEN,L 13-16,,1,21,21.00,0,0,0,,0,0.0,0,0,0
25,1998,1998-12-20,15,24.096,JAX,@,MIN,L 10-50,,1,24,24.00,0,1,9,9.00,0,0.0,0,0,0
26,1999,1999-09-12,1,24.362,JAX,,SFO,W 41-3,,0,0,,0,1,7,7.00,0,0.0,0,0,0
27,1999,1999-09-19,2,25.004,JAX,@,CAR,W 22-20,,1,25,25.00,0,0,0,,0,0.0,0,0,0
28,2000,2000-09-10,2,25.361,JAX,@,BAL,L 36-39,,,,,,,,,,,,,
29,2000,2000-09-17,3,26.002,JAX,,CIN,W 13-0,,,,,,,,,,,,,
30,2000,2000-09-25,4,26.010,JAX,@,IND,L 14-43,,,,,,,,,,,,,
31,2000,2000-10-01,5,26.016,JAX,,PIT,L 13-24,,,,,,,,,,,,,
32,2000,2000-10-08,6,26.023,JAX,,BAL,L 10-15,*,,,,,,,,,,,,
33,2000,2000-10-16,7,26.031,JAX,@,TEN,L 13-27,*,,,,,,,,,,,,
34,2000,2000-10-22,8,26.037,JAX,,WAS,L 16-35,,0,0,,0,0,0,,0,0.0,1,0,0
35,2000,2000-10-29,9,26.044,JAX,@,DAL,W 23-17,*,,,,,,,,,,,,
36,2000,2000-11-12,10,26.058,JAX,,SEA,L 21-28,,,,,,,,,,,,,
37,2000,2000-11-19,11,26.065,JAX,@,PIT,W 34-24,,0,0,,0,0,0,,0,1.0,0,0,0
38,2000,2000-11-26,12,26.072,JAX,,TEN,W 16-13,*,,,,,,,,,,,,
39,2000,2000-12-03,13,26.079,JAX,,CLE,W 48-0,*,,,,,,,,,,,,
40,2000,2000-12-10,14,26.086,JAX,,ARI,W 44-10,*,,,,,,,,,,,,
41,2000,2000-12-17,15,26.093,JAX,@,CIN,L 14-17,*,0,0,,0,0,0,,0,0.0,1,14,0
42,2000,2000-12-23,16,26.099,JAX,@,NYG,L 25-28,,,,,,,,,,,,,
43,2001,2001-09-09,1,26.359,PIT,@,JAX,L 3-21,,,,,,,,,,,,,
44,2001,2001-09-30,2,27.015,PIT,@,BUF,W 20-3,,,,,,,,,,,,,
45,2001,2001-10-07,3,27.022,PIT,,CIN,W 16-7,,,,,,,,,,,,,
46,2001,2001-10-14,4,27.029,PIT,@,KAN,W 20-17,*,,,,,,,,,,,,
47,2001,2001-10-21,5,27.036,PIT,@,TAM,W 17-10,,0,0,,0,0,0,,0,1.0,1,0,0
48,2001,2001-10-29,6,27.044,PIT,,TEN,W 34-7,,,,,,,,,,,,,
49,2001,2001-11-04,7,27.050,PIT,,BAL,L 10-13,,,,,,,,,,,,,
50,2001,2001-11-11,8,27.057,PIT,@,CLE,W 15-12,,,,,,,,,,,,,
51,2001,2001-11-18,9,27.064,PIT,,JAX,W 20-7,,,,,,,,,,,,,
52,2001,2001-11-25,10,27.071,PIT,@,TEN,W 34-24,,0,0,,0,0,0,,0,1.0,1,2,0
53,2001,2001-12-02,11,27.078,PIT,,MIN,W 21-16,,,,,,,,,,,,,
54,2001,2001-12-09,12,27.085,PIT,,NYJ,W 18-7,,,,,,,,,,,,,
55,2001,2001-12-16,13,27.092,PIT,@,BAL,W 26-21,,,,,,,,,,,,,
56,2001,2001-12-23,14,27.099,PIT,,DET,W 47-14,,,,,,,,,,,,,
57,2001,2001-12-30,15,27.106,PIT,@,CIN,L 23-26,,1,9,9.00,0,0,0,,0,0.0,0,0,0
58,2001,2002-01-06,16,27.113,PIT,,CLE,W 28-7,,,,,,,,,,,,,
59,2002,2002-09-09,1,27.359,PIT,@,NWE,L 14-30,,,,,,,,,,,,,
60,2002,2002-09-15,2,28.000,PIT,,OAK,L 17-30,,,,,,,,,,,,,
61,2002,2002-09-29,3,28.014,PIT,,CLE,W 16-13,,,,,,,,,,,,,
62,2002,2002-10-06,4,28.021,PIT,@,NOR,L 29-32,,,,,,,,,,,,,
63,2002,2002-10-13,5,28.028,PIT,@,CIN,W 34-7,,,,,,,,,,,,,
64,2002,2002-10-21,6,28.036,PIT,,IND,W 28-10,,0,0,,0,0,0,,0,0.0,1,46,0
65,2002,2002-10-27,7,28.042,PIT,@,BAL,W 31-18,,,,,,,,,,,,,
66,2002,2002-11-03,8,28.049,PIT,@,CLE,W 23-20,,,,,,,,,,,,,
67,2002,2002-11-10,9,28.056,PIT,,ATL,T 34-34,,,,,,,,,,,,,
68,2002,2002-11-17,10,28.063,PIT,@,TEN,L 23-31,,,,,,,,,,,,,
69,2002,2002-12-08,13,28.084,PIT,,HOU,L 6-24,,,,,,,,,,,,,
70,2002,2002-12-15,14,28.091,PIT,,CAR,W 30-14,,,,,,,,,,,,,
71,2002,2002-12-23,15,28.099,PIT,@,TAM,W 17-7,,0,0,,0,0,0,,0,0.5,0,0,0
72,2002,2002-12-29,16,28.105,PIT,,BAL,W 34-31,,,,,,,,,,,,,
73,2003,2003-09-07,1,28.357,PIT,,BAL,W 34-15,*,,,,,,,,,,,,
74,2003,2003-09-14,2,28.364,PIT,@,KAN,L 20-41,*,,,,,,,,,,,,
75,2003,2003-09-21,3,29.006,PIT,@,CIN,W 17-10,*,,,,,,,,,,,,
76,2003,2003-09-28,4,29.013,PIT,,TEN,L 13-30,*,,,,,,,,,,,,
77,2003,2003-10-05,5,29.020,PIT,,CLE,L 13-33,*,,,,,,,,,,,,
78,2003,2003-10-12,6,29.027,PIT,@,DEN,L 14-17,*,,,,,,,,,,,,
79,2003,2003-10-26,7,29.041,PIT,,STL,L 21-33,*,,,,,,,,,,,,
80,2003,2003-11-02,8,29.048,PIT,@,SEA,L 16-23,*,0,0,,0,0,0,,0,1.0,0,0,0
81,2003,2003-11-09,9,29.055,PIT,,ARI,W 28-15,*,,,,,,,,,,,,
82,2003,2003-11-17,10,29.063,PIT,@,SFO,L 14-30,*,,,,,,,,,,,,
83,2003,2003-11-23,11,29.069,PIT,@,CLE,W 13-6,,,,,,,,,,,,,
84,2003,2003-11-30,12,29.076,PIT,,CIN,L 20-24,*,,,,,,,,,,,,
85,2003,2003-12-07,13,29.083,PIT,,OAK,W 27-7,*,,,,,,,,,,,,
86,2003,2003-12-14,14,29.090,PIT,@,NYJ,L 0-6,*,,,,,,,,,,,,
87,2003,2003-12-21,15,29.097,PIT,,SDG,W 40-24,*,,,,,,,,,,,,
88,2003,2003-12-28,16,29.104,PIT,@,BAL,L 10-13,*,,,,,,,,,,,,
89,2004,2004-09-12,1,29.363,PIT,,OAK,W 24-21,,,,,,,,,,,,,
90,2004,2004-09-19,2,30.004,PIT,@,BAL,L 13-30,,,,,,,,,,,,,
91,2004,2004-10-10,5,30.025,PIT,,CLE,W 34-23,,,,,,,,,,,,,
92,2005,2005-09-11,1,30.361,PIT,,TEN,W 34-7,,,,,,,,,,,,,
93,2005,2005-09-18,2,31.003,PIT,@,HOU,W 27-7,,,,,,,,,,,,,
94,2005,2005-09-25,3,31.010,PIT,,NWE,L 20-23,*,,,,,,,,,,,,
95,2005,2005-10-10,4,31.025,PIT,@,SDG,W 24-22,,,,,,,,,,,,,
96,2005,2005-10-16,5,31.031,PIT,,JAX,L 17-23,,,,,,,,,,,,,
97,2005,2005-10-23,6,31.038,PIT,@,CIN,W 27-13,,,,,,,,,,,,,
98,2005,2005-11-28,11,31.074,PIT,@,IND,L 7-26,,,,,,,,,,,,,
99,2005,2005-12-04,12,31.080,PIT,,CIN,L 31-38,,,,,,,,,,,,,
100,2005,2005-12-11,13,31.087,PIT,,CHI,W 21-9,,,,,,,,,,,,,
101,2005,2005-12-18,14,31.094,PIT,@,MIN,W 18-3,,,,,,,,,,,,,
102,2005,2005-12-24,15,31.100,PIT,@,CLE,W 41-0,,,,,,,,,,,,,
103,2005,2006-01-01,16,31.108,PIT,,DET,W 35-21,,,,,,,,,,,,,
104,2006,2006-09-07,1,31.357,PIT,,MIA,W 28-17,,,,,,,,,,,,,
105,2006,2006-09-18,2,32.003,PIT,@,JAX,L 0-9,,,,,,,,,,,,,
106,2006,2006-09-24,3,32.009,PIT,,CIN,L 20-28,,,,,,,,,,,,,
107,2006,2006-10-15,5,32.030,PIT,,KAN,W 45-7,,,,,,,,,,,,,
108,2006,2006-10-22,6,32.037,PIT,@,ATL,L 38-41,,,,,,,,,,,,,
109,2006,2006-11-12,9,32.058,PIT,,NOR,W 38-31,,,,,,,,,,,,,
110,2006,2006-11-19,10,32.065,PIT,@,CLE,W 24-20,,,,,,,,,,,,,
111,2006,2006-11-26,11,32.072,PIT,@,BAL,L 0-27,,,,,,,,,,,,,
112,2006,2006-12-03,12,32.079,PIT,,TAM,W 20-3,,,,,,,,,,,,,
113,2006,2006-12-07,13,32.083,PIT,,CLE,W 27-7,,,,,,,,,,,,,
114,2006,2006-12-24,15,32.100,PIT,,BAL,L 7-31,,,,,,,,,,,,,
115,2006,2006-12-31,16,32.107,PIT,@,CIN,W 23-17,,,,,,,,,,,,,
