ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
14,1960,1960-12-17,14,22.226,OAK,,DEN,W 48-10,0,0,,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,1,34,34.00,0
15,1961,1961-09-09,1,23.127,OAK,@,HOU,L 0-55,8,34,4.25,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,3,122,40.67,0
16,1961,1961-09-17,2,23.135,OAK,@,SDG,L 0-44,0,0,,0,2,9,4.50,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,4,175,43.75,0
17,1961,1961-09-24,3,23.142,OAK,,DTX,L 35-42,12,25,2.08,1,3,19,6.33,0,3,3,100.00,48,0,0,118.7,0,0,16.00,16.00,1,6,0,0,0,5,240,48.00,0
18,1961,1961-10-01,4,23.149,OAK,,DEN,W 33-19,16,107,6.69,1,2,14,7.00,0,0,0,,0,0,0,,,0,,,1,6,0,0,0,5,204,40.80,0
19,1961,1961-10-15,5,23.163,OAK,@,DEN,L 24-27,18,83,4.61,0,0,0,,0,2,2,100.00,82,0,0,118.7,0,0,41.00,41.00,0,0,0,0,0,3,154,51.33,0
20,1961,1961-10-22,6,23.170,OAK,,SDG,L 10-41,10,7,0.70,0,1,6,6.00,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,4,116,29.00,1
21,1961,1961-10-29,7,23.177,OAK,,NYT,L 6-14,14,53,3.79,0,0,0,,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,8,408,51.00,0
22,1961,1961-11-05,8,23.184,OAK,@,BUF,W 31-22,16,92,5.75,0,2,3,1.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,0,0,8,307,38.38,0
23,1961,1961-11-11,9,23.190,OAK,@,NYT,L 12-23,11,65,5.91,0,2,17,8.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,0,0,7,315,45.00,0
24,1961,1961-11-17,10,23.196,OAK,@,BOS,L 17-20,8,17,2.13,0,3,27,9.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,0,0,6,179,29.83,1
25,1961,1961-11-26,11,23.205,OAK,@,DTX,L 11-43,6,7,1.17,0,2,10,5.00,0,0,0,,0,0,0,,,0,,,0,0,0,0,0,1,34,34.00,0
26,1961,1961-12-09,13,23.218,OAK,,BOS,L 21-35,0,0,,0,0,0,,0,1,1,100.00,35,0,0,118.7,0,0,35.00,35.00,0,0,0,0,0,4,152,38.00,0
27,1961,1961-12-17,14,23.226,OAK,,HOU,L 16-47,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,0,0,5,207,41.40,0
28,1962,1962-09-09,1,24.127,BUF,,HOU,L 23-28,6,3,0.50,0,1,7,7.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,0,0,4,152,38.00,0
29,1962,1962-09-15,2,24.133,BUF,,DEN,L 20-23,2,5,2.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,6,219,36.50,0
30,1962,1962-09-22,3,24.140,BUF,,NYT,L 6-17,8,95,11.88,0,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,0,0,0,5,210,42.00,0
31,1962,1962-09-30,4,24.148,BUF,@,DTX,L 21-41,5,5,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,8,347,43.38,0
32,1962,1962-10-07,5,24.155,BUF,@,HOU,L 14-17,4,-7,-1.75,0,1,6,6.00,0,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,0,0,0,0,0,7,293,41.86,0
33,1962,1962-10-13,6,24.161,BUF,,SDG,W 35-10,6,115,19.17,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,0,5,195,39.00,0
34,1962,1962-10-20,7,24.168,BUF,,OAK,W 14-6,6,34,5.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,6,233,38.83,0
35,1962,1962-10-28,8,24.176,BUF,@,DEN,W 45-38,9,35,3.89,0,2,30,15.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,2,79,39.50,0
36,1962,1962-11-03,9,24.182,BUF,,BOS,T 28-28,4,7,1.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,8,303,37.88,0
37,1962,1962-11-11,10,24.190,BUF,@,SDG,W 40-20,6,66,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,131,43.67,0
38,1962,1962-11-18,11,24.197,BUF,@,OAK,W 10-6,18,95,5.28,0,1,16,16.00,1,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,1,6,0,0,0,6,248,41.33,0
39,1962,1962-11-23,12,24.202,BUF,@,BOS,L 10-21,11,25,2.27,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,6,220,36.67,0
40,1962,1962-12-02,13,24.211,BUF,,DTX,W 23-14,6,18,3.00,0,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,170,34.00,0
41,1962,1962-12-08,14,24.217,BUF,@,NYT,W 20-3,19,93,4.89,0,2,13,6.50,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,146,29.20,0
42,1963,1963-09-08,1,25.126,BUF,@,SDG,L 10-14,2,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,3,143,47.67,0
43,1963,1963-09-15,2,25.133,BUF,@,OAK,L 17-35,0,0,,0,3,51,17.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,5,187,37.40,0
44,1963,1963-09-22,3,25.140,BUF,,KAN,T 27-27,4,6,1.50,0,2,18,9.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0,2,94,47.00,0
