ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
31,1999,1999-12-26,15,23.050,ARI,@,ATL,L 14-37,,,,,,,,,,,,,
32,1999,2000-01-02,16,23.057,ARI,@,GNB,L 24-49,*,0,0,,0,0,0,,0,0.0,1,6,0
33,2000,2000-09-03,1,23.302,ARI,@,NYG,L 16-21,,,,,,,,,,,,,
34,2000,2000-09-10,2,23.309,ARI,,DAL,W 32-31,*,,,,,,,,,,,,
35,2000,2000-09-24,3,23.323,ARI,,GNB,L 3-29,*,,,,,,,,,,,,
36,2000,2000-10-01,4,23.330,ARI,@,SFO,L 20-27,*,,,,,,,,,,,,
37,2000,2000-10-08,5,23.337,ARI,,CLE,W 29-21,*,,,,,,,,,,,,
38,2000,2000-10-15,6,23.344,ARI,,PHI,L 14-33,*,,,,,,,,,,,,
39,2000,2000-10-22,7,23.351,ARI,@,DAL,L 7-48,*,,,,,,,,,,,,
40,2000,2000-10-29,8,23.358,ARI,,NOR,L 10-21,*,0,0,,0,0,0,,0,1.0,0,0,0
41,2000,2000-11-05,9,23.365,ARI,,WAS,W 16-15,*,0,0,,0,0,0,,0,0.5,0,0,0
42,2000,2000-11-12,10,24.006,ARI,@,MIN,L 14-31,*,,,,,,,,,,,,
43,2000,2000-11-19,11,24.013,ARI,@,PHI,L 9-34,,,,,,,,,,,,,
44,2000,2000-11-26,12,24.020,ARI,,NYG,L 7-31,*,,,,,,,,,,,,
45,2000,2000-12-03,13,24.027,ARI,@,CIN,L 13-24,,,,,,,,,,,,,
46,2000,2000-12-10,14,24.034,ARI,@,JAX,L 10-44,*,,,,,,,,,,,,
47,2000,2000-12-17,15,24.041,ARI,,BAL,L 7-13,,0,0,,0,0,0,,0,0.0,1,3,0
48,2000,2000-12-24,16,24.048,ARI,@,WAS,L 3-20,,,,,,,,,,,0,27,0
49,2001,2001-09-23,1,24.321,ARI,,DEN,L 17-38,*,,,,,,,,,,,,
50,2001,2001-09-30,2,24.328,ARI,,ATL,L 14-34,*,,,,,,,,,,,,
51,2001,2001-10-07,3,24.335,ARI,@,PHI,W 21-20,*,,,,,,,,,,,,
52,2001,2001-11-11,8,25.005,ARI,,NYG,L 10-17,*,,,,,,,,,,,,
53,2001,2001-11-18,9,25.012,ARI,,DET,W 45-38,*,,,,,,,,,,,,
54,2001,2001-11-25,10,25.019,ARI,@,SDG,W 20-17,*,,,,,,,,,,,,
55,2001,2001-12-02,11,25.026,ARI,@,OAK,W 34-31,*,,,,,,,,,,,,
56,2001,2001-12-09,12,25.033,ARI,,WAS,L 10-20,*,,,,,,,,,,,,
57,2001,2001-12-15,13,25.039,ARI,@,NYG,L 13-17,*,,,,,,,,,,,,
58,2001,2001-12-23,14,25.047,ARI,,DAL,W 17-10,*,,,,,,,,,,,,
59,2001,2001-12-30,15,25.054,ARI,@,CAR,W 30-7,*,,,,,,,,,,,,
60,2001,2002-01-06,16,25.061,ARI,@,WAS,L 17-20,*,,,,,,,,,,,,
