ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
57,1994,1994-11-13,10,25.320,DAL,@,SFO,L 14-21,,,,
58,1994,1994-11-20,11,25.327,DAL,,WAS,W 31-7,,,,
59,1994,1994-11-24,12,25.331,DAL,,GNB,W 42-31,,,,
60,1994,1994-12-04,13,25.341,DAL,@,PHI,W 31-19,,,,
61,1994,1994-12-10,14,25.347,DAL,,CLE,L 14-19,,,,
62,1994,1994-12-19,15,25.356,DAL,@,NOR,W 24-16,,,,
63,1994,1994-12-24,16,25.361,DAL,@,NYG,L 10-15,,,,
64,1995,1995-09-03,1,26.249,WAS,,ARI,W 27-7,,,,
65,1995,1995-09-10,2,26.256,WAS,,OAK,L 8-20,,,,
66,1995,1995-09-17,3,26.263,WAS,@,DEN,L 31-38,,,,
67,1995,1995-09-24,4,26.270,WAS,@,TAM,L 6-14,,,,
68,1995,1995-10-01,5,26.277,WAS,,DAL,W 27-23,,,,
69,1995,1995-10-08,6,26.284,WAS,@,PHI,L 34-37,,,,
70,1995,1995-10-15,7,26.291,WAS,@,ARI,L 20-24,,,,
71,1995,1995-10-22,8,26.298,WAS,,DET,W 36-30,,,,
72,1995,1995-10-29,9,26.305,WAS,,NYG,L 15-24,,,,
73,1995,1995-11-05,10,26.312,WAS,@,KAN,L 3-24,,,,
74,1995,1995-11-19,11,26.326,WAS,,SEA,L 20-27,,,,
75,1995,1995-11-26,12,26.333,WAS,,PHI,L 7-14,,,,
76,1995,1995-12-03,13,26.340,WAS,@,DAL,W 24-17,,,,
77,1995,1995-12-10,14,26.347,WAS,@,NYG,L 13-20,,,,
78,1995,1995-12-17,15,26.354,WAS,@,STL,W 35-23,,,,
79,1995,1995-12-24,16,26.361,WAS,,CAR,W 20-17,,,,
80,1996,1996-09-01,1,27.248,WAS,,PHI,L 14-17,,,,
81,1996,1996-09-08,2,27.255,WAS,,CHI,W 10-3,,,,
82,1996,1996-09-15,3,27.262,WAS,@,NYG,W 31-10,,,,
83,1996,1996-09-22,4,27.269,WAS,@,STL,W 17-10,,,,
84,1996,1996-09-29,5,27.276,WAS,,NYJ,W 31-16,,,,
85,1996,1996-10-13,6,27.290,WAS,@,NWE,W 27-22,,,,
86,1996,1996-10-20,7,27.297,WAS,,NYG,W 31-21,,,,
87,1996,1996-10-27,8,27.304,WAS,,IND,W 31-16,,,,
88,1996,1996-11-03,9,27.311,WAS,@,BUF,L 13-38,,,,
89,1996,1996-11-10,10,27.318,WAS,,ARI,L 34-37,,,,
90,1996,1996-11-17,11,27.325,WAS,@,PHI,W 26-21,,,,
91,1996,1996-11-24,12,27.332,WAS,,SFO,L 16-19,,,,
92,1996,1996-11-28,13,27.336,WAS,@,DAL,L 10-21,,,,
93,1996,1996-12-08,14,27.346,WAS,@,TAM,L 10-24,,,,
94,1996,1996-12-15,15,27.353,WAS,@,ARI,L 26-27,,,,
95,1996,1996-12-22,16,27.360,WAS,,DAL,W 37-10,,,,
