ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
79,1962,1962-12-09,13,30.146,GNB,@,SFO,W 31-21,1,34,34.00,0,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,3,78,26.00,0
80,1962,1962-12-16,14,30.153,GNB,@,RAM,W 20-17,5,58,11.60,0,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,4,140,35.00,0
81,1963,1963-09-15,1,31.061,GNB,,CHI,L 3-10,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
82,1963,1963-09-22,2,31.068,GNB,,DET,W 31-10,2,44,22.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
83,1963,1963-09-29,3,31.075,GNB,,BAL,W 31-20,4,69,17.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
84,1963,1963-10-06,4,31.082,GNB,,RAM,W 42-10,2,63,31.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
85,1963,1963-10-13,5,31.089,GNB,@,MIN,W 37-28,5,104,20.80,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
86,1963,1963-10-27,7,31.103,GNB,@,BAL,W 34-20,3,73,24.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
87,1963,1963-11-03,8,31.110,GNB,,PIT,W 33-14,2,29,14.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
88,1963,1963-11-10,9,31.117,GNB,,MIN,W 28-7,2,41,20.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
89,1963,1963-11-17,10,31.124,GNB,@,CHI,L 7-26,3,93,31.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
90,1963,1963-11-28,12,31.135,GNB,@,DET,T 13-13,3,20,6.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
91,1963,1963-12-07,13,31.144,GNB,@,RAM,W 31-14,7,105,15.00,3,0,0,,0,0,0,,0,0,0,,0,0,,,3,18,0,0,,0
92,1963,1963-12-14,14,31.151,GNB,@,SFO,W 21-17,5,98,19.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
93,1964,1964-09-13,1,32.059,GNB,,CHI,W 23-12,2,26,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
94,1964,1964-09-20,2,32.066,GNB,,BAL,L 20-21,2,30,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
95,1964,1964-09-28,3,32.074,GNB,@,DET,W 14-10,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
96,1964,1964-10-04,4,32.080,GNB,,MIN,L 23-24,1,32,32.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
97,1964,1964-10-11,5,32.087,GNB,,SFO,W 24-14,3,33,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
98,1964,1964-10-18,6,32.094,GNB,@,BAL,L 21-24,4,123,30.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
99,1964,1964-10-25,7,32.101,GNB,,RAM,L 17-27,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
100,1964,1964-11-01,8,32.108,GNB,@,MIN,W 42-13,6,96,16.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0,0,,0
101,1964,1964-11-15,10,32.122,GNB,@,SFO,L 14-24,6,139,23.17,2,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0,0,,0
102,1964,1964-11-22,11,32.129,GNB,,CLE,W 28-21,4,81,20.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
103,1964,1964-12-13,14,32.150,GNB,@,RAM,T 24-24,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
104,1965,1965-09-26,2,33.072,GNB,,BAL,W 20-17,1,37,37.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
105,1965,1965-10-03,3,33.079,GNB,,CHI,W 23-14,1,27,27.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
106,1965,1965-10-31,7,33.107,GNB,@,CHI,L 10-31,6,58,9.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
107,1965,1965-11-14,9,33.121,GNB,,RAM,W 6-3,1,18,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
108,1965,1965-12-12,13,33.149,GNB,@,BAL,W 42-27,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
109,1966,1966-10-09,5,34.085,GNB,@,SFO,L 20-21,1,39,39.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
110,1966,1966-10-23,7,34.099,GNB,,ATL,W 56-3,1,24,24.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0,0,,0
111,1966,1966-12-10,13,34.147,GNB,@,BAL,W 14-10,1,18,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
112,1966,1966-12-18,14,34.155,GNB,@,RAM,W 27-23,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
113,1967,1967-12-17,14,35.154,GNB,,PIT,L 17-24,3,33,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0,0,,0
