ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
22,1960,1960-10-16,3,30.339,CLE,@,DAL,W 48-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,7,85.7,,,,0,6,6,304,50.67,0
23,1960,1960-10-23,4,30.346,CLE,,PHI,L 29-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,3,66.7,3,4,75.0,0,11,5,185,37.00,0
24,1960,1960-10-30,5,30.353,CLE,@,WAS,W 31-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,1,1,100.0,0,7,5,209,41.80,0
25,1960,1960-11-06,6,30.360,CLE,,NYG,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,2,100.0,0,7,7,293,41.86,0
26,1960,1960-11-13,7,31.001,CLE,,STL,W 28-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,,1,0.0,0,4,2,113,56.50,0
27,1960,1960-11-20,8,31.008,CLE,@,PIT,L 10-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,1,2,50.0,0,4,5,242,48.40,0
28,1960,1960-11-27,9,31.015,CLE,@,STL,T 17-17,1,-11,-11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,3,33.3,0,5,2,89,44.50,0
29,1960,1960-12-04,10,31.022,CLE,,WAS,W 27-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,2,100.0,0,9,5,219,43.80,0
30,1960,1960-12-11,11,31.029,CLE,,CHI,W 42-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,100.0,,1,0.0,0,6,7,206,29.43,0
31,1960,1960-12-18,12,31.036,CLE,@,NYG,W 48-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,100.0,,1,0.0,0,6,4,131,32.75,0
32,1961,1961-09-17,1,31.309,CLE,@,PHI,L 20-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,2,96,48.00,0
33,1961,1961-09-24,2,31.316,CLE,,STL,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,3,120,40.00,0
34,1961,1961-10-01,3,31.323,CLE,,DAL,W 25-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,2,76,38.00,0
35,1961,1961-10-08,4,31.330,CLE,,WAS,W 31-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,180,45.00,0
36,1961,1961-10-15,5,31.337,CLE,,GNB,L 17-49,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,32,16.00,0,,,,,,,0,0,2,62,31.00,0
37,1961,1961-10-22,6,31.344,CLE,@,PIT,W 30-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,3,156,52.00,0
38,1961,1961-10-29,7,31.351,CLE,@,STL,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,283,47.17,0
39,1961,1961-11-05,8,31.358,CLE,,PIT,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,5,265,53.00,0
40,1961,1961-11-12,9,32.000,CLE,@,WAS,W 17-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,4,170,42.50,0
41,1961,1961-11-19,10,32.007,CLE,,PHI,W 45-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,1,42,42.00,0
42,1961,1961-11-26,11,32.014,CLE,,NYG,L 21-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,25,25.00,0,,,,,,,0,0,5,205,41.00,0
43,1961,1961-12-03,12,32.021,CLE,@,DAL,W 38-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,1,44,44.00,0
44,1961,1961-12-10,13,32.028,CLE,@,CHI,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,6,233,38.83,0
45,1961,1961-12-17,14,32.035,CLE,@,NYG,T 7-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,,,,0,0,9,360,40.00,0
46,1962,1962-09-16,1,32.308,DAL,,WAS,T 35-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,,1,0.0,0,5,2,100,50.00,0
47,1962,1962-09-23,2,32.315,DAL,,PIT,L 28-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,,,,0,4,3,136,45.33,0
48,1962,1962-09-30,3,32.322,DAL,@,RAM,W 27-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,4,50.0,0,9,7,349,49.86,0
49,1962,1962-10-07,4,32.329,DAL,@,CLE,L 10-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,1,2,50.0,0,4,6,246,41.00,0
50,1962,1962-10-14,5,32.336,DAL,,PHI,W 41-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,2,3,66.7,0,11,2,104,52.00,0
51,1962,1962-10-21,6,32.343,DAL,@,PIT,W 42-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,100.0,,,,0,6,5,234,46.80,0
52,1962,1962-10-28,7,32.350,DAL,,STL,L 24-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,4,25.0,0,6,4,174,43.50,0
53,1962,1962-11-04,8,32.357,DAL,@,WAS,W 38-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,1,1,100.0,0,8,4,193,48.25,0
54,1962,1962-11-11,9,32.364,DAL,,NYG,L 10-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,1,2,50.0,0,4,4,146,36.50,0
55,1962,1962-11-18,10,33.006,DAL,,CHI,L 33-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,4,75.0,2,2,100.0,0,9,7,300,42.86,0
56,1962,1962-11-25,11,33.013,DAL,@,PHI,L 14-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,1,0.0,0,2,3,130,43.33,0
57,1962,1962-12-02,12,33.020,DAL,,CLE,W 45-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,100.0,1,1,100.0,0,9,2,95,47.50,0
58,1962,1962-12-09,13,33.027,DAL,@,STL,L 20-52,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,2,100.0,2,3,66.7,0,8,5,232,46.40,0
59,1962,1962-12-16,14,33.034,DAL,@,NYG,L 31-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,1,3,33.3,0,7,3,150,50.00,0
60,1963,1963-09-14,1,33.306,DAL,,STL,L 7-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,1,0.0,0,1,7,273,39.00,0
61,1963,1963-09-22,2,33.314,DAL,,CLE,L 24-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,1,100.0,0,6,3,139,46.33,0
62,1963,1963-09-29,3,33.321,DAL,@,WAS,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,3,33.3,0,5,2,97,48.50,0
63,1963,1963-10-06,4,33.328,DAL,@,PHI,L 21-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,,,0,3,7,268,38.29,0
64,1963,1963-10-13,5,33.335,DAL,,DET,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,1,100.0,0,5,10,503,50.30,0
65,1963,1963-10-20,6,33.342,DAL,@,NYG,L 21-37,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,,,0,3,5,256,51.20,0
66,1963,1963-10-27,7,33.349,DAL,@,PIT,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,2,0.0,0,3,3,151,50.33,0
67,1963,1963-11-03,8,33.356,DAL,,WAS,W 35-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,,1,0.0,0,5,5,218,43.60,0
68,1963,1963-11-10,9,33.363,DAL,@,SFO,L 24-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,2,50.0,0,6,2,86,43.00,0
69,1963,1963-11-17,10,34.005,DAL,,PHI,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,3,66.7,0,9,2,93,46.50,0
70,1963,1963-11-24,11,34.012,DAL,@,CLE,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,3,33.3,0,5,4,162,40.50,0
71,1963,1963-12-01,12,34.019,DAL,,NYG,L 27-34,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,1,0.0,0,3,5,252,50.40,0
72,1963,1963-12-08,13,34.026,DAL,,PIT,L 19-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,2,100.0,0,7,7,299,42.71,0
73,1963,1963-12-15,14,34.033,DAL,@,STL,W 28-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,,,,0,4,9,341,37.89,0
74,1964,1964-09-13,1,34.306,PHI,,NYG,W 38-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,1,3,33.3,0,8,6,283,47.17,0
75,1964,1964-09-20,2,34.313,PHI,,SFO,L 24-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,3,33.3,0,6,4,169,42.25,0
76,1964,1964-09-27,3,34.320,PHI,,CLE,L 20-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,2,2,100.0,0,8,4,179,44.75,0
77,1964,1964-10-04,4,34.327,PHI,,PIT,W 21-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,1,0.0,0,3,4,171,42.75,0
78,1964,1964-10-11,5,34.334,PHI,@,WAS,L 20-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,,,0,2,5,212,42.40,0
79,1964,1964-10-18,6,34.341,PHI,@,NYG,W 23-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0,0,,0
80,1964,1964-10-25,7,34.348,PHI,@,PIT,W 34-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0,0,,0
81,1964,1964-11-01,8,34.355,PHI,,WAS,L 10-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,,0
82,1964,1964-11-08,9,34.362,PHI,@,RAM,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,,0
83,1964,1964-11-15,10,35.003,PHI,@,DAL,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,1,100.0,0,5,7,345,49.29,0
84,1964,1964-11-22,11,35.010,PHI,,STL,L 13-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,2,100.0,0,7,5,192,38.40,0
85,1964,1964-11-29,12,35.017,PHI,@,CLE,L 24-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,4,25.0,0,6,2,32,16.00,1
86,1964,1964-12-06,13,35.024,PHI,,DAL,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,2,50.0,0,6,6,248,41.33,0
87,1964,1964-12-13,14,35.031,PHI,@,STL,L 34-36,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,5,80.0,,,,0,4,6,241,40.17,0
88,1965,1965-09-19,1,35.311,PHI,,STL,W 34-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,2,3,66.7,0,10,6,288,48.00,0
89,1965,1965-09-26,2,35.318,PHI,,NYG,L 14-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,2,0.0,0,2,0,0,,0
90,1965,1965-10-17,5,35.339,PHI,@,NYG,L 27-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,4,75.0,,1,0.0,0,3,0,0,,0
91,1965,1965-10-24,6,35.346,PHI,,PIT,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,2,0.0,0,2,0,0,,0
92,1965,1965-10-31,7,35.353,PHI,@,WAS,L 21-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,,0
93,1965,1965-11-07,8,35.360,PHI,@,CLE,L 34-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,2,3,66.7,0,10,2,100,50.00,0
94,1965,1965-11-14,9,36.002,PHI,,WAS,W 21-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,,,0,3,4,158,39.50,0
95,1965,1965-11-21,10,36.009,PHI,@,BAL,L 24-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,2,50.0,0,6,5,227,45.40,0
96,1965,1965-11-28,11,36.016,PHI,@,STL,W 28-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,,2,0.0,0,4,4,141,35.25,0
97,1965,1965-12-05,12,36.023,PHI,,DAL,L 19-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,4,7,57.1,0,13,2,82,41.00,0
98,1965,1965-12-12,13,36.030,PHI,@,PIT,W 47-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,6,83.3,,,,0,5,7,291,41.57,0
99,1965,1965-12-19,14,36.037,PHI,,DET,L 28-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,,,,0,4,7,265,37.86,0
100,1966,1966-09-11,1,36.303,PHI,@,STL,L 13-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,3,66.7,0,7,5,193,38.60,0
101,1966,1966-09-18,2,36.310,PHI,,ATL,W 23-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,3,3,100.0,0,11,1,30,30.00,0
102,1966,1966-09-25,3,36.317,PHI,,NYG,W 35-17,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,,,,0,5,4,184,46.00,0
103,1966,1966-10-02,4,36.324,PHI,,STL,L 10-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,1,3,33.3,0,4,7,287,41.00,0
104,1966,1966-10-09,5,36.331,PHI,@,DAL,L 7-56,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,,,0,1,6,295,49.17,0
105,1966,1966-10-16,6,36.338,PHI,@,PIT,W 31-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,1,1,100.0,0,7,5,204,40.80,0
106,1966,1966-10-23,7,36.345,PHI,@,NYG,W 31-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,,0
107,1966,1966-10-30,8,36.352,PHI,,WAS,L 13-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
108,1966,1966-11-06,9,36.359,PHI,,DAL,W 24-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,,0
109,1966,1966-11-13,10,37.001,PHI,@,CLE,L 7-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,,0
110,1966,1966-11-20,11,37.008,PHI,@,SFO,W 35-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,,2,0.0,0,5,2,78,39.00,0
111,1966,1966-12-04,12,37.022,PHI,,PIT,W 27-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,2,100.0,0,9,4,140,35.00,0
112,1966,1966-12-11,13,37.029,PHI,,CLE,W 33-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,4,4,100.0,0,15,2,73,36.50,0
113,1966,1966-12-18,14,37.036,PHI,@,WAS,W 37-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,5,80.0,1,1,100.0,0,7,6,242,40.33,0
114,1967,1967-09-17,1,37.309,PHI,,WAS,W 35-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,,,,0,5,5,208,41.60,0
115,1967,1967-09-24,2,37.316,PHI,,BAL,L 6-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,2,2,100.0,0,6,3,87,29.00,0
116,1967,1967-10-01,3,37.323,PHI,,PIT,W 34-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,2,2,100.0,0,10,4,156,39.00,0
117,1967,1967-10-08,4,37.330,PHI,@,ATL,W 38-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,1,3,33.3,0,8,5,199,39.80,0
118,1967,1967-10-15,5,37.337,PHI,,SFO,L 27-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,2,3,66.7,0,9,3,131,43.67,0
119,1967,1967-10-22,6,37.344,PHI,@,STL,L 14-48,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,,,0,2,6,212,35.33,0
120,1967,1967-10-29,7,37.351,PHI,,DAL,W 21-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,,1,0.0,0,3,2,99,49.50,0
121,1967,1967-11-05,8,37.358,PHI,@,NOR,L 24-31,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,100.0,1,1,100.0,0,6,5,146,29.20,0
122,1967,1967-11-12,9,38.000,PHI,@,RAM,L 17-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,2,50.0,0,5,7,288,41.14,0
123,1967,1967-11-19,10,38.007,PHI,,NOR,W 48-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,6,100.0,2,2,100.0,0,12,5,187,37.40,0
124,1967,1967-11-26,11,38.014,PHI,@,NYG,L 7-44,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,,,,0,1,4,149,37.25,0
125,1967,1967-12-03,12,38.021,PHI,@,WAS,T 35-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,5,100.0,,1,0.0,0,5,4,168,42.00,0
126,1967,1967-12-10,13,38.028,PHI,@,DAL,L 17-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,1,100.0,0,5,4,139,34.75,0
127,1967,1967-12-17,14,38.035,PHI,,CLE,W 28-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,4,100.0,,1,0.0,0,4,4,165,41.25,0
128,1968,1968-09-15,1,38.308,PHI,@,GNB,L 13-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0,0,,0
129,1968,1968-09-22,2,38.315,PHI,,NYG,L 25-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,25.0,,,,0,1,4,145,36.25,0
130,1968,1968-09-29,3,38.322,PHI,,DAL,L 13-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,2,2,100.0,0,7,4,157,39.25,0
131,1968,1968-10-06,4,38.329,PHI,@,WAS,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,,1,0.0,0,2,5,208,41.60,0
132,1968,1968-10-13,5,38.336,PHI,@,DAL,L 14-34,0,0,,0,0,0,,0,1,1,100.00,58,1,0,158.3,0,0,58.00,78.00,0,0,,0,2,2,100.0,,1,0.0,0,2,6,254,42.33,0
133,1968,1968-10-20,6,38.343,PHI,,CHI,L 16-29,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,3,3,100.0,0,10,3,125,41.67,0
134,1968,1968-10-27,7,38.350,PHI,@,PIT,L 3-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,1,4,25.0,0,3,4,194,48.50,0
135,1968,1968-11-03,8,38.357,PHI,,STL,L 17-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,100.0,1,2,50.0,0,5,5,201,40.20,0
136,1968,1968-11-10,9,38.364,PHI,,WAS,L 10-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,100.0,1,3,33.3,0,4,4,140,35.00,0
137,1968,1968-11-17,10,39.005,PHI,@,NYG,L 6-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,,2,3,66.7,0,6,5,203,40.60,0
