ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
19,2009,2009-09-27,3,24.119,GNB,@,STL,W 36-17,,5,3,46,15.33,0,60.0%,9.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
20,2009,2009-10-05,4,24.127,GNB,@,MIN,L 23-30,,4,3,47,15.67,1,75.0%,11.75,2,52,26.00,0,1,0,0.00,0,,1,6,0.0,0,0
21,2009,2009-10-18,5,24.140,GNB,,DET,W 26-0,,0,0,0,,0,0.0%,,1,29,29.00,0,1,1,1.00,0,,0,0,0.0,0,0
22,2009,2009-11-15,9,24.168,GNB,,DAL,W 17-7,,5,4,32,8.00,0,80.0%,6.40,0,0,,0,0,0,,0,,0,0,0.0,0,0
23,2009,2009-11-22,10,24.175,GNB,,SFO,W 30-24,,3,3,21,7.00,1,100.0%,7.00,4,85,21.25,0,0,0,,0,,1,6,0.0,0,0
24,2009,2009-11-26,11,24.179,GNB,@,DET,W 34-12,,2,1,19,19.00,0,50.0%,9.50,2,42,21.00,0,3,8,2.67,0,,0,0,0.0,0,0
25,2009,2009-12-07,12,24.190,GNB,,BAL,W 27-14,,1,1,5,5.00,0,100.0%,5.00,1,38,38.00,0,3,8,2.67,0,,0,0,0.0,0,0
26,2009,2009-12-13,13,24.196,GNB,@,CHI,W 21-14,,1,0,0,,0,0.0%,0.00,2,35,17.50,0,3,18,6.00,0,,0,0,0.0,0,0
27,2009,2009-12-20,14,24.203,GNB,@,PIT,L 36-37,,5,4,71,17.75,0,80.0%,14.20,4,85,21.25,0,2,25,12.50,0,,0,0,0.0,0,0
28,2009,2009-12-27,15,24.210,GNB,,SEA,W 48-10,,1,1,17,17.00,0,100.0%,17.00,2,56,28.00,0,0,0,,0,,0,0,0.0,0,0
29,2009,2010-01-03,16,24.217,GNB,@,ARI,W 33-7,,1,1,51,51.00,0,100.0%,51.00,3,89,29.67,0,2,16,8.00,0,,0,0,0.0,0,0
30,2010,2010-09-12,1,25.104,GNB,@,PHI,W 27-20,,2,1,7,7.00,0,50.0%,3.50,5,156,31.20,0,0,0,,0,,0,0,0.0,0,0
31,2010,2010-09-19,2,25.111,GNB,,BUF,W 34-7,,2,2,26,13.00,0,100.0%,13.00,2,61,30.50,0,0,0,,0,,0,0,0.0,0,0
32,2010,2010-09-27,3,25.119,GNB,@,CHI,L 17-20,,4,3,20,6.67,0,75.0%,5.00,4,97,24.25,0,0,0,,0,,0,0,0.0,0,0
33,2010,2010-10-03,4,25.125,GNB,,DET,W 28-26,,1,0,0,,0,0.0%,0.00,7,124,17.71,0,0,0,,0,,0,0,0.0,0,0
34,2010,2010-10-10,5,25.132,GNB,@,WAS,L 13-16,,5,3,42,14.00,0,60.0%,8.40,2,35,17.50,0,0,0,,0,,0,0,0.0,0,0
35,2010,2010-10-17,6,25.139,GNB,,MIA,L 20-23,*,7,4,64,16.00,0,57.1%,9.14,1,18,18.00,0,0,0,,0,,0,0,0.0,0,0
36,2010,2010-10-24,7,25.146,GNB,,MIN,W 28-24,,7,4,25,6.25,0,57.1%,3.57,0,0,,0,0,0,,0,,0,0,0.0,0,0
37,2010,2010-10-31,8,25.153,GNB,@,NYJ,W 9-0,,7,5,55,11.00,0,71.4%,7.86,1,5,5.00,0,0,0,,0,,0,0,0.0,0,0
38,2010,2010-11-07,9,25.160,GNB,,DAL,W 45-7,*,6,4,42,10.50,0,66.7%,7.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
39,2010,2010-11-21,10,25.174,GNB,@,MIN,W 31-3,,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
40,2010,2010-11-28,11,25.181,GNB,@,ATL,L 17-20,,5,5,61,12.20,1,100.0%,12.20,0,0,,0,0,0,,0,,1,6,0.0,0,0
41,2010,2010-12-05,12,25.188,GNB,,SFO,W 34-16,*,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
42,2010,2010-12-12,13,25.195,GNB,@,DET,L 3-7,,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
43,2010,2010-12-19,14,25.202,GNB,@,NWE,L 27-31,*,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
44,2010,2010-12-26,15,25.209,GNB,,NYG,W 45-17,,7,4,124,31.00,1,57.1%,17.71,0,0,,0,0,0,,0,,1,6,0.0,0,0
45,2010,2011-01-02,16,25.216,GNB,,CHI,W 10-3,,2,2,39,19.50,0,100.0%,19.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
46,2011,2011-09-08,1,26.100,GNB,,NOR,W 42-34,*,8,6,77,12.83,1,75.0%,9.63,0,0,,0,0,0,,0,,1,6,0.0,0,0
47,2011,2011-09-18,2,26.110,GNB,@,CAR,W 30-23,,2,1,84,84.00,1,50.0%,42.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
48,2011,2011-09-25,3,26.117,GNB,@,CHI,W 27-17,,5,3,40,13.33,0,60.0%,8.00,0,0,,0,0,0,,0,,0,0,0.0,1,0
49,2011,2011-10-02,4,26.124,GNB,,DEN,W 49-23,*,6,5,91,18.20,1,83.3%,15.17,0,0,,0,0,0,,0,,1,6,0.0,0,0
50,2011,2011-10-09,5,26.131,GNB,@,ATL,W 25-14,,7,3,17,5.67,0,42.9%,2.43,0,0,,0,0,0,,0,,0,0,0.0,0,0
51,2011,2011-10-16,6,26.138,GNB,,STL,W 24-3,*,3,2,104,52.00,1,66.7%,34.67,0,0,,0,0,0,,0,,1,6,0.0,0,0
52,2011,2011-10-23,7,26.145,GNB,@,MIN,W 33-27,,4,4,52,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
53,2011,2011-11-06,8,26.159,GNB,@,SDG,W 45-38,,6,5,105,21.00,1,83.3%,17.50,0,0,,0,0,0,,0,,1,6,0.0,0,0
54,2011,2011-11-14,9,26.167,GNB,,MIN,W 45-7,*,5,5,63,12.60,2,100.0%,12.60,0,0,,0,0,0,,0,,2,12,0.0,0,0
55,2011,2011-11-20,10,26.173,GNB,,TAM,W 35-26,,7,6,123,20.50,2,85.7%,17.57,0,0,,0,0,0,,0,,2,12,0.0,0,0
56,2011,2011-11-24,11,26.177,GNB,@,DET,W 27-15,*,6,4,26,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
57,2011,2011-12-04,12,26.187,GNB,@,NYG,W 38-35,,4,4,94,23.50,0,100.0%,23.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
58,2011,2011-12-11,13,26.194,GNB,,OAK,W 46-16,*,7,3,81,27.00,1,42.9%,11.57,0,0,,0,0,0,,0,,1,6,0.0,0,0
59,2011,2011-12-18,14,26.201,GNB,@,KAN,L 14-19,*,4,2,29,14.50,0,50.0%,7.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
60,2011,2011-12-25,15,26.208,GNB,,CHI,W 35-21,*,7,6,115,19.17,2,85.7%,16.43,0,0,,0,0,0,,0,,2,12,0.0,0,0
61,2011,2012-01-01,16,26.215,GNB,,DET,W 45-41,*,15,9,162,18.00,3,60.0%,10.80,0,0,,0,0,0,,0,,3,18,0.0,0,0
62,2012,2012-09-09,1,27.101,GNB,,SFO,L 22-30,*,7,5,64,12.80,0,71.4%,9.14,0,0,,0,0,0,,0,1,0,2,0.0,0,0
63,2012,2012-09-13,2,27.105,GNB,,CHI,W 23-10,*,9,6,84,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
64,2012,2012-09-24,3,27.116,GNB,@,SEA,L 12-14,*,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
65,2012,2012-09-30,4,27.122,GNB,,NOR,W 28-27,,12,8,93,11.63,1,66.7%,7.75,0,0,,0,0,0,,0,,1,6,0.0,0,0
66,2012,2012-10-07,5,27.129,GNB,@,IND,L 27-30,,5,2,29,14.50,0,40.0%,5.80,0,0,,0,0,0,,0,,0,0,0.0,0,0
67,2012,2012-10-14,6,27.136,GNB,@,HOU,W 42-24,*,12,9,121,13.44,3,75.0%,10.08,0,0,,0,0,0,,0,,3,18,0.0,0,0
68,2012,2012-10-21,7,27.143,GNB,@,STL,W 30-20,*,9,8,122,15.25,1,88.9%,13.56,0,0,,0,0,0,,0,,1,6,0.0,0,0
69,2012,2012-11-04,9,27.157,GNB,,ARI,W 31-17,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
70,2012,2012-11-18,10,27.171,GNB,@,DET,W 24-20,*,5,3,45,15.00,0,60.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
71,2012,2012-11-25,11,27.178,GNB,@,NYG,L 10-38,*,4,2,71,35.50,1,50.0%,17.75,0,0,,0,0,0,,0,,1,6,0.0,0,0
72,2012,2012-12-02,12,27.185,GNB,,MIN,W 23-14,*,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
73,2012,2012-12-30,16,27.213,GNB,@,MIN,L 34-37,*,5,3,87,29.00,1,60.0%,17.40,0,0,,0,0,0,,0,,1,6,0.0,0,0
74,2013,2013-09-08,1,28.100,GNB,@,SFO,L 28-34,*,10,7,130,18.57,1,70.0%,13.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
75,2013,2013-09-15,2,28.107,GNB,,WAS,W 38-20,*,4,3,66,22.00,2,75.0%,16.50,0,0,,0,0,0,,0,,2,12,0.0,0,0
76,2013,2013-09-22,3,28.114,GNB,@,CIN,L 30-34,*,9,8,93,11.63,0,88.9%,10.33,0,0,,0,0,0,,0,,0,0,0.0,0,0
77,2013,2013-10-06,4,28.128,GNB,,DET,W 22-9,*,7,5,82,16.40,0,71.4%,11.71,0,0,,0,0,0,,0,,0,0,0.0,0,0
78,2013,2013-10-13,5,28.135,GNB,@,BAL,W 19-17,*,10,4,113,28.25,1,40.0%,11.30,0,0,,0,0,0,,0,,1,6,0.0,0,0
79,2013,2013-10-20,6,28.142,GNB,,CLE,W 31-13,*,6,5,42,8.40,1,83.3%,7.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
80,2013,2013-10-27,7,28.149,GNB,@,MIN,W 44-31,*,8,7,123,17.57,2,87.5%,15.38,0,0,,0,0,0,,0,,2,12,0.0,0,0
81,2013,2013-11-04,8,28.157,GNB,,CHI,L 20-27,*,9,4,67,16.75,0,44.4%,7.44,0,0,,0,0,0,,0,,0,0,0.0,0,0
82,2013,2013-11-10,9,28.163,GNB,,PHI,L 13-27,*,10,6,56,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
83,2013,2013-11-17,10,28.170,GNB,@,NYG,L 13-27,*,9,8,117,14.63,0,88.9%,13.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
84,2013,2013-11-24,11,28.177,GNB,,MIN,T 26-26,*,7,4,58,14.50,0,57.1%,8.29,0,0,,0,0,0,,0,,0,0,0.0,0,0
85,2013,2013-11-28,12,28.181,GNB,@,DET,L 10-40,*,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,,0,0,0.0,0,0
86,2013,2013-12-08,13,28.191,GNB,,ATL,W 22-21,*,4,4,85,21.25,0,100.0%,21.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
87,2013,2013-12-15,14,28.198,GNB,@,DAL,W 37-36,*,9,5,61,12.20,1,55.6%,6.78,0,0,,0,0,0,,0,,1,6,0.0,0,0
88,2013,2013-12-22,15,28.205,GNB,,PIT,L 31-38,*,5,3,46,15.33,0,60.0%,9.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
89,2013,2013-12-29,16,28.212,GNB,@,CHI,W 33-28,*,16,10,161,16.10,0,62.5%,10.06,0,0,,0,0,0,,0,,0,0,0.0,1,0
90,2014,2014-09-04,1,29.096,GNB,@,SEA,L 16-36,*,14,9,83,9.22,0,64.3%,5.93,0,0,,0,0,0,,0,,0,0,0.0,0,0
91,2014,2014-09-14,2,29.106,GNB,,NYJ,W 31-24,*,16,9,209,23.22,1,56.3%,13.06,0,0,,0,0,0,,0,,1,6,0.0,0,0
92,2014,2014-09-21,3,29.113,GNB,@,DET,L 7-19,*,7,5,59,11.80,0,71.4%,8.43,0,0,,0,0,0,,0,,0,0,0.0,0,0
93,2014,2014-09-28,4,29.120,GNB,@,CHI,W 38-17,*,12,10,108,10.80,2,83.3%,9.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
94,2014,2014-10-02,5,29.124,GNB,,MIN,W 42-10,*,3,1,66,66.00,1,33.3%,22.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
95,2014,2014-10-12,6,29.134,GNB,@,MIA,W 27-24,*,16,9,107,11.89,1,56.3%,6.69,0,0,,0,0,0,,0,,1,6,0.0,0,0
96,2014,2014-10-19,7,29.141,GNB,,CAR,W 38-17,*,5,4,80,20.00,1,80.0%,16.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
97,2014,2014-10-26,8,29.148,GNB,@,NOR,L 23-44,*,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
98,2014,2014-11-09,9,29.162,GNB,,CHI,W 55-14,*,6,6,152,25.33,2,100.0%,25.33,0,0,,0,0,0,,0,,2,12,0.0,0,0
99,2014,2014-11-16,10,29.169,GNB,,PHI,W 53-20,*,10,4,109,27.25,1,40.0%,10.90,0,0,,0,0,0,,0,,1,6,0.0,0,0
100,2014,2014-11-23,11,29.176,GNB,@,MIN,W 24-21,*,12,8,68,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
101,2014,2014-11-30,12,29.183,GNB,,NWE,W 26-21,*,6,2,53,26.50,1,33.3%,8.83,0,0,,0,0,0,,0,,1,6,0.0,0,0
102,2014,2014-12-08,13,29.191,GNB,,ATL,W 43-37,*,10,8,146,18.25,2,80.0%,14.60,1,0,0.00,0,0,0,,0,,2,12,0.0,0,0
103,2014,2014-12-14,14,29.197,GNB,@,BUF,L 13-21,*,12,5,55,11.00,0,41.7%,4.58,0,0,,0,0,0,,0,,0,0,0.0,0,0
104,2014,2014-12-21,15,29.204,GNB,@,TAM,W 20-3,*,9,9,113,12.56,1,100.0%,12.56,0,0,,0,0,0,,0,,1,6,0.0,0,0
105,2014,2014-12-28,16,29.211,GNB,,DET,W 30-20,*,8,6,86,14.33,0,75.0%,10.75,0,0,,0,0,0,,0,,0,0,0.0,1,0
106,2016,2016-09-11,1,31.103,GNB,@,JAX,W 27-23,*,9,6,32,5.33,1,66.7%,3.56,0,0,,0,0,0,,0,,1,6,0.0,0,0
107,2016,2016-09-18,2,31.110,GNB,@,MIN,L 14-17,*,11,5,73,14.60,1,45.5%,6.64,0,0,,0,0,0,,0,,1,6,0.0,0,0
108,2016,2016-09-25,3,31.117,GNB,,DET,W 34-27,*,7,6,101,16.83,2,85.7%,14.43,0,0,,0,0,0,,0,,2,12,0.0,0,0
109,2016,2016-10-09,4,31.131,GNB,,NYG,W 23-16,*,13,4,38,9.50,1,30.8%,2.92,0,0,,0,0,0,,0,,1,6,0.0,0,0
110,2016,2016-10-16,5,31.138,GNB,,DAL,L 16-30,*,7,5,68,13.60,0,71.4%,9.71,0,0,,0,0,0,,0,,0,0,0.0,0,0
111,2016,2016-10-20,6,31.142,GNB,,CHI,W 26-10,*,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
112,2016,2016-10-30,7,31.152,GNB,@,ATL,L 32-33,*,9,4,94,23.50,1,44.4%,10.44,0,0,,0,0,0,,0,,1,6,0.0,0,0
113,2016,2016-11-06,8,31.159,GNB,,IND,L 26-31,*,13,7,94,13.43,1,53.8%,7.23,0,0,,0,0,0,,0,,1,6,0.0,0,0
114,2016,2016-11-13,9,31.166,GNB,@,TEN,L 25-47,*,18,12,126,10.50,1,66.7%,7.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
115,2016,2016-11-20,10,31.173,GNB,@,WAS,L 24-42,*,5,3,28,9.33,1,60.0%,5.60,0,0,,0,0,0,,0,,1,6,0.0,0,0
116,2016,2016-11-28,11,31.181,GNB,@,PHI,W 27-13,*,12,8,91,11.38,0,66.7%,7.58,0,0,,0,0,0,,0,,0,0,0.0,0,0
117,2016,2016-12-04,12,31.187,GNB,,HOU,W 21-13,*,10,8,118,14.75,1,80.0%,11.80,0,0,,0,0,0,,0,,1,6,0.0,0,0
118,2016,2016-12-11,13,31.194,GNB,,SEA,W 38-10,*,7,6,41,6.83,2,85.7%,5.86,0,0,,0,0,0,,0,,2,12,0.0,0,0
119,2016,2016-12-18,14,31.201,GNB,@,CHI,W 30-27,*,10,7,124,17.71,0,70.0%,12.40,0,0,,0,0,0,,0,,0,0,0.0,0,0
120,2016,2016-12-24,15,31.207,GNB,,MIN,W 38-25,*,11,9,154,17.11,2,81.8%,14.00,0,0,,0,0,0,,0,,2,12,0.0,0,0
121,2016,2017-01-01,16,31.215,GNB,@,DET,W 31-24,*,6,6,66,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
122,2017,2017-09-10,1,32.102,GNB,,SEA,W 17-9,*,8,7,79,11.29,1,87.5%,9.88,0,0,,0,0,0,,0,,1,6,0.0,0,0
123,2017,2017-09-17,2,32.109,GNB,@,ATL,L 23-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,0,0
124,2017,2017-09-24,3,32.116,GNB,,CIN,W 27-24,*,9,6,52,8.67,2,66.7%,5.78,0,0,,0,0,0,,0,,2,12,0.0,0,0
125,2017,2017-09-28,4,32.120,GNB,,CHI,W 35-14,*,7,4,75,18.75,2,57.1%,10.71,0,0,,0,0,0,,0,,2,12,0.0,0,0
126,2017,2017-10-08,5,32.130,GNB,@,DAL,W 35-31,*,4,2,24,12.00,1,50.0%,6.00,0,0,,0,0,0,,0,,1,6,0.0,0,0
127,2017,2017-10-15,6,32.137,GNB,@,MIN,L 10-23,*,10,6,60,10.00,0,60.0%,6.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
128,2017,2017-10-22,7,32.144,GNB,,NOR,L 17-26,*,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0,,0,,0,0,0.0,0,0
129,2017,2017-11-06,8,32.159,GNB,,DET,L 17-30,*,7,4,35,8.75,0,57.1%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
130,2017,2017-11-12,9,32.165,GNB,@,CHI,W 23-16,*,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
131,2017,2017-11-19,10,32.172,GNB,,BAL,L 0-23,*,6,2,24,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
132,2017,2017-11-26,11,32.179,GNB,@,PIT,L 28-31,*,5,3,11,3.67,0,60.0%,2.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
133,2017,2017-12-03,12,32.186,GNB,,TAM,W 26-20,*,8,5,17,3.40,0,62.5%,2.13,0,0,,0,0,0,,0,,0,0,0.0,0,0
134,2017,2017-12-10,13,32.193,GNB,@,CLE,W 27-21,*,5,4,33,8.25,0,80.0%,6.60,0,0,,0,0,0,,0,,0,0,0.0,0,0
135,2017,2017-12-17,14,32.200,GNB,@,CAR,L 24-31,*,6,3,28,9.33,0,50.0%,4.67,0,0,,0,0,0,,0,,0,0,0.0,0,0
136,2017,2017-12-23,15,32.206,GNB,,MIN,L 0-16,*,5,3,11,3.67,0,60.0%,2.20,0,0,,0,0,0,,0,,0,0,0.0,0,0
137,2018,2018-09-10,1,33.102,OAK,,LAR,L 13-33,*,4,3,23,7.67,0,75.0%,5.75,0,0,,0,0,0,,0,,0,0,0.0,0,0
138,2018,2018-09-16,2,33.108,OAK,@,DEN,L 19-20,*,4,2,30,15.00,0,50.0%,7.50,0,0,,0,1,7,7.00,0,,0,0,0.0,0,0
139,2018,2018-09-23,3,33.115,OAK,@,MIA,L 20-28,*,8,6,173,28.83,1,75.0%,21.63,0,0,,0,1,0,0.00,0,,1,6,0.0,0,0
