ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
22,2002,2002-11-17,10,24.312,CIN,,CLE,L 20-27,*,8,4,103,25.75,1,50.0%,12.88,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
23,2002,2002-11-24,11,24.319,CIN,@,PIT,L 21-29,*,14,7,152,21.71,0,50.0%,10.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
24,2002,2002-12-01,12,24.326,CIN,,BAL,L 23-27,*,6,4,78,19.50,1,66.7%,13.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
25,2002,2002-12-08,13,24.333,CIN,@,CAR,L 31-52,*,8,6,114,19.00,0,75.0%,14.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
26,2002,2002-12-15,14,24.340,CIN,,JAX,L 15-29,*,13,4,91,22.75,0,30.8%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
27,2002,2002-12-22,15,24.347,CIN,,NOR,W 20-13,*,9,4,47,11.75,0,44.4%,5.22,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
28,2002,2002-12-29,16,24.354,CIN,@,BUF,L 9-27,*,12,6,123,20.50,0,50.0%,10.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
29,2003,2003-09-07,1,25.241,CIN,,DEN,L 10-30,*,10,6,95,15.83,1,60.0%,9.50,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
30,2003,2003-09-14,2,25.248,CIN,@,OAK,L 20-23,*,12,8,131,16.38,0,66.7%,10.92,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
31,2003,2003-09-21,3,25.255,CIN,,PIT,L 10-17,,8,4,77,19.25,0,50.0%,9.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
32,2003,2003-09-28,4,25.262,CIN,@,CLE,W 21-14,*,6,3,67,22.33,2,50.0%,11.17,0,0,,0,0,0,,0,0,0,,,,,,2,12,0.0,,
33,2003,2003-10-05,5,25.269,CIN,@,BUF,L 16-22,*,13,6,59,9.83,0,46.2%,4.54,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
34,2003,2003-10-19,6,25.283,CIN,,BAL,W 34-26,*,9,5,130,26.00,1,55.6%,14.44,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
35,2003,2003-10-26,7,25.290,CIN,,SEA,W 27-24,*,10,3,84,28.00,1,30.0%,8.40,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
36,2003,2003-11-02,8,25.297,CIN,@,ARI,L 14-17,*,10,4,75,18.75,0,40.0%,7.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
37,2003,2003-11-09,9,25.304,CIN,,HOU,W 34-27,*,9,9,89,9.89,0,100.0%,9.89,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
38,2003,2003-11-16,10,25.311,CIN,,KAN,W 24-19,*,9,7,74,10.57,0,77.8%,8.22,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
39,2003,2003-11-23,11,25.318,CIN,@,SDG,W 34-27,*,17,10,107,10.70,3,58.8%,6.29,0,0,,0,0,0,,0,0,0,,,,,,3,18,0.0,,
40,2003,2003-11-30,12,25.325,CIN,@,PIT,W 24-20,,8,6,117,19.50,1,75.0%,14.63,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
41,2003,2003-12-07,13,25.332,CIN,@,BAL,L 13-31,*,4,2,15,7.50,0,50.0%,3.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
42,2003,2003-12-14,14,25.339,CIN,,SFO,W 41-38,*,9,6,91,15.17,1,66.7%,10.11,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
43,2003,2003-12-21,15,25.346,CIN,@,STL,L 10-27,*,12,7,115,16.43,0,58.3%,9.58,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
44,2003,2003-12-28,16,25.353,CIN,,CLE,L 14-22,*,8,4,29,7.25,0,50.0%,3.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
45,2004,2004-09-12,1,26.247,CIN,@,NYJ,L 24-31,*,8,5,99,19.80,1,62.5%,12.38,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
46,2004,2004-09-19,2,26.254,CIN,,MIA,W 16-13,*,6,3,45,15.00,0,50.0%,7.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
47,2004,2004-09-26,3,26.261,CIN,,BAL,L 9-23,*,19,8,99,12.38,0,42.1%,5.21,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
48,2004,2004-10-03,4,26.268,CIN,@,PIT,L 17-28,*,6,4,54,13.50,0,66.7%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
49,2004,2004-10-17,5,26.282,CIN,@,CLE,L 17-34,*,9,3,37,12.33,0,33.3%,4.11,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
50,2004,2004-10-25,6,26.290,CIN,,DEN,W 23-10,*,11,7,149,21.29,1,63.6%,13.55,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
51,2004,2004-10-31,7,26.296,CIN,@,TEN,L 20-27,*,11,6,67,11.17,0,54.5%,6.09,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
52,2004,2004-11-07,8,26.303,CIN,,DAL,W 26-3,*,10,8,74,9.25,0,80.0%,7.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
53,2004,2004-11-14,9,26.310,CIN,@,WAS,W 17-10,*,14,6,89,14.83,0,42.9%,6.36,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
54,2004,2004-11-21,10,26.317,CIN,,PIT,L 14-19,*,10,5,80,16.00,1,50.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
55,2004,2004-11-28,11,26.324,CIN,,CLE,W 58-48,*,12,10,117,11.70,1,83.3%,9.75,1,9,9.00,0,0,0,,0,0,0,,,,,,1,6,0.0,,
56,2004,2004-12-05,12,26.331,CIN,@,BAL,W 27-26,*,12,10,161,16.10,2,83.3%,13.42,0,0,,0,0,0,,0,0,0,,,,,,2,12,0.0,,
57,2004,2004-12-12,13,26.338,CIN,@,NWE,L 28-35,*,10,5,80,16.00,1,50.0%,8.00,1,10,10.00,0,0,0,,0,0,0,,,,,,1,6,0.0,,
58,2004,2004-12-19,14,26.345,CIN,,BUF,L 17-33,*,7,2,10,5.00,0,28.6%,1.43,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
59,2004,2004-12-26,15,26.352,CIN,,NYG,W 23-22,*,11,8,46,5.75,2,72.7%,4.18,0,0,,0,0,0,,0,0,0,,,,,,2,12,0.0,,
60,2004,2005-01-02,16,26.359,CIN,@,PHI,W 38-10,*,14,5,67,13.40,0,35.7%,4.79,1,18,18.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
61,2005,2005-09-11,1,27.245,CIN,@,CLE,W 27-13,*,10,9,91,10.11,0,90.0%,9.10,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
62,2005,2005-09-18,2,27.252,CIN,,MIN,W 37-8,*,13,7,139,19.86,1,53.8%,10.69,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
63,2005,2005-09-25,3,27.259,CIN,@,CHI,W 24-7,*,5,3,77,25.67,2,60.0%,15.40,1,-1,-1.00,0,0,0,,0,0,0,,,,,,2,12,0.0,,
64,2005,2005-10-02,4,27.266,CIN,,HOU,W 16-10,*,8,7,67,9.57,0,87.5%,8.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
65,2005,2005-10-09,5,27.273,CIN,@,JAX,L 20-23,*,8,5,52,10.40,1,62.5%,6.50,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
66,2005,2005-10-16,6,27.280,CIN,@,TEN,W 31-23,*,9,8,135,16.88,1,88.9%,15.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
67,2005,2005-10-23,7,27.287,CIN,,PIT,L 13-27,*,8,4,94,23.50,0,50.0%,11.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
68,2005,2005-10-30,8,27.294,CIN,,GNB,W 21-14,*,13,5,62,12.40,0,38.5%,4.77,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
69,2005,2005-11-06,9,27.301,CIN,@,BAL,W 21-9,*,6,5,91,18.20,0,83.3%,15.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
70,2005,2005-11-20,10,27.315,CIN,,IND,L 37-45,*,13,8,189,23.63,1,61.5%,14.54,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
71,2005,2005-11-27,11,27.322,CIN,,BAL,W 42-29,*,6,5,88,17.60,1,83.3%,14.67,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
72,2005,2005-12-04,12,27.329,CIN,@,PIT,W 38-31,*,11,5,54,10.80,0,45.5%,4.91,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
73,2005,2005-12-11,13,27.336,CIN,,CLE,W 23-20,*,11,2,22,11.00,0,18.2%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
74,2005,2005-12-18,14,27.343,CIN,@,DET,W 41-17,*,13,11,99,9.00,1,84.6%,7.62,1,9,9.00,0,0,0,,0,0,0,,,,,,1,6,0.0,,
75,2005,2005-12-24,15,27.349,CIN,,BUF,L 27-37,*,15,9,117,13.00,1,60.0%,7.80,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
76,2005,2006-01-01,16,27.357,CIN,@,KAN,L 3-37,*,6,4,55,13.75,0,66.7%,9.17,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
77,2006,2006-09-10,1,28.244,CIN,@,KAN,W 23-10,*,7,5,48,9.60,0,71.4%,6.86,2,14,7.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
78,2006,2006-09-17,2,28.251,CIN,,CLE,W 34-17,*,12,6,78,13.00,1,50.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
79,2006,2006-09-24,3,28.258,CIN,@,PIT,W 28-20,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
80,2006,2006-10-01,4,28.265,CIN,,NWE,L 13-38,*,13,6,64,10.67,0,46.2%,4.92,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
81,2006,2006-10-15,5,28.279,CIN,@,TAM,L 13-14,*,11,6,99,16.50,0,54.5%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
82,2006,2006-10-22,6,28.286,CIN,,CAR,W 17-14,*,12,6,73,12.17,0,50.0%,6.08,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
83,2006,2006-10-29,7,28.293,CIN,,ATL,L 27-29,*,13,6,78,13.00,1,46.2%,6.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
84,2006,2006-11-05,8,28.300,CIN,@,BAL,L 20-26,*,7,4,31,7.75,0,57.1%,4.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
85,2006,2006-11-12,9,28.307,CIN,,SDG,L 41-49,*,12,11,260,23.64,2,91.7%,21.67,1,0,0.00,0,0,0,,0,0,0,,,,,,2,12,0.0,,
86,2006,2006-11-19,10,28.314,CIN,@,NOR,W 31-16,*,10,6,190,31.67,3,60.0%,19.00,1,3,3.00,0,0,0,,0,0,0,,,,,,3,18,0.0,,
87,2006,2006-11-26,11,28.321,CIN,@,CLE,W 30-0,*,11,7,123,17.57,0,63.6%,11.18,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
88,2006,2006-11-30,12,28.325,CIN,,BAL,W 13-7,*,10,8,91,11.38,0,80.0%,9.10,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
89,2006,2006-12-10,13,28.335,CIN,,OAK,W 27-10,*,9,5,101,20.20,0,55.6%,11.22,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
90,2006,2006-12-18,14,28.343,CIN,@,IND,L 16-34,*,8,3,37,12.33,0,37.5%,4.63,1,1,1.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
91,2006,2006-12-24,15,28.349,CIN,@,DEN,L 23-24,*,9,3,32,10.67,0,33.3%,3.56,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
92,2006,2006-12-31,16,28.356,CIN,,PIT,L 17-23,*,6,4,53,13.25,0,66.7%,8.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
93,2007,2007-09-10,1,29.244,CIN,,BAL,W 27-20,*,8,5,95,19.00,1,62.5%,11.88,1,2,2.00,0,0,0,,0,0,0,,,,,,1,6,0.0,,
94,2007,2007-09-16,2,29.250,CIN,@,CLE,L 45-51,*,16,11,209,19.00,2,68.8%,13.06,0,0,,0,0,0,,0,0,0,,,,,,2,12,0.0,,
95,2007,2007-09-23,3,29.257,CIN,@,SEA,L 21-24,*,16,9,138,15.33,0,56.3%,8.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
96,2007,2007-10-01,4,29.265,CIN,,NWE,L 13-34,*,8,3,53,17.67,0,37.5%,6.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
97,2007,2007-10-14,5,29.278,CIN,@,KAN,L 20-27,*,12,8,83,10.38,0,66.7%,6.92,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
98,2007,2007-10-21,6,29.285,CIN,,NYJ,W 38-31,*,4,3,102,34.00,0,75.0%,25.50,1,15,15.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
99,2007,2007-10-28,7,29.292,CIN,,PIT,L 13-24,*,9,5,51,10.20,0,55.6%,5.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
100,2007,2007-11-04,8,29.299,CIN,@,BUF,L 21-33,*,8,3,48,16.00,0,37.5%,6.00,1,1,1.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
101,2007,2007-11-11,9,29.306,CIN,@,BAL,W 21-7,*,7,4,73,18.25,0,57.1%,10.43,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
102,2007,2007-11-18,10,29.313,CIN,,ARI,L 27-35,*,10,8,86,10.75,0,80.0%,8.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
103,2007,2007-11-25,11,29.320,CIN,,TEN,W 35-6,*,14,12,103,8.58,3,85.7%,7.36,0,0,,0,0,0,,0,0,0,,,,,,3,18,0.0,,
104,2007,2007-12-02,12,29.327,CIN,@,PIT,L 10-24,*,15,6,86,14.33,0,40.0%,5.73,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
105,2007,2007-12-09,13,29.334,CIN,,STL,W 19-10,*,6,2,60,30.00,0,33.3%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
106,2007,2007-12-15,14,29.340,CIN,@,SFO,L 13-20,*,12,6,78,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
107,2007,2007-12-23,15,29.348,CIN,,CLE,W 19-14,*,9,4,44,11.00,0,44.4%,4.89,1,16,16.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
108,2007,2007-12-30,16,29.355,CIN,@,MIA,W 38-25,*,7,4,131,32.75,2,57.1%,18.71,1,9,9.00,0,0,0,,0,0,0,,,,,,2,12,0.0,,
109,2008,2008-09-07,1,30.242,CIN,@,BAL,L 10-17,*,4,1,22,22.00,0,25.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
110,2008,2008-09-14,2,30.249,CIN,,TEN,L 7-24,*,6,4,37,9.25,0,66.7%,6.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
111,2008,2008-09-21,3,30.256,CIN,@,NYG,L 23-26,*,7,3,29,9.67,0,42.9%,4.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
112,2008,2008-09-28,4,30.263,CIN,,CLE,L 12-20,,7,3,28,9.33,1,42.9%,4.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,0,0
113,2008,2008-10-05,5,30.270,CIN,@,DAL,L 22-31,*,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
114,2008,2008-10-12,6,30.277,CIN,@,NYJ,L 14-26,*,6,5,57,11.40,0,83.3%,9.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
115,2008,2008-10-19,7,30.284,CIN,,PIT,L 10-38,*,13,8,52,6.50,1,61.5%,4.00,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,0,0
116,2008,2008-10-26,8,30.291,CIN,@,HOU,L 6-35,*,9,5,44,8.80,0,55.6%,4.89,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
117,2008,2008-11-02,9,30.298,CIN,,JAX,W 21-19,*,8,5,37,7.40,2,62.5%,4.63,0,0,,0,0,0,,0,0,0,,,,,,2,12,0.0,0,0
118,2008,2008-11-16,10,30.312,CIN,,PHI,T 13-13,*,8,4,34,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
119,2008,2008-11-30,12,30.326,CIN,,BAL,L 3-34,*,11,4,45,11.25,0,36.4%,4.09,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
120,2008,2008-12-07,13,30.333,CIN,@,IND,L 3-35,,5,5,79,15.80,0,100.0%,15.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
121,2008,2008-12-14,14,30.340,CIN,,WAS,W 20-13,,8,3,33,11.00,0,37.5%,4.13,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
122,2009,2009-09-13,1,31.247,CIN,,DEN,L 7-12,,7,5,89,17.80,0,71.4%,12.71,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
123,2009,2009-09-20,2,31.254,CIN,@,GNB,W 31-24,,7,4,91,22.75,1,57.1%,13.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
124,2009,2009-09-27,3,31.261,CIN,,PIT,W 23-20,,11,5,54,10.80,0,45.5%,4.91,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
125,2009,2009-10-04,4,31.268,CIN,@,CLE,W 23-20,,11,3,24,8.00,2,27.3%,2.18,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0.0,0,0
126,2009,2009-10-11,5,31.275,CIN,@,BAL,W 17-14,,10,7,94,13.43,0,70.0%,9.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
127,2009,2009-10-18,6,31.282,CIN,,HOU,L 17-28,,7,5,103,20.60,0,71.4%,14.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
128,2009,2009-10-25,7,31.289,CIN,,CHI,W 45-10,,11,10,118,11.80,2,90.9%,10.73,0,0,,0,0,0,,0,0,0,,0,0,,,2,12,0.0,0,0
129,2009,2009-11-08,8,31.303,CIN,,BAL,W 17-7,,9,5,66,13.20,0,55.6%,7.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
130,2009,2009-11-15,9,31.310,CIN,@,PIT,W 18-12,,7,2,29,14.50,0,28.6%,4.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
131,2009,2009-11-22,10,31.317,CIN,@,OAK,L 17-20,,5,4,67,16.75,0,80.0%,13.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
132,2009,2009-11-29,11,31.324,CIN,,CLE,W 16-7,,5,3,38,12.67,0,60.0%,7.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
133,2009,2009-12-06,12,31.331,CIN,,DET,W 23-13,,14,9,137,15.22,1,64.3%,9.79,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
134,2009,2009-12-13,13,31.338,CIN,@,MIN,L 10-30,,8,3,27,9.00,1,37.5%,3.38,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
135,2009,2009-12-20,14,31.345,CIN,@,SDG,L 24-27,,5,3,79,26.33,1,60.0%,15.80,1,26,26.00,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
136,2009,2009-12-27,15,31.352,CIN,,KAN,W 17-10,,7,4,31,7.75,1,57.1%,4.43,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
137,2009,2010-01-03,16,31.359,CIN,@,NYJ,L 0-37,,4,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,
138,2010,2010-09-12,1,32.246,CIN,@,NWE,L 24-38,,13,12,159,13.25,1,92.3%,12.23,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
139,2010,2010-09-19,2,32.253,CIN,,BAL,W 15-10,,9,4,44,11.00,0,44.4%,4.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
140,2010,2010-09-26,3,32.260,CIN,@,CAR,W 20-7,,12,4,34,8.50,0,33.3%,2.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
141,2010,2010-10-03,4,32.267,CIN,@,CLE,L 20-23,,5,3,59,19.67,0,60.0%,11.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
142,2010,2010-10-10,5,32.274,CIN,,TAM,L 21-24,,6,3,20,6.67,0,50.0%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
143,2010,2010-10-24,6,32.288,CIN,@,ATL,L 32-39,,16,10,108,10.80,1,62.5%,6.75,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
144,2010,2010-10-31,7,32.295,CIN,,MIA,L 14-22,,8,3,34,11.33,0,37.5%,4.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
145,2010,2010-11-08,8,32.303,CIN,,PIT,L 21-27,,7,1,15,15.00,0,14.3%,2.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
146,2010,2010-11-14,9,32.309,CIN,@,IND,L 17-23,,13,7,86,12.29,1,53.8%,6.62,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
147,2010,2010-11-21,10,32.316,CIN,,BUF,L 31-49,,6,3,28,9.33,1,50.0%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,1,6,0.0,0,0
148,2010,2010-11-25,11,32.320,CIN,@,NYJ,L 10-26,,9,4,41,10.25,0,44.4%,4.56,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0.0,0,0
149,2010,2010-12-05,12,32.330,CIN,,NOR,L 30-34,,10,5,96,19.20,0,50.0%,9.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,0,0
150,2010,2010-12-12,13,32.337,CIN,@,PIT,L 7-23,,9,6,71,11.83,0,66.7%,7.89,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,0.0,1,0
