ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
22,2012,2012-12-02,12,24.351,HOU,@,TEN,W 24-10,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
23,2012,2012-12-10,13,24.359,HOU,@,NWE,L 14-42,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,1,1,0
24,2012,2012-12-16,14,24.365,HOU,,IND,W 29-17,,0,0,,0,0,0,,0,0,0,,0,0.0,1,0,0,0,0
25,2012,2012-12-23,15,25.006,HOU,,MIN,L 6-23,,0,0,,0,0,0,,0,0,0,,0,0.0,1,0,0,0,0
26,2012,2012-12-30,16,25.013,HOU,@,IND,L 16-28,,,,,,,,,,,,,,,,,,,
27,2013,2013-09-09,1,25.266,HOU,@,SDG,W 31-28,*,1,8,8.00,0,0,0,,0,0,0,,0,0.0,3,0,0,0,0
28,2013,2013-09-15,2,25.272,HOU,,TEN,W 30-24,*,0,0,,0,0,0,,0,0,0,,0,0.0,4,0,0,0,0
29,2013,2013-09-22,3,25.279,HOU,@,BAL,L 9-30,,0,0,,0,0,0,,0,0,0,,0,0.0,2,1,0,0,0
30,2013,2013-09-29,4,25.286,HOU,,SEA,L 20-23,,,,,,,,,,,,,,,,,,,
31,2013,2013-10-06,5,25.293,HOU,@,SFO,L 3-34,,0,0,,0,0,0,,0,1,9,9.00,0,0.0,0,0,0,0,0
32,2013,2013-10-13,6,25.300,HOU,,STL,L 13-38,,0,0,,0,0,0,,0,2,6,3.00,0,0.0,4,0,0,0,0
33,2013,2013-10-20,7,25.307,HOU,@,KAN,L 16-17,,0,0,,0,0,0,,0,0,0,,0,0.0,5,0,1,4,0
34,2013,2013-11-03,8,25.321,HOU,,IND,L 24-27,*,0,0,,0,0,0,,0,0,0,,0,0.0,6,0,0,0,0
35,2013,2013-11-10,9,25.328,HOU,@,ARI,L 24-27,*,0,0,,0,0,0,,0,0,0,,0,0.0,5,1,0,0,0
36,2013,2013-11-17,10,25.335,HOU,,OAK,L 23-28,*,0,0,,0,0,0,,0,0,0,,0,0.0,2,3,0,0,0
37,2013,2013-11-24,11,25.342,HOU,,JAX,L 6-13,*,0,0,,0,0,0,,0,0,0,,0,0.0,4,2,0,0,0
38,2013,2013-12-01,12,25.349,HOU,,NWE,L 31-34,*,0,0,,0,0,0,,0,0,0,,0,0.0,5,0,0,0,0
39,2013,2013-12-05,13,25.353,HOU,@,JAX,L 20-27,*,0,0,,0,0,0,,0,0,0,,0,0.0,2,1,0,0,0
40,2013,2013-12-15,14,25.363,HOU,@,IND,L 3-25,*,0,0,,0,0,0,,0,0,0,,0,0.0,4,1,0,0,0
41,2013,2013-12-22,15,26.005,HOU,,DEN,L 13-37,*,0,0,,0,0,0,,0,0,0,,0,0.0,4,1,0,0,0
42,2013,2013-12-29,16,26.012,HOU,@,TEN,L 10-16,*,0,0,,0,0,0,,0,0,0,,0,0.0,2,1,0,0,0
43,2015,2015-12-13,13,27.361,DEN,,OAK,L 12-15,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
44,2015,2015-12-20,14,28.003,DEN,@,PIT,L 27-34,,0,0,,0,0,0,,0,0,0,,0,0.0,2,0,0,0,0
45,2015,2015-12-28,15,28.011,DEN,,CIN,W 20-17,,0,0,,0,0,0,,0,1,6,6.00,0,0.0,1,0,0,0,0
46,2015,2016-01-03,16,28.017,DEN,,SDG,W 27-20,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,1,22,0
47,2016,2016-09-25,3,28.283,DEN,@,CIN,W 29-17,,0,0,,0,0,0,,0,0,0,,0,0.0,1,0,0,0,0
48,2016,2016-10-09,5,28.297,DEN,,ATL,L 16-23,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
49,2016,2016-10-13,6,28.301,DEN,@,SDG,L 13-21,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
50,2016,2016-11-13,9,28.332,NOR,,DEN,L 23-25,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
51,2016,2016-11-17,10,28.336,NOR,@,CAR,L 20-23,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
52,2016,2016-11-27,11,28.346,NOR,,LAR,W 49-21,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
53,2016,2016-12-04,12,28.353,NOR,,DET,L 13-28,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
54,2016,2016-12-18,14,29.001,NOR,@,ARI,W 48-41,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
55,2016,2016-12-24,15,29.007,NOR,,TAM,W 31-24,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
56,2016,2017-01-01,16,29.015,NOR,@,ATL,L 32-38,,0,0,,0,0,0,,0,0,0,,0,0.0,0,0,0,0,0
