ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
66,1981,1981-10-11,6,27.207,NYG,,STL,W 34-14,,,,,0,0,,0,0,0,,0,,,
67,1981,1981-10-18,7,27.214,NYG,@,SEA,W 32-0,,,,,0,0,,0,0,0,,0,,,
68,1981,1981-10-25,8,27.221,NYG,@,ATL,W 27-24,,,,,0,0,,0,0,0,,0,,,
69,1981,1981-11-01,9,27.228,NYG,,NYJ,L 7-26,,,,,0,0,,0,0,0,,0,,,
70,1981,1981-11-08,10,27.235,NYG,@,GNB,L 24-26,0,0,,0,0,0,,0,0,0,,0,1,14,0
71,1981,1981-11-15,11,27.242,NYG,,WAS,L 27-30,,,,,0,0,,0,0,0,,0,,,
72,1981,1981-11-22,12,27.249,NYG,@,PHI,W 20-10,,,,,0,0,,0,0,0,,0,,,
73,1981,1981-11-29,13,27.256,NYG,@,SFO,L 10-17,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0
74,1981,1981-12-06,14,27.263,NYG,,RAM,W 10-7,,,,,0,0,,0,0,0,,0,,,
75,1981,1981-12-13,15,27.270,NYG,@,STL,W 20-10,0,0,,0,0,0,,0,0,0,,0,1,32,0
76,1981,1981-12-19,16,27.276,NYG,,DAL,W 13-10,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
77,1982,1982-09-12,1,28.178,NYG,,ATL,L 14-16,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0
78,1982,1982-09-20,2,28.186,NYG,,GNB,L 19-27,,,,,,,,,0,0,,0,,,
79,1982,1982-11-21,3,28.248,NYG,,WAS,L 17-27,,,,,,,,,0,0,,0,,,
80,1982,1982-11-25,4,28.252,NYG,@,DET,W 13-6,,,,,,,,,0,0,,0,,,
81,1982,1982-12-05,5,28.262,NYG,,HOU,W 17-14,,,,,,,,,0,0,,0,,,
82,1982,1982-12-11,6,28.268,NYG,,PHI,W 23-7,,,,,,,,,0,0,,0,,,
83,1982,1982-12-19,7,28.276,NYG,@,WAS,L 14-15,0,0,,0,0,0,,0,0,0,,0,1,0,0
84,1982,1982-12-26,8,28.283,NYG,@,STL,L 21-24,,,,,,,,,0,0,,0,,,
85,1982,1983-01-02,9,28.290,NYG,@,PHI,W 26-24,,,,,,,,,0,0,,0,,,
86,1983,1983-09-04,1,29.170,NYG,,RAM,L 6-16,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
87,1983,1983-09-11,2,29.177,NYG,@,ATL,W 16-13,0,0,,0,0,0,,0,3,11,3.67,0,0,0,0
88,1983,1983-09-18,3,29.184,NYG,@,DAL,L 13-28,0,0,,0,0,0,,0,2,6,3.00,0,0,0,0
89,1983,1983-09-26,4,29.192,NYG,,GNB,W 27-3,0,0,,0,0,0,,0,3,9,3.00,0,1,11,0
90,1983,1983-10-02,5,29.198,NYG,,SDG,L 34-41,0,0,,0,0,0,,0,0,0,,0,1,22,0
91,1983,1983-10-09,6,29.205,NYG,,PHI,L 13-17,,,,,,,,,0,0,,0,,,
92,1983,1983-10-16,7,29.212,NYG,@,KAN,L 17-38,,,,,,,,,0,0,,0,,,
93,1983,1983-10-23,8,29.219,TAM,,NOR,L 21-24,,,,,,,,,,,,,,,
94,1983,1983-10-30,9,29.226,TAM,@,PIT,L 12-17,0,0,,0,0,0,,0,0,0,,0,2,0,0
95,1983,1983-11-06,10,29.233,TAM,@,MIN,W 17-12,,,,,,,,,,,,,,,
96,1983,1983-11-13,11,29.240,TAM,@,CLE,L 0-20,,,,,,,,,,,,,,,
97,1983,1983-11-20,12,29.247,TAM,,CHI,L 0-27,0,0,,0,0,0,,0,0,0,,0,1,11,0
98,1983,1983-11-27,13,29.254,TAM,,HOU,W 33-24,0,0,,0,0,0,,0,0,0,,0,2,30,0
99,1983,1983-12-04,14,29.261,TAM,@,SFO,L 21-35,,,,,,,,,,,,,,,
100,1983,1983-12-12,15,29.269,TAM,,GNB,L 9-12,0,0,,0,0,0,,0,0,0,,0,1,29,0
101,1983,1983-12-18,16,29.275,TAM,@,DET,L 20-23,,,,,,,,,,,,,,,
102,1984,1984-09-02,1,30.168,TAM,@,CHI,L 14-34,,,,,,,,,,,,,,,
103,1984,1984-09-09,2,30.175,TAM,@,NOR,L 13-17,,,,,,,,,,,,,,,
104,1984,1984-09-16,3,30.182,TAM,,DET,W 21-17,,,,,,,,,,,,,,,
105,1984,1984-09-23,4,30.189,TAM,@,NYG,L 14-17,,,,,,,,,,,,,,,
106,1984,1984-09-30,5,30.196,TAM,,GNB,W 30-27,,,,,,,,,,,,,,,
107,1984,1984-10-07,6,30.203,TAM,,MIN,W 35-31,,,,,,,,,,,,,,,
108,1984,1984-10-14,7,30.210,TAM,@,DET,L 7-13,,,,,,,,,,,,,,,
109,1984,1984-10-21,8,30.217,TAM,,CHI,L 9-44,,,,,,,,,,,,,,,
110,1984,1984-10-28,9,30.224,TAM,@,KAN,L 20-24,,,,,,,,,,,,,,,
111,1984,1984-11-04,10,30.231,TAM,@,MIN,L 24-27,,,,,,,,,,,,,,,
112,1984,1984-11-11,11,30.238,TAM,,NYG,W 20-17,,,,,,,,,,,,,,,
113,1984,1984-11-18,12,30.245,TAM,@,SFO,L 17-24,,,,,,,,,,,,,,,
114,1984,1984-11-25,13,30.252,TAM,,RAM,L 33-34,,,,,,,,,,,,,,,
115,1984,1984-12-02,14,30.259,TAM,@,GNB,L 14-27,0,0,,0,0,0,,0,0,0,,0,1,12,0
116,1984,1984-12-09,15,30.266,TAM,,ATL,W 23-6,,,,,,,,,,,,,,,
117,1984,1984-12-16,16,30.273,TAM,,NYJ,W 41-21,,,,,,,,,,,,,,,
