ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
26,1986,1986-09-07,1,25.028,SDG,,MIA,W 50-28,,0,0,,0,0,0,,0,0,,,0,0,,0,2.0,0,0,0
27,1986,1986-09-14,2,25.035,SDG,@,NYG,L 7-20,,0,0,,0,0,0,,0,0,,,0,0,,0,1.0,0,0,0
28,1986,1986-10-19,7,25.070,SDG,@,KAN,L 41-42,,0,0,,0,0,0,,0,0,,,0,0,,0,0.5,0,0,0
29,1986,1986-10-26,8,25.077,SDG,@,PHI,L 7-23,,0,0,,0,0,0,,0,0,,,0,0,,0,1.5,0,0,0
30,1986,1986-11-02,9,25.084,SDG,,KAN,L 23-24,,0,0,,0,0,0,,0,0,,,0,0,,0,1.5,0,0,0
31,1986,1986-12-07,14,25.119,SDG,,HOU,W 27-0,,0,0,,0,0,0,,0,0,,,0,0,,0,2.0,0,0,0
32,1986,1986-12-14,15,25.126,SDG,,SEA,L 24-34,,0,0,,0,0,0,,0,0,,,0,0,,0,1.5,0,0,0
33,1986,1986-12-21,16,25.133,SDG,@,CLE,L 17-47,,0,0,,0,0,0,,0,0,,,0,0,,0,1.0,0,0,0
34,1987,1987-09-13,1,26.034,SDG,@,KAN,L 13-20,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,2.0,0,0,0
35,1987,1987-09-20,2,26.041,SDG,,STL,W 28-24,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,1,5,0
36,1987,1987-10-25,6,26.076,SDG,,KAN,W 42-21,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,1,0,0
37,1987,1987-11-01,7,26.083,SDG,,CLE,W 27-24,,0,0,,0,0,0,,0,,,,,,,,,,,
38,1987,1987-11-08,8,26.090,SDG,@,IND,W 16-13,,0,0,,0,0,0,,0,,,,,,,,,,,
39,1987,1987-11-15,9,26.097,SDG,,RAI,W 16-14,,0,0,,0,0,0,,0,,,,0,0,,0,1.0,1,0,0
40,1987,1987-11-22,10,26.104,SDG,@,SEA,L 3-34,,0,0,,0,0,0,,0,,,,,,,,,,,
41,1987,1987-11-29,11,26.111,SDG,,DEN,L 17-31,,0,0,,0,0,0,,0,,,,,,,,,,,
42,1987,1987-12-06,12,26.118,SDG,@,HOU,L 18-33,,0,0,,0,0,0,,0,,,,,,,,,,,
43,1987,1987-12-13,13,26.125,SDG,,PIT,L 16-20,,0,0,,0,0,0,,0,,,,,,,,,,,
44,1987,1987-12-20,14,26.132,SDG,,IND,L 7-20,,0,0,,0,0,0,,0,,,,,,,,,,,
45,1987,1987-12-27,15,26.139,SDG,@,DEN,L 0-24,,0,0,,0,0,0,,0,,,,0,0,,0,0.0,2,23,0
46,1988,1988-11-06,10,27.088,SDG,,RAI,L 3-13,,0,0,,0,0,0,,0,0,,,0,0,,0,1.0,1,9,0
47,1989,1989-09-24,3,28.045,SDG,,KAN,W 21-6,,0,0,,0,0,0,,0,0,,,0,0,,0,0.5,0,0,0
48,1989,1989-10-29,8,28.080,SDG,@,SEA,L 7-10,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,9,0
49,1989,1989-11-12,10,28.094,SDG,,RAI,W 14-12,,0,0,,0,0,0,,0,0,,,0,0,,0,1.0,0,0,0
50,1989,1989-11-19,11,28.101,SDG,@,PIT,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,1.0,0,0,0
51,1990,1990-09-09,1,29.030,SDG,@,DAL,L 14-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,0
52,1990,1990-09-16,2,29.037,SDG,,CIN,L 16-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,12,0
53,1990,1990-11-11,10,29.093,SDG,,DEN,W 19-7,,0,0,,0,0,0,,0,0,,,0,0,,0,1.0,0,0,0
54,1991,1991-10-27,9,30.078,SDG,@,SEA,L 9-20,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,0
55,1991,1991-11-17,11,30.099,SDG,,NOR,W 24-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,1,0,0
