ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
11,1961,1961-09-10,1,23.019,SDG,@,DTX,W 26-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,127,42.33,0
12,1961,1961-09-17,2,23.026,SDG,,OAK,W 44-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,0,2,90,45.00,0
13,1961,1961-09-24,3,23.033,SDG,,HOU,W 34-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,309,38.63,0
14,1961,1961-09-30,4,23.039,SDG,@,BUF,W 19-11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,175,43.75,0
15,1961,1961-10-07,5,23.046,SDG,@,BOS,W 38-27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,2,86,43.00,0
16,1961,1961-10-15,6,23.054,SDG,@,NYT,W 25-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,264,37.71,0
17,1961,1961-10-22,7,23.061,SDG,@,OAK,W 41-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,2,33,16.50,0
18,1961,1961-10-29,8,23.068,SDG,,DEN,W 37-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,2,102,51.00,0
19,1961,1961-11-05,9,23.075,SDG,,NYT,W 48-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,131,43.67,0
20,1961,1961-11-12,10,23.082,SDG,@,DEN,W 19-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,341,42.63,0
21,1961,1961-11-19,11,23.089,SDG,,DTX,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,179,59.67,0
22,1961,1961-12-03,12,23.103,SDG,@,HOU,L 13-33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,224,37.33,0
23,1961,1961-12-10,13,23.110,SDG,,BUF,W 28-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,287,47.83,0
24,1961,1961-12-17,14,23.117,SDG,,BOS,L 0-41,1,-11,-11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,267,38.14,1
25,1962,1962-09-07,1,24.016,SDG,@,DEN,L 21-30,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,258,43.00,0
26,1962,1962-09-16,2,24.025,SDG,,NYT,W 40-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,234,46.80,0
27,1962,1962-09-23,3,24.032,SDG,,HOU,L 17-42,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,226,45.20,0
28,1962,1962-09-30,4,24.039,SDG,@,OAK,W 42-33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,13,0,7,300,42.86,0
29,1962,1962-10-07,5,24.046,SDG,,DTX,W 32-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,251,41.83,0
30,1962,1962-10-13,6,24.052,SDG,@,BUF,L 10-35,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,228,45.60,0
31,1962,1962-10-19,7,24.058,SDG,@,BOS,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,277,39.57,0
32,1962,1962-10-28,8,24.067,SDG,@,NYT,L 3-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,332,41.50,0
33,1962,1962-11-04,9,24.074,SDG,,DEN,L 20-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,221,44.20,0
34,1962,1962-11-11,10,24.081,SDG,,BUF,L 20-40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,2,75,37.50,0
35,1962,1962-11-25,11,24.095,SDG,@,HOU,L 27-33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,214,35.67,0
36,1962,1962-12-02,12,24.102,SDG,,OAK,W 31-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,307,38.38,0
37,1962,1962-12-09,13,24.109,SDG,,BOS,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,242,40.33,0
38,1962,1962-12-16,14,24.116,SDG,@,DTX,L 17-26,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,124,41.33,0
39,1963,1963-09-08,1,25.017,SDG,,BUF,W 14-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,38,0,4,165,41.25,0
40,1963,1963-09-14,2,25.023,SDG,,BOS,W 17-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,0,6,232,38.67,0
41,1963,1963-09-29,3,25.038,SDG,,KAN,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,5,0,5,175,35.00,0
42,1963,1963-10-06,4,25.045,SDG,@,DEN,L 34-50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,152,38.00,0
43,1963,1963-10-13,5,25.052,SDG,,NYJ,W 24-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,135,33.75,0
44,1963,1963-10-20,6,25.059,SDG,@,KAN,W 38-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,225,45.00,0
45,1963,1963-10-27,7,25.066,SDG,,OAK,L 33-34,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,124,41.33,0
46,1963,1963-11-02,8,25.072,SDG,@,NYJ,W 53-7,0,0,,0,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0,0,0,2,65,32.50,0
47,1963,1963-11-10,9,25.080,SDG,@,BOS,W 7-6,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,237,33.86,0
48,1963,1963-11-17,10,25.087,SDG,@,BUF,W 23-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,116,38.67,0
49,1963,1963-12-01,11,25.101,SDG,,HOU,W 27-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,178,44.50,0
50,1963,1963-12-08,12,25.108,SDG,@,OAK,L 27-41,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,170,34.00,0
51,1963,1963-12-15,13,25.115,SDG,@,HOU,W 20-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0,3,136,45.33,0
52,1963,1963-12-22,14,25.122,SDG,,DEN,W 58-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,131,43.67,0
53,1964,1964-09-13,1,26.022,BUF,,KAN,W 34-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,155,38.75,0
54,1964,1964-09-20,2,26.029,BUF,,DEN,W 30-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,194,48.50,0
55,1964,1964-09-26,3,26.035,BUF,,SDG,W 30-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,2,95,47.50,0
56,1964,1964-10-03,4,26.042,BUF,,OAK,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0,5,233,46.60,0
57,1964,1964-10-11,5,26.050,BUF,@,HOU,W 48-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,112,37.33,0
58,1964,1964-10-18,6,26.057,BUF,@,KAN,W 35-22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,150,50.00,0
59,1964,1964-10-24,7,26.063,BUF,,NYJ,W 34-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,170,42.50,0
60,1964,1964-11-01,8,26.071,BUF,,HOU,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,116,38.67,0
61,1964,1964-11-08,9,26.078,BUF,@,NYJ,W 20-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,244,48.80,0
62,1964,1964-11-15,10,26.085,BUF,,BOS,L 28-36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,265,44.17,0
63,1964,1964-11-26,11,26.096,BUF,@,SDG,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,256,42.67,0
64,1964,1964-12-06,12,26.106,BUF,@,OAK,L 13-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,321,45.86,0
65,1964,1964-12-13,13,26.113,BUF,@,DEN,W 30-19,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,278,34.75,0
66,1964,1964-12-20,14,26.120,BUF,@,BOS,W 24-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,188,37.60,0
67,1965,1965-09-11,1,27.020,BUF,,BOS,W 24-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,330,41.25,0
68,1965,1965-09-19,2,27.028,BUF,@,DEN,W 30-15,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,201,40.20,0
69,1965,1965-09-26,3,27.035,BUF,,NYJ,W 33-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,1,51,51.00,0
70,1965,1965-10-03,4,27.042,BUF,,OAK,W 17-12,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,297,49.50,0
71,1965,1965-10-10,5,27.049,BUF,,SDG,L 3-34,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,270,45.00,0
72,1965,1965-10-17,6,27.056,BUF,@,KAN,W 23-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,400,50.00,0
73,1965,1965-10-24,7,27.063,BUF,,DEN,W 31-13,0,0,,0,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0,0,0,4,175,43.75,0
74,1965,1965-10-31,8,27.070,BUF,,HOU,L 17-19,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,102,34.00,0
75,1965,1965-11-07,9,27.077,BUF,@,BOS,W 23-7,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,9,344,38.22,0
76,1965,1965-11-14,10,27.084,BUF,@,OAK,W 17-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,225,37.50,0
77,1965,1965-11-25,11,27.095,BUF,@,SDG,T 20-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,345,43.13,0
78,1965,1965-12-05,12,27.105,BUF,@,HOU,W 29-18,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,199,49.75,0
79,1965,1965-12-12,13,27.112,BUF,,KAN,W 34-25,1,21,21.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,169,42.25,0
80,1965,1965-12-19,14,27.119,BUF,@,NYJ,L 12-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,313,39.13,0
81,1966,1966-09-04,1,28.013,BUF,@,SDG,L 7-27,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,205,51.25,0
82,1966,1966-09-11,2,28.020,BUF,,KAN,L 20-42,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,315,45.00,0
83,1966,1966-09-18,3,28.027,BUF,,MIA,W 58-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,175,43.75,0
84,1966,1966-09-25,4,28.034,BUF,,HOU,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,212,35.33,0
85,1966,1966-10-02,5,28.041,BUF,@,KAN,W 29-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,290,48.33,0
86,1966,1966-10-08,6,28.047,BUF,,BOS,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,284,40.57,0
87,1966,1966-10-16,7,28.055,BUF,,SDG,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,110,36.67,0
88,1966,1966-10-30,8,28.069,BUF,@,NYJ,W 33-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,126,42.00,0
89,1966,1966-11-06,9,28.076,BUF,@,MIA,W 29-0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,1,46,46.00,0
90,1966,1966-11-13,10,28.083,BUF,,NYJ,W 14-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,9,353,39.22,0
91,1966,1966-11-20,11,28.090,BUF,@,HOU,W 42-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,211,42.20,0
92,1966,1966-11-24,12,28.094,BUF,@,OAK,W 31-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,189,37.80,0
93,1966,1966-12-04,13,28.104,BUF,@,BOS,L 3-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,249,35.57,0
94,1966,1966-12-18,14,28.118,BUF,,DEN,W 38-21,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,0.00,0,0,0,0,2,74,37.00,0
95,1967,1967-09-10,1,29.019,BUF,,NYJ,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,242,48.40,0
96,1967,1967-09-17,2,29.026,BUF,,HOU,L 3-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,284,47.33,0
97,1967,1967-09-24,3,29.033,BUF,,BOS,L 0-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,207,41.40,0
98,1967,1967-10-01,4,29.040,BUF,,SDG,L 17-37,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,227,45.40,0
99,1967,1967-10-08,5,29.047,BUF,@,DEN,W 17-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,215,43.00,0
100,1967,1967-10-15,6,29.054,BUF,,OAK,L 20-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,11,498,45.27,0
101,1967,1967-10-29,7,29.068,BUF,@,HOU,L 3-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,163,40.75,0
102,1967,1967-11-05,8,29.075,BUF,,MIA,W 35-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,221,44.20,0
103,1967,1967-11-12,9,29.082,BUF,@,NYJ,L 10-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,266,44.33,0
104,1967,1967-11-19,10,29.089,BUF,,DEN,L 20-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,186,37.20,0
105,1967,1967-11-26,11,29.096,BUF,@,MIA,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,112,37.33,0
106,1967,1967-12-03,12,29.103,BUF,@,KAN,L 13-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,268,44.67,0
107,1967,1967-12-09,13,29.109,BUF,@,BOS,W 44-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,2,88,44.00,0
108,1967,1967-12-24,14,29.124,BUF,@,OAK,L 21-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,9,343,38.11,0
109,1968,1968-09-08,1,30.017,BUF,,BOS,L 7-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,281,46.83,0
110,1968,1968-09-15,2,30.024,BUF,,OAK,L 6-48,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,10,441,44.10,0
111,1968,1968-09-22,3,30.031,BUF,@,CIN,L 23-34,0,0,,0,0,0,,0,0,0,,0,0,,,1,5,5.00,0,0,0,0,6,234,39.00,1
112,1968,1968-09-29,4,30.038,BUF,,NYJ,W 37-35,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,195,32.50,0
113,1968,1968-10-05,5,30.044,BUF,,KAN,L 7-18,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,198,39.60,0
114,1968,1968-10-12,6,30.051,BUF,@,MIA,T 14-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,202,40.40,0
115,1968,1968-10-20,7,30.059,BUF,@,BOS,L 6-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,311,44.43,0
116,1968,1968-10-27,8,30.066,BUF,,HOU,L 7-30,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,9,447,49.67,0
117,1968,1968-11-03,9,30.073,BUF,@,NYJ,L 21-25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,306,38.25,0
118,1968,1968-11-10,10,30.080,BUF,,MIA,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,186,46.50,0
119,1968,1968-11-17,11,30.087,BUF,,SDG,L 6-21,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,10,343,34.30,0
120,1968,1968-11-24,12,30.094,BUF,@,DEN,L 32-34,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,329,41.13,0
121,1968,1968-11-28,13,30.098,BUF,@,OAK,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,209,41.80,0
122,1968,1968-12-07,14,30.107,BUF,@,HOU,L 6-35,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,11,493,44.82,0
123,1969,1969-09-14,1,31.023,BUF,,NYJ,L 19-33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,226,45.20,0
124,1969,1969-09-21,2,31.030,BUF,,HOU,L 3-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,386,55.14,0
125,1969,1969-09-28,3,31.037,BUF,,DEN,W 41-28,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,261,43.50,0
126,1969,1969-10-05,4,31.044,BUF,@,HOU,L 14-28,0,0,,0,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,0,0,,0,0,0,0,6,289,48.17,0
127,1969,1969-10-11,5,31.050,BUF,,BOS,W 23-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,3,146,48.67,0
128,1969,1969-10-19,6,31.058,BUF,@,OAK,L 21-50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,213,35.50,0
129,1969,1969-10-26,7,31.065,BUF,@,MIA,L 6-24,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,240,48.00,0
130,1969,1969-11-02,8,31.072,BUF,,KAN,L 7-29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,210,42.00,0
131,1969,1969-11-09,9,31.079,BUF,@,NYJ,L 6-16,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,228,45.60,0
132,1969,1969-11-16,10,31.086,BUF,,MIA,W 28-3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,282,40.29,0
133,1969,1969-11-23,11,31.093,BUF,@,BOS,L 21-35,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,2,98,49.00,0
134,1969,1969-11-30,12,31.100,BUF,,CIN,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,233,33.29,1
135,1969,1969-12-07,13,31.107,BUF,@,KAN,L 19-22,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,297,49.50,0
136,1969,1969-12-14,14,31.114,BUF,@,SDG,L 6-45,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,362,45.25,0
137,1970,1970-09-20,1,32.029,BUF,,DEN,L 10-25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,10,480,48.00,0
138,1970,1970-09-27,2,32.036,BUF,,RAM,L 0-19,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,248,35.43,0
139,1970,1970-10-04,3,32.043,BUF,,NYJ,W 34-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,148,29.60,1
140,1970,1970-10-11,4,32.050,BUF,@,PIT,L 10-23,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,255,42.50,0
141,1970,1970-10-18,5,32.057,BUF,,MIA,L 14-33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,2,56,28.00,0
142,1970,1970-10-25,6,32.064,BUF,@,NYJ,W 10-6,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,245,40.83,0
143,1970,1970-11-01,7,32.071,BUF,@,BOS,W 45-10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,157,39.25,0
144,1970,1970-11-08,8,32.078,BUF,,CIN,L 14-43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,197,39.40,0
145,1970,1970-11-15,9,32.085,BUF,@,BAL,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,4,172,43.00,0
146,1970,1970-11-22,10,32.092,BUF,@,CHI,L 13-31,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,5,186,37.20,0
147,1970,1970-11-29,11,32.099,BUF,,BOS,L 10-14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,7,304,43.43,0
148,1970,1970-12-06,12,32.106,BUF,@,NYG,L 6-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,6,222,37.00,0
149,1970,1970-12-13,13,32.113,BUF,,BAL,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,263,32.88,0
150,1970,1970-12-20,14,32.120,BUF,@,MIA,L 7-45,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,8,295,36.88,0
