ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
50,1977,1977-11-14,9,27.061,STL,@,DAL,W 24-17,,,,,,,,,,,,,,,
51,1977,1977-11-20,10,27.067,STL,,PHI,W 21-16,,,,,,,,,,,,,,,
52,1977,1977-11-24,11,27.071,STL,,MIA,L 14-55,,,,,,,,,,,,,,,
53,1977,1977-12-04,12,27.081,STL,@,NYG,L 7-27,,,,,,,,,,,,,,,
54,1977,1977-12-10,13,27.087,STL,,WAS,L 20-26,,,,,,,,,,,,,,,
55,1977,1977-12-18,14,27.095,STL,@,TAM,L 7-17,,,,,,,,,,,,,,,
56,1978,1978-09-03,1,27.354,STL,@,CHI,L 10-17,,,,,,,,,,,,,,,
57,1978,1978-09-10,2,27.361,STL,,NWE,L 6-16,,,,,,,,,,,,,,,
58,1978,1978-09-17,3,28.003,STL,,WAS,L 10-28,,,,,,,,,,,,,,,
59,1978,1978-09-24,4,28.010,STL,@,DAL,L 12-21,,,,,,,,,,,,,,,
60,1978,1978-10-01,5,28.017,STL,@,MIA,L 10-24,0,0,,0,0,0,,0,0,0,,0,1,15,0
61,1978,1978-10-08,6,28.024,STL,,BAL,L 17-30,0,0,,0,0,0,,0,0,0,,0,1,28,0
62,1978,1978-10-15,7,28.031,STL,,DAL,L 21-24,0,0,,0,1,3,3.00,0,0,0,,0,1,0,0
63,1978,1978-10-22,8,28.038,STL,@,NYJ,L 10-23,,,,,,,,,,,,,,,
64,1978,1978-10-29,9,28.045,STL,@,PHI,W 16-10,0,0,,0,0,0,,0,0,0,,0,1,7,0
65,1978,1978-11-05,10,28.052,STL,,NYG,W 20-10,0,0,,0,0,0,,0,0,0,,0,2,38,0
66,1978,1978-11-12,11,28.059,STL,@,SFO,W 16-10,0,0,,0,0,0,,0,0,0,,0,1,0,0
67,1978,1978-11-19,12,28.066,STL,@,WAS,W 27-17,0,0,,0,0,0,,0,0,0,,0,2,51,0
68,1978,1978-11-26,13,28.073,STL,,PHI,L 10-14,,,,,,,,,,,,,,,
69,1978,1978-12-03,14,28.080,STL,,DET,W 21-14,,,,,,,,,,,,,,,
70,1979,1979-09-02,1,28.353,STL,,DAL,L 21-22,,,,,,,,,,,,,,,
71,1979,1979-09-09,2,28.360,STL,@,NYG,W 27-14,0,0,,0,0,0,,0,0,0,,0,1,19,0
72,1979,1979-09-16,3,29.002,STL,,PIT,L 21-24,0,0,,0,0,0,,0,0,0,,0,1,30,0
73,1979,1979-09-23,4,29.009,STL,,WAS,L 7-17,0,0,,0,0,0,,0,0,0,,0,1,0,0
74,1979,1979-09-30,5,29.016,STL,@,RAM,L 0-21,,,,,,,,,,,,,,,
75,1979,1979-10-07,6,29.023,STL,@,HOU,W 24-17,0,0,,0,0,0,,0,0,0,,0,1,0,0
76,1979,1979-10-14,7,29.030,STL,,PHI,L 20-24,0,0,,0,0,0,,0,0,0,,0,1,0,0
77,1979,1979-10-21,8,29.037,STL,@,DAL,L 13-22,0,0,,0,0,0,,0,0,0,,0,1,21,0
78,1979,1979-10-28,9,29.044,STL,,CLE,L 20-38,,,,,,,,,,,,,,,
79,1979,1979-11-04,10,29.051,STL,,MIN,W 37-7,,,,,,,,,,,,,,,
80,1979,1979-11-11,11,29.058,STL,@,WAS,L 28-30,,,,,,,,,,,,,,,
81,1979,1979-11-18,12,29.065,STL,@,PHI,L 13-16,,,,,,,,,,,,,,,
82,1979,1979-11-25,13,29.072,STL,@,CIN,L 28-34,,,,,,,,,,,,,,,
83,1979,1979-12-02,14,29.079,STL,,SFO,W 13-10,,,,,,,,,,,,,,,
84,1979,1979-12-09,15,29.086,STL,,NYG,W 29-20,,,,,,,,,,,,,,,
85,1979,1979-12-16,16,29.093,STL,@,CHI,L 6-42,,,,,,,,,,,,,,,
86,1980,1980-09-07,1,29.359,STL,,NYG,L 35-41,0,0,,0,1,11,11.00,0,0,0,,0,0,0,0
87,1980,1980-09-14,2,30.000,STL,@,SFO,L 21-24,,,,,,,,,,,,,,,
88,1980,1980-09-21,3,30.007,STL,@,DET,L 7-20,,,,,,,,,,,,,,,
89,1980,1980-09-28,4,30.014,STL,,PHI,W 24-14,,,,,,,,,,,,,,,
90,1980,1980-10-05,5,30.021,STL,@,NOR,W 40-7,,,,,,,,,,,,,,,
91,1980,1980-10-12,6,30.028,STL,,RAM,L 13-21,,,,,,,,,,,,,,,
92,1980,1980-10-19,7,30.035,STL,@,WAS,L 0-23,,,,,,,,,,,,,,,
93,1980,1980-10-26,8,30.042,STL,@,BAL,W 17-10,0,0,,0,0,0,,0,0,0,,0,1,0,0
94,1980,1980-11-02,9,30.049,STL,,DAL,L 24-27,0,0,,0,1,10,10.00,0,0,0,,0,0,0,0
95,1980,1980-11-09,10,30.056,STL,,ATL,L 27-33,,,,,,,,,,,,,,,
96,1980,1980-11-16,11,30.063,STL,@,DAL,L 21-31,,,,,,,,,,,,,,,
97,1980,1980-11-23,12,30.070,STL,,KAN,L 13-21,0,0,,0,0,0,,0,0,0,,0,2,27,0
98,1980,1980-11-30,13,30.077,STL,@,NYG,W 23-7,0,0,,0,0,0,,0,0,0,,0,2,36,0
99,1980,1980-12-07,14,30.084,STL,,DET,W 24-23,0,0,,0,1,13,13.00,0,0,0,,0,0,0,0
100,1980,1980-12-14,15,30.091,STL,@,PHI,L 3-17,,,,,,,,,,,,,,,
101,1980,1980-12-21,16,30.098,STL,,WAS,L 7-31,,,,,,,,,,,,,,,
