ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
32,2000,2000-10-15,6,26.039,PIT,,CIN,W 15-0,*,,,,,,,,,
33,2000,2000-10-22,7,26.046,PIT,,CLE,W 22-0,,0,0,,0,0,0,1,3,0
34,2000,2000-10-29,8,26.053,PIT,@,BAL,W 9-6,*,,,,,,,,,
35,2000,2000-11-05,9,26.060,PIT,@,TEN,L 7-9,,,,,,,,,,
36,2000,2000-11-12,10,26.067,PIT,,PHI,L 23-26,,,,,,,,,,
37,2000,2000-11-19,11,26.074,PIT,,JAX,L 24-34,*,0,0,,0,0,0,1,8,0
38,2000,2000-11-26,12,26.081,PIT,@,CIN,W 48-28,*,,,,,,,,,
39,2000,2000-12-03,13,26.088,PIT,,OAK,W 21-20,*,,,,,,,,,
40,2000,2000-12-10,14,26.095,PIT,@,NYG,L 10-30,,,,,,,,,,
41,2000,2000-12-16,15,26.101,PIT,,WAS,W 24-3,*,0,0,,0,0,0,1,0,0
42,2000,2000-12-24,16,26.109,PIT,@,SDG,W 34-21,,,,,,,,,,
43,2001,2001-09-30,2,27.024,PIT,@,BUF,W 20-3,*,0,0,,0,0,0,1,62,0
44,2001,2001-10-07,3,27.031,PIT,,CIN,W 16-7,*,0,0,,0,0,0,1,26,0
45,2001,2001-10-14,4,27.038,PIT,@,KAN,W 20-17,*,0,0,,0,1,6,1,61,1
46,2001,2001-10-21,5,27.045,PIT,@,TAM,W 17-10,*,,,,,,,,,
47,2001,2001-10-29,6,27.053,PIT,,TEN,W 34-7,*,,,,,,,,,
48,2001,2001-11-04,7,27.059,PIT,,BAL,L 10-13,*,,,,,,,,,
49,2001,2001-11-11,8,27.066,PIT,@,CLE,W 15-12,*,,,,,,,,,
50,2001,2001-11-18,9,27.073,PIT,,JAX,W 20-7,*,,,,,,,,,
51,2001,2001-11-25,10,27.080,PIT,@,TEN,W 34-24,*,0,0,,0,1,6,1,45,1
52,2001,2001-12-02,11,27.087,PIT,,MIN,W 21-16,*,,,,,,,,,
53,2001,2001-12-09,12,27.094,PIT,,NYJ,W 18-7,*,,,,,,,,,
54,2001,2001-12-16,13,27.101,PIT,@,BAL,W 26-21,*,0,0,,0,0,0,1,10,0
55,2001,2001-12-23,14,27.108,PIT,,DET,W 47-14,*,,,,,,,,,
56,2001,2001-12-30,15,27.115,PIT,@,CIN,L 23-26,*,,,,,,,,,
57,2001,2002-01-06,16,27.122,PIT,,CLE,W 28-7,*,,,,,,,,,
58,2002,2002-09-09,1,28.003,PIT,@,NWE,L 14-30,*,,,,,,,,,
59,2002,2002-09-15,2,28.009,PIT,,OAK,L 17-30,*,,,,,,,,,
60,2002,2002-09-29,3,28.023,PIT,,CLE,W 16-13,*,0,0,,0,0,0,1,0,0
61,2002,2002-10-06,4,28.030,PIT,@,NOR,L 29-32,*,,,,,,,,,
62,2002,2002-10-13,5,28.037,PIT,@,CIN,W 34-7,*,,,,,,,,,
63,2002,2002-10-21,6,28.045,PIT,,IND,W 28-10,*,,,,,,,,,
64,2002,2002-10-27,7,28.051,PIT,@,BAL,W 31-18,*,,,,,,,,,
65,2002,2002-11-03,8,28.058,PIT,@,CLE,W 23-20,*,,,,,,,,,
66,2002,2002-11-10,9,28.065,PIT,,ATL,T 34-34,*,,,,,,,,,
67,2002,2002-11-17,10,28.072,PIT,@,TEN,L 23-31,*,,,,,,,,,
68,2002,2002-11-24,11,28.079,PIT,,CIN,W 29-21,*,1,4,4.00,0,0,0,0,0,0
69,2002,2002-12-01,12,28.086,PIT,@,JAX,W 25-23,*,,,,,,,,,
70,2002,2002-12-08,13,28.093,PIT,,HOU,L 6-24,*,,,,,,,,,
71,2002,2002-12-15,14,28.100,PIT,,CAR,W 30-14,*,,,,,,,,,
72,2002,2002-12-23,15,28.108,PIT,@,TAM,W 17-7,*,0,0,,0,1,6,1,30,1
73,2003,2003-09-07,1,29.001,PIT,,BAL,W 34-15,*,,,,,,,,,
74,2003,2003-09-14,2,29.008,PIT,@,KAN,L 20-41,*,0,0,,0,1,6,1,26,1
75,2003,2003-09-21,3,29.015,PIT,@,CIN,W 17-10,*,,,,,,,,,
76,2003,2003-09-28,4,29.022,PIT,,TEN,L 13-30,*,,,,,,,,,
77,2003,2003-10-05,5,29.029,PIT,,CLE,L 13-33,*,,,,,,,,,
78,2003,2003-10-12,6,29.036,PIT,@,DEN,L 14-17,*,0,0,,0,0,0,1,24,0
79,2003,2003-10-26,7,29.050,PIT,,STL,L 21-33,*,,,,,,,,,
80,2003,2003-11-02,8,29.057,PIT,@,SEA,L 16-23,*,,,,,,,,,
81,2003,2003-11-09,9,29.064,PIT,,ARI,W 28-15,*,,,,,,,,,
82,2003,2003-11-17,10,29.072,PIT,@,SFO,L 14-30,*,,,,,,,,,
83,2003,2003-11-23,11,29.078,PIT,@,CLE,W 13-6,*,0,0,,0,0,0,1,0,0
84,2003,2003-11-30,12,29.085,PIT,,CIN,L 20-24,*,,,,,,,,,
85,2004,2004-09-12,1,30.006,PIT,,OAK,W 24-21,*,,,,,,,,,
86,2004,2004-09-19,2,30.013,PIT,@,BAL,L 13-30,*,,,,,,,,,
87,2004,2004-09-26,3,30.020,PIT,@,MIA,W 13-3,*,,,,,,,,,
88,2004,2004-10-03,4,30.027,PIT,,CIN,W 28-17,*,0,0,,0,0,0,1,23,0
89,2004,2004-10-10,5,30.034,PIT,,CLE,W 34-23,*,,,,,,,,,
90,2004,2004-10-17,6,30.041,PIT,@,DAL,W 24-20,*,,,,,,,,,
91,2004,2005-01-02,16,30.118,PIT,@,BUF,W 29-24,*,,,,,,,,,
92,2005,2005-09-08,1,31.002,NWE,,OAK,W 30-20,,,,,,,,,,
93,2005,2005-09-25,3,31.019,NWE,@,PIT,W 23-20,,,,,,,,,,
94,2005,2005-10-02,4,31.026,NWE,,SDG,L 17-41,,,,,,,,,,
95,2006,2006-09-10,1,32.004,NWE,,BUF,W 19-17,,,,,,,,,,
96,2006,2006-09-17,2,32.011,NWE,@,NYJ,W 24-17,,,,,,,,,,
97,2006,2006-09-24,3,32.018,NWE,,DEN,L 7-17,,,,,,,,,,
98,2006,2006-10-01,4,32.025,NWE,@,CIN,W 38-13,*,,,,,,,,,
99,2006,2006-10-08,5,32.032,NWE,,MIA,W 20-10,*,,,,,,,,,
100,2006,2006-10-22,6,32.046,NWE,@,BUF,W 28-6,*,,,,,,,,,
101,2006,2006-10-30,7,32.054,NWE,@,MIN,W 31-7,*,0,0,,0,0,0,1,0,0
102,2006,2006-11-05,8,32.060,NWE,,IND,L 20-27,*,0,0,,0,0,0,1,32,0
103,2006,2006-11-12,9,32.067,NWE,,NYJ,L 14-17,*,,,,,,,,,
104,2006,2006-11-19,10,32.074,NWE,@,GNB,W 35-0,*,,,,,,,,,
105,2006,2006-12-03,12,32.088,NWE,,DET,W 28-21,,,,,,,,,,
106,2006,2006-12-10,13,32.095,NWE,@,MIA,L 0-21,*,,,,,,,,,
107,2006,2006-12-17,14,32.102,NWE,,HOU,W 40-7,*,,,,,,,,,
108,2006,2006-12-24,15,32.109,NWE,@,JAX,W 24-21,,,,,,,,,,
