ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
24,1999,1999-10-31,8,22.260,MIN,@,DEN,W 23-20,*,5,3,39,13.00,0,60.0%,7.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
25,1999,1999-11-08,9,22.268,MIN,,DAL,W 27-17,*,10,6,91,15.17,2,60.0%,9.10,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,58,14.50,0,,2,12,0.0,,,0,0,0
26,1999,1999-11-14,10,22.274,MIN,@,CHI,W 27-24,*,21,12,204,17.00,0,57.1%,9.71,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
27,1999,1999-11-28,11,22.288,MIN,,SDG,W 35-27,*,11,7,127,18.14,1,63.6%,11.55,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
28,1999,1999-12-06,12,22.296,MIN,@,TAM,L 17-24,*,5,2,32,16.00,0,40.0%,6.40,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,7,7.00,0,,0,0,0.0,,,0,0,0
29,1999,1999-12-12,13,22.302,MIN,@,KAN,L 28-31,*,9,5,76,15.20,1,55.6%,8.44,1,15,15.00,0,0,0,,0,0,0,,0,,,,0,0,,0,4,72,18.00,1,,2,12,0.0,,,0,0,0
30,1999,1999-12-20,14,22.310,MIN,,GNB,W 24-20,*,9,5,131,26.20,2,55.6%,14.56,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,35,8.75,0,,2,12,0.0,,,0,0,0
31,1999,1999-12-26,15,22.316,MIN,@,NYG,W 34-17,*,7,3,44,14.67,0,42.9%,6.29,0,0,,0,1,1,100.00,27,1,0,158.3,0,0,27.00,47.00,0,0,,0,1,-4,-4.00,0,,0,0,0.0,,,0,0,0
32,1999,2000-01-02,16,22.323,MIN,,DET,W 24-17,*,8,5,155,31.00,1,62.5%,19.38,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,-6,-3.00,0,,1,6,0.0,,,0,0,0
33,2000,2000-09-03,1,23.203,MIN,,CHI,W 30-27,,6,4,89,22.25,0,66.7%,14.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
34,2000,2000-09-10,2,23.210,MIN,,MIA,W 13-7,,11,6,87,14.50,1,54.5%,7.91,1,9,9.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
35,2000,2000-09-17,3,23.217,MIN,@,NWE,W 21-13,*,7,2,20,10.00,0,28.6%,2.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
36,2000,2000-10-01,4,23.231,MIN,@,DET,W 31-24,*,9,7,168,24.00,3,77.8%,18.67,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,3,18,0.0,,,0,0,0
37,2000,2000-10-09,5,23.239,MIN,,TAM,W 30-23,,7,5,118,23.60,1,71.4%,16.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
38,2000,2000-10-15,6,23.245,MIN,@,CHI,W 28-16,*,6,4,29,7.25,1,66.7%,4.83,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
39,2000,2000-10-22,7,23.252,MIN,,BUF,W 31-27,,8,5,110,22.00,1,62.5%,13.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
40,2000,2000-10-29,8,23.259,MIN,@,TAM,L 13-41,,14,7,65,9.29,1,50.0%,4.64,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
41,2000,2000-11-06,9,23.267,MIN,@,GNB,L 20-26,*,12,6,130,21.67,0,50.0%,10.83,1,-3,-3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
42,2000,2000-11-12,10,23.273,MIN,,ARI,W 31-14,*,8,7,104,14.86,1,87.5%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
43,2000,2000-11-19,11,23.280,MIN,,CAR,W 31-17,,8,5,106,21.20,1,62.5%,13.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
44,2000,2000-11-23,12,23.284,MIN,@,DAL,W 27-15,,9,7,144,20.57,2,77.8%,16.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
45,2000,2000-11-30,13,23.291,MIN,,DET,W 24-17,*,9,3,26,8.67,0,33.3%,2.89,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
46,2000,2000-12-10,14,23.301,MIN,@,STL,L 29-40,*,7,4,63,15.75,1,57.1%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
47,2000,2000-12-17,15,23.308,MIN,,GNB,L 28-33,*,6,4,136,34.00,1,66.7%,22.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
48,2000,2000-12-24,16,23.315,MIN,@,IND,L 10-31,*,2,1,42,42.00,1,50.0%,21.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
49,2001,2001-09-09,1,24.208,MIN,,CAR,L 13-24,*,7,1,28,28.00,0,14.3%,4.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
50,2001,2001-09-23,2,24.222,MIN,@,CHI,L 10-17,*,10,5,81,16.20,0,50.0%,8.10,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
51,2001,2001-09-30,3,24.229,MIN,,TAM,W 20-16,*,8,5,86,17.20,0,62.5%,10.75,1,9,9.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
52,2001,2001-10-07,4,24.236,MIN,@,NOR,L 15-28,*,5,4,48,12.00,1,80.0%,9.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
53,2001,2001-10-14,5,24.243,MIN,,DET,W 31-26,*,11,6,78,13.00,0,54.5%,7.09,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
54,2001,2001-10-21,6,24.250,MIN,,GNB,W 35-13,*,12,8,73,9.13,0,66.7%,6.08,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
55,2001,2001-10-28,7,24.257,MIN,@,TAM,L 14-41,*,7,3,49,16.33,1,42.9%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
56,2001,2001-11-11,8,24.271,MIN,@,PHI,L 17-48,*,13,7,95,13.57,1,53.8%,7.31,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
57,2001,2001-11-19,9,24.279,MIN,,NYG,W 28-16,*,13,10,171,17.10,3,76.9%,13.15,1,18,18.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,3,18,0.0,,,0,0,0
58,2001,2001-11-25,10,24.285,MIN,,CHI,L 6-13,*,8,4,25,6.25,0,50.0%,3.13,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
59,2001,2001-12-02,11,24.292,MIN,@,PIT,L 16-21,*,13,8,144,18.00,1,61.5%,11.08,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
60,2001,2001-12-09,12,24.299,MIN,,TEN,W 42-24,*,14,7,158,22.57,1,50.0%,11.29,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
61,2001,2001-12-16,13,24.306,MIN,@,DET,L 24-27,*,13,7,144,20.57,2,53.8%,11.08,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
62,2001,2001-12-23,14,24.313,MIN,,JAX,L 3-33,*,8,3,34,11.33,0,37.5%,4.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
63,2001,2001-12-30,15,24.320,MIN,@,GNB,L 13-24,*,5,2,10,5.00,0,40.0%,2.00,1,11,11.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
64,2001,2002-01-07,16,24.328,MIN,@,BAL,L 3-19,*,7,2,9,4.50,0,28.6%,1.29,0,0,,0,1,1,100.00,29,0,0,118.7,0,0,29.00,29.00,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
65,2002,2002-09-08,1,25.207,MIN,@,CHI,L 23-27,*,11,6,58,9.67,1,54.5%,5.27,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
66,2002,2002-09-15,2,25.214,MIN,,BUF,L 39-45,*,21,11,111,10.09,1,52.4%,5.29,1,5,5.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
67,2002,2002-09-22,3,25.221,MIN,,CAR,L 14-21,*,10,4,16,4.00,0,40.0%,1.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
68,2002,2002-09-29,4,25.228,MIN,@,SEA,L 23-48,*,15,6,50,8.33,0,40.0%,3.33,1,11,11.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
69,2002,2002-10-13,5,25.242,MIN,,DET,W 31-24,*,12,9,83,9.22,0,75.0%,6.92,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
70,2002,2002-10-20,6,25.249,MIN,@,NYJ,L 7-20,*,8,4,86,21.50,0,50.0%,10.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
71,2002,2002-10-27,7,25.256,MIN,,CHI,W 25-7,*,11,9,119,13.22,1,81.8%,10.82,1,2,2.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,11,11.00,0,0,0,,0,,1,6,0.0,,,0,0,0
72,2002,2002-11-03,8,25.263,MIN,@,TAM,L 24-38,*,7,4,41,10.25,0,57.1%,5.86,2,8,4.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
73,2002,2002-11-10,9,25.270,MIN,,NYG,L 20-27,*,8,3,85,28.33,0,37.5%,10.63,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
74,2002,2002-11-17,10,25.277,MIN,,GNB,W 31-21,*,10,6,115,19.17,1,60.0%,11.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
75,2002,2002-11-24,11,25.284,MIN,@,NWE,L 17-24,*,13,8,92,11.50,0,61.5%,7.08,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
76,2002,2002-12-01,12,25.291,MIN,,ATL,L 24-30,*,16,9,134,14.89,0,56.3%,8.38,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
77,2002,2002-12-08,13,25.298,MIN,@,GNB,L 22-26,*,7,3,25,8.33,1,42.9%,3.57,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
78,2002,2002-12-15,14,25.305,MIN,@,NOR,W 32-31,*,13,11,113,10.27,2,84.6%,8.69,1,25,25.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
79,2002,2002-12-21,15,25.311,MIN,,MIA,W 20-17,*,13,7,110,15.71,0,53.8%,8.46,0,0,,0,1,1,100.00,13,1,0,158.3,0,0,13.00,33.00,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
80,2002,2002-12-29,16,25.319,MIN,@,DET,W 38-36,*,10,6,109,18.17,0,60.0%,10.90,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
81,2003,2003-09-07,1,26.206,MIN,@,GNB,W 30-25,*,12,9,150,16.67,1,75.0%,12.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
82,2003,2003-09-14,2,26.213,MIN,,CHI,W 24-13,*,6,4,27,6.75,0,66.7%,4.50,1,11,11.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
83,2003,2003-09-21,3,26.220,MIN,@,DET,W 23-13,*,10,3,85,28.33,0,30.0%,8.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
84,2003,2003-09-28,4,26.227,MIN,,SFO,W 35-7,*,10,8,172,21.50,3,80.0%,17.20,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,3,18,0.0,,,0,0,0
85,2003,2003-10-05,5,26.234,MIN,@,ATL,W 39-26,*,11,5,81,16.20,2,45.5%,7.36,0,0,,0,0,0,,0,0,0,,0,,,,1,22,22.00,0,0,0,,0,,2,12,0.0,,,0,0,0
86,2003,2003-10-19,6,26.248,MIN,,DEN,W 28-20,*,12,10,151,15.10,0,83.3%,12.58,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
87,2003,2003-10-26,7,26.255,MIN,,NYG,L 17-29,*,11,7,125,17.86,2,63.6%,11.36,1,-12,-12.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
88,2003,2003-11-02,8,26.262,MIN,,GNB,L 27-30,*,11,6,87,14.50,1,54.5%,7.91,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
89,2003,2003-11-09,9,26.269,MIN,@,SDG,L 28-42,*,14,11,120,10.91,1,78.6%,8.57,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
90,2003,2003-11-16,10,26.276,MIN,@,OAK,L 18-28,*,8,4,25,6.25,0,50.0%,3.13,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
91,2003,2003-11-23,11,26.283,MIN,,DET,W 24-14,*,13,5,56,11.20,0,38.5%,4.31,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
92,2003,2003-11-30,12,26.290,MIN,@,STL,L 17-48,*,16,10,160,16.00,1,62.5%,10.00,1,5,5.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
93,2003,2003-12-07,13,26.297,MIN,,SEA,W 34-7,*,11,8,133,16.63,2,72.7%,12.09,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
94,2003,2003-12-14,14,26.304,MIN,@,CHI,L 10-13,*,11,9,93,10.33,1,81.8%,8.45,2,14,7.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
95,2003,2003-12-20,15,26.310,MIN,,KAN,W 45-20,*,10,7,111,15.86,2,70.0%,11.10,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
96,2003,2003-12-28,16,26.318,MIN,@,ARI,L 17-18,*,6,5,56,11.20,1,83.3%,9.33,1,0,0.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
97,2004,2004-09-12,1,27.212,MIN,,DAL,W 35-17,*,6,4,27,6.75,2,66.7%,4.50,0,0,,0,1,1,100.00,37,0,0,118.7,0,0,37.00,37.00,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
98,2004,2004-09-20,2,27.220,MIN,@,PHI,L 16-27,*,10,8,69,8.63,1,80.0%,6.90,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
99,2004,2004-09-26,3,27.226,MIN,,CHI,W 27-22,*,10,7,119,17.00,2,70.0%,11.90,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
100,2004,2004-10-10,4,27.240,MIN,@,HOU,W 34-28,*,9,5,90,18.00,2,55.6%,10.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,2,12,0.0,,,0,0,0
101,2004,2004-10-17,5,27.247,MIN,@,NOR,W 38-31,*,4,2,89,44.50,1,50.0%,22.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
102,2004,2004-10-24,6,27.254,MIN,,TEN,W 20-3,*,,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
103,2004,2004-10-31,7,27.261,MIN,,NYG,L 13-34,*,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
104,2004,2004-11-28,11,27.289,MIN,,JAX,W 27-16,*,5,4,40,10.00,1,80.0%,8.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
105,2004,2004-12-05,12,27.296,MIN,@,CHI,L 14-24,*,6,4,31,7.75,0,66.7%,5.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
106,2004,2004-12-12,13,27.303,MIN,,SEA,L 23-27,*,9,4,104,26.00,1,44.4%,11.56,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
107,2004,2004-12-19,14,27.310,MIN,@,DET,W 28-27,*,9,4,102,25.50,1,44.4%,11.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
108,2004,2004-12-24,15,27.315,MIN,,GNB,L 31-34,*,7,2,30,15.00,1,28.6%,4.29,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
109,2004,2005-01-02,16,27.324,MIN,@,WAS,L 18-21,*,10,5,66,13.20,1,50.0%,6.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
110,2005,2005-09-08,1,28.207,OAK,@,NWE,L 20-30,*,15,5,130,26.00,1,33.3%,8.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
111,2005,2005-09-18,2,28.217,OAK,,KAN,L 17-23,*,7,5,127,25.40,1,71.4%,18.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
112,2005,2005-09-25,3,28.224,OAK,@,PHI,L 20-23,*,7,5,86,17.20,0,71.4%,12.29,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
113,2005,2005-10-02,4,28.231,OAK,,DAL,W 19-13,*,5,4,123,30.75,0,80.0%,24.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
114,2005,2005-10-16,5,28.245,OAK,,SDG,L 14-27,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
115,2005,2005-10-23,6,28.252,OAK,,BUF,W 38-17,,6,3,43,14.33,1,50.0%,7.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
116,2005,2005-10-30,7,28.259,OAK,@,TEN,W 34-25,*,6,3,26,8.67,0,50.0%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
117,2005,2005-11-06,8,28.266,OAK,@,KAN,L 23-27,*,8,1,7,7.00,1,12.5%,0.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
118,2005,2005-11-13,9,28.273,OAK,,DEN,L 17-31,*,10,6,87,14.50,1,60.0%,8.70,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,1,6,0.0,,,0,0,0
119,2005,2005-11-20,10,28.280,OAK,@,WAS,W 16-13,*,7,3,40,13.33,0,42.9%,5.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,,0,0,0.0,,,0,0,0
