ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
57,1959,1959-11-22,9,28.141,CHI,@,DET,W 24-14,21,111,5.29,1,1,-7,-7.00,0,0,0,,0,0,,,,,,,,,,,1,,,,,
58,1959,1959-11-29,10,28.148,CHI,@,CRD,W 31-7,12,55,4.58,1,1,0,0.00,0,0,0,,0,0,,,,,,,,,,,1,,,,,
59,1959,1959-12-06,11,28.155,CHI,,PIT,W 27-21,17,90,5.29,4,2,4,2.00,0,0,0,,0,0,,,,,,,,,,,4,,,,,
60,1959,1959-12-13,12,28.162,CHI,,DET,W 25-14,19,97,5.11,0,2,45,22.50,1,0,0,,0,0,,,,,,,,,,,1,,,,,
61,1960,1960-09-25,1,29.083,CHI,@,GNB,W 17-14,20,79,3.95,1,2,18,9.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
62,1960,1960-10-02,2,29.090,CHI,@,BAL,L 7-42,12,37,3.08,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
63,1960,1960-10-09,3,29.097,CHI,,RAM,W 34-27,30,78,2.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,1,60,60.00,0
64,1960,1960-10-16,4,29.104,CHI,,SFO,W 27-10,13,32,2.46,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
65,1960,1960-10-23,5,29.111,CHI,@,RAM,T 24-24,14,41,2.93,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
66,1960,1960-10-30,6,29.118,CHI,@,SFO,L 7-25,12,82,6.83,1,2,21,10.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
67,1960,1960-11-13,7,29.132,CHI,,BAL,L 20-24,16,66,4.13,2,3,23,7.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,12,0,0,,0
68,1960,1960-11-20,8,29.139,CHI,,DET,W 28-7,8,11,1.38,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
69,1960,1960-11-27,9,29.146,CHI,,DAL,W 17-7,11,49,4.45,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
70,1960,1960-12-04,10,29.153,CHI,,GNB,L 13-41,6,33,5.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
71,1960,1960-12-11,11,29.160,CHI,@,CLE,L 0-42,8,23,2.88,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
72,1960,1960-12-18,12,29.167,CHI,@,DET,L 0-36,10,35,3.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
73,1961,1961-09-17,1,30.075,CHI,@,MIN,L 13-37,11,38,3.45,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
74,1961,1961-10-01,3,30.089,CHI,@,GNB,L 0-24,6,21,3.50,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
75,1961,1961-10-08,4,30.096,CHI,@,DET,W 31-17,8,26,3.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
76,1961,1961-10-15,5,30.103,CHI,,BAL,W 24-10,8,46,5.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
77,1961,1961-10-22,6,30.110,CHI,,SFO,W 31-0,13,67,5.15,0,2,1,0.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
78,1961,1961-10-29,7,30.117,CHI,@,BAL,W 21-20,11,78,7.09,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
79,1961,1961-11-05,8,30.124,CHI,@,PHI,L 14-16,17,65,3.82,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
80,1961,1961-11-12,9,30.131,CHI,,GNB,L 28-31,11,36,3.27,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
81,1961,1961-11-19,10,30.138,CHI,@,SFO,L 31-41,7,49,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
82,1961,1961-11-26,11,30.145,CHI,,RAM,W 28-24,19,78,4.11,3,3,14,4.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18,0,0,,0
83,1961,1961-12-10,13,30.159,CHI,,CLE,W 17-14,14,43,3.07,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
84,1961,1961-12-17,14,30.166,CHI,,MIN,W 52-35,10,41,4.10,0,2,48,24.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
85,1962,1962-09-16,1,31.074,CHI,@,SFO,W 30-14,12,68,5.67,1,2,-1,-0.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
86,1962,1962-09-30,3,31.088,CHI,@,GNB,L 0-49,4,3,0.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
87,1962,1962-10-07,4,31.095,CHI,@,MIN,W 13-0,10,39,3.90,0,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
88,1962,1962-10-14,5,31.102,CHI,,SFO,L 27-34,7,16,2.29,0,0,0,,0,1,1,100.00,35,1,0,158.3,0,0,35.00,55.00,0,0,,0,0,0,0,0,,0
89,1962,1962-10-21,6,31.109,CHI,,BAL,W 35-15,13,47,3.62,0,2,24,12.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
90,1962,1962-10-28,7,31.116,CHI,@,DET,L 3-11,3,3,1.00,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
91,1962,1962-11-04,8,31.123,CHI,,GNB,L 7-38,5,14,2.80,0,2,33,16.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,0,0,,0
92,1962,1962-11-11,9,31.130,CHI,,MIN,W 31-30,13,52,4.00,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
93,1962,1962-11-18,10,31.137,CHI,@,DAL,W 34-33,2,12,6.00,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
94,1962,1962-11-25,11,31.144,CHI,@,BAL,W 57-0,6,1,0.17,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
95,1963,1963-09-15,1,32.073,CHI,@,GNB,W 10-3,5,27,5.40,0,4,11,2.75,0,0,0,,0,0,0,,0,0,,,1,10,10.00,0,0,0,0,0,,0
96,1963,1963-09-22,2,32.080,CHI,@,MIN,W 28-7,7,53,7.57,0,3,11,3.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
97,1963,1963-09-29,3,32.087,CHI,@,DET,W 37-21,6,20,3.33,0,2,24,12.00,0,0,0,,0,0,0,,0,0,,,1,8,8.00,0,0,0,0,0,,0
98,1963,1963-10-06,4,32.094,CHI,,BAL,W 10-3,7,54,7.71,0,1,1,1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
99,1963,1963-10-13,5,32.101,CHI,@,RAM,W 52-14,7,3,0.43,0,2,-10,-5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
100,1963,1963-10-20,6,32.108,CHI,@,SFO,L 14-20,5,28,5.60,0,3,36,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
101,1963,1963-10-27,7,32.115,CHI,,PHI,W 16-7,2,6,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
102,1963,1963-11-03,8,32.122,CHI,@,BAL,W 17-7,12,25,2.08,0,3,15,5.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
103,1963,1963-11-10,9,32.129,CHI,,RAM,W 6-0,3,17,5.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
104,1963,1963-11-17,10,32.136,CHI,,GNB,W 26-7,11,44,4.00,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
105,1964,1964-09-13,1,33.071,CHI,@,GNB,L 12-23,3,7,2.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
106,1964,1964-09-20,2,33.078,CHI,@,MIN,W 34-28,1,2,2.00,0,1,51,51.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
107,1964,1964-09-27,3,33.085,CHI,@,BAL,L 0-52,5,3,0.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
108,1964,1964-10-04,4,33.092,CHI,@,SFO,L 21-31,5,27,5.40,0,4,2,0.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
109,1964,1964-10-11,5,33.099,CHI,,RAM,W 38-17,7,23,3.29,0,1,-7,-7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
110,1964,1964-10-18,6,33.106,CHI,,DET,L 0-10,2,1,0.50,0,2,5,2.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
111,1964,1964-11-08,9,33.127,CHI,,BAL,L 24-40,0,0,,0,1,-7,-7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
112,1964,1964-11-22,11,33.141,CHI,,SFO,W 23-21,8,40,5.00,0,5,69,13.80,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
113,1964,1964-12-05,13,33.154,CHI,,GNB,L 3-17,3,16,5.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
114,1964,1964-12-13,14,33.162,CHI,,MIN,L 14-41,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
115,1965,1965-09-19,1,34.077,WAS,,CLE,L 7-17,2,5,2.50,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
116,1966,1966-09-02,1,35.060,MIA,,OAK,L 14-23,2,3,1.50,0,3,21,7.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0,0,,0
117,1966,1966-09-09,2,35.067,MIA,,NYJ,L 14-19,7,18,2.57,0,2,19,9.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
118,1966,1966-10-02,4,35.090,MIA,@,SDG,L 10-44,22,80,3.64,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
119,1966,1966-10-09,5,35.097,MIA,@,OAK,L 10-21,10,30,3.00,0,1,-7,-7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
120,1966,1966-10-16,6,35.104,MIA,,DEN,W 24-7,2,4,2.00,0,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,0,,0
