ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
31,1996,1996-09-15,3,23.261,HOU,,BAL,W 29-13,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0
32,1996,1996-09-29,4,23.275,HOU,@,PIT,L 16-30,2,0,0,,0,0.0%,0.00,0,0,,0,,
33,1996,1996-10-06,5,23.282,HOU,@,CIN,W 30-27,1,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0
34,1996,1996-10-13,6,23.289,HOU,@,ATL,W 23-13,,0,0,,0,0.0%,,0,0,,0,,
35,1996,1996-10-20,7,23.296,HOU,,PIT,W 23-13,4,0,0,,0,0.0%,0.00,1,5,5.00,0,0,0
36,1996,1996-10-27,8,23.303,HOU,,SFO,L 9-10,3,0,0,,0,0.0%,0.00,2,14,7.00,0,0,0
37,1996,1996-11-03,9,23.310,HOU,@,SEA,L 16-23,0,0,0,,0,0.0%,,1,5,5.00,0,0,0
38,1996,1996-11-10,10,23.317,HOU,@,NOR,W 31-14,0,0,0,,0,0.0%,,2,50,25.00,0,0,0
39,1996,1996-11-17,11,23.324,HOU,,MIA,L 20-23,,0,0,,0,0.0%,,0,0,,0,,
40,1996,1996-11-24,12,23.331,HOU,,CAR,L 6-31,4,3,29,9.67,0,75.0%,7.25,0,0,,0,0,0
41,1996,1996-12-01,13,23.338,HOU,@,NYJ,W 35-10,,0,0,,0,0.0%,,0,0,,0,,
42,1996,1996-12-08,14,23.345,HOU,,JAX,L 17-23,,0,0,,0,0.0%,,0,0,,0,,
43,1996,1996-12-15,15,23.352,HOU,,CIN,L 13-21,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
44,1996,1996-12-22,16,23.359,HOU,@,BAL,W 24-21,0,0,0,,0,0.0%,,0,0,,0,,
45,1997,1997-08-31,1,24.245,TEN,,OAK,W 24-21,,,,,,0.0%,,,,,,,
46,1997,1997-10-19,7,24.294,STL,,SEA,L 9-17,1,1,4,4.00,0,100.0%,4.00,1,5,5.00,0,0,0
47,1997,1997-10-26,8,24.301,STL,,KAN,L 20-28,6,3,35,11.67,0,50.0%,5.83,3,10,3.33,0,0,0
48,1997,1997-11-02,9,24.308,STL,@,ATL,L 31-34,1,0,0,,0,0.0%,0.00,0,0,,0,,
49,1997,1997-11-16,11,24.322,STL,,ATL,L 21-27,2,0,0,,0,0.0%,0.00,0,0,,0,,
