ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
24,1991,1991-10-13,7,24.161,NYJ,,HOU,L 20-23,10,31,3.10,1,,3,48,16.00,0,,,1,6
25,1991,1991-10-20,8,24.168,NYJ,@,IND,W 17-6,20,59,2.95,1,,0,0,,0,,,1,6
26,1991,1991-11-03,9,24.182,NYJ,,GNB,W 19-16,10,46,4.60,0,,1,19,19.00,0,,,0,0
27,1991,1991-11-10,10,24.189,NYJ,,IND,L 27-28,17,50,2.94,2,,1,7,7.00,0,,,2,12
28,1991,1991-11-17,11,24.196,NYJ,@,NWE,W 28-21,17,57,3.35,0,,0,0,,0,,,0,0
29,1991,1991-11-24,12,24.203,NYJ,,SDG,W 24-3,11,33,3.00,0,,0,0,,0,,,0,0
30,1991,1991-12-01,13,24.210,NYJ,@,BUF,L 13-24,13,48,3.69,1,,2,17,8.50,0,,,1,6
31,1991,1991-12-08,14,24.217,NYJ,@,DET,L 20-34,11,66,6.00,0,,0,0,,0,,,0,0
32,1991,1991-12-15,15,24.224,NYJ,,NWE,L 3-6,10,49,4.90,0,,0,0,,0,,,0,0
33,1991,1991-12-22,16,24.231,NYJ,@,MIA,W 23-20,11,24,2.18,2,,0,0,,0,,,2,12
34,1992,1992-09-06,1,25.124,NYJ,@,ATL,L 17-20,5,28,5.60,0,1,1,12,12.00,0,100.0%,12.00,0,0
35,1992,1992-09-13,2,25.131,NYJ,@,PIT,L 10-27,6,43,7.17,0,,0,0,,0,0.0%,,0,0
36,1992,1992-09-20,3,25.138,NYJ,,SFO,L 14-31,3,8,2.67,0,,0,0,,0,0.0%,,0,0
37,1992,1992-09-27,4,25.145,NYJ,@,RAM,L 10-18,6,43,7.17,1,,0,0,,0,0.0%,,1,6
38,1992,1992-10-04,5,25.152,NYJ,,NWE,W 30-21,10,20,2.00,1,1,1,8,8.00,0,100.0%,8.00,1,6
39,1992,1992-10-11,6,25.159,NYJ,@,IND,L 3-6,2,5,2.50,0,,0,0,,0,0.0%,,0,0
40,1992,1992-10-26,7,25.174,NYJ,,BUF,L 20-24,9,24,2.67,1,2,1,8,8.00,0,50.0%,4.00,1,6
41,1992,1992-11-01,8,25.180,NYJ,,MIA,W 26-14,20,103,5.15,0,1,1,4,4.00,0,100.0%,4.00,0,0
42,1992,1992-11-08,9,25.187,NYJ,@,DEN,L 16-27,12,96,8.00,0,1,0,0,,0,0.0%,0.00,0,0
43,1992,1992-11-15,10,25.194,NYJ,,CIN,W 17-14,22,72,3.27,1,,0,0,,0,0.0%,,1,6
44,1992,1992-11-22,11,25.201,NYJ,@,NWE,L 3-24,6,26,4.33,0,1,0,0,,0,0.0%,0.00,0,0
45,1992,1992-11-29,12,25.208,NYJ,,KAN,L 7-23,15,57,3.80,0,,0,0,,0,0.0%,,0,0
46,1992,1992-12-06,13,25.215,NYJ,@,BUF,W 24-17,19,98,5.16,2,,0,0,,0,0.0%,,2,12
47,1992,1992-12-13,14,25.222,NYJ,,IND,L 6-10,13,60,4.62,0,3,0,0,,0,0.0%,0.00,0,0
48,1992,1992-12-20,15,25.229,NYJ,@,MIA,L 17-19,4,15,3.75,0,,0,0,,0,0.0%,,0,0
49,1993,1993-09-05,1,26.123,NYJ,,DEN,L 20-26,6,14,2.33,0,1,1,4,4.00,0,100.0%,4.00,0,0
50,1993,1993-09-12,2,26.130,NYJ,@,MIA,W 24-14,11,27,2.45,0,4,3,15,5.00,0,75.0%,3.75,0,0
51,1993,1993-09-26,3,26.144,NYJ,,NWE,W 45-7,9,19,2.11,2,2,1,10,10.00,0,50.0%,5.00,2,12
52,1993,1993-10-03,4,26.151,NYJ,,PHI,L 30-35,9,29,3.22,0,5,2,10,5.00,0,40.0%,2.00,0,0
53,1993,1993-10-10,5,26.158,NYJ,@,RAI,L 20-24,5,15,3.00,0,2,2,2,1.00,0,100.0%,1.00,0,0
54,1993,1993-10-24,6,26.172,NYJ,,BUF,L 10-19,6,18,3.00,1,2,0,0,,0,0.0%,0.00,1,6
55,1993,1993-10-31,7,26.179,NYJ,@,NYG,W 10-6,19,71,3.74,1,,0,0,,0,0.0%,,1,6
56,1993,1993-11-07,8,26.186,NYJ,,MIA,W 27-10,19,57,3.00,0,2,1,14,14.00,0,50.0%,7.00,0,0
57,1993,1993-11-14,9,26.193,NYJ,@,IND,W 31-17,15,58,3.87,1,1,1,5,5.00,0,100.0%,5.00,1,6
58,1993,1993-11-21,10,26.200,NYJ,,CIN,W 17-12,14,47,3.36,1,3,1,18,18.00,0,33.3%,6.00,1,6
59,1993,1993-11-28,11,26.207,NYJ,@,NWE,W 6-0,13,50,3.85,0,1,0,0,,0,0.0%,0.00,0,0
60,1993,1993-12-05,12,26.214,NYJ,,IND,L 6-9,20,70,3.50,0,,0,0,,0,0.0%,,0,0
61,1993,1993-12-11,13,26.220,NYJ,@,WAS,W 3-0,15,49,3.27,0,,0,0,,0,0.0%,,0,0
62,1993,1993-12-18,14,26.227,NYJ,,DAL,L 7-28,9,17,1.89,1,9,5,60,12.00,0,55.6%,6.67,1,6
63,1993,1993-12-26,15,26.235,NYJ,@,BUF,L 14-16,2,7,3.50,0,3,2,17,8.50,0,66.7%,5.67,0,0
64,1993,1994-01-02,16,26.242,NYJ,@,HOU,L 0-24,2,11,5.50,0,1,1,3,3.00,0,100.0%,3.00,0,0
65,1994,1994-09-04,1,27.122,NYJ,@,BUF,W 23-3,2,8,4.00,0,0,0,0,,0,0.0%,,0,0
66,1994,1994-09-18,3,27.136,NYJ,@,MIA,L 14-28,0,0,,0,,0,0,,0,0.0%,,0,
67,1994,1994-09-25,4,27.143,NYJ,,CHI,L 7-19,4,15,3.75,0,0,0,0,,0,0.0%,,0,0
68,1994,1994-10-02,5,27.150,NYJ,@,CLE,L 7-27,2,8,4.00,0,2,2,11,5.50,0,100.0%,5.50,0,0
69,1994,1994-10-09,6,27.157,NYJ,,IND,W 16-6,4,11,2.75,0,3,2,2,1.00,0,66.7%,0.67,0,0
70,1994,1994-10-16,7,27.164,NYJ,,NWE,W 24-17,12,38,3.17,2,1,1,1,1.00,0,100.0%,1.00,2,12
71,1994,1994-10-30,8,27.178,NYJ,@,IND,L 25-28,2,6,3.00,0,0,0,0,,0,0.0%,,0,0
72,1994,1994-11-06,9,27.185,NYJ,,BUF,W 22-17,11,21,1.91,0,1,1,7,7.00,0,100.0%,7.00,0,0
73,1994,1994-11-13,10,27.192,NYJ,@,GNB,L 10-17,5,16,3.20,0,1,1,2,2.00,0,100.0%,2.00,0,0
74,1994,1994-11-20,11,27.199,NYJ,@,MIN,W 31-21,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0
75,1994,1994-11-27,12,27.206,NYJ,,MIA,L 24-28,12,41,3.42,1,1,1,6,6.00,0,100.0%,6.00,1,6
76,1994,1994-12-04,13,27.213,NYJ,@,NWE,L 13-24,2,2,1.00,0,1,1,5,5.00,0,100.0%,5.00,0,0
77,1994,1994-12-10,14,27.219,NYJ,,DET,L 7-18,4,4,1.00,1,0,0,0,,0,0.0%,,1,6
78,1994,1994-12-18,15,27.227,NYJ,,SDG,L 6-21,0,0,,0,,0,0,,0,0.0%,,0,
79,1994,1994-12-24,16,27.233,NYJ,@,HOU,L 10-24,0,0,,0,,0,0,,0,0.0%,,0,
80,1995,1995-09-03,1,28.121,NYJ,@,MIA,L 14-52,0,0,,0,3,2,3,1.50,0,66.7%,1.00,0,0
81,1995,1995-09-10,2,28.128,NYJ,,IND,L 24-27,8,18,2.25,0,1,1,3,3.00,0,100.0%,3.00,0,0
82,1995,1995-09-17,3,28.135,NYJ,,JAX,W 27-10,18,64,3.56,0,1,1,17,17.00,0,100.0%,17.00,0,0
83,1995,1995-09-24,4,28.142,NYJ,@,ATL,L 3-13,7,39,5.57,0,2,2,5,2.50,0,100.0%,2.50,0,0
84,1995,1995-10-01,5,28.149,NYJ,,OAK,L 10-47,2,0,0.00,0,3,2,19,9.50,0,66.7%,6.33,0,0
85,1995,1995-10-08,6,28.156,NYJ,@,BUF,L 10-29,5,18,3.60,0,1,0,0,,0,0.0%,0.00,0,0
86,1995,1995-10-15,7,28.163,NYJ,@,CAR,L 15-26,2,0,0.00,0,2,2,15,7.50,0,100.0%,7.50,0,0
87,1995,1995-10-22,8,28.170,NYJ,,MIA,W 17-16,5,15,3.00,0,3,1,8,8.00,0,33.3%,2.67,0,0
88,1995,1995-10-29,9,28.177,NYJ,@,IND,L 10-17,8,25,3.13,0,4,3,33,11.00,0,75.0%,8.25,0,0
89,1995,1995-11-05,10,28.184,NYJ,,NWE,L 7-20,9,32,3.56,1,7,6,22,3.67,0,85.7%,3.14,1,6
90,1995,1995-11-19,11,28.198,NYJ,,BUF,L 26-28,6,33,5.50,0,3,2,18,9.00,0,66.7%,6.00,0,0
91,1995,1995-11-26,12,28.205,NYJ,@,SEA,W 16-10,3,-1,-0.33,0,1,0,0,,0,0.0%,0.00,0,0
92,1995,1995-12-03,13,28.212,NYJ,,STL,L 20-23,1,0,0.00,0,1,1,6,6.00,0,100.0%,6.00,0,0
93,1995,1995-12-10,14,28.219,NYJ,@,NWE,L 28-31,8,38,4.75,0,5,2,12,6.00,0,40.0%,2.40,0,0
94,1995,1995-12-17,15,28.226,NYJ,@,HOU,L 6-23,3,15,5.00,0,2,1,-1,-1.00,0,50.0%,-0.50,0,0
