ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
20,2001,2001-10-07,4,24.110,CIN,@,PIT,L 7-16,*,8,4,39,9.75,0,50.0%,4.88,0,0,,0,1,8,8.00,0,0,0
21,2001,2001-10-14,5,24.117,CIN,,CLE,W 24-14,*,9,4,73,18.25,0,44.4%,8.11,0,0,,0,3,36,12.00,0,0,0
22,2001,2001-10-21,6,24.124,CIN,,CHI,L 0-24,*,15,8,84,10.50,0,53.3%,5.60,2,2,1.00,0,1,9,9.00,0,0,0
23,2001,2001-10-28,7,24.131,CIN,@,DET,W 31-27,*,9,5,52,10.40,0,55.6%,5.78,0,0,,0,3,38,12.67,0,0,0
24,2001,2001-11-11,8,24.145,CIN,@,JAX,L 13-30,*,9,5,61,12.20,0,55.6%,6.78,1,1,1.00,0,0,0,,0,0,0
25,2001,2001-11-18,9,24.152,CIN,,TEN,L 7-20,*,10,3,29,9.67,0,30.0%,2.90,1,-14,-14.00,0,1,2,2.00,0,0,0
26,2001,2001-11-25,10,24.159,CIN,@,CLE,L 0-18,*,2,1,22,22.00,0,50.0%,11.00,0,0,,0,0,0,,0,0,0
27,2001,2001-12-02,11,24.166,CIN,,TAM,L 13-16,*,7,5,33,6.60,0,71.4%,4.71,0,0,,0,0,0,,0,0,0
28,2001,2001-12-09,12,24.173,CIN,,JAX,L 10-14,*,6,2,11,5.50,0,33.3%,1.83,0,0,,0,2,6,3.00,0,0,0
29,2001,2001-12-16,13,24.180,CIN,@,NYJ,L 14-15,*,7,3,28,9.33,0,42.9%,4.00,1,2,2.00,0,1,12,12.00,0,0,0
30,2001,2001-12-23,14,24.187,CIN,@,BAL,L 0-16,,3,1,7,7.00,0,33.3%,2.33,0,0,,0,1,0,0.00,0,0,0
31,2001,2001-12-30,15,24.194,CIN,,PIT,W 26-23,,20,10,109,10.90,0,50.0%,5.45,0,0,,0,0,0,,0,0,0
32,2001,2002-01-06,16,24.201,CIN,@,TEN,W 23-21,*,9,5,33,6.60,0,55.6%,3.67,0,0,,0,1,0,0.00,0,0,0
33,2002,2002-09-08,1,25.081,CIN,,SDG,L 6-34,*,7,4,35,8.75,0,57.1%,5.00,0,0,,0,0,0,,0,0,0
34,2002,2002-09-15,2,25.088,CIN,@,CLE,L 7-20,*,2,1,3,3.00,0,50.0%,1.50,1,11,11.00,0,0,0,,0,0,0
35,2002,2002-09-22,3,25.095,CIN,@,ATL,L 3-30,,9,4,34,8.50,0,44.4%,3.78,0,0,,0,0,0,,0,0,0
36,2002,2002-09-29,4,25.102,CIN,,TAM,L 7-35,*,6,4,51,12.75,0,66.7%,8.50,0,0,,0,2,15,7.50,0,0,0
37,2002,2002-10-06,5,25.109,CIN,@,IND,L 21-28,*,5,4,54,13.50,1,80.0%,10.80,0,0,,0,2,-1,-0.50,0,1,6
38,2002,2002-10-13,6,25.116,CIN,,PIT,L 7-34,*,6,2,9,4.50,0,33.3%,1.50,3,17,5.67,0,0,0,,0,0,0
39,2002,2002-10-27,7,25.130,CIN,,TEN,L 24-30,*,2,2,30,15.00,0,100.0%,15.00,1,1,1.00,0,0,0,,0,0,0
40,2002,2002-11-03,8,25.137,CIN,@,HOU,W 38-3,,7,7,86,12.29,1,100.0%,12.29,0,0,,0,0,0,,0,1,6
41,2002,2002-11-10,9,25.144,CIN,@,BAL,L 27-38,,5,5,33,6.60,1,100.0%,6.60,0,0,,0,0,0,,0,1,6
42,2002,2002-11-17,10,25.151,CIN,,CLE,L 20-27,*,3,1,26,26.00,0,33.3%,8.67,1,4,4.00,0,0,0,,0,0,0
43,2002,2002-11-24,11,25.158,CIN,@,PIT,L 21-29,,4,3,47,15.67,0,75.0%,11.75,0,0,,0,0,0,,0,0,0
44,2002,2002-12-01,12,25.165,CIN,,BAL,L 23-27,*,5,3,48,16.00,0,60.0%,9.60,1,-11,-11.00,0,0,0,,0,0,0
45,2002,2002-12-08,13,25.172,CIN,@,CAR,L 31-52,*,5,3,52,17.33,2,60.0%,10.40,0,0,,0,0,0,,0,2,12
46,2002,2002-12-22,15,25.186,CIN,,NOR,W 20-13,,11,7,71,10.14,1,63.6%,6.45,0,0,,0,0,0,,0,1,6
47,2002,2002-12-29,16,25.193,CIN,@,BUF,L 9-27,*,4,3,27,9.00,0,75.0%,6.75,1,0,0.00,0,0,0,,0,0,0
48,2003,2003-09-07,1,26.080,CIN,,DEN,L 10-30,*,8,4,31,7.75,0,50.0%,3.88,2,11,5.50,0,2,3,1.50,0,0,0
49,2003,2003-09-14,2,26.087,CIN,@,OAK,L 20-23,*,13,8,109,13.63,1,61.5%,8.38,1,2,2.00,0,3,56,18.67,0,1,6
50,2003,2003-09-21,3,26.094,CIN,,PIT,L 10-17,*,7,4,21,5.25,1,57.1%,3.00,1,5,5.00,0,2,38,19.00,0,1,6
51,2003,2003-09-28,4,26.101,CIN,@,CLE,W 21-14,*,7,6,41,6.83,0,85.7%,5.86,0,0,,0,0,0,,0,0,0
52,2003,2003-10-05,5,26.108,CIN,@,BUF,L 16-22,*,11,7,78,11.14,0,63.6%,7.09,0,0,,0,4,30,7.50,0,0,0
53,2003,2003-10-19,6,26.122,CIN,,BAL,W 34-26,*,6,4,43,10.75,1,66.7%,7.17,1,3,3.00,0,0,0,,0,1,6
54,2003,2003-10-26,7,26.129,CIN,,SEA,W 27-24,,7,4,47,11.75,0,57.1%,6.71,2,64,32.00,0,1,0,0.00,0,0,0
55,2003,2003-11-02,8,26.136,CIN,@,ARI,L 14-17,*,11,7,55,7.86,1,63.6%,5.00,2,7,3.50,0,1,15,15.00,0,1,6
56,2003,2003-11-09,9,26.143,CIN,,HOU,W 34-27,*,3,2,39,19.50,0,66.7%,13.00,2,23,11.50,0,1,0,0.00,0,0,0
57,2003,2003-11-16,10,26.150,CIN,,KAN,W 24-19,*,10,6,114,19.00,1,60.0%,11.40,1,11,11.00,0,4,87,21.75,1,2,12
58,2003,2003-11-23,11,26.157,CIN,@,SDG,W 34-27,*,3,2,14,7.00,0,66.7%,4.67,3,17,5.67,0,1,1,1.00,0,0,0
59,2003,2003-11-30,12,26.164,CIN,@,PIT,W 24-20,*,9,5,54,10.80,0,55.6%,6.00,0,0,,0,2,16,8.00,0,0,0
60,2003,2003-12-07,13,26.171,CIN,@,BAL,L 13-31,*,14,11,90,8.18,1,78.6%,6.43,0,0,,0,3,15,5.00,0,1,6
61,2003,2003-12-14,14,26.178,CIN,,SFO,W 41-38,*,6,5,58,11.60,1,83.3%,9.67,2,12,6.00,0,1,12,12.00,0,1,6
62,2003,2003-12-28,16,26.192,CIN,,CLE,L 14-22,*,7,4,25,6.25,0,57.1%,3.57,1,2,2.00,0,0,0,,0,0,0
63,2004,2004-09-12,1,27.085,CIN,@,NYJ,L 24-31,,7,5,76,15.20,0,71.4%,10.86,1,8,8.00,0,0,0,,0,0,0
64,2004,2004-09-19,2,27.092,CIN,,MIA,W 16-13,*,9,6,51,8.50,0,66.7%,5.67,1,6,6.00,0,0,0,,0,0,0
65,2004,2004-09-26,3,27.099,CIN,,BAL,L 9-23,,,,,,,0.0%,,,,,,,,,,,
66,2004,2004-10-25,6,27.128,CIN,,DEN,W 23-10,,1,,,,,0.0%,,,,,,,,,,,
67,2005,2005-09-11,1,28.084,SEA,@,JAX,L 14-26,,0,0,0,,0,0.0%,,0,0,,0,1,5,5.00,0,0,0
68,2005,2005-09-18,2,28.091,SEA,,ATL,W 21-18,,0,0,0,,0,0.0%,,0,0,,0,2,10,5.00,0,0,0
69,2005,2005-09-25,3,28.098,SEA,,ARI,W 37-12,,1,1,42,42.00,0,100.0%,42.00,0,0,,0,3,14,4.67,0,0,0
70,2005,2005-10-09,5,28.112,SEA,@,STL,W 37-31,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0,0
71,2005,2005-10-16,6,28.119,SEA,,HOU,W 42-10,*,5,3,53,17.67,0,60.0%,10.60,0,0,,0,0,0,,0,0,0
72,2005,2005-10-23,7,28.126,SEA,,DAL,W 13-10,*,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0
73,2005,2005-11-13,9,28.147,SEA,,STL,W 31-16,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
74,2005,2005-11-20,10,28.154,SEA,@,SFO,W 27-25,*,1,0,0,,0,0.0%,0.00,1,5,5.00,0,0,0,,0,0,0
75,2005,2005-11-27,11,28.161,SEA,,NYG,W 24-21,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0
76,2005,2005-12-05,12,28.169,SEA,@,PHI,W 42-0,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
77,2005,2005-12-11,13,28.175,SEA,,SFO,W 41-3,,3,2,22,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0
78,2005,2005-12-24,15,28.188,SEA,,IND,W 28-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
79,2005,2006-01-01,16,28.196,SEA,@,GNB,L 17-23,,5,2,44,22.00,0,40.0%,8.80,0,0,,0,0,0,,0,0,0
