ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
47,2005,2005-12-18,14,29.295,PIT,@,MIN,W 18-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
48,2005,2005-12-24,15,29.301,PIT,@,CLE,W 41-0,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
49,2005,2006-01-01,16,29.309,PIT,,DET,W 35-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
50,2006,2006-09-07,1,30.193,PIT,,MIA,W 28-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
51,2006,2006-09-18,2,30.204,PIT,@,JAX,L 0-9,,,,,,,0.0%,,,,,,,,,,,,
52,2006,2006-09-24,3,30.210,PIT,,CIN,L 20-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
53,2006,2006-10-08,4,30.224,PIT,@,SDG,L 13-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
54,2006,2006-10-15,5,30.231,PIT,,KAN,W 45-7,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
55,2006,2006-10-22,6,30.238,PIT,@,ATL,L 38-41,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0,0.0,,
56,2006,2006-10-29,7,30.245,PIT,@,OAK,L 13-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
57,2006,2006-11-05,8,30.252,PIT,,DEN,L 20-31,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
58,2006,2006-11-12,9,30.259,PIT,,NOR,W 38-31,,0,0,0,,0,0.0%,,0,0,,0,2,38,19.00,0,0.0,,
59,2006,2006-11-19,10,30.266,PIT,@,CLE,W 24-20,,0,0,0,,0,0.0%,,0,0,,0,2,100,50.00,0,0.0,,
60,2006,2006-11-26,11,30.273,PIT,@,BAL,L 0-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
61,2006,2006-12-03,12,30.280,PIT,,TAM,W 20-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,,
62,2006,2006-12-07,13,30.284,PIT,,CLE,W 27-7,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,1,22,22.00,0,0.0,,
63,2006,2006-12-17,14,30.294,PIT,@,CAR,W 37-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
64,2006,2006-12-24,15,30.301,PIT,,BAL,L 7-31,,0,0,0,,0,0.0%,,0,0,,0,2,23,11.50,0,0.0,,
65,2006,2006-12-31,16,30.308,PIT,@,CIN,W 23-17,,0,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0,0.0,,
66,2007,2007-09-10,1,31.196,ARI,@,SFO,L 17-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,,
67,2007,2007-09-16,2,31.202,ARI,,SEA,W 23-20,,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,,0,0.0,,
68,2007,2007-09-23,3,31.209,ARI,@,BAL,L 23-26,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,,
69,2007,2007-09-30,4,31.216,ARI,,PIT,W 21-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,,
70,2007,2007-10-07,5,31.223,ARI,@,STL,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
71,2007,2007-10-14,6,31.230,ARI,,CAR,L 10-25,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
72,2007,2007-11-04,8,31.251,ARI,@,TAM,L 10-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
73,2007,2007-11-11,9,31.258,ARI,,DET,W 31-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
74,2007,2007-11-18,10,31.265,ARI,@,CIN,W 35-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
75,2007,2007-11-25,11,31.272,ARI,,SFO,L 31-37,,7,4,79,19.75,0,57.1%,11.29,0,0,,0,0,0,,0,0.0,,
76,2007,2007-12-02,12,31.279,ARI,,CLE,W 27-21,,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0,,0,0.0,,
77,2007,2007-12-09,13,31.286,ARI,@,SEA,L 21-42,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
78,2007,2007-12-16,14,31.293,ARI,@,NOR,L 24-31,,0,0,0,,0,0.0%,,1,13,13.00,0,0,0,,0,0.0,,
79,2007,2007-12-23,15,31.300,ARI,,ATL,W 30-27,,0,0,0,,0,0.0%,,0,0,,0,1,40,40.00,0,0.0,,
80,2007,2007-12-30,16,31.307,ARI,,STL,W 48-19,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,,
81,2008,2008-09-07,1,32.194,ARI,@,SFO,W 23-13,,,,,,,0.0%,,,,,,,,,,,,
82,2008,2008-09-14,2,32.201,ARI,,MIA,W 31-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
83,2008,2008-09-21,3,32.208,ARI,@,WAS,L 17-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
84,2008,2008-09-28,4,32.215,ARI,@,NYJ,L 35-56,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
85,2008,2008-10-05,5,32.222,ARI,,BUF,W 41-17,,,,,,,0.0%,,,,,,,,,,,,
86,2008,2008-10-12,6,32.229,ARI,,DAL,W 30-24,,0,0,0,,0,0.0%,,0,0,,0,1,8,8.00,0,0.0,0,0
87,2008,2008-10-26,7,32.243,ARI,@,CAR,L 23-27,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
88,2008,2008-11-02,8,32.250,ARI,@,STL,W 34-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
89,2008,2008-11-10,9,32.258,ARI,,SFO,W 29-24,,,,,,,0.0%,,,,,,,,,,,,
90,2008,2008-11-16,10,32.264,ARI,@,SEA,W 26-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
91,2008,2008-11-23,11,32.271,ARI,,NYG,L 29-37,,,,,,,0.0%,,,,,,,,,,,,
92,2008,2008-11-27,12,32.275,ARI,@,PHI,L 20-48,,,,,,,0.0%,,,,,,,,,,,,
93,2008,2008-12-07,13,32.285,ARI,,STL,W 34-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
94,2008,2008-12-14,14,32.292,ARI,,MIN,L 14-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
95,2008,2008-12-21,15,32.299,ARI,@,NWE,L 7-47,,0,0,0,,0,0.0%,,0,0,,0,1,15,15.00,0,0.0,0,0
96,2008,2008-12-28,16,32.306,ARI,,SEA,W 34-21,,,,,,,0.0%,,,,,,,,,,,,
97,2009,2009-09-13,1,33.199,ARI,,SFO,L 16-20,,,,,,,0.0%,,,,,,,,,,,,
98,2009,2009-09-20,2,33.206,ARI,@,JAX,W 31-17,,,,,,,0.0%,,,,,,,,,,,,
99,2009,2009-09-27,3,33.213,ARI,,IND,L 10-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
100,2009,2009-10-11,4,33.227,ARI,,HOU,W 28-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
101,2009,2009-10-18,5,33.234,ARI,@,SEA,W 27-3,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0.0,0,0
102,2009,2009-10-25,6,33.241,ARI,@,NYG,W 24-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,1
103,2009,2009-11-01,7,33.248,ARI,,CAR,L 21-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,1,0
104,2009,2009-11-08,8,33.255,ARI,@,CHI,W 41-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
105,2009,2009-11-22,10,33.269,ARI,@,STL,W 21-13,,,,,,,0.0%,,,,,,,,,,,,
106,2009,2009-11-29,11,33.276,ARI,@,TEN,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
107,2009,2009-12-06,12,33.283,ARI,,MIN,W 30-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
108,2009,2009-12-14,13,33.291,ARI,@,SFO,L 9-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
109,2009,2009-12-20,14,33.297,ARI,@,DET,W 31-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0.0,0,0
