ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
25,2008,2008-11-09,9,23.118,NYJ,,STL,W 47-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
26,2008,2008-11-13,10,23.122,NYJ,@,NWE,W 34-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,2,0,0,0
27,2008,2008-11-23,11,23.132,NYJ,@,TEN,W 34-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
28,2008,2008-11-30,12,23.139,NYJ,,DEN,L 17-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,3,0,0,0
29,2008,2008-12-07,13,23.146,NYJ,@,SFO,L 14-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
30,2008,2008-12-14,14,23.153,NYJ,,BUF,W 31-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,1,6,0
31,2008,2008-12-21,15,23.160,NYJ,@,SEA,L 3-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
32,2008,2008-12-28,16,23.167,NYJ,,MIA,L 17-24,*,1,0,-1,,0,0.0%,-1.00,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
33,2009,2009-09-13,1,24.061,NYJ,@,HOU,W 24-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
34,2009,2009-09-20,2,24.068,NYJ,,NWE,W 16-9,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,1,0,0
35,2009,2009-09-27,3,24.075,NYJ,,TEN,W 24-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
36,2009,2009-10-04,4,24.082,NYJ,@,NOR,L 10-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
37,2009,2009-10-12,5,24.090,NYJ,@,MIA,L 27-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
38,2009,2009-10-18,6,24.096,NYJ,,BUF,L 13-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,3,0,0,0
39,2009,2009-10-25,7,24.103,NYJ,@,OAK,W 38-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,1,0,0
40,2009,2009-11-01,8,24.110,NYJ,,MIA,L 25-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
41,2009,2009-11-15,9,24.124,NYJ,,JAX,L 22-24,*,0,0,0,,0,0.0%,,0,0,,0,2,5,2.50,0,0,0,0.0,5,0,0,0,0
42,2009,2009-11-22,10,24.131,NYJ,@,NWE,L 14-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
43,2009,2009-11-29,11,24.138,NYJ,,CAR,W 17-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,2,0,2,67,1
44,2009,2009-12-03,12,24.142,NYJ,@,BUF,W 19-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,1,0,0
45,2009,2009-12-13,13,24.152,NYJ,@,TAM,W 26-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,1,54,0
46,2009,2009-12-20,14,24.159,NYJ,,ATL,L 7-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
47,2009,2009-12-27,15,24.166,NYJ,@,IND,W 29-15,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
48,2009,2010-01-03,16,24.173,NYJ,,CIN,W 37-0,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
49,2010,2010-09-13,1,25.061,NYJ,,BAL,L 9-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
50,2010,2010-09-19,2,25.067,NYJ,,NWE,W 28-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
51,2010,2010-10-11,5,25.089,NYJ,,MIN,W 29-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
52,2010,2010-10-17,6,25.095,NYJ,@,DEN,W 24-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
53,2010,2010-10-31,7,25.109,NYJ,,GNB,L 0-9,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,2,0,0,0
54,2010,2010-11-07,8,25.116,NYJ,@,DET,W 23-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
55,2010,2010-11-14,9,25.123,NYJ,@,CLE,W 26-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
56,2010,2010-11-21,10,25.130,NYJ,,HOU,W 30-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
57,2010,2010-11-25,11,25.134,NYJ,,CIN,W 26-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
58,2010,2010-12-06,12,25.145,NYJ,@,NWE,L 3-45,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
59,2010,2010-12-12,13,25.151,NYJ,,MIA,L 6-10,*,,,,,,0.0%,,,,,,,,,,,,,,,,,
60,2010,2010-12-19,14,25.158,NYJ,@,PIT,W 22-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,1,0,0,0
61,2010,2010-12-26,15,25.165,NYJ,@,CHI,L 34-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
62,2011,2011-09-11,1,26.059,NYJ,,DAL,W 27-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,1,1,20,0
63,2011,2011-09-18,2,26.066,NYJ,,JAX,W 32-3,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,2,0,0,0
64,2011,2011-09-25,3,26.073,NYJ,@,OAK,L 24-34,*,,,,,,0.0%,,,,,,,,,,,,,,,,,
65,2011,2011-10-02,4,26.080,NYJ,@,BAL,L 17-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
66,2011,2011-10-09,5,26.087,NYJ,@,NWE,L 21-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
67,2011,2011-10-17,6,26.095,NYJ,,MIA,W 24-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,6,0.0,3,0,2,100,1
68,2011,2011-10-23,7,26.101,NYJ,,SDG,W 27-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,1,1,64,0
69,2011,2011-11-06,8,26.115,NYJ,@,BUF,W 27-11,*,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,0.0,3,2,0,0,0
70,2011,2011-11-13,9,26.122,NYJ,,NWE,L 16-37,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
71,2011,2011-11-17,10,26.126,NYJ,@,DEN,L 13-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
72,2011,2011-11-27,11,26.136,NYJ,,BUF,W 28-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,8,0,0,0,0
73,2011,2011-12-04,12,26.143,NYJ,@,WAS,W 34-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
74,2011,2011-12-11,13,26.150,NYJ,,KAN,W 37-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
75,2011,2011-12-18,14,26.157,NYJ,@,PHI,L 19-45,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
76,2011,2011-12-24,15,26.163,NYJ,,NYG,L 14-29,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
77,2011,2012-01-01,16,26.171,NYJ,@,MIA,L 17-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
78,2012,2012-09-09,1,27.057,NYJ,,BUF,W 48-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,1,1,0
79,2012,2012-09-23,3,27.071,NYJ,@,MIA,W 23-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
80,2013,2013-09-08,1,28.056,TAM,@,NYJ,L 17-18,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
81,2013,2013-09-15,2,28.063,TAM,,NOR,L 14-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
82,2013,2013-09-22,3,28.070,TAM,@,NWE,L 3-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
83,2013,2013-09-29,4,28.077,TAM,,ARI,L 10-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,6,0,1,3,0
84,2013,2013-10-13,5,28.091,TAM,,PHI,L 20-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
85,2013,2013-10-20,6,28.098,TAM,@,ATL,L 23-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
86,2013,2013-10-24,7,28.102,TAM,,CAR,L 13-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
87,2013,2013-11-03,8,28.112,TAM,@,SEA,L 24-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
88,2013,2013-11-11,9,28.120,TAM,,MIA,W 22-19,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,1,0,0
89,2013,2013-11-17,10,28.126,TAM,,ATL,W 41-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
90,2013,2013-11-24,11,28.133,TAM,@,DET,W 24-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
91,2013,2013-12-01,12,28.140,TAM,@,CAR,L 6-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
92,2013,2013-12-08,13,28.147,TAM,,BUF,W 27-6,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,1.0,4,0,0,0,0
93,2013,2013-12-15,14,28.154,TAM,,SFO,L 14-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
94,2013,2013-12-22,15,28.161,TAM,@,STL,L 13-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
95,2013,2013-12-29,16,28.168,TAM,@,NOR,L 17-42,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
96,2014,2014-09-07,1,29.055,NWE,@,MIA,L 20-33,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
97,2014,2014-09-14,2,29.062,NWE,@,MIN,W 30-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,1,0,0
98,2014,2014-09-21,3,29.069,NWE,,OAK,W 16-9,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
99,2014,2014-09-29,4,29.077,NWE,@,KAN,L 14-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
100,2014,2014-10-05,5,29.083,NWE,,CIN,W 43-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
101,2014,2014-10-12,6,29.090,NWE,@,BUF,W 37-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
102,2014,2014-10-16,7,29.094,NWE,,NYJ,W 27-25,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
103,2014,2014-10-26,8,29.104,NWE,,CHI,W 51-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,1,0,0
104,2014,2014-11-02,9,29.111,NWE,,DEN,W 43-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
105,2014,2014-11-16,10,29.125,NWE,@,IND,W 42-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
106,2014,2014-11-23,11,29.132,NWE,,DET,W 34-9,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
107,2014,2014-11-30,12,29.139,NWE,@,GNB,L 21-26,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
108,2014,2014-12-07,13,29.146,NWE,@,SDG,W 23-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
109,2014,2014-12-14,14,29.153,NWE,,MIA,W 41-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
110,2014,2014-12-21,15,29.160,NWE,@,NYJ,W 17-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
111,2014,2014-12-28,16,29.167,NWE,,BUF,L 9-17,*,,,,,,0.0%,,,,,,,,,,,,,,,,,
112,2015,2015-09-13,1,30.061,NYJ,,CLE,W 31-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
113,2015,2015-09-21,2,30.069,NYJ,@,IND,W 20-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,1,1,0,0
114,2015,2015-09-27,3,30.075,NYJ,,PHI,L 17-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
115,2015,2015-10-04,4,30.082,NYJ,@,MIA,W 27-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,1,0,0
116,2015,2015-10-18,5,30.096,NYJ,,WAS,W 34-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,1,1,6,0
117,2015,2015-10-25,6,30.103,NYJ,@,NWE,L 23-30,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
118,2015,2015-11-01,7,30.110,NYJ,@,OAK,L 20-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
119,2015,2015-11-08,8,30.117,NYJ,,JAX,W 28-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
120,2015,2015-11-12,9,30.121,NYJ,,BUF,L 17-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
121,2015,2015-11-22,10,30.131,NYJ,@,HOU,L 17-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
122,2015,2015-12-13,13,30.152,NYJ,,TEN,W 30-8,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
123,2015,2015-12-19,14,30.158,NYJ,@,DAL,W 19-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,24,0
124,2015,2015-12-27,15,30.166,NYJ,,NWE,W 26-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,1,18,0
125,2015,2016-01-03,16,30.173,NYJ,@,BUF,L 17-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
126,2016,2016-09-11,1,31.059,NYJ,,CIN,L 22-23,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,5,2,0,0,0
127,2016,2016-09-15,2,31.063,NYJ,@,BUF,W 37-31,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
128,2016,2016-09-25,3,31.073,NYJ,@,KAN,L 3-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
129,2016,2016-10-02,4,31.080,NYJ,,SEA,L 17-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
130,2016,2016-10-17,6,31.095,NYJ,@,ARI,L 3-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
131,2016,2016-10-23,7,31.101,NYJ,,BAL,W 24-16,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
132,2016,2016-10-30,8,31.108,NYJ,@,CLE,W 31-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,8,1,0,0,0
133,2016,2016-11-06,9,31.115,NYJ,@,MIA,L 23-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
134,2016,2016-11-13,10,31.122,NYJ,,LAR,L 6-9,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
135,2016,2016-11-27,11,31.136,NYJ,,NWE,L 17-22,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
136,2016,2016-12-05,12,31.144,NYJ,,IND,L 10-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
137,2016,2016-12-11,13,31.150,NYJ,@,SFO,W 23-17,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
138,2016,2016-12-17,14,31.156,NYJ,,MIA,L 13-34,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
139,2016,2016-12-24,15,31.163,NYJ,@,NWE,L 3-41,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
140,2016,2017-01-01,16,31.171,NYJ,,BUF,W 30-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,1,1,51,0
141,2017,2017-12-03,12,32.142,KAN,@,NYJ,L 31-38,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
142,2017,2017-12-10,13,32.149,KAN,,OAK,W 26-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
143,2017,2017-12-16,14,32.155,KAN,,LAC,W 30-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
144,2017,2017-12-24,15,32.163,KAN,,MIA,W 29-13,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
145,2017,2017-12-31,16,32.170,KAN,@,DEN,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
