ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
18,1984,1984-11-04,10,25.348,PIT,,HOU,W 35-7,*,9,14,64.29,139,3,1,106.8,1,8,9.93,11.00,2,23,11.50,1,0,0,,0,0,0,,0,1,6
19,1984,1984-11-11,11,25.355,PIT,@,CIN,L 20-22,*,16,31,51.61,150,0,3,25.7,3,17,4.84,0.48,2,6,3.00,1,0,0,,0,0,0,,0,1,6
20,1984,1984-11-19,12,25.363,PIT,@,NOR,L 24-27,*,10,19,52.63,158,1,2,58.6,3,24,8.32,4.63,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0
21,1984,1984-11-25,13,26.003,PIT,,SDG,W 52-24,*,18,22,81.82,253,4,0,154.2,1,10,11.50,15.14,2,-1,-0.50,1,0,0,,0,0,0,,0,1,6
22,1984,1984-12-02,14,26.010,PIT,@,HOU,L 20-23,*,16,33,48.48,193,2,2,61.8,4,48,5.85,4.33,3,0,0.00,0,0,0,,0,0,0,,0,0,0
23,1984,1984-12-09,15,26.017,PIT,,CLE,W 23-20,*,11,22,50.00,203,1,2,59.5,1,7,9.23,6.05,4,8,2.00,0,0,0,,0,0,0,,0,0,0
24,1984,1984-12-16,16,26.024,PIT,@,RAI,W 13-7,*,13,23,56.52,191,0,1,65.7,2,23,8.30,6.35,3,8,2.67,0,0,0,,0,0,0,,0,0,0
25,1985,1985-09-08,1,26.290,PIT,,IND,W 45-3,*,21,30,70.00,287,5,1,126.0,0,0,9.57,11.40,4,0,0.00,1,0,0,,0,0,0,,0,1,6
26,1985,1985-09-16,2,26.298,PIT,@,CLE,L 7-17,*,18,45,40.00,178,1,2,40.8,2,16,3.96,2.40,0,0,,0,0,0,,0,0,0,,0,0,0
27,1985,1985-09-22,3,26.304,PIT,,HOU,W 20-0,*,9,19,47.37,126,2,0,104.3,3,24,6.63,8.74,4,47,11.75,0,0,0,,0,0,0,,0,0,0
28,1985,1985-09-30,4,26.312,PIT,,CIN,L 24-37,*,26,44,59.09,374,3,2,90.5,4,34,8.50,7.82,1,9,9.00,0,0,0,,0,0,0,,0,0,0
29,1985,1985-10-06,5,26.318,PIT,@,MIA,L 20-24,*,14,33,42.42,145,1,1,53.2,0,0,4.39,3.64,2,0,0.00,0,0,0,,0,0,0,,0,0,0
30,1985,1985-10-13,6,26.325,PIT,@,DAL,L 13-27,*,7,17,41.18,83,0,0,56.7,1,6,4.88,4.88,0,0,,0,0,0,,0,0,0,,0,0,0
31,1985,1985-10-20,7,26.332,PIT,,STL,W 23-10,*,15,28,53.57,184,1,1,71.1,0,0,6.57,5.68,2,21,10.50,0,0,0,,0,0,0,,0,0,0
32,1985,1985-10-27,8,26.339,PIT,@,CIN,L 21-26,*,4,4,100.00,34,0,0,102.1,0,0,8.50,8.50,1,-3,-3.00,0,0,0,,0,0,0,,0,0,0
33,1985,1985-12-15,15,27.023,PIT,,BUF,W 30-24,,2,7,28.57,21,0,0,39.6,0,0,3.00,3.00,0,0,,0,0,0,,0,0,0,,0,0,0
34,1985,1985-12-21,16,27.029,PIT,@,NYG,L 10-28,,1,6,16.67,-4,0,0,39.6,0,0,-0.67,-0.67,1,6,6.00,0,0,0,,0,0,0,,0,0,0
35,1986,1986-09-07,1,27.289,PIT,@,SEA,L 0-30,*,9,27,33.33,79,0,3,2.8,1,18,2.93,-2.07,5,0,0.00,0,0,0,,0,0,0,,0,0,0
36,1986,1986-09-15,2,27.297,PIT,,DEN,L 10-21,*,22,48,45.83,216,0,2,41.7,1,10,4.50,2.63,0,0,,0,0,0,,0,0,0,,0,0,0
37,1986,1986-09-21,3,27.303,PIT,@,MIN,L 7-31,*,13,29,44.83,159,1,3,34.2,0,0,5.48,1.52,0,0,,0,0,0,,0,0,0,,0,0,0
38,1986,1986-09-28,4,27.310,PIT,@,HOU,W 22-16,*,10,31,32.26,161,1,1,47.9,0,0,5.19,4.39,2,56,28.00,0,0,0,,0,0,0,,0,0,0
39,1986,1986-10-05,5,27.317,PIT,,CLE,L 24-27,*,15,23,65.22,143,2,1,93.2,2,11,6.22,6.00,3,2,0.67,1,0,0,,0,0,0,,0,1,6
40,1986,1986-10-26,8,27.338,PIT,,CIN,W 30-9,*,12,20,60.00,104,2,0,107.1,1,10,5.20,7.20,2,-3,-1.50,0,0,0,,0,0,0,,0,0,0
41,1986,1986-11-02,9,27.345,PIT,,GNB,W 27-3,*,20,31,64.52,195,3,0,114.3,0,0,6.29,8.23,2,-2,-1.00,0,0,0,,0,0,0,,0,0,0
42,1986,1986-11-09,10,27.352,PIT,@,BUF,L 12-16,*,18,36,50.00,142,1,1,57.9,1,10,3.94,3.25,0,0,,0,0,0,,0,0,0,,0,0,0
43,1986,1986-11-16,11,27.359,PIT,,HOU,W 21-10,*,11,21,52.38,122,1,0,85.8,1,6,5.81,6.76,2,0,0.00,0,0,0,,0,0,0,,0,0,0
44,1986,1986-11-23,12,28.001,PIT,@,CLE,L 31-37,*,17,28,60.71,197,0,1,67.1,1,0,7.04,5.43,3,1,0.33,2,0,0,,0,0,0,,0,2,12
45,1986,1986-11-30,13,28.008,PIT,@,CHI,L 10-13,*,13,29,44.83,154,0,2,32.8,1,7,5.31,2.21,1,0,0.00,0,0,0,,0,0,0,,0,0,0
46,1986,1986-12-07,14,28.015,PIT,,DET,W 27-17,*,18,32,56.25,232,2,2,74.0,2,14,7.25,5.69,3,12,4.00,0,0,0,,0,0,0,,0,0,0
47,1986,1986-12-13,15,28.021,PIT,@,NYJ,W 45-24,*,16,27,59.26,189,2,1,89.9,1,0,7.00,6.81,4,14,3.50,1,0,0,,0,0,0,,0,1,6
48,1986,1986-12-21,16,28.029,PIT,,KAN,L 19-24,*,22,43,51.16,351,0,1,69.0,1,11,8.16,7.12,4,27,6.75,1,0,0,,0,0,0,,0,1,6
49,1987,1987-09-13,1,28.295,PIT,,SFO,W 30-17,*,9,33,27.27,99,1,0,49.7,2,16,3.00,3.61,6,-1,-0.17,0,0,0,,0,0,0,,0,0,0
50,1987,1987-09-20,2,28.302,PIT,@,CLE,L 10-34,*,12,36,33.33,151,0,5,7.8,3,29,4.19,-2.06,2,-3,-1.50,0,0,0,,0,0,0,,0,0,0
51,1987,1987-10-25,6,28.337,PIT,,CIN,W 23-20,*,18,30,60.00,218,1,0,93.5,2,14,7.27,7.93,0,0,,0,0,0,,0,0,0,,0,0,0
52,1987,1987-11-01,7,28.344,PIT,@,MIA,L 24-35,*,18,36,50.00,205,1,1,65.2,1,6,5.69,5.00,3,19,6.33,0,0,0,,0,0,0,,0,0,0
53,1987,1987-11-08,8,28.351,PIT,@,KAN,W 17-16,*,14,31,45.16,157,2,2,55.4,2,16,5.06,3.45,4,14,3.50,0,0,0,,0,0,0,,0,0,0
54,1987,1987-11-15,9,28.358,PIT,,HOU,L 3-23,*,7,22,31.82,89,0,1,26.5,1,6,4.05,2.00,0,0,,0,0,0,,0,0,0,,0,0,0
55,1987,1987-11-22,10,29.000,PIT,@,CIN,W 30-16,*,15,28,53.57,194,1,2,57.7,0,0,6.93,4.43,2,41,20.50,1,0,0,,0,0,0,,0,1,6
56,1987,1987-11-29,11,29.007,PIT,,NOR,L 16-20,*,16,31,51.61,213,0,3,34.1,4,41,6.87,2.52,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0
57,1987,1987-12-06,12,29.014,PIT,,SEA,W 13-9,*,11,18,61.11,99,0,0,75.9,0,0,5.50,5.50,4,31,7.75,0,0,0,,0,0,0,,0,0,0
58,1987,1987-12-13,13,29.021,PIT,@,SDG,W 20-16,*,13,26,50.00,164,0,0,70.0,2,14,6.31,6.31,5,34,6.80,1,0,0,,0,0,0,,0,1,6
59,1987,1987-12-20,14,29.028,PIT,@,HOU,L 16-24,*,12,27,44.44,181,0,3,27.5,1,9,6.70,1.70,2,4,2.00,1,0,0,,0,0,0,,0,1,6
60,1987,1987-12-26,15,29.034,PIT,,CLE,L 13-19,*,11,18,61.11,126,0,2,42.6,0,0,7.00,2.00,4,24,6.00,0,0,0,,0,0,0,,0,0,0
61,1988,1988-09-11,2,29.294,SDG,@,DEN,L 3-34,,11,22,50.00,115,0,1,46.6,2,9,5.23,3.18,3,29,9.67,0,0,0,,0,0,0,,0,0,0
62,1988,1988-10-02,5,29.315,SDG,,DEN,L 0-12,,7,14,50.00,82,0,1,38.4,1,3,5.86,2.64,0,0,,0,0,0,,0,0,0,,0,0,0
63,1988,1988-10-09,6,29.322,SDG,,NOR,L 17-23,,1,2,50.00,11,0,0,66.7,0,0,5.50,5.50,0,0,,0,0,0,,0,0,0,,0,0,0
64,1988,1988-10-16,7,29.329,SDG,@,MIA,L 28-31,*,25,38,65.79,294,2,2,84.8,1,11,7.74,6.42,3,17,5.67,1,0,0,,0,0,0,,0,1,6
65,1988,1988-10-23,8,29.336,SDG,,IND,L 0-16,*,13,30,43.33,121,0,0,55.0,0,0,4.03,4.03,4,33,8.25,0,0,0,,0,0,0,,0,0,0
66,1988,1988-10-30,9,29.343,SDG,@,SEA,L 14-17,*,20,32,62.50,169,2,1,84.0,0,0,5.28,5.13,5,2,0.40,0,0,0,,0,0,0,,0,0,0
67,1988,1988-11-06,10,29.350,SDG,,RAI,L 3-13,*,12,25,48.00,147,0,2,33.2,0,0,5.88,2.28,2,14,7.00,0,0,0,,0,0,0,,0,0,0
68,1988,1988-11-20,12,29.364,SDG,@,RAM,W 38-24,,4,6,66.67,128,0,1,70.1,0,0,21.33,13.83,4,4,1.00,0,0,0,,0,0,0,,0,0,0
69,1988,1988-11-27,13,30.005,SDG,,SFO,L 10-48,*,17,32,53.13,136,0,2,38.0,1,3,4.25,1.44,2,40,20.00,1,0,0,,0,0,0,,0,1,6
70,1988,1988-12-04,14,30.012,SDG,@,CIN,L 10-27,*,14,37,37.84,138,1,3,24.4,3,15,3.73,0.62,5,13,2.60,0,0,0,,0,0,0,,0,0,0
71,1988,1988-12-11,15,30.019,SDG,,PIT,W 20-14,*,17,24,70.83,148,1,0,100.7,1,4,6.17,7.00,3,0,0.00,1,0,0,,0,0,0,,0,1,6
72,1988,1988-12-18,16,30.026,SDG,,KAN,W 24-13,*,6,10,60.00,91,0,0,90.0,0,0,9.10,9.10,6,17,2.83,1,0,0,,0,0,0,,0,1,6
73,1989,1989-10-22,7,30.334,NYJ,@,BUF,L 3-34,,2,2,100.00,13,0,0,93.7,0,0,6.50,6.50,1,0,0.00,0,0,0,,0,0,0,,0,0,0
