ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
46,2014,2014-12-14,14,25.023,BAL,,JAX,W 20-12,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,4,50.0,0,8
47,2014,2014-12-21,15,25.030,BAL,@,HOU,L 13-25,,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1
48,2014,2014-12-28,16,25.037,BAL,,CLE,W 20-10,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
49,2015,2015-09-13,1,25.296,BAL,@,DEN,L 13-19,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7
50,2015,2015-09-20,2,25.303,BAL,@,OAK,L 33-37,,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15
51,2015,2015-09-27,3,25.310,BAL,,CIN,L 24-28,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
52,2015,2015-10-01,4,25.314,BAL,@,PIT,W 23-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
53,2015,2015-10-11,5,25.324,BAL,,CLE,L 30-33,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
54,2015,2015-10-18,6,25.331,BAL,@,SFO,L 20-25,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8
55,2015,2015-10-26,7,25.339,BAL,@,ARI,L 18-26,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4
56,2015,2015-11-01,8,25.345,BAL,,SDG,W 29-26,,0,0,,0,0,0,,0,0,,,2,2,100.0,5,5,100.0,0,17
57,2015,2015-11-15,9,25.359,BAL,,JAX,L 20-22,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2
58,2015,2015-11-22,10,26.001,BAL,,STL,W 16-13,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,5,60.0,0,10
59,2015,2015-11-30,11,26.009,BAL,@,CLE,W 33-27,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9
60,2015,2015-12-06,12,26.015,BAL,@,MIA,L 13-15,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7
61,2015,2015-12-13,13,26.022,BAL,,SEA,L 6-35,,0,0,,0,0,0,,0,0,,,,,,2,2,100.0,0,6
62,2015,2015-12-20,14,26.029,BAL,,KAN,L 14-34,,0,0,,0,0,0,,0,0,,,2,2,100.0,,,,0,2
63,2015,2015-12-27,15,26.036,BAL,,PIT,W 20-17,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
64,2015,2016-01-03,16,26.043,BAL,@,CIN,L 16-24,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10
65,2016,2016-09-11,1,26.295,BAL,,BUF,W 13-7,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7
66,2016,2016-09-18,2,26.302,BAL,@,CLE,W 25-20,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
67,2016,2016-09-25,3,26.309,BAL,@,JAX,W 19-17,,0,0,,0,0,0,,0,0,,,1,1,100.0,4,4,100.0,0,13
68,2016,2016-10-02,4,26.316,BAL,,OAK,L 27-28,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7
69,2016,2016-10-09,5,26.323,BAL,,WAS,L 10-16,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,1,100.0,1,1,100.0,0,4
70,2016,2016-10-16,6,26.330,BAL,@,NYG,L 23-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
71,2016,2016-10-23,7,26.337,BAL,@,NYJ,L 16-24,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10
72,2016,2016-11-06,8,26.351,BAL,,PIT,W 21-14,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7
73,2016,2016-11-10,9,26.355,BAL,,CLE,W 28-7,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
74,2016,2016-11-20,10,26.365,BAL,@,DAL,L 17-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
75,2016,2016-11-27,11,27.006,BAL,,CIN,W 19-14,,0,0,,0,0,0,,0,0,,,1,1,100.0,4,4,100.0,0,13
76,2016,2016-12-04,12,27.013,BAL,,MIA,W 38-6,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8
77,2016,2016-12-12,13,27.021,BAL,@,NWE,L 23-30,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,4,75.0,0,11
78,2016,2016-12-18,14,27.027,BAL,,PHI,W 27-26,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9
79,2016,2016-12-25,15,27.034,BAL,@,PIT,L 27-31,,0,0,,0,0,0,,0,0,,,1,1,100.0,4,4,100.0,0,13
80,2016,2017-01-01,16,27.041,BAL,@,CIN,L 10-27,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4
81,2017,2017-09-10,1,27.293,BAL,@,CIN,W 20-0,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
82,2017,2017-09-17,2,27.300,BAL,,CLE,W 24-10,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
83,2017,2017-09-24,3,27.307,BAL,@,JAX,L 7-44,,0,0,,0,0,0,,0,0,,,1,1,100.0,,,,0,1
84,2017,2017-10-01,4,27.314,BAL,,PIT,L 9-26,,0,0,,0,0,0,,0,0,,,,,,1,2,50.0,0,3
85,2017,2017-10-08,5,27.321,BAL,@,OAK,W 30-17,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,3,100.0,0,12
86,2017,2017-10-15,6,27.328,BAL,,CHI,L 24-27,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10
87,2017,2017-10-22,7,27.335,BAL,@,MIN,L 16-24,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10
88,2017,2017-10-26,8,27.339,BAL,,MIA,W 40-0,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,3,66.7,0,10
89,2017,2017-11-05,9,27.349,BAL,@,TEN,L 20-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
90,2017,2017-11-19,10,27.363,BAL,@,GNB,W 23-0,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
91,2017,2017-11-27,11,28.006,BAL,,HOU,W 23-16,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
92,2017,2017-12-03,12,28.012,BAL,,DET,W 44-20,,0,0,,0,0,0,,0,0,,,5,5,100.0,3,3,100.0,0,14
93,2017,2017-12-10,13,28.019,BAL,@,PIT,L 38-39,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8
94,2017,2017-12-17,14,28.026,BAL,@,CLE,W 27-10,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9
95,2017,2017-12-23,15,28.032,BAL,,IND,W 23-16,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
96,2017,2017-12-31,16,28.040,BAL,,CIN,L 27-31,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9
97,2018,2018-09-09,1,28.292,BAL,,BUF,W 47-3,,0,0,,0,0,0,,0,0,,,5,5,100.0,2,2,100.0,0,11
98,2018,2018-09-13,2,28.296,BAL,@,CIN,L 23-34,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
99,2018,2018-09-23,3,28.306,BAL,,DEN,W 27-14,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,3,66.7,0,9
