ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
14,1962,1962-10-14,5,26.148,PIT,@,NYG,W 20-17,0,0,,0,4,73,18.25,0,0,0,,0,0,0,0
15,1962,1962-10-21,6,26.155,PIT,,DAL,L 27-42,0,0,,0,5,119,23.80,0,0,0,,0,0,0,0
16,1962,1962-10-28,7,26.162,PIT,,CLE,L 14-41,0,0,,0,6,139,23.17,0,0,0,,0,0,0,0
17,1962,1962-11-04,8,26.169,PIT,,MIN,W 39-31,0,0,,0,1,12,12.00,0,2,3,1.50,0,0,0,0
18,1962,1962-11-11,9,26.176,PIT,@,STL,W 26-17,0,0,,0,2,15,7.50,0,1,7,7.00,0,2,13,0
19,1962,1962-11-25,11,26.190,PIT,@,CLE,L 14-35,0,0,,0,1,19,19.00,0,0,0,,0,0,0,0
20,1962,1962-12-02,12,26.197,PIT,,STL,W 19-7,0,0,,0,0,0,,0,2,11,5.50,0,0,0,0
21,1962,1962-12-09,13,26.204,PIT,@,PHI,W 26-17,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
22,1963,1963-09-15,1,27.119,PIT,@,PHI,T 21-21,0,0,,0,0,0,,0,3,79,26.33,0,0,0,0
23,1963,1963-09-22,2,27.126,PIT,,NYG,W 31-0,0,0,,0,0,0,,0,4,92,23.00,0,0,0,0
24,1963,1963-09-29,3,27.133,PIT,,STL,W 23-10,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0
25,1963,1963-10-05,4,27.139,PIT,@,CLE,L 23-35,0,0,,0,0,0,,0,2,9,4.50,0,0,0,0
26,1963,1963-10-13,5,27.147,PIT,@,STL,L 23-24,0,0,,0,3,54,18.00,0,1,0,0.00,0,0,0,0
27,1963,1963-10-20,6,27.154,PIT,,WAS,W 38-27,0,0,,0,2,74,37.00,0,0,0,,0,0,0,0
28,1963,1963-10-27,7,27.161,PIT,,DAL,W 27-21,0,0,,0,2,71,35.50,0,0,0,,0,0,0,0
29,1963,1963-11-03,8,27.168,PIT,@,GNB,L 14-33,0,0,,0,2,20,10.00,0,1,11,11.00,0,0,0,0
30,1963,1963-11-10,9,27.175,PIT,,CLE,W 9-7,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0
31,1964,1964-09-13,1,28.117,PIT,,RAM,L 14-26,0,0,,0,0,0,,0,3,56,18.67,0,0,0,0
32,1964,1964-09-20,2,28.124,PIT,,NYG,W 27-24,0,0,,0,0,0,,0,2,93,46.50,0,1,0,0
33,1964,1964-09-27,3,28.131,PIT,,DAL,W 23-17,0,0,,0,0,0,,0,0,0,,0,1,11,0
34,1964,1964-10-04,4,28.138,PIT,@,PHI,L 7-21,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
35,1964,1964-10-25,7,28.159,PIT,,PHI,L 10-34,0,0,,0,3,87,29.00,0,3,5,1.67,0,0,0,0
36,1964,1964-11-01,8,28.166,PIT,,CLE,L 17-30,0,0,,0,3,56,18.67,0,1,0,0.00,0,0,0,0
37,1964,1964-11-15,10,28.180,PIT,,WAS,L 0-30,0,0,,0,0,0,,0,3,13,4.33,0,0,0,0
38,1964,1964-12-06,13,28.201,PIT,@,WAS,W 14-7,0,0,,0,0,0,,0,1,5,5.00,0,0,0,0
39,1964,1964-12-13,14,28.208,PIT,@,DAL,L 14-17,0,0,,0,1,25,25.00,0,0,0,,0,0,0,0
40,1965,1965-10-03,3,29.137,PIT,,NYG,L 13-23,0,0,,0,0,0,,0,2,4,2.00,0,0,0,0
41,1965,1965-10-17,5,29.151,PIT,,STL,L 7-20,0,0,,0,0,0,,0,0,0,,0,1,20,0
42,1965,1965-10-31,7,29.165,PIT,,DAL,W 22-13,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
43,1965,1965-11-07,8,29.172,PIT,@,STL,L 17-21,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0
44,1965,1965-12-05,12,29.200,PIT,@,NYG,L 10-35,0,0,,0,0,0,,0,1,41,41.00,0,0,0,0
45,1965,1965-12-12,13,29.207,PIT,,PHI,L 13-47,0,0,,0,0,0,,0,3,19,6.33,0,0,0,0
46,1965,1965-12-19,14,29.214,PIT,@,WAS,L 14-35,0,0,,0,0,0,,0,2,2,1.00,0,0,0,0
47,1966,1966-09-11,1,30.115,PIT,,NYG,T 34-34,0,0,,0,0,0,,0,0,0,,0,1,0,0
48,1966,1966-09-18,2,30.122,PIT,,DET,W 17-3,0,0,,0,0,0,,0,2,-1,-0.50,0,0,0,0
49,1966,1966-10-02,4,30.136,PIT,@,WAS,L 10-24,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
50,1966,1966-10-16,6,30.150,PIT,,PHI,L 14-31,0,0,,0,0,0,,0,0,0,,0,1,0,0
51,1966,1966-10-30,7,30.164,PIT,@,DAL,L 21-52,0,0,,0,0,0,,0,1,11,11.00,0,0,0,0
52,1966,1966-11-06,8,30.171,PIT,,CLE,W 16-6,0,0,,0,0,0,,0,0,0,,0,1,0,0
53,1966,1966-11-20,10,30.185,PIT,,DAL,L 7-20,0,0,,0,0,0,,0,1,1,1.00,0,0,0,0
54,1966,1966-12-11,13,30.206,PIT,@,NYG,W 47-28,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0
55,1966,1966-12-18,14,30.213,PIT,@,ATL,W 57-33,0,0,,0,0,0,,0,0,0,,0,1,0,0
56,1967,1967-09-17,1,31.121,PIT,,CHI,W 41-13,0,0,,0,0,0,,0,0,0,,0,1,2,0
57,1967,1967-10-01,3,31.135,PIT,@,PHI,L 24-34,0,0,,0,0,0,,0,1,-3,-3.00,0,0,0,0
58,1967,1967-10-22,6,31.156,PIT,,DAL,L 21-24,0,0,,0,0,0,,0,1,8,8.00,0,1,6,0
59,1967,1967-11-26,11,31.191,MIN,@,PIT,W 41-27,0,0,,0,0,0,,0,1,-4,-4.00,0,1,30,0
60,1967,1967-12-10,13,31.205,MIN,@,CHI,T 10-10,0,0,,0,0,0,,0,3,6,2.00,0,0,0,0
61,1967,1967-12-17,14,31.212,MIN,@,DET,L 3-14,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0
62,1968,1968-09-29,3,32.133,STL,@,NOR,W 21-20,0,0,,0,0,0,,0,0,0,,0,1,8,0
