ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
42,1986,1986-11-09,10,25.079,BUF,,PIT,W 16-12,0,0,,0,0,0,,0,0,0,,,,,,0,0,7,234,33.43,0
43,1986,1986-11-16,11,25.086,BUF,,MIA,L 24-34,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,286,47.67,0
44,1986,1986-11-23,12,25.093,BUF,@,NWE,L 19-22,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,224,37.33,0
45,1986,1986-11-30,13,25.100,BUF,@,KAN,W 17-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,164,32.80,0
46,1986,1986-12-07,14,25.107,BUF,,CLE,L 17-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,229,45.80,0
47,1986,1986-12-14,15,25.114,BUF,@,IND,L 14-24,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,181,45.25,0
48,1986,1986-12-21,16,25.121,BUF,@,HOU,L 7-16,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,214,42.80,0
49,1987,1987-09-13,1,26.022,BUF,,NYJ,L 28-31,0,0,,0,0,0,,0,0,0,,0,,,,0,0,5,234,46.80,0
50,1987,1987-09-20,2,26.029,BUF,,HOU,W 34-30,0,0,,0,0,0,,0,0,0,,0,,,,0,0,5,163,32.60,0
51,1987,1987-10-25,6,26.064,BUF,@,MIA,W 34-31,0,0,,0,0,0,,0,0,0,,0,,,,0,0,3,115,38.33,0
52,1987,1987-11-01,7,26.071,BUF,,WAS,L 7-27,0,0,,0,0,0,,0,0,0,,0,,,,0,0,5,208,41.60,0
53,1987,1987-11-08,8,26.078,BUF,,DEN,W 21-14,0,0,,0,0,0,,0,0,0,,0,,,,0,0,7,274,39.14,0
54,1987,1987-11-15,9,26.085,BUF,@,CLE,L 21-27,0,0,,0,0,0,,0,0,0,,0,,,,0,0,3,118,39.33,0
55,1987,1987-11-22,10,26.092,BUF,@,NYJ,W 17-14,0,0,,0,0,0,,0,0,0,,0,,,,0,0,7,221,31.57,0
56,1987,1987-11-29,11,26.099,BUF,,MIA,W 27-0,0,0,,0,0,0,,0,0,0,,0,,,,0,0,4,168,42.00,0
57,1987,1987-12-06,12,26.106,BUF,@,RAI,L 21-34,0,0,,0,0,0,,0,0,0,,0,,,,0,0,4,184,46.00,0
58,1987,1987-12-13,13,26.113,BUF,@,IND,W 27-3,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,6,225,37.50,0
59,1987,1987-12-20,14,26.120,BUF,,NWE,L 7-13,0,0,,0,0,0,,0,0,0,,0,,,,0,0,6,274,45.67,0
60,1987,1987-12-27,15,26.127,BUF,@,PHI,L 7-17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,9,311,34.56,0
61,1988,1988-09-04,1,27.013,BUF,,MIN,W 13-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,220,44.00,0
62,1988,1988-09-11,2,27.020,BUF,,MIA,W 9-6,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,81,40.50,0
63,1988,1988-09-18,3,27.027,BUF,@,NWE,W 16-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,225,45.00,0
64,1988,1988-09-25,4,27.034,BUF,,PIT,W 36-28,0,0,,0,0,0,,0,0,0,,,,,,0,0,1,31,31.00,0
65,1988,1988-10-02,5,27.041,BUF,@,CHI,L 3-24,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,213,35.50,0
66,1988,1988-10-09,6,27.048,BUF,,IND,W 34-23,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,53,26.50,0
67,1988,1988-10-17,7,27.056,BUF,@,NYJ,W 37-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,98,32.67,0
68,1988,1988-10-23,8,27.062,BUF,,NWE,W 23-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,81,40.50,0
69,1988,1988-10-30,9,27.069,BUF,,GNB,W 28-0,0,0,,0,0,0,,0,0,0,,,,,,0,0,7,229,32.71,0
70,1988,1988-11-06,10,27.076,BUF,@,SEA,W 13-3,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,229,45.80,0
71,1988,1988-11-14,11,27.084,BUF,@,MIA,W 31-6,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,91,45.50,0
72,1988,1988-11-20,12,27.090,BUF,,NYJ,W 9-6,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,158,39.50,0
73,1988,1988-11-27,13,27.097,BUF,@,CIN,L 21-35,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,89,44.50,0
74,1988,1988-12-04,14,27.104,BUF,@,TAM,L 5-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,216,43.20,0
75,1988,1988-12-11,15,27.111,BUF,,RAI,W 37-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,184,36.80,0
76,1988,1988-12-18,16,27.118,BUF,@,IND,L 14-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,253,42.17,0
77,1989,1989-09-10,1,28.019,BUF,@,MIA,W 27-24,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,192,48.00,1
78,1989,1989-09-18,2,28.027,BUF,,DEN,L 14-28,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,105,35.00,0
79,1989,1989-09-24,3,28.033,BUF,@,HOU,W 47-41,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,85,42.50,1
80,1989,1989-10-01,4,28.040,BUF,,NWE,W 31-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,265,44.17,0
81,1989,1989-10-08,5,28.047,BUF,@,IND,L 14-37,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,102,51.00,0
82,1989,1989-10-16,6,28.055,BUF,,RAM,W 23-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,216,36.00,0
83,1989,1989-10-22,7,28.061,BUF,,NYJ,W 34-3,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,124,41.33,0
84,1989,1989-10-29,8,28.068,BUF,,MIA,W 31-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,176,35.20,0
85,1989,1989-11-05,9,28.075,BUF,@,ATL,L 28-30,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,223,44.60,0
86,1989,1989-11-12,10,28.082,BUF,,IND,W 30-7,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,166,41.50,0
87,1989,1989-11-19,11,28.089,BUF,@,NWE,L 24-33,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,136,34.00,0
88,1989,1989-11-26,12,28.096,BUF,,CIN,W 24-7,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,140,35.00,0
89,1989,1989-12-04,13,28.104,BUF,@,SEA,L 16-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,248,41.33,0
90,1989,1989-12-10,14,28.110,BUF,,NOR,L 19-22,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,132,33.00,0
91,1989,1989-12-17,15,28.117,BUF,@,SFO,L 10-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,173,34.60,0
92,1989,1989-12-23,16,28.123,BUF,@,NYJ,W 37-0,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,81,40.50,0
93,1990,1990-09-09,1,29.018,SDG,@,DAL,L 14-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,192,38.40,0
94,1990,1990-09-16,2,29.025,SDG,,CIN,L 16-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,286,47.67,0
95,1990,1990-09-23,3,29.032,SDG,@,CLE,W 24-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,211,42.20,0
96,1990,1990-09-30,4,29.039,SDG,,HOU,L 7-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,65,32.50,0
97,1990,1990-10-07,5,29.046,SDG,@,PIT,L 14-36,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,104,34.67,1
98,1990,1990-10-14,6,29.053,SDG,@,NYJ,W 39-3,,,,,,,,,,,,,,,,,,0,0,,
99,1990,1990-10-21,7,29.060,SDG,,RAI,L 9-24,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,148,37.00,0
100,1990,1990-10-28,8,29.067,SDG,,TAM,W 41-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,152,38.00,0
101,1990,1990-11-04,9,29.074,SDG,@,SEA,W 31-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,158,31.60,0
102,1990,1990-11-11,10,29.081,SDG,,DEN,W 19-7,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,132,44.00,0
103,1990,1990-11-18,11,29.088,SDG,@,KAN,L 10-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,200,40.00,0
104,1990,1990-11-25,12,29.095,SDG,,SEA,L 10-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,187,37.40,0
105,1990,1990-12-02,13,29.102,SDG,,NYJ,W 38-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,165,41.25,0
106,1990,1990-12-16,14,29.116,SDG,@,DEN,L 10-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,209,52.25,0
107,1990,1990-12-23,15,29.123,SDG,,KAN,L 21-24,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,165,41.25,0
108,1990,1990-12-30,16,29.130,SDG,@,RAI,L 12-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,68,34.00,0
109,1991,1991-09-01,1,30.010,SDG,@,PIT,L 20-26,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,249,49.80,0
110,1991,1991-09-08,2,30.017,SDG,@,SFO,L 14-34,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,201,40.20,0
111,1991,1991-09-15,3,30.024,SDG,,ATL,L 10-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,200,40.00,0
112,1991,1991-09-22,4,30.031,SDG,@,DEN,L 19-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,123,41.00,0
113,1991,1991-09-29,5,30.038,SDG,,KAN,L 13-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,123,41.00,0
114,1991,1991-10-06,6,30.045,SDG,@,RAI,W 21-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,195,39.00,0
115,1991,1991-10-13,7,30.052,SDG,@,RAM,L 24-30,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,127,42.33,0
116,1991,1991-10-20,8,30.059,SDG,,CLE,L 24-30,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,180,36.00,0
117,1991,1991-10-27,9,30.066,SDG,@,SEA,L 9-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,143,35.75,0
118,1991,1991-11-10,10,30.080,SDG,,SEA,W 17-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,8,271,33.88,0
119,1991,1991-11-17,11,30.087,SDG,,NOR,W 24-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,196,39.20,1
120,1991,1991-11-24,12,30.094,SDG,@,NYJ,L 3-24,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,124,41.33,0
121,1991,1991-12-01,13,30.101,SDG,,RAI,L 7-9,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,183,30.50,0
122,1991,1991-12-08,14,30.108,SDG,@,KAN,L 17-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,239,47.80,0
123,1991,1991-12-15,15,30.115,SDG,,MIA,W 38-30,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,132,44.00,0
124,1991,1991-12-22,16,30.122,SDG,,DEN,L 14-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,8,378,47.25,0
125,1992,1992-09-06,1,31.015,SDG,,KAN,L 10-24,0,0,,0,0,0,,0,0,0,,,,,,0,0,7,302,43.14,0
126,1992,1992-09-13,2,31.022,SDG,@,DEN,L 13-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,286,47.67,0
127,1992,1992-09-20,3,31.029,SDG,,PIT,L 6-23,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,268,44.67,0
128,1992,1992-09-27,4,31.036,SDG,@,HOU,L 0-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,151,30.20,0
129,1992,1992-10-04,5,31.043,SDG,,SEA,W 17-6,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,269,44.83,0
130,1992,1992-10-18,6,31.057,SDG,@,IND,W 34-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,1,41,41.00,0
131,1992,1992-10-25,7,31.064,SDG,,DEN,W 24-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,138,46.00,0
132,1992,1992-11-01,8,31.071,SDG,,IND,W 26-0,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,158,52.67,0
133,1992,1992-11-08,9,31.078,SDG,@,KAN,L 14-16,0,0,,0,0,0,,0,0,0,,,,,,0,0,7,299,42.71,0
134,1992,1992-11-15,10,31.085,SDG,@,CLE,W 14-13,1,0,0.00,0,0,0,,0,0,0,,,,,,0,0,4,138,34.50,0
135,1992,1992-11-22,11,31.092,SDG,,TAM,W 29-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,198,39.60,0
136,1992,1992-11-29,12,31.099,SDG,,RAI,W 27-3,0,0,,0,0,0,,0,0,0,,,,,,0,0,1,27,27.00,0
137,1992,1992-12-06,13,31.106,SDG,@,PHO,W 27-21,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,282,47.00,0
138,1992,1992-12-13,14,31.113,SDG,,CIN,W 27-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,86,43.00,0
139,1992,1992-12-20,15,31.120,SDG,@,RAI,W 36-14,1,-13,-13.00,0,0,0,,0,0,0,,,,,,0,0,2,95,47.50,0
140,1992,1992-12-27,16,31.127,SDG,@,SEA,W 31-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,161,40.25,0
141,1993,1993-09-05,1,32.014,SDG,,SEA,W 18-12,1,-5,-5.00,0,0,0,,0,0,0,,,,,,0,0,1,55,55.00,0
142,1993,1993-09-12,2,32.021,SDG,@,DEN,L 17-34,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,88,44.00,0
143,1993,1993-10-03,4,32.042,SDG,@,SEA,L 14-31,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,234,39.00,0
144,1993,1993-10-17,6,32.056,SDG,,KAN,L 14-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,216,54.00,0
145,1993,1993-10-31,7,32.070,SDG,@,RAI,W 30-23,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,173,43.25,0
146,1993,1993-11-07,8,32.077,SDG,@,MIN,W 30-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,213,42.60,0
147,1993,1993-11-14,9,32.084,SDG,,CHI,L 13-16,1,2,2.00,1,0,0,,0,0,0,,,,,,1,6,5,188,37.60,0
148,1993,1993-11-21,10,32.091,SDG,,RAI,L 7-12,0,0,,0,0,0,,0,0,0,,,,,,0,0,7,290,41.43,0
149,1993,1993-11-29,11,32.099,SDG,@,IND,W 31-0,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,92,46.00,0
150,1993,1993-12-05,12,32.105,SDG,,DEN,W 13-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,249,41.50,0
151,1993,1993-12-12,13,32.112,SDG,,GNB,L 13-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,221,44.20,0
152,1993,1993-12-19,14,32.119,SDG,@,KAN,L 24-28,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,209,41.80,0
153,1993,1993-12-27,15,32.127,SDG,,MIA,W 45-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,70,35.00,0
154,1993,1994-01-02,16,32.133,SDG,@,TAM,W 32-17,1,-10,-10.00,0,0,0,,0,0,0,,,,,,0,0,3,133,44.33,0
155,1994,1994-09-04,1,33.013,SDG,@,DEN,W 37-34,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,113,37.67,0
156,1994,1994-09-11,2,33.020,SDG,,CIN,W 27-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,133,33.25,0
157,1994,1994-12-04,13,33.104,MIA,,BUF,L 31-42,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,171,42.75,0
158,1994,1994-12-12,14,33.112,MIA,,KAN,W 45-28,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,112,56.00,0
159,1994,1994-12-18,15,33.118,MIA,@,IND,L 6-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,227,45.40,0
160,1994,1994-12-25,16,33.125,MIA,,DET,W 27-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,92,30.67,0
161,1995,1995-09-03,1,34.012,MIA,,NYJ,W 52-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,222,44.40,0
162,1995,1995-09-10,2,34.019,MIA,@,NWE,W 20-3,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,80,40.00,0
163,1995,1995-09-18,3,34.027,MIA,,PIT,W 23-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,249,41.50,0
164,1995,1995-10-01,4,34.040,MIA,@,CIN,W 26-23,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,97,48.50,0
165,1995,1995-10-08,5,34.047,MIA,,IND,L 24-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,72,36.00,0
166,1995,1995-10-15,6,34.054,MIA,@,NOR,L 30-33,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,131,43.67,0
167,1995,1995-10-22,7,34.061,MIA,@,NYJ,L 16-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,155,38.75,0
168,1995,1995-10-29,8,34.068,MIA,,BUF,W 23-6,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,251,50.20,0
169,1995,1995-11-05,9,34.075,MIA,@,SDG,W 24-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,84,42.00,0
170,1995,1995-11-12,10,34.082,MIA,,NWE,L 17-34,0,0,,0,0,0,,0,0,0,,,,,,0,0,1,45,45.00,0
171,1995,1995-11-20,11,34.090,MIA,,SFO,L 20-44,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,179,35.80,0
172,1995,1995-11-26,12,34.096,MIA,@,IND,L 28-36,0,0,,0,0,0,,0,0,0,,,,,,0,0,2,81,40.50,0
173,1995,1995-12-03,13,34.103,MIA,,ATL,W 21-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,1,38,38.00,0
174,1995,1995-12-11,14,34.111,MIA,,KAN,W 13-6,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,269,44.83,0
175,1995,1995-12-17,15,34.117,MIA,@,BUF,L 20-23,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,209,41.80,0
176,1995,1995-12-24,16,34.124,MIA,@,STL,W 41-22,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,271,45.17,0
177,1996,1996-09-01,1,35.010,MIA,,NWE,W 24-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,208,41.60,0
178,1996,1996-09-08,2,35.017,MIA,@,ARI,W 38-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,182,45.50,0
179,1996,1996-09-15,3,35.024,MIA,,NYJ,W 36-27,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,139,46.33,0
180,1996,1996-09-23,4,35.032,MIA,@,IND,L 6-10,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,245,49.00,0
181,1996,1996-10-06,5,35.045,MIA,,SEA,L 15-22,0,0,,0,0,0,,0,0,0,,,,,,0,0,7,338,48.29,0
182,1996,1996-10-13,6,35.052,MIA,@,BUF,W 21-7,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,8,383,47.88,0
183,1996,1996-10-20,7,35.059,MIA,@,PHI,L 28-35,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,177,44.25,0
184,1996,1996-10-27,8,35.066,MIA,,DAL,L 10-29,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,272,54.40,0
185,1996,1996-11-03,9,35.073,MIA,@,NWE,L 23-42,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,263,43.83,0
186,1996,1996-11-10,10,35.080,MIA,,IND,W 37-13,0,0,,0,0,0,,0,0,0,,,,,,0,0,5,243,48.60,0
187,1996,1996-11-17,11,35.087,MIA,@,HOU,W 23-20,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,134,44.67,0
188,1996,1996-11-25,12,35.095,MIA,,PIT,L 17-24,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,186,46.50,0
189,1996,1996-12-01,13,35.101,MIA,@,OAK,L 7-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,272,45.33,0
190,1996,1996-12-08,14,35.108,MIA,,NYG,L 7-17,0,0,,0,0,0,,0,0,0,,,,,,0,0,4,168,42.00,0
191,1996,1996-12-16,15,35.116,MIA,,BUF,W 16-14,0,0,,0,0,0,,0,0,0,,,,,,0,0,3,138,46.00,0
192,1996,1996-12-22,16,35.122,MIA,@,NYJ,W 31-28,0,0,,0,0,0,,0,0,0,,,,,,0,0,6,263,43.83,0
