ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
25,1967,1967-10-22,6,24.229,SDG,@,DEN,W 38-21,0,0,,0,0,0,0,6,224,37.33,0
26,1967,1967-10-29,7,24.236,SDG,@,OAK,L 10-51,0,0,,0,0,0,0,8,337,42.13,0
27,1967,1967-11-12,8,24.250,SDG,,MIA,W 24-0,0,0,,0,0,0,0,4,150,37.50,0
28,1967,1967-11-19,9,24.257,SDG,@,KAN,W 17-16,0,0,,0,0,0,0,4,114,28.50,0
29,1967,1967-11-23,10,24.261,SDG,,DEN,W 24-20,0,0,,0,0,0,0,4,159,39.75,0
30,1967,1967-12-03,11,24.271,SDG,,OAK,L 21-41,0,0,,0,0,0,0,7,278,39.71,0
31,1967,1967-12-10,12,24.278,SDG,@,MIA,L 24-41,0,0,,0,0,0,0,2,56,28.00,0
32,1967,1967-12-16,13,24.284,SDG,@,HOU,L 17-24,0,0,,0,0,0,0,5,184,36.80,0
33,1969,1969-11-27,12,26.265,SDG,@,HOU,W 21-17,0,0,,0,1,3,0,0,0,,0
34,1970,1970-09-20,1,27.197,SDG,,BAL,L 14-16,,,,,,,,,,,
35,1970,1970-09-27,2,27.204,SDG,,OAK,T 27-27,,,,,,,,,,,
36,1970,1970-10-04,3,27.211,SDG,@,RAM,L 10-37,,,,,,,,,,,
37,1970,1970-10-12,4,27.219,SDG,,GNB,L 20-22,,,,,,,,,,,
38,1970,1970-10-18,5,27.225,SDG,@,CHI,W 20-7,,,,,,,,,,,
39,1970,1970-10-25,6,27.232,SDG,,HOU,T 31-31,,,,,,,,,,,
40,1970,1970-11-01,7,27.239,SDG,@,CLE,W 27-10,,,,,,,,,,,
41,1970,1970-11-08,8,27.246,SDG,,DEN,W 24-21,,,,,,,,,,,
42,1970,1970-11-15,9,27.253,SDG,@,BOS,W 16-14,,,,,,,,,,,
43,1970,1970-11-22,10,27.260,SDG,@,OAK,L 17-20,,,,,,,,,,,
44,1970,1970-11-29,11,27.267,SDG,@,KAN,L 14-26,,,,,,,,,,,
45,1970,1970-12-06,12,27.274,SDG,,CIN,L 14-17,,,,,,,,,,,
46,1970,1970-12-13,13,27.281,SDG,@,DEN,T 17-17,,,,,,,,,,,
47,1970,1970-12-20,14,27.288,SDG,,KAN,W 31-13,,,,,,,,,,,
48,1971,1971-09-19,1,28.196,SDG,,KAN,W 21-14,,,,,,,,,,,
49,1971,1971-09-26,2,28.203,SDG,,OAK,L 0-34,,,,,,,,,,,
50,1971,1971-10-10,4,28.217,SDG,@,KAN,L 10-31,,,,,,,,,,,
51,1971,1971-10-17,5,28.224,SDG,@,DEN,L 16-20,,,,,,,,,,,
52,1971,1971-10-23,6,28.230,SDG,,BUF,W 20-3,,,,,,,,,,,
53,1971,1971-10-31,7,28.238,SDG,,NYJ,W 49-21,,,,,,,,,,,
54,1971,1971-11-07,8,28.245,SDG,@,NYG,L 17-35,,,,,,,,,,,
55,1971,1971-11-15,9,28.253,SDG,,STL,W 20-17,,,,,,,,,,,
56,1971,1971-11-21,10,28.259,SDG,@,OAK,L 33-34,,,,,,,,,,,
57,1971,1971-12-05,12,28.273,SDG,,MIN,W 30-14,,,,,,,,,,,
58,1971,1971-12-12,13,28.280,SDG,,DEN,W 45-17,0,0,,0,1,0,0,0,0,,0
59,1971,1971-12-19,14,28.287,SDG,@,HOU,L 33-49,,,,,,,,,,,
60,1972,1972-09-17,1,29.194,SDG,@,SFO,L 3-34,,,,,,,,,,,
61,1972,1972-09-24,2,29.201,SDG,,DEN,W 37-14,,,,,,,,,,,
62,1972,1972-10-01,3,29.208,SDG,@,OAK,T 17-17,,,,,,,,,,,
63,1972,1972-10-08,4,29.215,SDG,@,BAL,W 23-20,,,,,,,,,,,
64,1972,1972-10-15,5,29.222,SDG,@,MIA,L 10-24,,,,,,,,,,,
65,1972,1972-10-22,6,29.229,SDG,@,DET,L 20-34,,,,,,,,,,,
66,1972,1972-10-29,7,29.236,SDG,,KAN,L 14-26,,,,,,,,,,,
67,1972,1972-11-05,8,29.243,SDG,,DAL,L 28-34,,,,,,,,,,,
68,1972,1972-11-13,9,29.251,SDG,,CLE,L 17-21,0,0,,0,1,14,0,0,0,,0
69,1972,1972-11-19,10,29.257,SDG,@,KAN,W 27-17,,,,,,,,,,,
70,1973,1973-09-16,1,30.193,SDG,@,WAS,L 0-38,,,,,,,,,,,
71,1973,1973-09-23,2,30.200,SDG,,BUF,W 34-7,,,,,,,,,,,
72,1973,1973-09-30,3,30.207,SDG,,CIN,L 13-20,,,,,,,,,,,
73,1973,1973-10-07,4,30.214,SDG,@,PIT,L 21-38,,,,,,,,,,,
74,1973,1973-10-14,5,30.221,SDG,,OAK,L 17-27,,,,,,,,,,,
75,1973,1973-10-21,6,30.228,SDG,,ATL,L 0-41,,,,,,,,,,,
76,1973,1973-10-28,7,30.235,SDG,@,CLE,T 16-16,,,,,,,,,,,
77,1973,1973-11-04,8,30.242,SDG,,KAN,L 0-19,,,,,,,,,,,
78,1973,1973-11-11,9,30.249,SDG,@,DEN,L 19-30,,,,,,,,,,,
79,1973,1973-11-18,10,30.256,SDG,,NOR,W 17-14,,,,,,,,,,,
80,1973,1973-11-25,11,30.263,SDG,@,OAK,L 3-31,0,0,,0,1,1,0,0,0,,0
