ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
20,1995,1995-12-24,16,25.033,GNB,,PIT,W 24-19,,,,,,,0.0%,,,,,,,,,
21,1996,1996-09-01,1,25.285,STL,,CIN,W 26-16,,,,,,,0.0%,,,,,,0,0,,0
22,1996,1996-09-08,2,25.292,STL,@,SFO,L 0-34,,,,,,,0.0%,,,,,,0,0,,0
23,1996,1996-09-22,3,25.306,STL,,WAS,L 10-17,,,,,,,0.0%,,,,,,0,0,,0
24,1996,1996-09-29,4,25.313,STL,@,ARI,L 28-31,,0,,,,,0.0%,,,,,,0,0,,0
25,1996,1996-10-06,5,25.320,STL,,SFO,L 11-28,,,,,,,0.0%,,,,,,0,0,,0
26,1996,1996-10-13,6,25.327,STL,@,CAR,L 13-45,,,,,,,0.0%,,,,,,0,0,,0
27,1996,1996-10-20,7,25.334,STL,,JAX,W 17-14,,0,,,,,0.0%,,,,,,0,0,,0
28,1996,1996-10-27,8,25.341,STL,@,BAL,L 31-37,,,,,,,0.0%,,,,,,0,0,,0
29,1996,1996-11-03,9,25.348,STL,@,PIT,L 6-42,,0,,,,,0.0%,,,,,,0,0,,0
30,1996,1996-11-10,10,25.355,STL,,ATL,W 59-16,,,,,,,0.0%,,,,,,0,0,,0
31,1996,1996-11-17,11,25.362,STL,,CAR,L 10-20,,,,,,,0.0%,,,,,,0,0,,0
32,1996,1996-11-24,12,26.003,STL,,GNB,L 9-24,,0,0,0,,0,0.0%,,0,0,,0,2,28,14.00,0
33,1996,1996-12-01,13,26.010,STL,@,NOR,W 26-10,,,,,,,0.0%,,,,,,0,0,,0
34,1996,1996-12-08,14,26.017,STL,@,CHI,L 9-35,,,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0
35,1996,1996-12-15,15,26.024,STL,@,ATL,W 34-27,,0,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0
36,1996,1996-12-21,16,26.030,STL,,NOR,W 14-13,,0,,,,,0.0%,,,,,,0,0,,0
37,1997,1997-08-31,1,26.283,STL,,NOR,W 38-24,,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0
38,1997,1997-09-07,2,26.290,STL,,SFO,L 12-15,,,0,0,,0,0.0%,,0,0,,0,,,,
39,1997,1997-09-14,3,26.297,STL,@,DEN,L 14-35,,4,1,17,17.00,0,25.0%,4.25,0,0,,0,0,0,,0
40,1997,1997-09-21,4,26.304,STL,,NYG,W 13-3,,0,0,0,,0,0.0%,,0,0,,0,,,,
41,1997,1997-09-28,5,26.311,STL,@,OAK,L 17-35,,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,,0
42,1997,1997-10-12,6,26.325,STL,@,SFO,L 10-30,,4,3,86,28.67,0,75.0%,21.50,0,0,,0,0,0,,0
43,1997,1997-10-19,7,26.332,STL,,SEA,L 9-17,,5,2,24,12.00,0,40.0%,4.80,0,0,,0,0,0,,0
44,1997,1997-10-26,8,26.339,STL,,KAN,L 20-28,,4,4,85,21.25,0,100.0%,21.25,0,0,,0,0,0,,0
45,1997,1997-11-09,10,26.353,STL,@,GNB,L 7-17,,,0,0,,0,0.0%,,0,0,,0,,,,
46,1997,1997-11-16,11,26.360,STL,,ATL,L 21-27,,,0,0,,0,0.0%,,0,0,,0,,,,
47,1997,1997-11-23,12,27.002,STL,,CAR,L 10-16,,,0,0,,0,0.0%,,0,0,,0,,,,
48,1997,1997-11-30,13,27.009,STL,@,WAS,W 23-20,,,0,0,,0,0.0%,,0,0,,0,,,,
49,1997,1997-12-07,14,27.016,STL,@,NOR,W 34-27,,,0,0,,0,0.0%,,0,0,,0,,,,
50,1997,1997-12-14,15,27.023,STL,,CHI,L 10-13,,0,0,0,,0,0.0%,,1,9,9.00,0,0,0,,0
51,1997,1997-12-20,16,27.029,STL,@,CAR,W 30-18,,,0,0,,0,0.0%,,0,0,,0,,,,
52,1998,1998-11-08,9,27.352,KAN,@,SEA,L 12-24,,,,,,,0.0%,,,,,,,,,
53,1998,1998-11-16,10,27.360,KAN,,DEN,L 7-30,,,,,,,0.0%,,,,,,,,,
54,1998,1998-11-22,11,28.001,KAN,@,SDG,L 37-38,,,,,,,0.0%,,,,,,,,,
55,1998,1998-11-29,12,28.008,KAN,,ARI,W 34-24,,,,,,,0.0%,,,,,,,,,
56,1998,1998-12-06,13,28.015,KAN,@,DEN,L 31-35,,,,,,,0.0%,,,,,,,,,
57,1998,1998-12-13,14,28.022,KAN,,DAL,W 20-17,,,,,,,0.0%,,,,,,,,,
58,1998,1998-12-20,15,28.029,KAN,@,NYG,L 7-28,,,,,,,0.0%,,,,,,,,,
59,1998,1998-12-26,16,28.035,KAN,@,OAK,W 31-24,,,,,,,0.0%,,,,,,,,,
60,1999,1999-11-21,10,29.000,GNB,,DET,W 26-17,,0,,,,,0.0%,,,,,,,,,
61,1999,1999-11-29,11,29.008,GNB,@,SFO,W 20-3,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0
62,1999,1999-12-05,12,29.014,GNB,@,CHI,W 35-19,,,,,,,0.0%,,,,,,,,,
