ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks
103,1981,1981-12-03,14,28.320,HOU,,CLE,W 17-13,,,,,,,,,,,,,
104,1981,1981-12-13,15,28.330,HOU,@,SFO,L 6-28,,,,,,,,,,,,,
105,1981,1981-12-20,16,28.337,HOU,,PIT,W 21-20,,,,,,,,,,,,,
106,1982,1982-09-12,1,29.238,HOU,@,CIN,L 6-27,,,,,,,,,,,,,
107,1982,1982-09-19,2,29.245,HOU,,SEA,W 23-21,,,,,,,,,,,,,
108,1982,1982-11-21,3,29.308,HOU,,PIT,L 10-24,,,,,,,,,,,,,
109,1982,1982-11-28,4,29.315,HOU,@,NWE,L 21-29,,,,,,,,,,,,,
110,1982,1982-12-05,5,29.322,HOU,@,NYG,L 14-17,,,,,,,,,,,,,
111,1982,1982-12-13,6,29.330,HOU,,DAL,L 7-37,,,,,,,,,,,,,
112,1982,1982-12-19,7,29.336,HOU,@,PHI,L 14-35,,,,,,,,,,,,,
113,1982,1982-12-26,8,29.343,HOU,,CLE,L 14-20,,,,,,,,,,,,,
114,1982,1983-01-02,9,29.350,HOU,,CIN,L 27-35,,,,,,,,,,,,,
115,1983,1983-09-04,1,30.230,HOU,,GNB,L 38-41,,,,,,,,,,,,,
116,1983,1983-09-11,2,30.237,HOU,@,RAI,L 6-20,0,0,,0,,,,,,,0,0,1.0
117,1983,1983-09-18,3,30.244,HOU,,PIT,L 28-40,,,,,,,,,,,,,
118,1983,1983-09-25,4,30.251,HOU,@,BUF,L 13-30,,,,,,,,,,,,,
119,1983,1983-10-02,5,30.258,HOU,@,PIT,L 10-17,,,,,,,,,,,,,
120,1983,1983-10-09,6,30.265,HOU,,DEN,L 14-26,,,,,,,,,,,,,
121,1983,1983-10-16,7,30.272,HOU,@,MIN,L 14-34,,,,,,,,,,,,,
122,1983,1983-10-23,8,30.279,HOU,,KAN,L 10-13,,,,,,,,,,,,,
123,1983,1983-10-30,9,30.286,HOU,@,CLE,L 19-25,,,,,,,,,,,,,
124,1983,1983-11-06,10,30.293,HOU,,CIN,L 14-55,,,,,,,,,,,,,
125,1983,1983-11-13,11,30.300,HOU,,DET,W 27-17,,,,,,,,,,,,,
126,1983,1983-11-20,12,30.307,HOU,@,CIN,L 10-38,,,,,,,,,,,,,
127,1983,1983-11-27,13,30.314,HOU,@,TAM,L 24-33,,,,,,,,,,,,,
128,1983,1983-12-04,14,30.321,HOU,,MIA,L 17-24,,,,,,,,,,,,,
129,1983,1983-12-11,15,30.328,HOU,,CLE,W 34-27,,,,,,,,,,,,,
130,1983,1983-12-18,16,30.335,HOU,@,BAL,L 10-20,,,,,,,,,,,,,
131,1984,1984-09-02,1,31.229,HOU,,RAI,L 14-24,0,0,,0,,,,,,,,,
132,1984,1984-09-09,2,31.236,HOU,,IND,L 21-35,0,0,,0,,,,,,,,,
133,1984,1984-09-16,3,31.243,HOU,@,SDG,L 14-31,0,0,,0,,,,,,,,,
134,1984,1984-09-23,4,31.250,HOU,@,ATL,L 10-42,0,0,,0,,,,,,,,,
135,1984,1984-09-30,5,31.257,HOU,,NOR,L 10-27,0,0,,0,,,,,,,,,
136,1984,1984-10-07,6,31.264,HOU,@,CIN,L 3-13,0,0,,0,,,,,,,,,
137,1984,1984-10-14,7,31.271,HOU,@,MIA,L 10-28,0,0,,0,,,,,,,,,
138,1984,1984-10-21,8,31.278,HOU,,SFO,L 21-34,0,0,,0,,,,,,,,,
139,1984,1984-10-28,9,31.285,HOU,,CIN,L 13-31,0,0,,0,,,,,,,,,
140,1984,1984-11-04,10,31.292,HOU,@,PIT,L 7-35,0,0,,0,,,,,,,,,
141,1984,1984-11-11,11,31.299,HOU,@,KAN,W 17-16,1,16,16.00,0,,,,,,,0,0,0.0
142,1984,1984-11-18,12,31.306,HOU,,NYJ,W 31-20,0,0,,0,,,,,,,,,
143,1984,1984-11-25,13,31.313,HOU,@,CLE,L 10-27,0,0,,0,,,,,,,,,
144,1984,1984-12-02,14,31.320,HOU,,PIT,W 23-20,,,,,,,,,,,,,
145,1984,1984-12-09,15,31.327,HOU,@,RAM,L 16-27,0,0,,0,,,,,,,,,
146,1984,1984-12-16,16,31.334,HOU,,CLE,L 20-27,0,0,,0,,,,,,,,,
