ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
78,1965,1965-09-26,2,27.343,GNB,,BAL,W 20-17,4,53,13.25,0,0,0,,0,0,0,0,0,,0
79,1965,1965-10-10,4,27.357,GNB,,SFO,W 27-10,5,46,9.20,0,0,0,,0,0,0,0,0,,0
80,1965,1965-10-17,5,27.364,GNB,@,DET,W 31-21,1,3,3.00,0,0,0,,0,0,0,0,0,,0
81,1965,1965-10-24,6,28.006,GNB,,DAL,W 13-3,2,27,13.50,0,0,0,,0,0,0,0,0,,0
82,1965,1965-10-31,7,28.013,GNB,@,CHI,L 10-31,1,6,6.00,0,0,0,,0,0,0,0,0,,0
83,1965,1965-11-07,8,28.020,GNB,,DET,L 7-12,3,23,7.67,0,0,0,,0,0,0,0,0,,0
84,1965,1965-11-21,10,28.034,GNB,@,MIN,W 38-13,3,78,26.00,1,0,0,,0,1,6,0,0,,0
85,1965,1965-11-28,11,28.041,GNB,@,RAM,L 10-21,6,62,10.33,0,0,0,,0,0,0,0,0,,0
86,1965,1965-12-05,12,28.048,GNB,,MIN,W 24-19,3,51,17.00,1,0,0,,0,1,6,0,0,,0
87,1965,1965-12-12,13,28.055,GNB,@,BAL,W 42-27,4,40,10.00,1,0,0,,0,1,6,0,0,,0
88,1965,1965-12-19,14,28.062,GNB,@,SFO,T 24-24,6,117,19.50,1,0,0,,0,1,6,0,0,,0
89,1966,1966-09-10,1,28.327,GNB,,BAL,W 24-3,6,73,12.17,0,0,0,,0,0,0,0,0,,0
90,1966,1966-09-18,2,28.335,GNB,@,CLE,W 21-20,4,61,15.25,0,0,0,,0,0,0,0,0,,0
91,1966,1966-09-25,3,28.342,GNB,,RAM,W 24-13,1,16,16.00,0,0,0,,0,0,0,0,0,,0
92,1966,1966-10-02,4,28.349,GNB,,DET,W 23-14,2,16,8.00,0,0,0,,0,0,0,0,0,,0
93,1966,1966-10-09,5,28.356,GNB,@,SFO,L 20-21,2,18,9.00,0,0,0,,0,0,0,0,0,,0
94,1966,1966-10-16,6,28.363,GNB,@,CHI,W 17-0,1,15,15.00,0,0,0,,0,0,0,0,0,,0
95,1966,1966-10-23,7,29.005,GNB,,ATL,W 56-3,2,41,20.50,0,0,0,,0,0,0,0,0,,0
96,1966,1966-10-30,8,29.012,GNB,@,DET,W 31-7,3,30,10.00,0,0,0,,0,0,0,0,0,,0
97,1966,1966-11-06,9,29.019,GNB,,MIN,L 17-20,1,25,25.00,0,0,0,,0,0,0,0,0,,0
98,1966,1966-11-20,10,29.033,GNB,,CHI,W 13-6,2,49,24.50,0,0,0,,0,0,0,0,0,,0
99,1966,1966-11-27,11,29.040,GNB,@,MIN,W 28-16,4,35,8.75,0,0,0,,0,0,0,0,0,,0
100,1966,1966-12-04,12,29.047,GNB,,SFO,W 20-7,1,13,13.00,0,0,0,,0,0,0,0,0,,0
101,1967,1967-09-17,1,29.334,GNB,,DET,T 17-17,2,28,14.00,0,0,0,,0,0,0,0,0,,0
102,1967,1967-10-01,3,29.348,GNB,,ATL,W 23-0,8,105,13.13,0,0,0,,0,0,0,0,0,,0
103,1967,1967-10-08,4,29.355,GNB,@,DET,W 27-17,4,40,10.00,1,0,0,,0,1,6,0,0,,0
104,1967,1967-10-15,5,29.362,GNB,,MIN,L 7-10,3,48,16.00,0,0,0,,0,0,0,0,0,,0
105,1967,1967-10-22,6,30.004,GNB,@,NYG,W 48-21,5,95,19.00,0,0,0,,0,0,0,0,0,,0
106,1967,1967-10-30,7,30.012,GNB,@,STL,W 31-23,5,50,10.00,1,0,0,,0,1,6,0,0,,0
107,1967,1967-11-05,8,30.018,GNB,@,BAL,L 10-13,4,60,15.00,0,0,0,,0,0,0,0,0,,0
108,1967,1967-11-12,9,30.025,GNB,,CLE,W 55-7,2,26,13.00,0,0,0,,0,0,0,0,0,,0
109,1967,1967-11-19,10,30.032,GNB,,SFO,W 13-0,6,85,14.17,0,0,0,,0,0,0,0,0,,0
110,1967,1967-11-26,11,30.039,GNB,@,CHI,W 17-13,6,105,17.50,1,0,0,,0,1,6,0,0,,0
111,1967,1967-12-03,12,30.046,GNB,@,MIN,W 30-27,3,100,33.33,1,0,0,,0,1,6,0,0,,0
112,1967,1967-12-09,13,30.052,GNB,@,RAM,L 24-27,4,71,17.75,0,0,0,,0,0,0,0,0,,0
113,1967,1967-12-17,14,30.060,GNB,,PIT,L 17-24,2,23,11.50,0,0,0,,0,0,0,0,0,,0
114,1968,1968-09-15,1,30.333,GNB,,PHI,W 30-13,5,110,22.00,1,0,0,,0,1,6,0,0,,0
115,1968,1968-09-22,2,30.340,GNB,,MIN,L 13-26,3,41,13.67,0,0,0,,0,0,0,0,0,,0
116,1968,1968-09-29,3,30.347,GNB,,DET,L 17-23,1,12,12.00,0,0,0,,0,0,0,0,0,,0
117,1968,1968-10-06,4,30.354,GNB,@,ATL,W 38-7,5,55,11.00,1,0,0,,0,1,6,0,0,,0
118,1968,1968-10-13,5,30.361,GNB,,RAM,L 14-16,4,53,13.25,0,0,0,,0,0,0,0,0,,0
119,1968,1968-10-20,6,31.002,GNB,@,DET,T 14-14,3,28,9.33,1,0,0,,0,1,6,0,0,,0
120,1968,1968-10-28,7,31.010,GNB,@,DAL,W 28-17,2,25,12.50,1,0,0,,0,1,6,0,0,,0
121,1968,1968-11-03,8,31.016,GNB,,CHI,L 10-13,1,10,10.00,0,0,0,,0,0,0,0,0,,0
122,1968,1968-11-10,9,31.023,GNB,@,MIN,L 10-14,4,50,12.50,0,0,0,,0,0,0,0,0,,0
123,1968,1968-11-17,10,31.030,GNB,,NOR,W 29-7,2,14,7.00,0,0,0,,0,0,0,0,0,,0
124,1968,1968-11-24,11,31.037,GNB,@,WAS,W 27-7,5,50,10.00,0,0,0,,0,0,0,0,0,,0
125,1968,1968-12-01,12,31.044,GNB,@,SFO,L 20-27,3,30,10.00,0,0,0,,0,0,0,0,0,,0
126,1968,1968-12-07,13,31.050,GNB,,BAL,L 3-16,1,8,8.00,0,0,0,,0,0,0,0,0,,0
127,1968,1968-12-15,14,31.058,GNB,@,CHI,W 28-27,6,182,30.33,2,0,0,,0,2,12,0,0,,0
128,1969,1969-09-21,1,31.338,GNB,,CHI,W 17-0,1,11,11.00,0,0,0,,0,0,0,0,0,,0
129,1969,1969-09-28,2,31.345,GNB,,SFO,W 14-7,3,48,16.00,0,0,0,,0,0,0,0,0,,0
130,1969,1969-10-05,3,31.352,GNB,@,MIN,L 7-19,3,37,12.33,0,0,0,,0,0,0,0,0,,0
131,1969,1969-10-19,5,32.001,GNB,@,RAM,L 21-34,6,100,16.67,1,0,0,,0,1,6,0,0,,0
132,1969,1969-11-02,7,32.015,GNB,@,PIT,W 38-34,1,5,5.00,0,0,0,,0,0,0,0,0,,0
133,1969,1969-11-09,8,32.022,GNB,@,BAL,L 6-14,3,37,12.33,0,0,0,,0,0,0,0,0,,0
134,1969,1969-11-23,10,32.036,GNB,,DET,L 10-16,4,80,20.00,1,0,0,,0,1,6,0,0,,0
135,1969,1969-11-30,11,32.043,GNB,,NYG,W 20-10,2,22,11.00,0,0,0,,0,0,0,0,0,,0
136,1969,1969-12-07,12,32.050,GNB,@,CLE,L 7-20,1,22,22.00,0,0,0,,0,0,0,1,34,34.00,0
137,1969,1969-12-14,13,32.057,GNB,@,CHI,W 21-3,1,13,13.00,0,0,0,,0,0,0,0,0,,0
138,1969,1969-12-21,14,32.064,GNB,,STL,W 45-28,6,102,17.00,2,0,0,,0,2,12,0,0,,0
139,1971,1971-09-19,1,33.336,WAS,@,STL,W 24-17,1,9,9.00,0,0,0,,0,0,0,0,0,,0
140,1971,1971-09-26,2,33.343,WAS,@,NYG,W 30-3,1,16,16.00,0,0,0,,0,0,0,0,0,,0
141,1971,1971-10-17,5,33.364,WAS,,STL,W 20-0,1,10,10.00,0,0,0,,0,0,0,0,0,,0
142,1971,1971-10-24,6,34.006,WAS,@,KAN,L 20-27,1,10,10.00,0,0,0,,0,0,0,0,0,,0
143,1971,1971-10-31,7,34.013,WAS,,NOR,W 24-14,5,71,14.20,0,0,0,,0,0,0,0,0,,0
144,1971,1971-11-07,8,34.020,WAS,,PHI,T 7-7,5,67,13.40,0,0,0,,0,0,0,0,0,,0
145,1971,1971-11-14,9,34.027,WAS,@,CHI,L 15-16,4,52,13.00,0,0,0,,0,0,0,0,0,,0
146,1971,1971-11-21,10,34.034,WAS,,DAL,L 0-13,5,52,10.40,0,0,0,,0,0,0,0,0,,0
147,1971,1971-11-28,11,34.041,WAS,@,PHI,W 20-13,3,65,21.67,0,0,0,,0,0,0,0,0,,0
148,1971,1971-12-05,12,34.048,WAS,,NYG,W 23-7,,,,,,,,,,,,,,
149,1971,1971-12-13,13,34.056,WAS,@,RAM,W 38-24,,,,,,,,,,,,,,
150,1971,1971-12-19,14,34.062,WAS,,CLE,L 13-20,,,,,,,,,,,,,,
