ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,def_int,def_int_yds,def_int_td
40,1978,1978-11-19,12,24.290,CLE,@,BAL,W 45-24,2,13,6.50,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
41,1978,1978-11-26,13,24.297,CLE,,RAM,W 30-19,3,70,23.33,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
42,1978,1978-12-03,14,24.304,CLE,@,SEA,L 24-47,5,43,8.60,2,0,0,,0,0,0,,0,0,,,2,12,0,0,0
43,1978,1978-12-10,15,24.311,CLE,,NYJ,W 37-34,1,18,18.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
44,1978,1978-12-17,16,24.318,CLE,@,CIN,L 16-48,3,86,28.67,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
45,1979,1979-09-02,1,25.212,CLE,@,NYJ,W 25-22,6,115,19.17,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
46,1979,1979-09-09,2,25.219,CLE,@,KAN,W 27-24,2,30,15.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
47,1979,1979-09-16,3,25.226,CLE,,BAL,W 13-10,5,77,15.40,1,0,0,,0,0,0,,0,0,,,1,6,0,0,0
48,1979,1979-09-24,4,25.234,CLE,,DAL,W 26-7,2,42,21.00,1,0,0,,0,0,0,,0,0,,,1,6,0,0,0
49,1979,1979-09-30,5,25.240,CLE,@,HOU,L 10-31,2,58,29.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
50,1979,1979-10-07,6,25.247,CLE,,PIT,L 35-51,5,91,18.20,2,0,0,,0,0,0,,0,0,,,2,12,0,0,0
51,1979,1979-10-14,7,25.254,CLE,,WAS,L 9-13,5,97,19.40,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
52,1979,1979-10-21,8,25.261,CLE,,CIN,W 28-27,1,13,13.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
53,1979,1979-10-28,9,25.268,CLE,@,STL,W 38-20,2,14,7.00,1,0,0,,0,0,0,,0,0,,,1,6,0,0,0
54,1979,1979-11-04,10,25.275,CLE,@,PHI,W 24-19,3,35,11.67,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
55,1979,1979-11-11,11,25.282,CLE,,SEA,L 24-29,3,46,15.33,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
56,1979,1979-11-18,12,25.289,CLE,,MIA,W 30-24,5,63,12.60,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
57,1979,1979-11-25,13,25.296,CLE,@,PIT,L 30-33,7,135,19.29,1,0,0,,0,0,0,,0,0,,,1,6,0,0,0
58,1979,1979-12-02,14,25.303,CLE,,HOU,W 14-7,1,21,21.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
59,1979,1979-12-09,15,25.310,CLE,@,OAK,L 14-19,5,59,11.80,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
60,1979,1979-12-16,16,25.317,CLE,@,CIN,L 12-16,5,86,17.20,1,0,0,,0,0,0,,0,0,,,1,6,0,0,0
61,1980,1980-09-07,1,26.218,CLE,@,NWE,L 17-34,4,44,11.00,1,0,0,,0,0,0,,0,0,,,1,6,0,0,0
62,1980,1980-09-15,2,26.226,CLE,,HOU,L 7-16,3,37,12.33,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
63,1980,1980-09-21,3,26.232,CLE,,KAN,W 20-13,3,39,13.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
64,1980,1980-09-28,4,26.239,CLE,@,TAM,W 34-27,2,50,25.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
65,1980,1980-10-05,5,26.246,CLE,,DEN,L 16-19,3,32,10.67,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
66,1980,1980-10-12,6,26.253,CLE,@,SEA,W 27-3,2,38,19.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
67,1980,1980-10-19,7,26.260,CLE,,GNB,W 26-21,2,52,26.00,1,0,0,,0,0,0,,0,0,,,1,6,0,0,0
68,1980,1980-10-26,8,26.267,CLE,,PIT,W 27-26,8,131,16.38,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
69,1980,1980-11-03,9,26.275,CLE,,CHI,W 27-21,3,41,13.67,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
70,1980,1980-11-09,10,26.281,CLE,@,BAL,W 28-27,5,85,17.00,1,0,0,,0,0,0,,0,0,,,1,6,0,0,0
71,1980,1980-11-16,11,26.288,CLE,@,PIT,L 13-16,1,15,15.00,1,0,0,,0,0,0,,0,0,,,1,6,0,0,0
72,1980,1980-11-23,12,26.295,CLE,,CIN,W 31-7,6,50,8.33,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
73,1980,1980-11-30,13,26.302,CLE,@,HOU,W 17-14,,,,,,,,,,,,,,,,,,,,
74,1980,1980-12-07,14,26.309,CLE,,NYJ,W 17-14,6,87,14.50,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
75,1980,1980-12-14,15,26.316,CLE,@,MIN,L 23-28,2,56,28.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
76,1980,1980-12-21,16,26.323,CLE,@,CIN,W 27-24,1,65,65.00,0,0,0,,0,0,0,,0,0,,,0,0,0,0,0
77,1981,1981-09-07,1,27.217,CLE,,SDG,L 14-44,4,71,17.75,0,0,0,,0,0,0,,,,,,0,0,0,0,0
78,1981,1981-09-13,2,27.223,CLE,,HOU,L 3-9,2,20,10.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
79,1981,1981-09-20,3,27.230,CLE,@,CIN,W 20-17,0,0,,0,,,,,,,,,,,,,,,,
80,1981,1981-09-27,4,27.237,CLE,,ATL,W 28-17,2,32,16.00,0,0,0,,0,0,0,,,,,,0,0,1,0,0
81,1981,1981-10-04,5,27.244,CLE,@,RAM,L 16-27,0,0,,0,,,,,,,,,,,,,,,,
82,1981,1981-10-11,6,27.251,CLE,@,PIT,L 7-13,1,20,20.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
83,1981,1981-10-25,8,27.265,CLE,,BAL,W 42-28,3,69,23.00,1,0,0,,0,0,0,,,,,,1,6,0,0,0
84,1981,1981-11-01,9,27.272,CLE,@,BUF,L 13-22,1,19,19.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
85,1981,1981-11-08,10,27.279,CLE,@,DEN,L 20-23,5,86,17.20,1,0,0,,0,0,0,,,,,,1,6,0,0,0
86,1981,1981-11-22,12,27.293,CLE,,PIT,L 10-32,1,13,13.00,1,0,0,,0,0,0,,,,,,1,6,0,0,0
87,1981,1981-11-29,13,27.300,CLE,,CIN,L 21-41,2,13,6.50,0,0,0,,0,0,0,,,,,,0,0,0,0,0
88,1981,1981-12-03,14,27.304,CLE,@,HOU,L 13-17,4,38,9.50,0,0,0,,0,0,0,,,,,,0,0,0,0,0
89,1981,1981-12-12,15,27.313,CLE,,NYJ,L 13-14,1,15,15.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
90,1981,1981-12-20,16,27.321,CLE,@,SEA,L 21-42,5,101,20.20,1,0,0,,0,0,0,,,,,,1,6,0,0,0
91,1982,1982-09-12,1,28.222,CLE,@,SEA,W 21-7,2,33,16.50,0,0,0,,0,0,0,,,,,,0,0,0,0,0
92,1982,1982-09-19,2,28.229,CLE,,PHI,L 21-24,0,0,,0,,,,,,,,,,,,,,,,
93,1982,1982-11-21,3,28.292,CLE,,NWE,W 10-7,2,16,8.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
94,1982,1982-11-25,4,28.296,CLE,@,DAL,L 14-31,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
95,1982,1982-12-05,5,28.306,CLE,,SDG,L 13-30,5,71,14.20,0,0,0,,0,0,0,,,,,,0,0,0,0,0
96,1982,1982-12-12,6,28.313,CLE,@,CIN,L 10-23,2,41,20.50,0,0,0,,0,0,0,,,,,,0,0,0,0,0
97,1982,1982-12-19,7,28.320,CLE,,PIT,W 10-9,4,52,13.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
98,1982,1982-12-26,8,28.327,CLE,@,HOU,W 20-14,4,83,20.75,1,0,0,,0,0,0,,,,,,1,6,0,0,0
99,1982,1983-01-02,9,28.334,CLE,@,PIT,L 21-37,3,39,13.00,1,0,0,,0,0,0,,,,,,1,6,0,0,0
100,1983,1983-09-04,1,29.214,CLE,,MIN,L 21-27,4,83,20.75,0,0,0,,0,0,0,,,,,,0,0,0,0,0
101,1983,1983-09-11,2,29.221,CLE,@,DET,W 31-26,2,35,17.50,1,0,0,,0,0,0,,,,,,1,6,0,0,0
102,1983,1983-09-15,3,29.225,CLE,,CIN,W 17-7,1,10,10.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
103,1983,1983-09-25,4,29.235,CLE,@,SDG,W 30-24,8,121,15.13,0,0,0,,0,0,0,,,,,,0,0,0,0,0
104,1983,1983-10-02,5,29.242,CLE,,SEA,L 9-24,3,44,14.67,0,0,0,,0,0,0,,,,,,0,0,0,0,0
105,1983,1983-10-09,6,29.249,CLE,,NYJ,W 10-7,3,66,22.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
106,1983,1983-10-16,7,29.256,CLE,@,PIT,L 17-44,1,22,22.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
107,1983,1983-10-23,8,29.263,CLE,@,CIN,L 21-28,0,0,,0,,,,,,,,,,,,,,,,
108,1983,1983-10-30,9,29.270,CLE,,HOU,W 25-19,3,56,18.67,0,0,0,,0,0,0,,,,,,0,0,0,0,0
109,1983,1983-11-06,10,29.277,CLE,@,GNB,L 21-35,4,73,18.25,0,0,0,,0,0,0,,,,,,0,0,0,0,0
110,1983,1983-11-13,11,29.284,CLE,,TAM,W 20-0,1,7,7.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
111,1983,1983-11-20,12,29.291,CLE,@,NWE,W 30-0,0,0,,0,,,,,,,,,,,,,,,,
112,1983,1983-11-27,13,29.298,CLE,,BAL,W 41-23,3,64,21.33,1,0,0,,0,0,0,,,,,,1,6,0,0,0
113,1983,1983-12-04,14,29.305,CLE,@,DEN,L 6-27,2,14,7.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
114,1983,1983-12-11,15,29.312,CLE,@,HOU,L 27-34,2,32,16.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
115,1983,1983-12-18,16,29.319,CLE,,PIT,W 30-17,0,0,,0,,,,,,,,,,,,,,,,
116,1984,1984-09-02,1,30.213,DEN,,CIN,W 20-17,0,0,,0,,,,,,,,,,,,,,,,
117,1984,1984-09-09,2,30.220,DEN,@,CHI,L 0-27,0,0,,0,,,,,,,,,,,,,,,,
118,1984,1984-09-16,3,30.227,DEN,@,CLE,W 24-14,0,0,,0,,,,,,,,,,,,,,,,
119,1984,1984-09-23,4,30.234,DEN,,KAN,W 21-0,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,0,0,0
