ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
56,2011,2011-11-27,11,25.036,CLE,@,CIN,L 20-23,,,,,,,,,,,,
57,2011,2011-12-04,12,25.043,CLE,,BAL,L 10-24,,0,0,,0,0,0,,0,0.0,0,0
58,2011,2011-12-08,13,25.047,CLE,@,PIT,L 3-14,,,,,,,,,,,,
59,2011,2011-12-18,14,25.057,CLE,@,ARI,L 17-20,,,,,,,,,,,,
60,2011,2011-12-24,15,25.063,CLE,@,BAL,L 14-20,,,,,,,,,,,,
61,2011,2012-01-01,16,25.071,CLE,,PIT,L 9-13,,,,,,,,,,,,
62,2012,2012-09-09,1,25.323,CLE,,PHI,L 16-17,,,,,,,,,,,,
63,2012,2012-09-23,3,25.337,CLE,,BUF,L 14-24,,,,,,,,,,,,
64,2012,2012-09-27,4,25.341,CLE,@,BAL,L 16-23,,,,,,,,,,,,
65,2012,2012-10-07,5,25.351,CLE,@,NYG,L 27-41,,0,0,,0,0,0,,0,0.0,0,0
66,2012,2012-10-14,6,25.358,CLE,,CIN,W 34-24,,0,0,,0,0,0,,0,0.0,0,0
67,2012,2012-10-21,7,25.365,CLE,@,IND,L 13-17,,,,,,,,,,,,
68,2012,2012-10-28,8,26.006,CLE,,SDG,W 7-6,,0,0,,0,0,0,,0,0.0,0,0
69,2012,2012-11-04,9,26.013,CLE,,BAL,L 15-25,,0,0,,0,0,0,,0,0.0,0,0
70,2012,2012-12-09,13,26.048,CLE,,KAN,W 30-7,,0,0,,0,0,0,,0,0.0,0,0
71,2012,2012-12-16,14,26.055,CLE,,WAS,L 21-38,,,,,,,,,,,,
72,2012,2012-12-23,15,26.062,CLE,@,DEN,L 12-34,,,,,,,,,,,,
73,2012,2012-12-30,16,26.069,CLE,@,PIT,L 10-24,,1,35,35.00,0,0,0,,0,0.0,0,0
74,2013,2013-09-08,1,26.321,SFO,,GNB,W 34-28,,,,,,,,,,,,
75,2013,2013-09-15,2,26.328,SFO,@,SEA,L 3-29,,,,,,,,,,,,
76,2013,2013-09-22,3,26.335,SFO,,IND,L 7-27,,,,,,,,,,,,
77,2013,2013-09-26,4,26.339,SFO,@,STL,W 35-11,,0,0,,0,0,0,,0,0.0,1,0
78,2013,2013-10-06,5,26.349,SFO,,HOU,W 34-3,,0,0,,0,0,0,,0,0.0,0,1
79,2013,2013-10-13,6,26.356,SFO,,ARI,W 32-20,,,,,,,,,,,,
80,2013,2013-10-20,7,26.363,SFO,@,TEN,W 31-17,,0,0,,0,0,0,,0,0.0,0,1
81,2013,2013-10-27,8,27.005,SFO,@,JAX,W 42-10,,0,0,,0,0,0,,0,0.0,2,0
82,2013,2013-11-10,9,27.019,SFO,,CAR,L 9-10,,0,0,,0,0,0,,0,0.0,1,0
83,2013,2013-11-17,10,27.026,SFO,@,NOR,L 20-23,,0,0,,0,0,0,,0,0.0,0,0
84,2013,2013-11-25,11,27.034,SFO,@,WAS,W 27-6,,,,,,,,,,,,
85,2013,2013-12-01,12,27.040,SFO,,STL,W 23-13,,,,,,,,,,,,
86,2013,2013-12-08,13,27.047,SFO,,SEA,W 19-17,,0,0,,0,0,0,,0,0.0,3,0
87,2013,2013-12-15,14,27.054,SFO,@,TAM,W 33-14,,0,0,,0,0,0,,0,0.0,1,0
88,2013,2013-12-23,15,27.062,SFO,,ATL,W 34-24,,0,0,,0,0,0,,0,0.0,0,1
89,2013,2013-12-29,16,27.068,SFO,@,ARI,W 23-20,,,,,,,,,,,,
90,2014,2014-10-13,6,27.356,SFO,@,STL,W 31-17,,,,,,,,,,,,
91,2014,2014-10-19,7,27.362,SFO,@,DEN,L 17-42,,0,0,,0,0,0,,0,0.0,0,1
92,2014,2014-11-02,8,28.011,SFO,,STL,L 10-13,,,,,,,,,,,,
93,2014,2014-11-09,9,28.018,SFO,@,NOR,W 27-24,,,,,,,,,,,,
94,2014,2014-11-16,10,28.025,SFO,@,NYG,W 16-10,,0,0,,0,0,0,,0,0.0,1,0
95,2014,2014-11-23,11,28.032,SFO,,WAS,W 17-13,,0,0,,0,0,0,,0,0.0,1,0
96,2014,2014-11-27,12,28.036,SFO,,SEA,L 3-19,,,,,,,,,,,,
97,2014,2014-12-20,15,28.059,SFO,,SDG,L 35-38,,,,,,,,,,,,
