ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
18,1952,1952-11-09,7,26.141,GNB,@,CHI,W 41-28,9,46,5.11,1,3,68,22.67,1,,,,,,,2,
19,1952,1952-11-16,8,26.148,GNB,@,NYG,W 17-3,7,22,3.14,0,1,-5,-5.00,0,,,,,,,0,
20,1952,1952-11-27,10,26.159,GNB,@,DET,L 24-48,3,-4,-1.33,0,0,0,,0,,,,,,,0,
21,1953,1953-09-27,1,27.098,GNB,,CLE,L 0-27,6,35,5.83,0,0,0,,0,,,,,,,0,
22,1953,1953-10-04,2,27.105,GNB,,CHI,L 13-17,3,6,2.00,0,2,24,12.00,0,,,,,,,0,
23,1953,1953-10-11,3,27.112,GNB,,RAM,L 20-38,4,12,3.00,1,2,18,9.00,0,,,,,,,1,
24,1953,1953-10-18,4,27.119,GNB,,BAL,W 37-14,8,23,2.88,1,0,0,,0,,,,,,,1,
25,1953,1953-10-24,5,27.125,GNB,@,PIT,L 14-31,0,0,,0,3,7,2.33,1,,,,,,,1,
26,1953,1953-10-31,6,27.132,GNB,@,BAL,W 35-24,5,8,1.60,1,3,64,21.33,0,,,,,,,1,
27,1953,1953-11-08,7,27.140,GNB,@,CHI,T 21-21,12,47,3.92,1,4,20,5.00,0,,,,,,,1,
28,1953,1953-11-15,8,27.147,GNB,,DET,L 7-14,8,22,2.75,0,3,19,6.33,0,,,,,,,0,
29,1953,1953-11-22,9,27.154,GNB,,SFO,L 7-37,9,31,3.44,0,0,0,,0,,,,,,,0,
30,1953,1953-11-26,10,27.158,GNB,@,DET,L 15-34,14,35,2.50,0,1,13,13.00,0,,,,,,,0,
31,1953,1953-12-06,11,27.168,GNB,@,SFO,L 14-48,12,43,3.58,1,0,0,,0,,,,,,,1,
32,1953,1953-12-12,12,27.174,GNB,@,RAM,L 17-33,11,39,3.55,0,0,0,,0,,,,,,,0,
33,1954,1954-09-26,1,28.097,GNB,,PIT,L 20-21,4,10,2.50,0,0,0,,0,,,,,,,0,
34,1954,1954-10-03,2,28.104,GNB,,CHI,L 3-10,2,-1,-0.50,0,2,17,8.50,0,,,,,,,0,
35,1954,1954-10-10,3,28.111,GNB,,SFO,L 17-23,2,-1,-0.50,0,0,0,,0,,,,,,,0,
36,1954,1954-10-17,4,28.118,GNB,,RAM,W 35-17,2,7,3.50,0,0,0,,0,,,,,,,0,
37,1954,1954-11-07,7,28.139,GNB,@,CHI,L 23-28,1,-9,-9.00,0,0,0,,0,,,,,,,0,
38,1954,1954-11-13,8,28.145,GNB,,BAL,W 24-13,2,7,3.50,0,1,4,4.00,0,,,,,,,0,
39,1954,1954-12-05,11,28.167,GNB,@,SFO,L 0-35,0,0,,0,1,-2,-2.00,0,,,,,,,0,
40,1954,1954-12-12,12,28.174,GNB,@,RAM,L 27-35,2,5,2.50,0,0,0,,0,,,,,,,0,
41,1955,1955-09-25,1,29.096,GNB,,DET,W 20-17,1,2,2.00,0,0,0,,0,,,,,,,0,
42,1955,1955-10-16,4,29.117,GNB,,RAM,W 30-28,4,-4,-1.00,0,1,7,7.00,0,,,,,,,0,
43,1955,1955-11-13,8,29.145,GNB,,CRD,W 31-14,3,22,7.33,0,0,0,,0,,,,,,,0,
44,1955,1955-11-24,10,29.156,GNB,@,DET,L 10-24,1,-1,-1.00,0,0,0,,0,,,,,,,0,
45,1955,1955-12-04,11,29.166,GNB,@,SFO,W 28-7,1,4,4.00,0,0,0,,0,,,,,,,0,
46,1955,1955-12-11,12,29.173,GNB,@,RAM,L 17-31,2,2,1.00,0,0,0,,0,,,,,,,0,
47,1956,1956-10-21,4,30.122,GNB,,RAM,W 42-17,1,2,2.00,1,0,0,,0,,,,,,,1,
48,1956,1956-11-04,6,30.136,GNB,,CLE,L 7-24,5,1,0.20,0,4,71,17.75,0,,,,,,,0,
49,1956,1956-11-11,7,30.143,GNB,@,CHI,L 14-38,3,6,2.00,0,1,21,21.00,0,,,,,,,0,
50,1956,1956-11-18,8,30.150,GNB,,SFO,L 16-17,0,0,,0,1,17,17.00,0,,,,,,,0,
51,1956,1956-11-22,9,30.154,GNB,@,DET,W 24-20,10,25,2.50,0,1,14,14.00,1,,,,,,,1,
52,1956,1956-12-02,10,30.164,GNB,@,CRD,W 24-21,12,92,7.67,0,2,22,11.00,0,,,,,,,0,
53,1956,1956-12-08,11,30.170,GNB,@,SFO,L 20-38,6,17,2.83,0,2,75,37.50,1,,,,,,,1,
54,1956,1956-12-16,12,30.178,GNB,@,RAM,L 21-49,12,68,5.67,1,1,-2,-2.00,0,,,,,,,1,
55,1957,1957-09-29,1,31.100,GNB,,CHI,W 21-17,20,52,2.60,1,0,0,,0,,,,,,,1,
56,1957,1957-10-06,2,31.107,GNB,,DET,L 14-24,4,27,6.75,1,1,6,6.00,0,,,,,,,1,
57,1957,1957-10-13,3,31.114,GNB,,BAL,L 17-45,6,6,1.00,0,1,8,8.00,0,,,,,,,0,
58,1957,1957-10-20,4,31.121,GNB,,SFO,L 14-24,11,26,2.36,0,0,0,,0,,,,,,,0,
59,1957,1957-10-27,5,31.128,GNB,@,BAL,W 24-21,7,-6,-0.86,0,0,0,,0,,,,,,,0,
60,1957,1957-11-03,6,31.135,GNB,,NYG,L 17-31,2,5,2.50,0,1,10,10.00,0,,,,,,,0,
61,1957,1957-11-28,10,31.160,GNB,@,DET,L 6-18,1,-3,-3.00,0,0,0,,0,,,,,,,0,
62,1957,1957-12-15,12,31.177,GNB,@,SFO,L 20-27,2,28,14.00,0,1,6,6.00,0,,,,,,,0,
63,1960,1960-09-24,1,34.095,DAL,,PIT,L 28-35,0,0,,0,0,0,,0,4,4,100.0,,,,0,4
64,1960,1960-09-30,2,34.101,DAL,,PHI,L 25-27,0,0,,0,0,0,,0,1,3,33.3,2,2,100.0,0,7
65,1960,1960-10-09,3,34.110,DAL,@,WAS,L 14-26,0,0,,0,0,0,,0,2,2,100.0,,2,0.0,0,2
66,1960,1960-10-16,4,34.117,DAL,,CLE,L 7-48,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
67,1960,1960-10-23,5,34.124,DAL,@,STL,L 10-12,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
68,1960,1960-10-30,6,34.131,DAL,,BAL,L 7-45,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,0,1
69,1960,1960-11-06,7,34.138,DAL,,RAM,L 13-38,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
70,1960,1960-11-13,8,34.145,DAL,@,GNB,L 7-41,0,0,,0,0,0,,0,1,1,100.0,,,,0,1
71,1960,1960-11-20,9,34.152,DAL,,SFO,L 14-26,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
72,1960,1960-11-27,10,34.159,DAL,@,CHI,L 7-17,0,0,,0,0,0,,0,1,1,100.0,,3,0.0,0,1
73,1960,1960-12-04,11,34.166,DAL,@,NYG,T 31-31,0,0,,0,0,0,,0,4,4,100.0,1,1,100.0,0,7
74,1960,1960-12-11,12,34.173,DAL,@,DET,L 14-23,0,0,,0,0,0,,0,2,2,100.0,,,,0,2
