ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
35,2001,2001-11-11,9,31.110,CAR,@,STL,L 14-48,,0,,,,,0.0%,,,,,,,,,
36,2001,2001-11-18,10,31.117,CAR,,SFO,L 22-25,,0,,,,,0.0%,,,,,,,,,
37,2001,2002-01-06,16,31.166,CAR,,NWE,L 6-38,,,,,,,0.0%,,,,,,,,,
38,2002,2002-09-08,1,32.046,CAR,,BAL,W 10-7,,,,,,,0.0%,,,,,,,,,
39,2002,2002-09-15,2,32.053,CAR,,DET,W 31-7,,0,,,,,0.0%,,,,,,,,,
40,2002,2002-09-22,3,32.060,CAR,@,MIN,W 21-14,,0,,,,,0.0%,,,,,,,,,
41,2002,2002-09-29,4,32.067,CAR,@,GNB,L 14-17,,2,1,31,31.00,0,50.0%,15.50,0,0,,0,0,0,,0
42,2002,2002-10-06,5,32.074,CAR,,ARI,L 13-16,,0,0,0,,0,0.0%,,1,2,2.00,0,0,0,,0
43,2002,2002-10-13,6,32.081,CAR,@,DAL,L 13-14,,3,2,38,19.00,0,66.7%,12.67,0,0,,0,0,0,,0
44,2002,2002-10-20,7,32.088,CAR,@,ATL,L 0-30,,1,1,27,27.00,0,100.0%,27.00,0,0,,0,0,0,,0
45,2002,2002-10-27,8,32.095,CAR,,TAM,L 9-12,,0,,,,,0.0%,,,,,,,,,
46,2002,2002-11-10,9,32.109,CAR,,NOR,L 24-34,,3,1,22,22.00,0,33.3%,7.33,1,-6,-6.00,0,0,0,,0
47,2002,2002-11-17,10,32.116,CAR,@,TAM,L 10-23,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0
48,2002,2002-11-24,11,32.123,CAR,,ATL,L 0-41,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,0
49,2002,2002-12-01,12,32.130,CAR,@,CLE,W 13-6,,,,,,,0.0%,,,,,,,,,
50,2002,2002-12-08,13,32.137,CAR,,CIN,W 52-31,,1,,,,,0.0%,,,,,,,,,
51,2002,2002-12-15,14,32.144,CAR,@,PIT,L 14-30,*,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0
52,2002,2002-12-22,15,32.151,CAR,,CHI,W 24-14,,,,,,,0.0%,,,,,,,,,
53,2002,2002-12-29,16,32.158,CAR,@,NOR,W 10-6,,,,,,,0.0%,,,,,,,,,
54,2003,2003-09-07,1,33.045,CAR,,JAX,W 24-23,,,,,,,0.0%,,,,,,,,,
55,2003,2003-09-14,2,33.052,CAR,@,TAM,W 12-9,,0,,,,,0.0%,,,,,,,,,
56,2003,2003-09-28,3,33.066,CAR,,ATL,W 23-3,,,,,,,0.0%,,,,,,,,,
57,2003,2003-10-05,4,33.073,CAR,,NOR,W 19-13,,0,,,,,0.0%,,,,,,,,,
58,2003,2003-10-12,5,33.080,CAR,@,IND,W 23-20,,0,,,,,0.0%,,,,,,,,,
59,2003,2003-10-19,6,33.087,CAR,,TEN,L 17-37,,0,,,,,0.0%,,,,,,,,,
60,2003,2003-11-09,9,33.108,CAR,,TAM,W 27-24,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0
61,2003,2003-11-16,10,33.115,CAR,,WAS,W 20-17,,1,,,,,0.0%,,,,,,,,,
62,2003,2003-11-23,11,33.122,CAR,@,DAL,L 20-24,,1,,,,,0.0%,,,,,,,,,
63,2003,2003-11-30,12,33.129,CAR,,PHI,L 16-25,,,,,,,0.0%,,,,,,,,,
64,2003,2003-12-07,13,33.136,CAR,@,ATL,L 14-20,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,0
65,2003,2003-12-14,14,33.143,CAR,@,ARI,W 20-17,,0,,,,,0.0%,,,,,,,,,
66,2003,2003-12-21,15,33.150,CAR,,DET,W 20-14,,,,,,,0.0%,,,,,,,,,
67,2003,2003-12-28,16,33.157,CAR,@,NYG,W 37-24,,0,,,,,0.0%,,,,,,,,,
68,2004,2004-09-13,1,34.051,CAR,,GNB,L 14-24,,2,2,25,12.50,0,100.0%,12.50,0,0,,0,0,0,,0
69,2004,2004-09-19,2,34.057,CAR,@,KAN,W 28-17,,0,,,,,0.0%,,,,,,,,,
70,2004,2004-10-03,3,34.071,CAR,,ATL,L 10-27,,,,,,,0.0%,,,,,,,,,
71,2004,2004-10-10,4,34.078,CAR,@,DEN,L 17-20,,,,,,,0.0%,,,,,,,,,
72,2004,2004-10-17,5,34.085,CAR,@,PHI,L 8-30,,,,,,,0.0%,,,,,,,,,
73,2004,2004-10-24,6,34.092,CAR,,SDG,L 6-17,,0,,,,,0.0%,,,,,,,,,
74,2004,2004-10-31,7,34.099,CAR,@,SEA,L 17-23,,,,,,,0.0%,,,,,,,,,
75,2004,2004-11-07,8,34.106,CAR,,OAK,L 24-27,,0,,,,,0.0%,,,,,,,,,
76,2004,2004-11-14,9,34.113,CAR,@,SFO,W 37-27,,,,,,,0.0%,,,,,,,,,
77,2004,2004-11-21,10,34.120,CAR,,ARI,W 35-10,,0,,,,,0.0%,,,,,,,,,
78,2004,2004-11-28,11,34.127,CAR,,TAM,W 21-14,,,,,,,0.0%,,,,,,,,,
79,2004,2004-12-12,13,34.141,CAR,,STL,W 20-7,,0,,,,,0.0%,,,,,,,,,
80,2004,2004-12-18,14,34.147,CAR,@,ATL,L 31-34,,0,,,,,0.0%,,,,,,,,,
81,2004,2004-12-26,15,34.155,CAR,@,TAM,W 37-20,,,,,,,0.0%,,,,,,,,,
82,2004,2005-01-02,16,34.162,CAR,,NOR,L 18-21,,0,,,,,0.0%,,,,,,,,,
83,2005,2005-09-11,1,35.049,CAR,,NOR,L 20-23,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
84,2005,2005-09-18,2,35.056,CAR,,NWE,W 27-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
85,2005,2005-09-25,3,35.063,CAR,@,MIA,L 24-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
86,2005,2005-10-03,4,35.071,CAR,,GNB,W 32-29,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
87,2005,2005-10-09,5,35.077,CAR,@,ARI,W 24-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
88,2005,2005-10-16,6,35.084,CAR,@,DET,W 21-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
89,2005,2005-10-30,7,35.098,CAR,,MIN,W 38-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
90,2005,2005-11-06,8,35.105,CAR,@,TAM,W 34-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
91,2005,2005-11-13,9,35.112,CAR,,NYJ,W 30-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
92,2005,2005-11-20,10,35.119,CAR,@,CHI,L 3-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
93,2005,2005-11-27,11,35.126,CAR,@,BUF,W 13-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
94,2005,2005-12-04,12,35.133,CAR,,ATL,W 24-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
95,2005,2005-12-11,13,35.140,CAR,,TAM,L 10-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
96,2005,2005-12-18,14,35.147,CAR,@,NOR,W 27-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
97,2005,2005-12-24,15,35.153,CAR,,DAL,L 20-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
98,2005,2006-01-01,16,35.161,CAR,@,ATL,W 44-11,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
99,2006,2006-09-10,1,36.048,CAR,,ATL,L 6-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
100,2006,2006-09-17,2,36.055,CAR,@,MIN,L 13-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
101,2006,2006-09-24,3,36.062,CAR,@,TAM,W 26-24,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
102,2006,2006-10-01,4,36.069,CAR,,NOR,W 21-18,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
103,2006,2006-10-08,5,36.076,CAR,,CLE,W 20-12,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
104,2006,2006-10-15,6,36.083,CAR,@,BAL,W 23-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
105,2006,2006-10-22,7,36.090,CAR,@,CIN,L 14-17,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
106,2006,2006-10-29,8,36.097,CAR,,DAL,L 14-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
107,2006,2006-11-13,9,36.112,CAR,,TAM,W 24-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
108,2006,2006-11-19,10,36.118,CAR,,STL,W 15-0,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
109,2006,2006-11-26,11,36.125,CAR,@,WAS,L 13-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
110,2006,2006-12-04,12,36.133,CAR,@,PHI,L 24-27,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
111,2006,2006-12-10,13,36.139,CAR,,NYG,L 13-27,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0
112,2006,2006-12-17,14,36.146,CAR,,PIT,L 3-37,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0
113,2006,2006-12-24,15,36.153,CAR,@,ATL,W 10-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0
114,2006,2006-12-31,16,36.160,CAR,@,NOR,W 31-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
