ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
25,1993,1993-11-14,10,24.353,PHO,@,DAL,L 15-20,,0,0,,0,,,
26,1993,1993-11-28,11,25.002,PHO,@,NYG,L 17-19,,1,18,18.00,0,0,0,0
27,1993,1993-12-05,12,25.009,PHO,,RAM,W 38-10,,0,0,,0,,,
28,1993,1994-01-02,16,25.037,PHO,@,ATL,W 27-10,,0,0,,0,,,
29,1995,1995-09-03,1,26.281,CAR,@,ATL,L 20-23,,,,,,,,
30,1995,1995-10-29,8,26.337,CAR,@,NWE,W 20-17,,,,,,,,
31,1995,1995-11-05,9,26.344,CAR,@,SFO,W 13-7,,,,,,,,
32,1995,1995-11-12,10,26.351,CAR,@,STL,L 17-28,,,,,,,,
33,1995,1995-11-19,11,26.358,CAR,,ARI,W 27-7,,,,,,,,
34,1995,1995-11-26,12,27.000,CAR,@,NOR,L 26-34,,,,,,,,
35,1995,1995-12-03,13,27.007,CAR,,IND,W 13-10,,,,,,,,
36,1995,1995-12-10,14,27.014,CAR,,SFO,L 10-31,,,,,,,,
37,1995,1995-12-17,15,27.021,CAR,,ATL,W 21-17,,,,,,,,
38,1995,1995-12-24,16,27.028,CAR,@,WAS,L 17-20,,,,,,,,
39,1996,1996-09-01,1,27.280,CAR,,ATL,W 29-6,,,,,,,,
40,1996,1996-09-08,2,27.287,CAR,@,NOR,W 22-20,,,,,,,,
41,1996,1996-09-22,3,27.301,CAR,,SFO,W 23-7,,,,,,,,
42,1996,1996-09-29,4,27.308,CAR,@,JAX,L 14-24,,,,,,,,
43,1996,1996-10-06,5,27.315,CAR,@,MIN,L 12-14,,,,,,,,
44,1996,1996-10-13,6,27.322,CAR,,STL,W 45-13,,0,0,,0,1,42,0
45,1996,1996-10-20,7,27.329,CAR,,NOR,W 19-7,,,,,,,,
46,1996,1996-10-27,8,27.336,CAR,@,PHI,L 9-20,,,,,,,,
47,1996,1996-11-03,9,27.343,CAR,@,ATL,L 17-20,,,,,,,,
48,1996,1996-11-24,12,27.364,CAR,@,HOU,W 31-6,,,,,,,,
49,1996,1996-12-01,13,28.005,CAR,,TAM,W 24-0,,,,,,,,
50,1997,1997-10-06,5,28.314,NWE,@,DEN,L 13-34,,,,,,,,
51,1997,1997-10-27,8,28.335,NWE,,GNB,L 10-28,,,,,,,,
52,1997,1997-11-02,9,28.341,NWE,@,MIN,L 18-23,,,,,,,,
53,1997,1997-11-09,10,28.348,NWE,@,BUF,W 31-10,,,,,,,,
54,1998,1998-09-07,1,29.285,NWE,@,DEN,L 21-27,,,,,,,,
55,1998,1998-09-13,2,29.291,NWE,,IND,W 29-6,,,,,,,,
56,1998,1998-09-20,3,29.298,NWE,,TEN,W 27-16,,,,,,,,
57,1998,1998-10-04,4,29.312,NWE,@,NOR,W 30-27,,,,,,,,
58,1998,1998-10-11,5,29.319,NWE,,KAN,W 40-10,,,,,,,,
59,1998,1998-10-19,6,29.327,NWE,,NYJ,L 14-24,,,,,,,,
60,1998,1998-10-25,7,29.333,CAR,,BUF,L 14-30,,,,,,,,
61,1998,1998-11-01,8,29.340,CAR,,NOR,W 31-17,,,,,,,,
62,1998,1998-11-08,9,29.347,CAR,@,SFO,L 23-25,,,,,,,,
63,1998,1998-11-15,10,29.354,CAR,,MIA,L 9-13,,,,,,,,
64,1998,1998-11-22,11,29.361,CAR,@,STL,W 24-20,,,,,,,,
65,1998,1998-11-29,12,30.003,CAR,@,NYJ,L 21-48,,,,,,,,
66,1998,1998-12-06,13,30.010,CAR,,SFO,L 28-31,,,,,,,,
67,1998,1998-12-13,14,30.017,CAR,,WAS,L 25-28,,,,,,,,
68,1998,1998-12-20,15,30.024,CAR,,STL,W 20-13,,,,,,,,
69,1998,1998-12-27,16,30.031,CAR,@,IND,W 27-19,,,,,,,,
70,1999,1999-09-12,1,30.290,CAR,@,NOR,L 10-19,,,,,,,,
71,1999,1999-09-19,2,30.297,CAR,,JAX,L 20-22,,,,,,,,
72,1999,1999-10-31,7,30.339,CAR,@,ATL,L 20-27,,,,,,,,
73,1999,1999-12-26,15,31.030,CAR,@,PIT,L 20-30,,,,,,,,
74,1999,2000-01-02,16,31.037,CAR,,NOR,W 45-13,,,,,,,,
