ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
13,1994,1994-12-11,14,25.364,MIN,@,BUF,W 21-17,,,,,,,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
14,1994,1994-12-17,15,26.005,MIN,@,DET,L 19-41,,,,,,,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
15,1994,1994-12-26,16,26.014,MIN,,SFO,W 21-14,,0,,,,,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
16,1995,1995-09-03,1,26.265,MIN,@,CHI,L 14-31,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
17,1995,1995-09-10,2,26.272,MIN,,DET,W 20-10,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
18,1995,1995-09-17,3,26.279,MIN,,DAL,L 17-23,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
19,1995,1995-09-24,4,26.286,MIN,@,PIT,W 44-24,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
20,1995,1995-10-08,5,26.300,MIN,,HOU,W 23-17,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
21,1995,1995-10-15,6,26.307,MIN,@,TAM,L 17-20,,3,2,19,9.50,0,66.7%,6.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
22,1995,1995-10-22,7,26.314,MIN,@,GNB,L 21-38,,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,,,,,2,34,17.00,0,0,0,,0,0,0
23,1995,1995-10-30,8,26.322,MIN,,CHI,L 6-14,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
24,1995,1995-11-05,9,26.328,MIN,,GNB,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,8,8.00,0,0,0,,0,0,0
25,1995,1995-11-12,10,26.335,MIN,@,ARI,W 30-24,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,0,0,,0,,,,,,
26,1995,1995-11-19,11,26.342,MIN,,NOR,W 43-24,,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
27,1995,1995-11-23,12,26.346,MIN,@,DET,L 38-44,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
28,1995,1995-12-03,13,26.356,MIN,,TAM,W 31-17,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
29,1995,1995-12-09,14,26.362,MIN,,CLE,W 27-11,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
30,1995,1995-12-18,15,27.006,MIN,@,SFO,L 30-37,,0,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
31,1995,1995-12-24,16,27.012,MIN,@,CIN,L 24-27,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
32,1996,1996-09-01,1,27.264,MIN,,DET,W 17-13,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,,,,,,,,,,
33,1996,1996-09-15,3,27.278,MIN,@,CHI,W 20-14,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,,,,,,,,,,
34,1996,1996-09-22,4,27.285,MIN,,GNB,W 30-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,,,,,,,,,,
35,1996,1996-09-29,5,27.292,MIN,@,NYG,L 10-15,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,,,,,,,,,,
36,1996,1996-10-06,6,27.299,MIN,,CAR,W 14-12,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,,,,,,,,,,
37,1996,1996-10-13,7,27.306,MIN,@,TAM,L 13-24,,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
38,1996,1996-10-28,8,27.321,MIN,,CHI,L 13-15,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,,,,,,,,,,
39,1996,1996-11-03,9,27.327,MIN,,KAN,L 6-21,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,,,,,,,,,,
40,1996,1996-11-10,10,27.334,MIN,@,SEA,L 23-42,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,,,,,,,,,,
41,1996,1996-11-17,11,27.341,MIN,@,OAK,W 16-13,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,,,,,,,,,,
42,1996,1996-11-24,12,27.348,MIN,,DEN,L 17-21,,1,1,7,7.00,1,100.0%,7.00,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6
43,1996,1996-12-01,13,27.355,MIN,,ARI,W 41-17,,0,0,0,,0,0.0%,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0
44,1996,1996-12-08,14,27.362,MIN,@,DET,W 24-22,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,,,,,,,,,,,,
45,1996,1996-12-15,15,28.003,MIN,,TAM,W 21-10,,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
46,1996,1996-12-22,16,28.010,MIN,@,GNB,L 10-38,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,,,,,,,,,,
47,1997,1997-08-31,1,28.262,MIN,@,BUF,W 34-13,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
48,1997,1997-09-07,2,28.269,MIN,@,CHI,W 27-24,,2,1,9,9.00,1,50.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
49,1997,1997-09-14,3,28.276,MIN,,TAM,L 14-28,,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
50,1997,1997-09-21,4,28.283,MIN,@,GNB,L 32-38,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
51,1997,1997-09-28,5,28.290,MIN,,PHI,W 28-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,10,10.00,0,0,0,,0,0,0
52,1997,1997-10-05,6,28.297,MIN,@,ARI,W 20-19,,,0,0,,0,0.0%,,,,,,,,,,,,,0,0,,0,,,,,,
53,1997,1997-10-12,7,28.304,MIN,,CAR,W 21-14,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
54,1997,1997-10-26,8,28.318,MIN,@,TAM,W 10-6,,4,2,30,15.00,0,50.0%,7.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
55,1997,1997-11-02,9,28.325,MIN,,NWE,W 23-18,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
56,1997,1997-11-09,10,28.332,MIN,,CHI,W 29-22,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
57,1997,1997-11-16,11,28.339,MIN,@,DET,L 15-38,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,0,0,,0,,,,,,
58,1997,1997-11-23,12,28.346,MIN,@,NYJ,L 21-23,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
59,1997,1997-12-01,13,28.354,MIN,,GNB,L 11-27,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
60,1997,1997-12-21,16,29.009,MIN,,IND,W 39-28,,1,0,0,,0,0.0%,0.00,,,,,,,,,,,,0,0,,0,,,,,,
61,1998,1998-09-06,1,29.268,MIN,,TAM,W 31-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
62,1998,1998-09-13,2,29.275,MIN,@,STL,W 38-31,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
63,1998,1998-09-20,3,29.282,MIN,,DET,W 29-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
64,1998,1998-09-27,4,29.289,MIN,@,CHI,W 31-28,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
65,1998,1998-10-05,5,29.297,MIN,@,GNB,W 37-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
66,1998,1998-10-18,6,29.310,MIN,,WAS,W 41-7,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
67,1998,1998-10-25,7,29.317,MIN,@,DET,W 34-13,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
68,1998,1998-11-01,8,29.324,MIN,@,TAM,L 24-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
69,1998,1998-11-08,9,29.331,MIN,,NOR,W 31-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
70,1998,1998-11-15,10,29.338,MIN,,CIN,W 24-3,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
71,1998,1998-11-22,11,29.345,MIN,,GNB,W 28-14,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
72,1998,1998-11-26,12,29.349,MIN,@,DAL,W 46-36,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
73,1998,1998-12-06,13,29.359,MIN,,CHI,W 48-22,,3,1,25,25.00,0,33.3%,8.33,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
74,1998,1998-12-13,14,30.001,MIN,@,BAL,W 38-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
75,1998,1998-12-20,15,30.008,MIN,,JAX,W 50-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
76,1999,1999-09-12,1,30.274,MIN,@,ATL,W 17-14,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
77,1999,1999-09-19,2,30.281,MIN,,OAK,L 17-22,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
78,1999,1999-09-26,3,30.288,MIN,@,GNB,L 20-23,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
79,1999,1999-10-03,4,30.295,MIN,,TAM,W 21-14,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
80,1999,1999-10-10,5,30.302,MIN,,CHI,L 22-24,,1,1,18,18.00,1,100.0%,18.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
81,1999,1999-10-17,6,30.309,MIN,@,DET,L 23-25,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
82,1999,1999-10-24,7,30.316,MIN,,SFO,W 40-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
83,1999,1999-10-31,8,30.323,MIN,@,DEN,W 23-20,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
84,1999,1999-11-08,9,30.331,MIN,,DAL,W 27-17,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
85,1999,1999-11-14,10,30.337,MIN,@,CHI,W 27-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
86,1999,1999-11-28,11,30.351,MIN,,SDG,W 35-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
87,1999,1999-12-06,12,30.359,MIN,@,TAM,L 17-24,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
88,1999,1999-12-12,13,31.000,MIN,@,KAN,L 28-31,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
89,1999,1999-12-20,14,31.008,MIN,,GNB,W 24-20,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
90,1999,1999-12-26,15,31.014,MIN,@,NYG,W 34-17,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
91,1999,2000-01-02,16,31.021,MIN,,DET,W 24-17,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
92,2000,2000-09-03,1,31.266,MIN,,CHI,W 30-27,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
93,2000,2000-09-10,2,31.273,MIN,,MIA,W 13-7,,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
94,2000,2000-09-17,3,31.280,MIN,@,NWE,W 21-13,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,1,11,11.00,0,0,0
95,2000,2000-10-01,4,31.294,MIN,@,DET,W 31-24,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
96,2000,2000-10-09,5,31.302,MIN,,TAM,W 30-23,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
97,2000,2000-10-15,6,31.308,MIN,@,CHI,W 28-16,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
98,2000,2000-10-22,7,31.315,MIN,,BUF,W 31-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
99,2000,2000-10-29,8,31.322,MIN,@,TAM,L 13-41,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
100,2000,2000-11-06,9,31.330,MIN,@,GNB,L 20-26,,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
101,2000,2000-11-12,10,31.336,MIN,,ARI,W 31-14,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
102,2000,2000-11-19,11,31.343,MIN,,CAR,W 31-17,,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,1,6,6.00,0,0,0,,0,0,0
103,2000,2000-11-23,12,31.347,MIN,@,DAL,W 27-15,,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,1,3,3.00,0,0,0,,0,0,0
104,2000,2000-11-30,13,31.354,MIN,,DET,W 24-17,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
105,2000,2000-12-10,14,31.364,MIN,@,STL,L 29-40,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
106,2000,2000-12-17,15,32.005,MIN,,GNB,L 28-33,,3,3,44,14.67,0,100.0%,14.67,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
107,2000,2000-12-24,16,32.012,MIN,@,IND,L 10-31,,4,4,29,7.25,0,100.0%,7.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
108,2001,2001-09-09,1,32.271,MIN,,CAR,L 13-24,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
109,2001,2001-09-23,2,32.285,MIN,@,CHI,L 10-17,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
110,2001,2001-09-30,3,32.292,MIN,,TAM,W 20-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
111,2001,2001-10-07,4,32.299,MIN,@,NOR,L 15-28,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
112,2001,2001-10-14,5,32.306,MIN,,DET,W 31-26,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
113,2001,2001-10-21,6,32.313,MIN,,GNB,W 35-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,10,10.00,0,0,0,,0,0,0
114,2001,2001-10-28,7,32.320,MIN,@,TAM,L 14-41,,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,1,2,2.00,0,0,0
115,2001,2001-11-11,8,32.334,MIN,@,PHI,L 17-48,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
116,2001,2001-11-19,9,32.342,MIN,,NYG,W 28-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
117,2001,2001-11-25,10,32.348,MIN,,CHI,L 6-13,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
118,2001,2001-12-02,11,32.355,MIN,@,PIT,L 16-21,,2,2,7,3.50,0,100.0%,3.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
119,2001,2001-12-09,12,32.362,MIN,,TEN,W 42-24,,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
120,2001,2001-12-16,13,33.004,MIN,@,DET,L 24-27,,4,2,29,14.50,0,50.0%,7.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
121,2001,2001-12-23,14,33.011,MIN,,JAX,L 3-33,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
122,2001,2001-12-30,15,33.018,MIN,@,GNB,L 13-24,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
123,2001,2002-01-07,16,33.026,MIN,@,BAL,L 3-19,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
124,2002,2002-09-08,1,33.270,MIN,@,CHI,L 23-27,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
125,2002,2002-09-15,2,33.277,MIN,,BUF,L 39-45,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
126,2002,2002-09-22,3,33.284,MIN,,CAR,L 14-21,,1,1,4,4.00,1,100.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6
127,2002,2002-09-29,4,33.291,MIN,@,SEA,L 23-48,,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
128,2002,2002-10-13,5,33.305,MIN,,DET,W 31-24,*,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
129,2002,2002-10-20,6,33.312,MIN,@,NYJ,L 7-20,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
130,2002,2002-10-27,7,33.319,MIN,,CHI,W 25-7,*,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
131,2002,2002-11-03,8,33.326,MIN,@,TAM,L 24-38,,2,2,40,20.00,0,100.0%,20.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
132,2002,2002-11-10,9,33.333,MIN,,NYG,L 20-27,,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
133,2002,2002-11-17,10,33.340,MIN,,GNB,W 31-21,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
134,2002,2002-11-24,11,33.347,MIN,@,NWE,L 17-24,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
135,2002,2002-12-01,12,33.354,MIN,,ATL,L 24-30,,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
136,2002,2002-12-08,13,33.361,MIN,@,GNB,L 22-26,*,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0
137,2002,2002-12-15,14,34.003,MIN,@,NOR,W 32-31,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
138,2002,2002-12-21,15,34.009,MIN,,MIA,W 20-17,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
139,2002,2002-12-29,16,34.017,MIN,@,DET,W 38-36,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,
