ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
127,2004,2005-01-02,16,31.313,BAL,,MIA,W 30-23,,,,,,0,,,,,0.0%,,,,,
128,2005,2005-09-11,1,32.199,ARI,@,NYG,L 19-42,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
129,2005,2005-09-18,2,32.206,ARI,,STL,L 12-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
130,2005,2005-09-25,3,32.213,ARI,@,SEA,L 12-37,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
131,2005,2005-10-02,4,32.220,ARI,,SFO,W 31-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
132,2005,2005-10-09,5,32.227,ARI,,CAR,L 20-24,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
133,2005,2005-11-06,8,32.255,ARI,,SEA,L 19-33,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
134,2005,2005-11-13,9,32.262,ARI,@,DET,L 21-29,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
135,2005,2005-11-20,10,32.269,ARI,@,STL,W 38-28,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
136,2005,2005-11-27,11,32.276,ARI,,JAX,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
137,2005,2005-12-04,12,32.283,ARI,@,SFO,W 17-10,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
138,2005,2005-12-11,13,32.290,ARI,,WAS,L 13-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0
139,2005,2005-12-18,14,32.297,ARI,@,HOU,L 19-30,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
140,2005,2005-12-24,15,32.303,ARI,,PHI,W 27-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
141,2005,2006-01-01,16,32.311,ARI,@,IND,L 13-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0
