ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
23,2004,2004-10-31,7,26.057,DAL,,DET,W 31-21,*,,,,,,,,,,,,,,,,,,,,
24,2004,2004-11-07,8,26.064,DAL,@,CIN,L 3-26,*,,,,,,,,,,,,,,,,,,,,
25,2004,2004-11-15,9,26.072,DAL,,PHI,L 21-49,*,,,,,,,,,,,,,,,,,,,,
26,2004,2004-11-21,10,26.078,DAL,@,BAL,L 10-30,*,,,,,,,,,,,,,,,,,,,,
27,2004,2004-11-25,11,26.082,DAL,,CHI,W 21-7,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,11,0
28,2004,2004-12-06,12,26.093,DAL,@,SEA,W 43-39,*,,,,,,,,,,,,,,,,,,,,
29,2004,2004-12-12,13,26.099,DAL,,NOR,L 13-27,*,,,,,,,,,,,,,,,,,,,,
30,2004,2004-12-19,14,26.106,DAL,@,PHI,L 7-12,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
31,2004,2004-12-26,15,26.113,DAL,,WAS,W 13-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,-1,0
32,2004,2005-01-02,16,26.120,DAL,@,NYG,L 24-28,*,,,,,,,,,,,,,,,,,,,,
33,2005,2005-09-11,1,27.007,DAL,@,SDG,W 28-24,*,,,,,,,,,,,,,,,,,,,,
34,2005,2005-09-19,2,27.015,DAL,,WAS,L 13-14,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,12,0
35,2005,2005-09-25,3,27.021,DAL,@,SFO,W 34-31,*,,,,,,,,,,,,,,,,,,,,
36,2005,2005-10-02,4,27.028,DAL,@,OAK,L 13-19,*,,,,,,,,,,,,,,,,,,,,
37,2005,2005-10-09,5,27.035,DAL,,PHI,W 33-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,,,0,0,0
38,2005,2005-10-16,6,27.042,DAL,,NYG,W 16-13,*,,,,,,,,,,,,,,,,,,,,
39,2005,2005-10-23,7,27.049,DAL,@,SEA,L 10-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
40,2005,2005-10-30,8,27.056,DAL,,ARI,W 34-13,*,,,,,,,,,,,,,,,,,,,,
41,2005,2005-11-14,9,27.071,DAL,@,PHI,W 21-20,*,,,,,,,,,,,,,,,,,,,,
42,2005,2005-11-20,10,27.077,DAL,,DET,W 20-7,*,0,0,,0,0,0,,0,2,14,7.00,0,0,0,0.0,,,0,0,0
43,2005,2005-11-24,11,27.081,DAL,,DEN,L 21-24,*,0,0,,0,0,0,,0,2,0,0.00,0,0,0,0.0,,,1,4,0
44,2005,2005-12-04,12,27.091,DAL,@,NYG,L 10-17,*,0,0,,0,0,0,,0,1,26,26.00,0,0,0,0.0,,,0,0,0
45,2005,2005-12-11,13,27.098,DAL,,KAN,W 31-28,*,,,,,,,,,,,,,,,,,,,,
46,2005,2005-12-18,14,27.105,DAL,@,WAS,L 7-35,*,,,,,,,,,,,,,,,,,,,,
47,2005,2005-12-24,15,27.111,DAL,@,CAR,W 24-20,*,0,0,,0,0,0,,0,2,2,1.00,0,0,0,0.0,,,0,0,0
48,2005,2006-01-01,16,27.119,DAL,,STL,L 10-20,*,1,4,4.00,0,0,0,,0,3,13,4.33,0,0,0,0.0,,,0,0,0
49,2006,2006-09-10,1,28.006,DAL,@,JAX,L 17-24,*,,,,,,,,,,,,,,,,,,,,
50,2006,2006-09-17,2,28.013,DAL,,WAS,W 27-10,*,0,0,,0,0,0,,0,3,40,13.33,0,0,0,0.0,,,0,0,0
51,2006,2006-10-01,3,28.027,DAL,@,TEN,W 45-14,*,0,0,,0,0,0,,0,2,21,10.50,0,0,0,0.0,,,0,0,0
52,2006,2006-10-08,4,28.034,DAL,@,PHI,L 24-38,*,0,0,,0,0,0,,0,3,2,0.67,0,0,0,0.0,,,0,0,0
53,2006,2006-10-15,5,28.041,DAL,,HOU,W 34-6,*,,,,,,,,,,,,,,,,,,0,12,0
54,2006,2006-10-23,6,28.049,DAL,,NYG,L 22-36,*,0,0,,0,0,0,,0,1,7,7.00,0,0,0,0.0,,,1,0,0
55,2006,2006-10-29,7,28.055,DAL,@,CAR,W 35-14,*,0,0,,0,0,0,,0,2,16,8.00,0,0,0,0.0,,,0,0,0
56,2006,2006-11-05,8,28.062,DAL,@,WAS,L 19-22,*,,,,,,,,,,,,,,,,,,,,
57,2006,2006-11-12,9,28.069,DAL,@,ARI,W 27-10,*,0,0,,0,0,0,,0,1,10,10.00,0,0,0,0.0,,,0,0,0
58,2006,2006-11-19,10,28.076,DAL,,IND,W 21-14,*,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,,,0,0,0
59,2006,2006-11-23,11,28.080,DAL,,TAM,W 38-10,*,0,0,,0,0,0,,0,1,24,24.00,0,0,0,0.0,,,0,0,0
60,2006,2006-12-03,12,28.090,DAL,@,NYG,W 23-20,*,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,,,0,0,0
61,2006,2006-12-10,13,28.097,DAL,,NOR,L 17-42,*,0,0,,0,0,0,,0,2,18,9.00,0,0,0,0.0,,,0,0,0
62,2006,2006-12-16,14,28.103,DAL,@,ATL,W 38-28,*,,,,,,,,,,,,,,,,,,,,
63,2006,2006-12-25,15,28.112,DAL,,PHI,L 7-23,*,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0.0,,,0,0,0
64,2006,2006-12-31,16,28.118,DAL,,DET,L 31-39,*,0,0,,0,0,0,,0,2,56,28.00,1,1,6,0.0,,,0,0,0
65,2007,2007-09-23,3,29.019,DAL,@,CHI,W 34-10,,,,,,,,,,,,,,,,,,,,,
66,2007,2007-09-30,4,29.026,DAL,,STL,W 35-7,,,,,,,,,,,,,,,,,,,,,
67,2007,2007-10-08,5,29.034,DAL,@,BUF,W 25-24,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,70,0
68,2007,2007-10-14,6,29.040,DAL,,NWE,L 27-48,*,,,,,,,,,,,,,,,,,,,,
69,2007,2007-10-21,7,29.047,DAL,,MIN,W 24-14,*,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,,,0,0,0
70,2007,2007-11-04,8,29.061,DAL,@,PHI,W 38-17,*,,,,,,,,,,,,,,,,,,,,
71,2007,2007-11-11,9,29.068,DAL,@,NYG,W 31-20,*,,,,,,,,,,,,,,,,,,,,
72,2007,2007-11-18,10,29.075,DAL,,WAS,W 28-23,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,7,0
73,2007,2007-11-22,11,29.079,DAL,,NYJ,W 34-3,*,0,0,,0,0,0,,0,3,26,8.67,0,1,6,0.0,,,1,50,1
74,2007,2007-11-29,12,29.086,DAL,,GNB,W 37-27,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,,,1,2,0
75,2007,2007-12-09,13,29.096,DAL,@,DET,W 28-27,*,,,,,,,,,,,,,,,,,,,,
76,2007,2007-12-16,14,29.103,DAL,,PHI,L 6-10,*,,,,,,,,,,,,,,,,,,,,
77,2007,2007-12-22,15,29.109,DAL,@,CAR,W 20-13,*,,,,,,,,,,,,,,,,,,,,
78,2008,2008-09-15,2,30.011,DAL,,PHI,W 41-37,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
79,2008,2008-09-21,3,30.017,DAL,@,GNB,W 27-16,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
80,2008,2008-09-28,4,30.024,DAL,,WAS,L 24-26,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
81,2008,2008-11-16,10,30.073,DAL,@,WAS,W 14-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,2,1,0,0
82,2008,2008-11-23,11,30.080,DAL,,SFO,W 35-22,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
83,2008,2008-11-27,12,30.084,DAL,,SEA,W 34-9,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,1,0,0
84,2008,2008-12-07,13,30.094,DAL,@,PIT,L 13-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
85,2008,2008-12-14,14,30.101,DAL,,NYG,W 20-8,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,1,2,2,0
86,2008,2008-12-20,15,30.107,DAL,,BAL,L 24-33,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
87,2008,2008-12-28,16,30.115,DAL,@,PHI,L 6-44,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
88,2009,2009-09-13,1,31.009,DAL,@,TAM,W 34-21,*,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,8,1,0,0,0
89,2009,2009-09-20,2,31.016,DAL,,NYG,L 31-33,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
90,2009,2009-09-28,3,31.024,DAL,,CAR,W 21-7,*,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,3,1,1,27,1
91,2009,2009-10-04,4,31.030,DAL,@,DEN,L 10-17,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
92,2009,2009-10-11,5,31.037,DAL,@,KAN,W 26-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
93,2009,2009-10-25,6,31.051,DAL,,ATL,W 37-21,*,0,0,,0,0,0,,0,1,-11,-11.00,0,0,0,0.0,3,1,0,0,0
94,2009,2009-11-01,7,31.058,DAL,,SEA,W 38-17,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,1,0,0,0
95,2009,2009-11-08,8,31.065,DAL,@,PHI,W 20-16,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
96,2009,2009-11-15,9,31.072,DAL,@,GNB,L 7-17,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,8,0,0,0,0
97,2009,2009-11-22,10,31.079,DAL,,WAS,W 7-6,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
98,2009,2009-11-26,11,31.083,DAL,,OAK,W 24-7,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
99,2009,2009-12-06,12,31.093,DAL,@,NYG,L 24-31,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
100,2009,2009-12-13,13,31.100,DAL,,SDG,L 17-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0
101,2009,2009-12-19,14,31.106,DAL,@,NOR,W 24-17,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
102,2009,2009-12-27,15,31.114,DAL,@,WAS,W 17-0,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,1,9,0
103,2009,2010-01-03,16,31.121,DAL,,PHI,W 24-0,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
104,2010,2010-09-12,1,32.008,DAL,@,WAS,L 7-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
105,2010,2010-09-19,2,32.015,DAL,,CHI,L 20-27,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
106,2010,2010-09-26,3,32.022,DAL,@,HOU,W 27-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
107,2010,2010-10-10,4,32.036,DAL,,TEN,L 27-34,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
108,2010,2010-10-17,5,32.043,DAL,@,MIN,L 21-24,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
109,2010,2010-10-25,6,32.051,DAL,,NYG,L 35-41,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,0,1,30,0
110,2010,2010-10-31,7,32.057,DAL,,JAX,L 17-35,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
111,2010,2010-11-07,8,32.064,DAL,@,GNB,L 7-45,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
112,2010,2010-11-14,9,32.071,DAL,@,NYG,W 33-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
113,2010,2010-11-21,10,32.078,DAL,,DET,W 35-19,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,0,1,0,0
114,2010,2010-11-25,11,32.082,DAL,,NOR,L 27-30,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,8,0,0,0,0
115,2010,2010-12-05,12,32.092,DAL,@,IND,W 38-35,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
116,2010,2010-12-12,13,32.099,DAL,,PHI,L 27-30,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
117,2010,2010-12-19,14,32.106,DAL,,WAS,W 33-30,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,0,1,-18,0
118,2010,2010-12-25,15,32.112,DAL,@,ARI,L 26-27,*,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0.0,4,0,0,0,0
119,2010,2011-01-02,16,32.120,DAL,@,PHI,W 14-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,0,2,4,0
120,2011,2011-09-26,3,33.022,DAL,,WAS,W 18-16,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0
121,2011,2011-10-02,4,33.028,DAL,,DET,L 30-34,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
122,2011,2011-10-16,5,33.042,DAL,@,NWE,L 16-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,1,1,1,0
123,2011,2011-10-23,6,33.049,DAL,,STL,W 34-7,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
124,2011,2011-10-30,7,33.056,DAL,@,PHI,L 7-34,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
125,2011,2011-11-06,8,33.063,DAL,,SEA,W 23-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,0,1,17,0
126,2011,2011-11-13,9,33.070,DAL,,BUF,W 44-7,*,0,0,,0,0,0,,0,0,0,,0,0,6,0.0,2,1,2,62,1
127,2011,2011-11-20,10,33.077,DAL,@,WAS,W 27-24,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
128,2011,2011-11-24,11,33.081,DAL,,MIA,W 20-19,*,,,,,,,,,,,,,,,,,,,,
129,2011,2011-12-04,12,33.091,DAL,@,ARI,L 13-19,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
130,2011,2011-12-11,13,33.098,DAL,,NYG,L 34-37,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
131,2011,2011-12-17,14,33.104,DAL,@,TAM,W 31-15,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
132,2011,2011-12-24,15,33.111,DAL,,PHI,L 7-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
133,2011,2012-01-01,16,33.119,DAL,@,NYG,L 14-31,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,1,0,0,0
134,2012,2012-09-10,1,34.006,CIN,@,BAL,L 13-44,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
135,2012,2012-09-16,2,34.012,CIN,,CLE,W 34-27,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,7,2,0,0,0
136,2012,2012-09-23,3,34.019,CIN,@,WAS,W 38-31,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
137,2012,2012-09-30,4,34.026,CIN,@,JAX,W 27-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
138,2012,2012-10-07,5,34.033,CIN,,MIA,L 13-17,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
139,2012,2012-10-14,6,34.040,CIN,@,CLE,L 24-34,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,8,2,0,0,0
140,2012,2012-10-21,7,34.047,CIN,,PIT,L 17-24,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
141,2012,2012-11-04,8,34.061,CIN,,DEN,L 23-31,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,2,2,0,0
142,2012,2012-11-11,9,34.068,CIN,,NYG,W 31-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,1,0,0,0
143,2012,2012-11-18,10,34.075,CIN,@,KAN,W 28-6,*,,,,,,,,,,,,,,,,,,,,
144,2012,2012-11-25,11,34.082,CIN,,OAK,W 34-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,3,0,0,0
145,2012,2012-12-02,12,34.089,CIN,@,SDG,W 20-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
146,2012,2012-12-09,13,34.096,CIN,,DAL,L 19-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,3,0,0,0
147,2012,2012-12-13,14,34.100,CIN,@,PHI,W 34-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
148,2012,2012-12-23,15,34.110,CIN,@,PIT,W 13-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,2,0,0,0
149,2013,2013-09-08,1,35.004,CIN,@,CHI,L 21-24,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
150,2013,2013-09-16,2,35.012,CIN,,PIT,W 20-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
151,2013,2013-09-22,3,35.018,CIN,,GNB,W 34-30,*,0,0,,0,0,0,,0,0,0,,0,0,6,0.0,6,0,1,9,0
152,2013,2013-09-29,4,35.025,CIN,@,CLE,L 6-17,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,3,0,0,0
153,2013,2013-10-06,5,35.032,CIN,,NWE,W 13-6,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
154,2013,2013-10-13,6,35.039,CIN,@,BUF,W 27-24,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
155,2013,2013-10-20,7,35.046,CIN,@,DET,W 27-24,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,0,0,0,0
156,2013,2013-10-27,8,35.053,CIN,,NYJ,W 49-9,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
157,2013,2013-10-31,9,35.057,CIN,@,MIA,L 20-22,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
158,2013,2013-11-10,10,35.067,CIN,@,BAL,L 17-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,1,1,-1,0
159,2013,2013-11-17,11,35.074,CIN,,CLE,W 41-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
160,2013,2013-12-01,12,35.088,CIN,@,SDG,W 17-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
161,2013,2013-12-08,13,35.095,CIN,,IND,W 42-28,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
162,2014,2014-09-07,1,36.003,CIN,@,BAL,W 23-16,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,2,0,0,0
163,2014,2014-09-14,2,36.010,CIN,,ATL,W 24-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,8,3,0,0,0
164,2014,2014-09-21,3,36.017,CIN,,TEN,W 33-7,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,2,0,0,0
165,2014,2014-10-05,4,36.031,CIN,@,NWE,L 17-43,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,7,1,0,0,0
166,2014,2014-10-12,5,36.038,CIN,,CAR,T 37-37,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
167,2014,2014-10-19,6,36.045,CIN,@,IND,L 0-27,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
168,2014,2014-10-26,7,36.052,CIN,,BAL,W 27-24,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
169,2014,2014-11-02,8,36.059,CIN,,JAX,W 33-23,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
170,2014,2014-11-06,9,36.063,CIN,,CLE,L 3-24,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,3,0,0,0
171,2014,2014-11-23,11,36.080,CIN,@,HOU,W 22-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
172,2014,2014-11-30,12,36.087,CIN,@,TAM,W 14-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,1,1,3,0
173,2014,2014-12-07,13,36.094,CIN,,PIT,L 21-42,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,4,0,0,0
174,2014,2014-12-22,15,36.109,CIN,,DEN,W 37-28,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
175,2015,2015-09-14,1,37.010,MIN,@,SFO,L 3-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,7,0,0,0,0
176,2015,2015-09-20,2,37.016,MIN,,DET,W 26-16,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
177,2015,2015-09-27,3,37.023,MIN,,SDG,W 31-14,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
178,2015,2015-10-04,4,37.030,MIN,@,DEN,L 20-23,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
179,2015,2015-10-18,5,37.044,MIN,,KAN,W 16-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
180,2015,2015-10-25,6,37.051,MIN,@,DET,W 28-19,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,1,0,0,0
181,2015,2015-11-01,7,37.058,MIN,@,CHI,W 23-20,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,2,0,0,0
182,2015,2015-11-08,8,37.065,MIN,,STL,W 21-18,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
183,2015,2015-11-15,9,37.072,MIN,@,OAK,W 30-14,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,2,2,4,0
184,2015,2015-11-22,10,37.079,MIN,,GNB,L 13-30,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
185,2015,2015-11-29,11,37.086,MIN,@,ATL,W 20-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,1,1,0,0
186,2015,2015-12-06,12,37.093,MIN,,SEA,L 7-38,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
187,2015,2015-12-10,13,37.097,MIN,@,ARI,L 20-23,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
188,2015,2015-12-20,14,37.107,MIN,,CHI,W 38-17,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,8,0,0,0,0
189,2015,2015-12-27,15,37.114,MIN,,NYG,W 49-17,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
190,2015,2016-01-03,16,37.121,MIN,@,GNB,W 20-13,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
191,2016,2016-09-11,1,38.007,MIN,@,TEN,W 25-16,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,6,1,0,0,0
192,2016,2016-09-18,2,38.014,MIN,,GNB,W 17-14,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
193,2016,2016-09-25,3,38.021,MIN,@,CAR,W 22-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,1,1,0,0
194,2016,2016-10-03,4,38.029,MIN,,NYG,W 24-10,*,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,1,0,0,0
