ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,def_int,def_int_yds,def_int_td
11,1960,1960-11-25,11,26.244,BOS,,HOU,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,0
12,1960,1960-12-04,12,26.253,BOS,@,BUF,L 14-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,31,15.50,0,0,0,,0,2,2,100.0,,2,0.0,0,2,0,0,0
13,1960,1960-12-11,13,26.260,BOS,@,DTX,L 0-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1960,1960-12-18,14,26.267,BOS,@,HOU,L 21-37,1,28,28.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,69,34.50,0,0,0,,0,1,2,50.0,,,,0,1,0,0,0
15,1961,1961-09-09,1,27.167,BOS,,NYT,L 20-21,3,38,12.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,3,66.7,1,14,0,0,0
16,1961,1961-09-16,2,27.174,BOS,,DEN,W 45-17,2,57,28.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,6,6,100.0,1,1,100.0,1,15,0,0,0
17,1961,1961-09-23,3,27.181,BOS,@,BUF,W 23-21,4,73,18.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,4,75.0,0,11,0,0,0
18,1961,1961-10-01,4,27.189,BOS,@,NYT,L 30-37,4,77,19.25,1,0,0,,0,1,1,100.00,27,1,0,158.3,0,0,27.00,47.00,0,0,,0,0,0,,0,3,3,100.0,3,5,60.0,1,18,0,0,0
19,1961,1961-10-07,5,27.195,BOS,,SDG,L 27-38,5,86,17.20,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,4,75.0,,,,1,9,0,0,0
20,1961,1961-10-13,6,27.201,BOS,,HOU,T 31-31,6,131,21.83,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,1,3,33.3,1,13,0,0,0
21,1961,1961-10-22,7,27.210,BOS,,BUF,W 52-21,3,29,9.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,7,7,100.0,1,1,100.0,1,16,0,0,0
22,1961,1961-10-29,8,27.217,BOS,@,DTX,W 18-17,4,55,13.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,0
23,1961,1961-11-03,9,27.222,BOS,,DTX,W 28-21,2,17,8.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,,2,0.0,1,10,0,0,0
24,1961,1961-11-12,10,27.231,BOS,@,HOU,L 15-27,5,68,13.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,0.0,1,2,50.0,0,3,0,0,0
25,1961,1961-11-17,11,27.236,BOS,,OAK,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,3,66.7,0,8,0,0,0
26,1961,1961-12-03,12,27.252,BOS,@,DEN,W 28-24,2,42,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,0
27,1961,1961-12-09,13,27.258,BOS,@,OAK,W 35-21,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,,3,0.0,0,5,0,0,0
28,1961,1961-12-17,14,27.266,BOS,@,SDG,W 41-0,4,88,22.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,2,3,66.7,1,17,0,0,0
29,1962,1962-09-08,1,28.166,BOS,@,DTX,L 28-42,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,,1,0.0,0,4,0,0,0
30,1962,1962-09-16,2,28.174,BOS,,HOU,W 34-21,2,21,10.50,0,1,-5,-5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,2,3,66.7,0,10,0,0,0
31,1962,1962-09-21,3,28.179,BOS,,DEN,W 41-16,2,19,9.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,2,2,100.0,1,17,0,0,0
32,1962,1962-10-06,4,28.194,BOS,@,NYT,W 43-14,2,39,19.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,5,80.0,3,3,100.0,1,19,0,0,0
33,1962,1962-10-12,5,28.200,BOS,,DTX,L 7-27,4,73,18.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,2,0.0,0,1,0,0,0
34,1962,1962-10-19,6,28.207,BOS,,SDG,W 24-20,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,2,50.0,1,2,50.0,0,4,0,0,0
35,1962,1962-10-26,7,28.214,BOS,,OAK,W 26-16,1,13,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,4,4,100.0,1,20,0,0,0
36,1962,1962-11-03,8,28.222,BOS,@,BUF,T 28-28,7,103,14.71,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,,1,0.0,1,10,0,0,0
37,1962,1962-11-11,9,28.230,BOS,@,DEN,W 33-29,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,4,5,80.0,0,15,0,0,0
38,1962,1962-11-18,10,28.237,BOS,@,HOU,L 17-21,2,23,11.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,4,25.0,0,5,0,0,0
39,1962,1962-11-23,11,28.242,BOS,,BUF,W 21-10,4,57,14.25,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,1,0.0,1,9,0,0,0
40,1962,1962-11-30,12,28.249,BOS,,NYT,W 24-17,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,0
41,1962,1962-12-09,13,28.258,BOS,@,SDG,W 20-14,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,4,50.0,0,8,0,0,0
42,1962,1962-12-16,14,28.265,BOS,@,OAK,L 0-20,5,53,10.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,4,0.0,0,0,0,0,0
43,1963,1963-09-08,1,29.166,BOS,,NYJ,W 38-14,5,68,13.60,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,1,3,33.3,0,8,0,0,0
44,1963,1963-09-14,2,29.172,BOS,@,SDG,L 13-17,3,29,9.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,0
45,1963,1963-09-22,3,29.180,BOS,@,OAK,W 20-14,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,0
46,1963,1963-09-29,4,29.187,BOS,@,DEN,L 10-14,5,82,16.40,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,1,10,0,0,0
47,1963,1963-10-05,5,29.193,BOS,@,NYJ,L 24-31,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6,0,0,0
48,1963,1963-10-11,6,29.199,BOS,,OAK,W 20-14,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,0
49,1963,1963-10-18,7,29.206,BOS,,DEN,W 40-21,5,95,19.00,1,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,4,4,100.0,1,22,0,0,0
50,1963,1963-10-26,8,29.214,BOS,@,BUF,L 21-28,2,41,20.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,1,0.0,0,3,0,0,0
51,1963,1963-11-01,9,29.220,BOS,,HOU,W 45-3,1,6,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,6,6,100.0,1,4,25.0,0,9,0,0,0
52,1963,1963-11-10,10,29.229,BOS,,SDG,L 6-7,4,40,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,2,5,40.0,0,6,0,0,0
53,1963,1963-11-17,11,29.236,BOS,,KAN,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,2,50.0,1,3,33.3,0,4,0,0,0
54,1963,1963-12-01,12,29.250,BOS,,BUF,W 17-7,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,2,50.0,0,5,0,0,0
55,1963,1963-12-08,13,29.257,BOS,@,HOU,W 46-28,2,38,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,3,4,75.0,0,14,0,0,0
56,1963,1963-12-14,14,29.263,BOS,@,KAN,L 3-35,1,22,22.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,1,1,100.0,0,3,0,0,0
57,1964,1964-09-13,1,30.171,BOS,@,OAK,W 17-14,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5,0,0,0
58,1964,1964-09-20,2,30.178,BOS,@,SDG,W 33-28,3,31,10.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,4,7,57.1,1,21,0,0,0
59,1964,1964-09-27,3,30.185,BOS,,NYJ,W 26-10,3,36,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,4,6,66.7,0,14,0,0,0
60,1964,1964-10-04,4,30.192,BOS,@,DEN,W 39-10,1,7,7.00,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,6,6,100.0,0,21,0,0,0
61,1964,1964-10-09,5,30.197,BOS,,SDG,L 17-26,6,101,16.83,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,0
62,1964,1964-10-16,6,30.204,BOS,,OAK,T 43-43,1,34,34.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,,2,0.0,0,5,0,0,0
63,1964,1964-10-23,7,30.211,BOS,,KAN,W 24-7,4,54,13.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,0
64,1964,1964-10-31,8,30.219,BOS,@,NYJ,L 14-35,7,147,21.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,1,8,0,0,0
65,1964,1964-11-06,9,30.225,BOS,,HOU,W 25-24,2,37,18.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,4,4,100.0,0,13,0,0,0
66,1964,1964-11-15,10,30.234,BOS,@,BUF,W 36-28,4,90,22.50,3,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,,,,3,22,0,0,0
67,1964,1964-11-20,11,30.239,BOS,,DEN,W 12-7,5,96,19.20,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,1,10,0,0,0
68,1964,1964-11-29,12,30.248,BOS,@,HOU,W 34-17,6,88,14.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,2,4,50.0,0,10,0,0,0
69,1964,1964-12-06,13,30.255,BOS,@,KAN,W 31-24,2,82,41.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,1,1,100.0,1,13,0,0,0
70,1964,1964-12-20,14,30.269,BOS,,BUF,L 14-24,3,45,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0,0,0,0
71,1965,1965-09-11,1,31.169,BOS,@,BUF,L 7-24,3,45,15.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,1,7,0,0,0
72,1965,1965-09-19,2,31.177,BOS,@,HOU,L 10-31,1,7,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,3,33.3,0,4,0,0,0
73,1965,1965-09-24,3,31.182,BOS,,DEN,L 10-27,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,0
74,1965,1965-10-03,4,31.191,BOS,@,KAN,L 17-27,2,58,29.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,0
75,1965,1965-10-08,5,31.196,BOS,,OAK,L 10-24,4,74,18.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,0
76,1965,1965-10-17,6,31.205,BOS,,SDG,T 13-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,3,66.7,0,7,0,0,0
77,1965,1965-10-24,7,31.212,BOS,@,OAK,L 21-30,5,63,12.60,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,,,1,9,0,0,0
78,1965,1965-10-31,8,31.219,BOS,@,SDG,W 22-6,3,82,27.33,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,3,66.7,2,20,0,0,0
79,1965,1965-11-07,9,31.226,BOS,,BUF,L 7-23,3,51,17.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,0,1,0,0,0
80,1965,1965-11-14,10,31.233,BOS,,NYJ,L 20-30,5,51,10.20,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,4,50.0,1,14,0,0,0
81,1965,1965-11-21,11,31.240,BOS,,KAN,T 10-10,1,19,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,0
82,1965,1965-11-28,12,31.247,BOS,@,NYJ,W 27-23,2,37,18.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,0
83,1965,1965-12-12,13,31.261,BOS,@,DEN,W 28-20,2,38,19.00,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,,,,2,16,0,0,0
84,1965,1965-12-18,14,31.267,BOS,,HOU,W 42-14,5,151,30.20,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,4,6,66.7,2,28,0,0,0
85,1966,1966-09-10,1,32.168,BOS,@,SDG,L 0-24,1,4,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0,0,0,0
86,1966,1966-09-18,2,32.176,BOS,@,DEN,W 24-10,2,29,14.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,3,4,75.0,0,10,0,0,0
87,1966,1966-09-25,3,32.183,BOS,,KAN,L 24-43,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,0
88,1966,1966-10-02,4,32.190,BOS,,NYJ,T 24-24,6,65,10.83,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,1,12,0,0,0
89,1966,1966-10-08,5,32.196,BOS,@,BUF,W 20-10,6,99,16.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,4,50.0,0,8,0,0,0
90,1966,1966-10-23,6,32.211,BOS,,SDG,W 35-17,5,53,10.60,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,,1,0.0,1,11,0,0,0
91,1966,1966-10-30,7,32.218,BOS,,OAK,W 24-21,1,24,24.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,1,12,0,0,0
92,1966,1966-11-06,8,32.225,BOS,,DEN,L 10-17,3,36,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,4,25.0,0,4,0,0,0
93,1966,1966-11-13,9,32.232,BOS,,HOU,W 27-21,3,118,39.33,2,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,2,3,66.7,2,21,0,0,0
94,1966,1966-11-20,10,32.239,BOS,@,KAN,T 27-27,3,43,14.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,2,2,100.0,0,9,0,0,0
95,1966,1966-11-27,11,32.246,BOS,@,MIA,W 20-14,3,76,25.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,4,50.0,0,8,0,0,0
96,1966,1966-12-04,12,32.253,BOS,,BUF,W 14-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,2,0.0,0,2,0,0,0
97,1966,1966-12-11,13,32.260,BOS,@,HOU,W 38-14,2,18,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,1,2,50.0,0,8,0,0,0
98,1966,1966-12-17,14,32.266,BOS,@,NYJ,L 28-38,8,111,13.88,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,3,66.7,,2,0.0,1,8,0,0,0
99,1967,1967-09-03,1,33.161,BOS,@,DEN,L 21-26,6,54,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,,,0,3,0,0,0
100,1967,1967-09-09,2,33.167,BOS,@,SDG,L 14-28,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,0
101,1967,1967-09-17,3,33.175,BOS,@,OAK,L 7-35,2,16,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,,,0,1,0,0,0
102,1967,1967-09-24,4,33.182,BOS,@,BUF,W 23-0,1,22,22.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,7,42.9,0,11,0,0,0
103,1967,1967-10-08,5,33.196,BOS,@,SDG,T 31-31,3,33,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,1,3,33.3,0,7,0,0,0
104,1967,1967-10-15,6,33.203,BOS,,MIA,W 41-10,2,20,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,6,83.3,,2,0.0,0,5,0,0,0
105,1967,1967-10-22,7,33.210,BOS,,OAK,L 14-48,4,43,10.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,,,1,8,0,0,0
106,1967,1967-10-29,8,33.217,BOS,@,NYJ,L 23-30,5,49,9.80,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,3,100.0,1,17,0,0,0
107,1967,1967-11-05,9,33.224,BOS,,HOU,W 18-7,3,34,11.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,3,5,60.0,0,9,0,0,0
108,1967,1967-11-12,10,33.231,BOS,,KAN,L 10-33,3,29,9.67,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,1,10,0,0,0
109,1967,1967-11-19,11,33.238,BOS,,NYJ,L 24-29,2,50,25.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,1,100.0,0,6,0,0,0
110,1967,1967-11-26,12,33.245,BOS,@,HOU,L 6-27,2,18,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,2,4,50.0,0,6,0,0,0
111,1967,1967-12-09,13,33.258,BOS,,BUF,L 16-44,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2,0,0,0
112,1967,1967-12-17,14,33.266,BOS,@,MIA,L 32-41,1,21,21.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,2,100.0,0,8,0,0,0
113,1968,1968-09-08,1,34.166,BOS,@,BUF,W 16-7,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,3,3,100.0,0,10,0,0,0
114,1968,1968-09-22,2,34.180,BOS,,NYJ,L 31-47,3,31,10.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,1,1,100.0,0,7,0,0,0
115,1968,1968-09-29,3,34.187,BOS,@,DEN,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,2,4,50.0,0,8,0,0,0
116,1968,1968-10-06,4,34.194,BOS,@,OAK,L 10-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,1,100.0,0,4,0,0,0
117,1968,1968-10-13,5,34.201,BOS,,HOU,L 0-16,3,28,9.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0,0,0,0
118,1968,1968-10-20,6,34.208,BOS,,BUF,W 23-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,5,60.0,0,11,0,0,0
119,1968,1968-10-27,7,34.215,BOS,@,NYJ,L 14-48,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,2,2,100.0,,,,0,2,,,
120,1968,1968-11-03,8,34.222,BOS,,DEN,L 14-35,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,,,0,2,0,0,0
121,1968,1968-11-10,9,34.229,BOS,,SDG,L 17-27,1,19,19.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,1,11,0,0,0
122,1968,1968-11-17,10,34.236,BOS,@,KAN,L 17-31,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,4,25.0,0,5,0,0,0
123,1968,1968-11-24,11,34.243,BOS,,MIA,L 10-34,1,30,30.00,0,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4,0,0,0
124,1968,1968-12-01,12,34.250,BOS,,CIN,W 33-14,2,26,13.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,1,2,50.0,1,13,0,0,0
125,1968,1968-12-08,13,34.257,BOS,@,MIA,L 7-38,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,1,1,100.0,,,,0,1,,,
126,1968,1968-12-15,14,34.264,BOS,@,HOU,L 17-45,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,1,100.0,0,5,0,0,0
