ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
95,1966,1966-11-27,11,28.066,MIA,,BOS,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,2,2,100.0,,,,0,2
96,1966,1966-12-04,12,28.073,MIA,@,DEN,L 7-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,2,0.0,0,1
97,1966,1966-12-11,13,28.080,MIA,,KAN,L 18-19,0,0,,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
98,1966,1966-12-18,14,28.087,MIA,,HOU,W 29-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,1,0.0,0,3
99,1967,1967-09-17,1,28.360,MIA,,DEN,W 35-21,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,5,5,100.0,,,,0,5
100,1967,1967-09-24,2,29.002,MIA,,KAN,L 0-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0
101,1967,1967-10-01,3,29.009,MIA,@,NYJ,L 7-29,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,0,1
102,1967,1967-10-08,4,29.016,MIA,@,KAN,L 0-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,,1,0.0,0,0
103,1967,1967-10-15,5,29.023,MIA,@,BOS,L 10-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
104,1967,1967-10-22,6,29.030,MIA,,NYJ,L 14-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
105,1967,1967-10-29,7,29.037,WAS,,BAL,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,2,100.0,0,7
106,1967,1967-11-05,8,29.044,WAS,,STL,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,3,3,100.0,,,,0,3
107,1967,1967-11-12,9,29.051,WAS,,SFO,W 31-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,1,4,25.0,0,7
108,1967,1967-11-19,10,29.058,WAS,@,DAL,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,3,4,75.0,,,,0,3
109,1967,1967-11-26,11,29.065,WAS,@,CLE,L 37-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,5,80.0,1,1,100.0,0,7
110,1967,1967-12-03,12,29.072,WAS,,PHI,T 35-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,5,5,100.0,,3,0.0,0,5
111,1969,1969-09-21,1,30.364,PIT,,DET,W 16-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,3,4,75.0,0,10
112,1969,1969-09-28,2,31.006,PIT,@,PHI,L 27-41,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,2,2,100.0,0,9
113,1969,1969-10-05,3,31.013,PIT,,STL,L 14-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
114,1969,1969-10-12,4,31.020,PIT,@,NYG,L 7-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,0,1
115,1969,1969-10-18,5,31.026,PIT,@,CLE,L 31-42,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,1,1,100.0,0,7
116,1969,1969-10-26,6,31.034,PIT,,WAS,L 7-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,3,0.0,0,1
117,1969,1969-11-02,7,31.041,PIT,,GNB,L 34-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,4,4,100.0,2,4,50.0,0,10
118,1969,1969-11-09,8,31.048,PIT,@,CHI,L 7-38,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,1,1,100.0,,,,0,1
119,1969,1969-11-16,9,31.055,PIT,,CLE,L 3-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,,,1,2,50.0,0,3
120,1969,1969-11-23,10,31.062,PIT,@,MIN,L 14-52,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
121,1969,1969-11-30,11,31.069,PIT,@,STL,L 10-47,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,1,2,50.0,0,4
122,1969,1969-12-07,12,31.076,PIT,,DAL,L 7-10,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,1,1,100.0,,,,0,1
123,1969,1969-12-14,13,31.083,PIT,,NYG,L 17-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,1,3,33.3,0,5
124,1969,1969-12-21,14,31.090,PIT,@,NOR,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,1,2,50.0,0,6
125,1970,1970-09-20,1,31.363,PIT,,HOU,L 7-19,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,0,1
126,1970,1970-09-27,2,32.005,PIT,@,DEN,L 13-16,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,2,4,50.0,0,7
127,1970,1970-10-03,3,32.011,PIT,@,CLE,L 7-15,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,3,0.0,0,1
128,1970,1970-10-11,4,32.019,PIT,,BUF,W 23-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,2,2,100.0,3,4,75.0,0,11
129,1970,1970-10-18,5,32.026,PIT,@,HOU,W 7-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,1,0.0,0,1
130,1970,1970-10-25,6,32.033,PIT,@,OAK,L 14-31,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,2,2,100.0,,,,0,2
131,1970,1970-11-02,7,32.041,PIT,,CIN,W 21-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,2,0.0,0,3
132,1970,1970-11-08,8,32.047,PIT,,NYJ,W 21-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,3,3,100.0,,1,0.0,0,3
133,1970,1970-11-15,9,32.054,PIT,,KAN,L 14-31,0,0,,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,2,2,100.0,,,,0,2
134,1970,1970-11-22,10,32.061,PIT,@,CIN,L 7-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,1,100.0,,2,0.0,0,1
