ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,tackles_solo,tackles_assists
26,2010,2010-11-21,10,27.333,CIN,,BUF,L 31-49,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0.0,0,0
27,2010,2010-11-25,11,27.337,CIN,@,NYJ,L 10-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,6,1.50,0,0.0,0,0
28,2010,2010-12-05,12,27.347,CIN,,NOR,L 30-34,,0,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0,2,30,15.00,0,0.0,0,1
29,2010,2010-12-12,13,27.354,CIN,@,PIT,L 7-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,23,11.50,0,0.0,0,0
30,2010,2010-12-19,14,27.361,CIN,,CLE,W 19-17,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,2,26,13.00,0,0.0,0,0
31,2010,2010-12-26,15,28.003,CIN,,SDG,W 34-20,,0,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0,0,0,,0,0.0,0,0
32,2010,2011-01-02,16,28.010,CIN,@,BAL,L 7-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,49,12.25,0,0.0,0,0
33,2011,2011-09-25,3,28.276,DEN,@,TEN,L 14-17,,0,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0,3,47,15.67,0,0.0,1,0
34,2011,2011-10-02,4,28.283,DEN,@,GNB,L 23-49,,0,0,0,,0,0.0%,,0,0,,0,4,115,28.75,0,0,0,,0,0.0,0,0
35,2011,2011-10-09,5,28.290,DEN,,SDG,L 24-29,,0,0,0,,0,0.0%,,0,0,,0,1,28,28.00,0,2,37,18.50,0,0.0,0,0
36,2011,2011-10-23,6,28.304,DEN,@,MIA,W 18-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,45,11.25,0,0.0,0,0
37,2011,2011-10-30,7,28.311,DEN,,DET,L 10-45,,0,0,0,,0,0.0%,,0,0,,0,1,26,26.00,0,4,28,7.00,0,0.0,0,0
38,2011,2011-11-06,8,28.318,DEN,@,OAK,W 38-24,,0,0,0,,0,0.0%,,0,0,,0,2,66,33.00,0,3,23,7.67,0,0.0,0,0
39,2011,2011-11-13,9,28.325,DEN,@,KAN,W 17-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,16,8.00,0,0.0,0,0
40,2011,2011-12-04,12,28.346,DEN,@,MIN,W 35-32,,0,0,0,,0,0.0%,,0,0,,0,4,132,33.00,0,0,0,,0,0.0,0,0
41,2011,2011-12-11,13,28.353,DEN,,CHI,W 13-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,8,73,9.13,0,0.0,0,0
42,2011,2011-12-18,14,28.360,DEN,,NWE,L 23-41,,0,0,0,,0,0.0%,,0,0,,0,4,71,17.75,0,1,0,0.00,0,0.0,0,0
43,2012,2012-12-02,12,29.345,JAX,@,BUF,L 18-34,,0,0,0,,0,0.0%,,0,0,,0,5,99,19.80,0,2,21,10.50,0,0.0,0,0
44,2012,2012-12-09,13,29.352,JAX,,NYJ,L 10-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,3,25,8.33,0,0.0,0,0
