ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
35,1965,1965-10-31,7,24.358,PIT,,DAL,W 22-13,,0,0,,0,0,0,,0,0,,,1,3,33.3,1,2,50.0,0,4
36,1965,1965-11-07,8,25.000,PIT,@,STL,L 17-21,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,3,33.3,0,5
37,1965,1965-11-14,9,25.007,PIT,@,DAL,L 17-24,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
38,1965,1965-11-21,10,25.014,PIT,,WAS,L 3-31,,0,0,,0,0,0,,0,0,,,,,,1,1,100.0,0,3
39,1965,1965-11-28,11,25.021,PIT,,CLE,L 21-42,,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3
40,1965,1965-12-05,12,25.028,PIT,@,NYG,L 10-35,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4
41,1965,1965-12-12,13,25.035,PIT,,PHI,L 13-47,,0,0,,0,0,,,,,,,1,2,50.0,,,,0,1
42,1965,1965-12-19,14,25.042,PIT,@,WAS,L 14-35,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
43,1966,1966-09-11,1,25.308,PIT,,NYG,T 34-34,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,4,50.0,0,10
44,1966,1966-09-18,2,25.315,PIT,,DET,W 17-3,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
45,1966,1966-09-25,3,25.322,PIT,,WAS,L 27-33,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,3,66.7,0,9
46,1966,1966-10-02,4,25.329,PIT,@,WAS,L 10-24,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4
47,1966,1966-10-08,5,25.335,PIT,@,CLE,L 10-41,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4
48,1966,1966-10-16,6,25.343,PIT,,PHI,L 14-31,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2
49,1966,1966-10-30,7,25.357,PIT,@,DAL,L 21-52,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3
50,1966,1966-11-06,8,25.364,PIT,,CLE,W 16-6,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,4,75.0,0,10
51,1966,1966-11-13,9,26.006,PIT,,STL,W 30-9,,0,0,,0,0,0,,0,0,,,3,3,100.0,3,5,60.0,0,12
52,1966,1966-11-20,10,26.013,PIT,,DAL,L 7-20,,0,0,,0,0,,,,,,,1,1,100.0,,,,0,1
53,1966,1966-11-27,11,26.020,PIT,@,STL,L 3-6,,0,0,,0,0,0,,0,0,,,,,,1,2,50.0,0,3
54,1966,1966-12-04,12,26.027,PIT,@,PHI,L 23-27,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,4,75.0,0,11
55,1966,1966-12-11,13,26.034,PIT,@,NYG,W 47-28,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,1,100.0,0,8
56,1966,1966-12-18,14,26.041,PIT,@,ATL,W 57-33,,0,0,,0,0,0,,0,0,,,6,6,100.0,3,3,100.0,0,15
57,1967,1967-09-17,1,26.314,PIT,,CHI,W 41-13,,0,0,,0,0,0,,0,0,,,5,5,100.0,2,3,66.7,0,11
58,1967,1967-09-24,2,26.321,PIT,,STL,L 14-28,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
59,1967,1967-10-01,3,26.328,PIT,@,PHI,L 24-34,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
60,1967,1967-10-07,4,26.334,PIT,@,CLE,L 10-21,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4
61,1967,1967-10-15,5,26.342,PIT,,NYG,L 24-27,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,3,100.0,1,1,100.0,0,6
62,1967,1967-10-22,6,26.349,PIT,,DAL,L 21-24,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3
63,1967,1967-10-29,7,26.356,PIT,@,NOR,W 14-10,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
64,1967,1967-11-05,8,26.363,PIT,,CLE,L 14-34,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2
65,1967,1967-11-12,9,27.005,PIT,@,STL,T 14-14,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2
66,1967,1967-11-19,10,27.012,PIT,@,NYG,L 20-28,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8
67,1967,1967-11-26,11,27.019,PIT,,MIN,L 27-41,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,4,50.0,0,9
68,1967,1967-12-03,12,27.026,PIT,@,DET,W 24-14,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
69,1967,1967-12-10,13,27.033,PIT,,WAS,L 10-15,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4
70,1967,1967-12-17,14,27.040,PIT,@,GNB,W 24-17,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
71,1968,1968-09-15,1,27.313,DAL,,DET,W 59-13,,0,0,,0,0,0,,0,0,,,8,8,100.0,1,3,33.3,0,11
72,1968,1968-09-22,2,27.320,DAL,,CLE,W 28-7,,0,0,,0,0,0,,0,0,,,4,4,100.0,,1,0.0,0,4
73,1968,1968-09-29,3,27.327,DAL,@,PHI,W 45-13,,0,0,,0,0,0,,0,0,,,6,6,100.0,1,1,100.0,0,9
74,1968,1968-10-06,4,27.334,DAL,@,STL,W 27-10,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9
75,1968,1968-10-13,5,27.341,DAL,,PHI,W 34-14,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,3,66.7,0,10
76,1968,1968-10-20,6,27.348,DAL,@,MIN,W 20-7,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8
77,1968,1968-10-28,7,27.356,DAL,,GNB,L 17-28,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5
78,1968,1968-11-03,8,27.362,DAL,@,NOR,W 17-3,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
79,1968,1968-11-10,9,28.003,DAL,,NYG,L 21-27,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3
80,1968,1968-11-17,10,28.010,DAL,@,WAS,W 44-24,,0,0,,0,0,0,,0,0,,,5,5,100.0,3,3,100.0,0,14
81,1968,1968-11-24,11,28.017,DAL,@,CHI,W 34-3,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,7,28.6,0,10
82,1968,1968-11-28,12,28.021,DAL,,WAS,W 29-20,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9
83,1968,1968-12-08,13,28.031,DAL,,PIT,W 28-7,,0,0,,0,0,0,,0,0,,,4,4,100.0,,1,0.0,0,4
84,1968,1968-12-15,14,28.038,DAL,@,NYG,W 28-10,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4
85,1969,1969-09-21,1,28.318,DAL,,STL,W 24-3,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
86,1969,1969-09-28,2,28.325,DAL,@,NOR,W 21-17,,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3
87,1969,1969-10-05,3,28.332,DAL,@,PHI,W 38-7,,0,0,,0,0,0,,0,0,,,5,5,100.0,1,2,50.0,0,8
88,1969,1969-10-12,4,28.339,DAL,@,ATL,W 24-17,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,2,50.0,0,6
89,1969,1969-10-19,5,28.346,DAL,,PHI,W 49-14,,0,0,,0,0,0,,0,0,,,7,7,100.0,,2,0.0,0,7
90,1969,1969-10-27,6,28.354,DAL,,NYG,W 25-3,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,5,60.0,0,11
91,1969,1969-11-02,7,28.360,DAL,@,CLE,L 10-42,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,2,50.0,0,4
92,1969,1969-11-09,8,29.002,DAL,,NOR,W 33-17,,0,0,,0,0,0,,0,0,,,3,4,75.0,2,4,50.0,0,9
93,1969,1969-11-16,9,29.009,DAL,@,WAS,W 41-28,,0,0,,0,0,0,,0,0,,,5,5,100.0,2,3,66.7,0,11
94,1969,1969-11-23,10,29.016,DAL,@,RAM,L 23-24,,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11
95,1969,1969-11-27,11,29.020,DAL,,SFO,T 24-24,,0,0,,0,0,0,,0,0,,,3,3,100.0,1,3,33.3,0,6
96,1969,1969-12-07,12,29.030,DAL,@,PIT,W 10-7,,0,0,,0,0,0,,0,0,,,1,1,100.0,1,1,100.0,0,4
97,1969,1969-12-13,13,29.036,DAL,,BAL,W 27-10,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,3,66.7,0,9
98,1969,1969-12-21,14,29.044,DAL,,WAS,W 20-10,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8
99,1970,1970-09-20,1,29.317,DAL,@,PHI,W 17-7,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5
100,1970,1970-09-27,2,29.324,DAL,,NYG,W 28-10,,0,0,,0,0,0,,0,0,,,4,4,100.0,,2,0.0,0,4
101,1970,1970-10-04,3,29.331,DAL,@,STL,L 7-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,,1,0.0,0,1
102,1970,1970-10-11,4,29.338,DAL,,ATL,W 13-0,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7
103,1970,1970-10-18,5,29.345,DAL,@,MIN,L 13-54,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7
104,1970,1970-10-25,6,29.352,DAL,@,KAN,W 27-16,,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9
105,1970,1970-11-01,7,29.359,DAL,,PHI,W 21-17,,0,0,,0,0,0,,0,0,,,3,3,100.0,,1,0.0,0,3
106,1970,1970-11-08,8,30.001,DAL,@,NYG,L 20-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8
107,1970,1970-11-22,10,30.015,DAL,@,WAS,W 45-21,,0,0,,0,0,0,,0,0,,,6,6,100.0,1,1,100.0,0,9
108,1970,1970-11-26,11,30.019,DAL,,GNB,W 16-3,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10
109,1970,1970-12-06,12,30.029,DAL,,WAS,W 34-0,,0,0,,0,0,0,,0,0,,,4,4,100.0,2,4,50.0,0,10
110,1970,1970-12-12,13,30.035,DAL,@,CLE,W 6-2,,0,0,,0,0,0,,0,0,,,,,,2,3,66.7,0,6
111,1970,1970-12-20,14,30.043,DAL,,HOU,W 52-10,,0,0,,0,0,0,,0,0,,,7,7,100.0,1,1,100.0,0,10
112,1971,1971-09-19,1,30.316,DAL,@,BUF,W 49-37,,0,0,,0,0,,,,,,,7,7,100.0,,,,0,7
113,1971,1971-09-26,2,30.323,DAL,@,PHI,W 42-7,,0,0,,0,0,0,,0,0,,,6,6,100.0,,2,0.0,0,6
114,1971,1971-10-03,3,30.330,DAL,,WAS,L 16-20,,0,0,,0,0,0,,0,0,,,1,1,100.0,3,4,75.0,0,10
115,1971,1971-10-11,4,30.338,DAL,,NYG,W 20-13,,0,0,,0,0,0,,0,0,,,2,2,100.0,2,3,66.7,0,8
116,1971,1971-10-17,5,30.344,DAL,@,NOR,L 14-24,,0,0,,0,0,0,,0,0,,,2,2,100.0,,1,0.0,0,2
117,1971,1971-10-24,6,30.351,DAL,,NWE,W 44-21,,0,0,,0,0,0,,0,0,,,5,5,100.0,3,4,75.0,0,14
118,1971,1971-10-31,7,30.358,DAL,@,CHI,L 19-23,,0,0,,0,0,0,,0,0,,,2,2,100.0,1,4,25.0,0,5
119,1971,1971-11-21,10,31.014,DAL,@,WAS,W 13-0,,0,0,,0,0,0,,0,0,,,1,1,100.0,2,4,50.0,0,7
120,1971,1971-11-25,11,31.018,DAL,,RAM,W 28-21,,0,0,,0,0,,,,,,,4,4,100.0,,,,0,4
121,1971,1971-12-04,12,31.027,DAL,,NYJ,W 52-10,,0,0,,0,0,0,,0,0,,,7,7,100.0,1,2,50.0,0,10
122,1971,1971-12-12,13,31.035,DAL,@,NYG,W 42-14,,0,0,,0,0,,,,,,,6,6,100.0,,,,0,6
123,1971,1971-12-18,14,31.041,DAL,,STL,W 31-12,,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7
124,1973,1973-10-28,7,32.355,DAL,@,PHI,L 16-30,,0,0,,0,0,0,,0,0,,,1,2,50.0,1,2,50.0,0,4
125,1973,1973-11-04,8,32.362,DAL,,CIN,W 38-10,,,,,,,,,,,,,,,,,,,,
126,1973,1973-11-11,9,33.004,DAL,@,NYG,W 23-10,,,,,,,,,,,,,,,,,,,,
127,1973,1973-11-18,10,33.011,DAL,,PHI,W 31-10,,,,,,,,,,,,,,,,,,,,
