ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
54,1977,1977-11-13,9,26.173,BAL,@,BUF,W 31-13,,,,,,,,,,,,,,,,,,
55,1977,1977-11-20,10,26.180,BAL,,NYJ,W 33-12,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,3,64,0
56,1977,1977-11-27,11,26.187,BAL,@,DEN,L 13-27,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,3,0
57,1977,1977-12-05,12,26.195,BAL,@,MIA,L 6-17,0,0,,0,1,24,24.00,0,0,0,,0,0,0,0.0,0,0,0
58,1977,1977-12-11,13,26.201,BAL,,DET,L 10-13,0,0,,0,0,0,,0,4,10,2.50,0,0,0,0.0,1,0,0
59,1977,1977-12-18,14,26.208,BAL,,NWE,W 30-24,0,0,,0,0,0,,0,2,2,1.00,0,0,0,0.0,0,0,0
60,1978,1978-09-04,1,27.103,BAL,@,DAL,L 0-38,,,,,,,,,,,,,,,,,,
61,1978,1978-09-10,2,27.109,BAL,,MIA,L 0-42,,,,,,,,,,,,,,,,,,
62,1978,1978-09-18,3,27.117,BAL,@,NWE,W 34-27,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,23,0
63,1978,1978-09-24,4,27.123,BAL,@,BUF,L 17-24,,,,,,,,,,,,,,,,,,
64,1978,1978-10-01,5,27.130,BAL,,PHI,L 14-17,,,,,,,,,,,,,,,,,,
65,1978,1978-10-08,6,27.137,BAL,@,STL,W 30-17,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,79,1
66,1978,1978-10-15,7,27.144,BAL,,NYJ,L 10-33,,,,,,,,,,,,,,,,,,
67,1978,1978-10-22,8,27.151,BAL,,DEN,W 7-6,,,,,,,,,,,,,,,,,,
68,1978,1978-10-29,9,27.158,BAL,@,MIA,L 8-26,0,0,,0,1,18,18.00,0,0,0,,0,0,0,0.0,1,23,0
69,1978,1978-11-06,10,27.166,BAL,,WAS,W 21-17,,,,,,,,,,,,,,,,,,
70,1978,1978-11-12,11,27.172,BAL,@,SEA,W 17-14,,,,,,,,,,,,,,,,,,
71,1978,1978-11-19,12,27.179,BAL,,CLE,L 24-45,,,,,,,,,,,,,,,,,,
72,1978,1978-11-26,13,27.186,BAL,,NWE,L 14-35,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,1,21,1
73,1978,1978-12-03,14,27.193,BAL,@,NYJ,L 16-24,,,,,,,,,,,,,,,,,,
74,1978,1978-12-09,15,27.199,BAL,@,PIT,L 13-35,,,,,,,,,,,,,,,,,,
75,1978,1978-12-17,16,27.207,BAL,,BUF,L 14-21,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0.0,0,0,0
76,1979,1979-09-02,1,28.101,BAL,@,KAN,L 0-14,,,,,,,,,,,,,,,,,,
77,1979,1979-09-09,2,28.108,BAL,,TAM,L 26-29,,,,,,,,,,,,,,,,,,
78,1979,1979-09-16,3,28.115,BAL,@,CLE,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,9,0
79,1979,1979-09-23,4,28.122,BAL,@,PIT,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,3,0
80,1979,1979-09-30,5,28.129,BAL,,BUF,L 13-31,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,1,27,0
81,1979,1979-10-07,6,28.136,BAL,,NYJ,W 10-8,,,,,,,,,,,,,,,,,,
82,1979,1979-10-14,7,28.143,BAL,,HOU,L 16-28,0,0,,0,0,0,,0,2,2,1.00,0,0,0,0.0,0,0,0
83,1979,1979-10-21,8,28.150,BAL,@,BUF,W 14-13,0,0,,0,0,0,,0,1,-3,-3.00,0,0,0,0.0,0,0,0
84,1979,1979-10-28,9,28.157,BAL,,NWE,W 31-26,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,24,0
85,1979,1979-11-04,10,28.164,BAL,,CIN,W 38-28,,,,,,,,,,,,,,,,,,
86,1979,1979-11-11,11,28.171,BAL,@,MIA,L 0-19,,,,,,,,,,,,,,,,,,
87,1979,1979-11-18,12,28.178,BAL,@,NWE,L 21-50,,,,,,,,,,,,,,,,,,
88,1979,1979-11-25,13,28.185,BAL,,MIA,L 24-28,,,,,,,,,,,,,,,,,,
89,1979,1979-12-02,14,28.192,BAL,@,NYJ,L 17-30,0,0,,0,2,28,14.00,0,0,0,,0,0,0,0.0,0,0,0
90,1979,1979-12-09,15,28.199,BAL,,KAN,L 7-10,0,0,,0,1,13,13.00,0,0,0,,0,0,0,0.0,0,0,0
91,1979,1979-12-16,16,28.206,BAL,@,NYG,W 31-7,,,,,,,,,,,,,,,,,,
92,1980,1980-09-07,1,29.106,BAL,@,NYJ,W 17-14,,,,,,,,,,,,,,,,,,
93,1980,1980-09-14,2,29.113,BAL,,PIT,L 17-20,,,,,,,,,,,,,,,,,,
94,1980,1980-09-21,3,29.120,BAL,@,HOU,L 16-21,,,,,,,,,,,,,,,,,,
95,1980,1980-10-05,5,29.134,BAL,@,MIA,W 30-17,,,,,,,,,,,,,,,,,,
96,1980,1980-10-26,8,29.155,BAL,,STL,L 10-17,,,,,,,,,,,,,,,,,,
97,1980,1980-11-02,9,29.162,BAL,@,KAN,W 31-24,0,0,,0,1,16,16.00,0,0,0,,0,0,0,0.0,0,0,0
98,1980,1980-11-16,11,29.176,BAL,@,DET,W 10-9,,,,,,,,,,,,,,,,,,
99,1980,1980-11-23,12,29.183,BAL,@,NWE,L 21-47,,,,,,,,,,,,,,,,,,
100,1980,1980-11-30,13,29.190,BAL,,BUF,W 28-24,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
101,1980,1980-12-14,15,29.204,BAL,,MIA,L 14-24,,,,,,,,,,,,,,,,,,
102,1980,1980-12-21,16,29.211,BAL,,KAN,L 28-38,0,0,,0,1,25,25.00,0,0,0,,0,0,0,0.0,0,0,0
103,1981,1981-10-04,5,30.133,MIA,,NYJ,T 28-28,,,,,,,,,,,,,,,,,,
104,1981,1981-10-12,6,30.141,MIA,@,BUF,L 21-31,,,,,,,,,,,,,,,,,,
105,1981,1981-10-18,7,30.147,MIA,,WAS,W 13-10,,,,,,,,,,,,,,,,,,
106,1981,1981-10-25,8,30.154,MIA,@,DAL,L 27-28,,,,,,,,,,,,,,,,,,
107,1981,1981-11-01,9,30.161,MIA,,BAL,W 27-10,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,11,0
108,1981,1981-11-08,10,30.168,MIA,@,NWE,W 30-27,,,,,,,,,,,,,,,,,,
109,1981,1981-11-15,11,30.175,MIA,,OAK,L 17-33,,,,,,,,,,,,,,,,,,
110,1981,1981-11-22,12,30.182,MIA,@,NYJ,L 15-16,,,,,,,,,,,,,,,,,,
111,1981,1981-11-30,13,30.190,MIA,,PHI,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
112,1981,1981-12-06,14,30.196,MIA,,NWE,W 24-14,,,,,,,,,,,,,,,,,,
113,1981,1981-12-13,15,30.203,MIA,@,KAN,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,1,0
114,1981,1981-12-19,16,30.209,MIA,,BUF,W 16-6,,,,,,,,,,,,,,,,,,
115,1982,1982-09-12,1,31.111,MIA,@,NYJ,W 45-28,0,0,,0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
116,1982,1982-09-19,2,31.118,MIA,,BAL,W 24-20,,,,,,,,,,,,,,,,,,
117,1982,1982-11-21,3,31.181,MIA,@,BUF,W 9-7,,,,,,,,,,,,,,,,,,
118,1982,1982-11-29,4,31.189,MIA,@,TAM,L 17-23,,,,,,,,,,,,,,,,,,
119,1982,1982-12-05,5,31.195,MIA,,MIN,W 22-14,,,,,,,,,,,,,,,,,,
120,1982,1982-12-12,6,31.202,MIA,@,NWE,L 0-3,,,,,,,,,,,,,,,,,,
121,1982,1982-12-18,7,31.208,MIA,,NYJ,W 20-19,,,,,,,,,,,,,,,,,,
122,1982,1982-12-27,8,31.217,MIA,,BUF,W 27-10,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,20,0
123,1982,1983-01-02,9,31.223,MIA,@,BAL,W 34-7,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,21,0
124,1983,1983-09-04,1,32.103,MIA,@,BUF,W 12-0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,13,0
125,1983,1983-09-11,2,32.110,MIA,,NWE,W 34-24,,,,,,,,,,,,,,,,,,
126,1983,1983-09-19,3,32.118,MIA,@,RAI,L 14-27,,,,,,,,,,,,,,,,,,
127,1983,1983-09-25,4,32.124,MIA,,KAN,W 14-6,,,,,,,,,,,,,,,,,,
128,1983,1983-10-02,5,32.131,MIA,@,NOR,L 7-17,,,,,,,,,,,,,,,,,,
129,1983,1983-10-09,6,32.138,MIA,,BUF,L 35-38,,,,,,,,,,,,,,,,,,
130,1983,1983-10-16,7,32.145,MIA,@,NYJ,W 32-14,,,,,,,,,,,,,,,,0,3,0
131,1983,1983-10-23,8,32.152,MIA,@,BAL,W 21-7,,,,,,,,,,,,,,,,,,
132,1983,1983-10-30,9,32.159,MIA,,RAM,W 30-14,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,45,0
133,1983,1983-11-06,10,32.166,MIA,@,SFO,W 20-17,,,,,,,,,,,,,,,,,,
134,1983,1983-11-13,11,32.173,MIA,@,NWE,L 6-17,,,,,,,,,,,,,,,,,,
135,1983,1983-11-20,12,32.180,MIA,,BAL,W 37-0,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,16,0
136,1983,1983-11-28,13,32.188,MIA,,CIN,W 38-14,,,,,,,,,,,,,,,,,,
137,1983,1983-12-04,14,32.194,MIA,@,HOU,W 24-17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
138,1983,1983-12-10,15,32.200,MIA,,ATL,W 31-24,,,,,,,,,,,,,,,,,,
139,1983,1983-12-16,16,32.206,MIA,,NYJ,W 34-14,,,,,,,,,,,,,,,,,,
140,1984,1984-09-02,1,33.101,MIA,@,WAS,W 35-17,,,,,,,,,0,0,,0,,,,,,
141,1984,1984-09-09,2,33.108,MIA,,NWE,W 28-7,,,,,,,,,0,0,,0,,,,,,
142,1984,1984-09-17,3,33.116,MIA,@,BUF,W 21-17,,,,,,,,,0,0,,0,,,,,,
143,1984,1984-09-23,4,33.122,MIA,,IND,W 44-7,,,,,,,,,0,0,,0,,,,,,
144,1984,1984-09-30,5,33.129,MIA,@,STL,W 36-28,,,,,,,,,0,0,,0,,,,,,
145,1984,1984-10-07,6,33.136,MIA,@,PIT,W 31-7,,,,,,,,,0,0,,0,,,,,,
146,1984,1984-10-14,7,33.143,MIA,,HOU,W 28-10,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,4,0
147,1984,1984-10-21,8,33.150,MIA,@,NWE,W 44-24,,,,,,,,,0,0,,0,,,,,,
148,1984,1984-10-28,9,33.157,MIA,,BUF,W 38-7,,,,,,,,,0,0,,0,,,,,,
149,1984,1984-11-04,10,33.164,MIA,@,NYJ,W 31-17,,,,,,,,,0,0,,0,,,,,,
150,1984,1984-11-11,11,33.171,MIA,,PHI,W 24-23,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,15,0
151,1984,1984-11-18,12,33.178,MIA,@,SDG,L 28-34,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,12,0
152,1984,1984-11-26,13,33.186,MIA,,NYJ,W 28-17,,,,,,,,,0,0,,0,,,,,,
153,1984,1984-12-02,14,33.192,MIA,,RAI,L 34-45,,,,,,,,,0,0,,0,,,,,,
154,1984,1984-12-09,15,33.199,MIA,@,IND,W 35-17,,,,,,,,,,,,,,,,0,-2,0
155,1984,1984-12-17,16,33.207,MIA,,DAL,W 28-21,,,,,,,,,0,0,,0,,,,,,
156,1985,1985-09-08,1,34.107,MIA,@,HOU,L 23-26,,,,,0,0,,0,0,0,,0,,,,,,
157,1985,1985-09-15,2,34.114,MIA,,IND,W 30-13,,,,,0,0,,0,0,0,,0,,,,,,
158,1985,1985-09-22,3,34.121,MIA,,KAN,W 31-0,,,,,0,0,,0,0,0,,0,,,,,,
159,1985,1985-09-29,4,34.128,MIA,@,DEN,W 30-26,,,,,0,0,,0,0,0,,0,,,,,,
160,1985,1985-10-06,5,34.135,MIA,,PIT,W 24-20,,,,,0,0,,0,0,0,,0,,,,,,
161,1985,1985-10-14,6,34.143,MIA,@,NYJ,L 7-23,0,0,,0,1,15,15.00,0,0,0,,0,0,0,0.0,0,0,0
162,1985,1985-10-20,7,34.149,MIA,,TAM,W 41-38,,,,,0,0,,0,0,0,,0,,,,,,
163,1985,1985-10-27,8,34.156,MIA,@,DET,L 21-31,,,,,0,0,,0,0,0,,0,,,,,,
164,1985,1985-11-03,9,34.163,MIA,@,NWE,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,0,0
165,1985,1985-11-10,10,34.170,MIA,,NYJ,W 21-17,,,,,0,0,,0,0,0,,0,,,,,,
166,1985,1985-11-17,11,34.177,MIA,@,IND,W 34-20,,,,,0,0,,0,0,0,,0,,,,,,
167,1985,1985-11-24,12,34.184,MIA,@,BUF,W 23-14,,,,,0,0,,0,0,0,,0,,,,,,
168,1985,1985-12-02,13,34.192,MIA,,CHI,W 38-24,,,,,0,0,,0,0,0,,0,,,,,,
169,1985,1985-12-08,14,34.198,MIA,@,GNB,W 34-24,0,0,,0,1,17,17.00,0,0,0,,0,0,0,0.0,0,0,0
170,1985,1985-12-16,15,34.206,MIA,,NWE,W 30-27,,,,,0,0,,0,0,0,,0,,,,,,
171,1985,1985-12-22,16,34.212,MIA,,BUF,W 28-0,,,,,0,0,,0,0,0,,0,,,,,,
172,1986,1986-09-07,1,35.106,MIA,@,SDG,L 28-50,,,,,,,,,0,0,,0,,,,,,
173,1986,1986-09-14,2,35.113,MIA,,IND,W 30-10,,,,,,,,,0,0,,0,,,,,,
174,1986,1986-09-21,3,35.120,MIA,@,NYJ,L 45-51,,,,,,,,,0,0,,0,,,,,,
175,1986,1986-09-28,4,35.127,MIA,,SFO,L 16-31,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0.0,1,14,0
176,1986,1986-10-05,5,35.134,MIA,@,NWE,L 7-34,,,,,,,,,0,0,,0,,,,,,
