ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
20,1995,1995-10-29,8,22.353,STL,@,PHI,L 9-20,,15,9,105,11.67,1,60.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
21,1995,1995-11-05,9,22.360,STL,@,NOR,L 10-19,,11,8,135,16.88,1,72.7%,12.27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
22,1995,1995-11-12,10,23.002,STL,,CAR,W 28-17,,14,9,110,12.22,1,64.3%,7.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
23,1995,1995-11-19,11,23.009,STL,@,ATL,L 6-31,,11,7,91,13.00,0,63.6%,8.27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
24,1995,1995-11-26,12,23.016,STL,@,SFO,L 13-41,,8,2,24,12.00,1,25.0%,3.00,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
25,1995,1995-12-03,13,23.023,STL,@,NYJ,W 23-20,,19,6,69,11.50,2,31.6%,3.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
26,1995,1995-12-10,14,23.030,STL,,BUF,L 27-45,,20,9,136,15.11,0,45.0%,6.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
27,1995,1995-12-17,15,23.037,STL,,WAS,L 23-35,,14,9,68,7.56,0,64.3%,4.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
28,1995,1995-12-24,16,23.044,STL,,MIA,L 22-41,,19,15,210,14.00,1,78.9%,11.05,1,12,12.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
29,1996,1996-09-01,1,23.296,STL,,CIN,W 26-16,,12,4,40,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
30,1996,1996-09-08,2,23.303,STL,@,SFO,L 0-34,,6,4,52,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
31,1996,1996-09-22,3,23.317,STL,,WAS,L 10-17,,15,11,136,12.36,0,73.3%,9.07,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
32,1996,1996-09-29,4,23.324,STL,@,ARI,L 28-31,,6,4,117,29.25,2,66.7%,19.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,12,0.0,,
33,1996,1996-10-06,5,23.331,STL,,SFO,L 11-28,,6,4,56,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
34,1996,1996-10-13,6,23.338,STL,@,CAR,L 13-45,,6,3,34,11.33,0,50.0%,5.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
35,1996,1996-10-20,7,23.345,STL,,JAX,W 17-14,,6,2,30,15.00,0,33.3%,5.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
36,1996,1996-10-27,8,23.352,STL,@,BAL,L 31-37,,15,11,229,20.82,1,73.3%,15.27,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
37,1996,1996-11-03,9,23.359,STL,@,PIT,L 6-42,,16,7,108,15.43,0,43.8%,6.75,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
38,1996,1996-11-10,10,24.000,STL,,ATL,W 59-16,,6,5,91,18.20,1,83.3%,15.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
39,1996,1996-11-17,11,24.007,STL,,CAR,L 10-20,,12,4,59,14.75,0,33.3%,4.92,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
40,1996,1996-11-24,12,24.014,STL,,GNB,L 9-24,,13,6,53,8.83,1,46.2%,4.08,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
41,1996,1996-12-01,13,24.021,STL,@,NOR,W 26-10,,7,4,112,28.00,1,57.1%,16.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
42,1996,1996-12-08,14,24.028,STL,@,CHI,L 9-35,,10,6,87,14.50,0,60.0%,8.70,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
43,1996,1996-12-15,15,24.035,STL,@,ATL,W 34-27,,3,2,37,18.50,0,66.7%,12.33,1,4,4.00,0,1,1,100.00,15,0,0,118.7,0,0,15.00,15.00,0,0,,0,0,0,0.0,,
44,1996,1996-12-21,16,24.041,STL,,NOR,W 14-13,,11,7,97,13.86,1,63.6%,8.82,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,1,6,0.0,,
45,1997,1997-09-14,3,24.308,STL,@,DEN,L 14-35,,,0,0,,0,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
46,1997,1997-10-12,6,24.336,STL,@,SFO,L 10-30,,9,2,14,7.00,0,22.2%,1.56,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
47,1997,1997-10-19,7,24.343,STL,,SEA,L 9-17,,12,6,68,11.33,0,50.0%,5.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
48,1997,1997-10-26,8,24.350,STL,,KAN,L 20-28,,10,5,94,18.80,1,50.0%,9.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
49,1997,1997-11-02,9,24.357,STL,@,ATL,L 31-34,,13,10,233,23.30,2,76.9%,17.92,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
50,1997,1997-11-09,10,24.364,STL,@,GNB,L 7-17,,10,3,34,11.33,0,30.0%,3.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
51,1997,1997-11-16,11,25.006,STL,,ATL,L 21-27,,12,3,50,16.67,0,25.0%,4.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
52,1997,1997-11-23,12,25.013,STL,,CAR,L 10-16,,11,5,48,9.60,0,45.5%,4.36,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
53,1997,1997-11-30,13,25.020,STL,@,WAS,W 23-20,,11,5,41,8.20,0,45.5%,3.73,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
54,1997,1997-12-07,14,25.027,STL,@,NOR,W 34-27,,17,9,144,16.00,2,52.9%,8.47,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
55,1997,1997-12-14,15,25.034,STL,,CHI,L 10-13,,8,3,46,15.33,0,37.5%,5.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
56,1997,1997-12-20,16,25.040,STL,@,CAR,W 30-18,,6,5,43,8.60,0,83.3%,7.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
57,1998,1998-09-06,1,25.300,STL,,NOR,L 17-24,,14,10,131,13.10,0,71.4%,9.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
58,1998,1998-09-13,2,25.307,STL,,MIN,L 31-38,,16,11,192,17.45,1,68.8%,12.00,1,30,30.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,,
59,1998,1998-10-11,5,25.335,STL,,NYJ,W 30-10,,6,5,62,12.40,0,83.3%,10.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
60,1998,1998-10-18,6,25.342,STL,@,MIA,L 0-14,,10,6,72,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
61,1998,1998-10-25,7,25.349,STL,,SFO,L 10-28,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
62,1999,1999-09-12,1,26.306,STL,,BAL,W 27-10,*,11,8,92,11.50,1,72.7%,8.36,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
63,1999,1999-09-26,2,26.320,STL,,ATL,W 35-7,*,7,3,68,22.67,1,42.9%,9.71,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
64,1999,1999-10-03,3,26.327,STL,@,CIN,W 38-10,*,8,6,152,25.33,0,75.0%,19.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
65,1999,1999-10-10,4,26.334,STL,,SFO,W 42-20,*,6,5,134,26.80,4,83.3%,22.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,24,0.0,,
66,1999,1999-10-17,5,26.341,STL,@,ATL,W 41-13,*,8,6,48,8.00,1,75.0%,6.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
67,1999,1999-10-24,6,26.348,STL,,CLE,W 34-3,*,6,4,44,11.00,1,66.7%,7.33,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
68,1999,1999-10-31,7,26.355,STL,@,TEN,L 21-24,*,9,6,53,8.83,1,66.7%,5.89,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
69,1999,1999-11-07,8,26.362,STL,@,DET,L 27-31,*,7,2,34,17.00,0,28.6%,4.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
70,1999,1999-11-14,9,27.004,STL,,CAR,W 35-10,*,7,5,69,13.80,1,71.4%,9.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
71,1999,1999-11-21,10,27.011,STL,@,SFO,W 23-7,*,12,11,93,8.45,1,91.7%,7.75,1,4,4.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
72,1999,1999-11-28,11,27.018,STL,,NOR,W 43-12,*,13,5,81,16.20,0,38.5%,6.23,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
73,1999,1999-12-05,12,27.025,STL,@,CAR,W 34-21,*,7,6,111,18.50,0,85.7%,15.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
74,1999,1999-12-12,13,27.032,STL,@,NOR,W 30-14,*,8,4,102,25.50,0,50.0%,12.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
75,1999,1999-12-19,14,27.039,STL,,NYG,W 31-10,*,3,2,39,19.50,0,66.7%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
76,1999,1999-12-26,15,27.046,STL,,CHI,W 34-12,*,5,4,45,11.25,1,80.0%,9.00,2,11,5.50,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
77,1999,2000-01-02,16,27.053,STL,@,PHI,L 31-38,*,3,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,
78,2000,2000-09-04,1,27.299,STL,,DEN,W 41-36,*,5,4,60,15.00,0,80.0%,12.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
79,2000,2000-09-10,2,27.305,STL,@,SEA,W 37-34,*,9,6,97,16.17,0,66.7%,10.78,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
80,2000,2000-09-17,3,27.312,STL,,SFO,W 41-24,*,8,8,188,23.50,1,100.0%,23.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
81,2000,2000-09-24,4,27.319,STL,@,ATL,W 41-20,*,6,3,92,30.67,2,50.0%,15.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
82,2000,2000-10-01,5,27.326,STL,,SDG,W 57-31,*,10,9,167,18.56,2,90.0%,16.70,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
83,2000,2000-10-15,6,27.340,STL,,ATL,W 45-29,*,8,3,88,29.33,0,37.5%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
84,2000,2000-10-22,7,27.347,STL,@,KAN,L 34-54,*,9,8,129,16.13,2,88.9%,14.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,12,0.0,,
85,2000,2000-10-29,8,27.354,STL,@,SFO,W 34-24,*,11,8,129,16.13,0,72.7%,11.73,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
86,2000,2000-11-05,9,27.361,STL,,CAR,L 24-27,*,11,7,69,9.86,1,63.6%,6.27,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
87,2000,2000-11-12,10,28.002,STL,@,NYG,W 38-24,*,8,4,75,18.75,1,50.0%,9.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
88,2000,2000-11-20,11,28.010,STL,,WAS,L 20-33,*,8,5,91,18.20,0,62.5%,11.38,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
89,2000,2000-11-26,12,28.016,STL,,NOR,L 24-31,,10,4,59,14.75,0,40.0%,5.90,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
90,2000,2000-12-03,13,28.023,STL,@,CAR,L 3-16,,9,6,74,12.33,0,66.7%,8.22,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
91,2000,2000-12-10,14,28.030,STL,,MIN,W 40-29,*,11,7,74,10.57,0,63.6%,6.73,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
92,2000,2000-12-18,15,28.038,STL,@,TAM,L 35-38,,7,3,36,12.00,0,42.9%,5.14,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
93,2000,2000-12-24,16,28.044,STL,@,NOR,W 26-21,,5,2,43,21.50,0,40.0%,8.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
94,2001,2001-09-09,1,28.303,STL,@,PHI,W 20-17,*,5,4,89,22.25,0,80.0%,17.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
95,2001,2001-09-23,2,28.317,STL,@,SFO,W 30-26,*,11,8,144,18.00,1,72.7%,13.09,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
96,2001,2001-09-30,3,28.324,STL,,MIA,W 42-10,*,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
97,2001,2001-10-08,4,28.332,STL,@,DET,W 35-0,*,11,6,66,11.00,0,54.5%,6.00,1,10,10.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
98,2001,2001-10-14,5,28.338,STL,,NYG,W 15-14,*,12,4,49,12.25,0,33.3%,4.08,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
99,2001,2001-10-21,6,28.345,STL,@,NYJ,W 34-14,*,5,2,37,18.50,0,40.0%,7.40,1,3,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
100,2001,2001-10-28,7,28.352,STL,,NOR,L 31-34,*,10,7,179,25.57,1,70.0%,17.90,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
101,2001,2001-11-11,8,29.001,STL,,CAR,W 48-14,*,3,2,39,19.50,1,66.7%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
102,2001,2001-11-18,9,29.008,STL,@,NWE,W 24-17,*,7,7,130,18.57,0,100.0%,18.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
103,2001,2001-11-26,10,29.016,STL,,TAM,L 17-24,*,9,3,73,24.33,0,33.3%,8.11,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
104,2001,2001-12-02,11,29.022,STL,@,ATL,W 35-6,*,3,3,47,15.67,0,100.0%,15.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
105,2001,2001-12-09,12,29.029,STL,,SFO,W 27-14,*,4,3,44,14.67,0,75.0%,11.00,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
106,2001,2001-12-17,13,29.037,STL,@,NOR,W 34-21,*,9,5,86,17.20,3,55.6%,9.56,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,18,0.0,,
107,2001,2001-12-23,14,29.043,STL,@,CAR,W 38-32,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
108,2001,2001-12-30,15,29.050,STL,,IND,W 42-17,*,6,5,75,15.00,0,83.3%,12.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
109,2001,2002-01-06,16,29.057,STL,,ATL,W 31-13,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
110,2002,2002-09-08,1,29.302,STL,@,DEN,L 16-23,*,7,5,60,12.00,0,71.4%,8.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
111,2002,2002-09-15,2,29.309,STL,,NYG,L 21-26,*,10,8,79,9.88,0,80.0%,7.90,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
112,2002,2002-09-23,3,29.317,STL,@,TAM,L 14-26,*,9,4,43,10.75,0,44.4%,4.78,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
113,2002,2002-09-29,4,29.323,STL,,DAL,L 10-13,*,7,3,52,17.33,1,42.9%,7.43,1,13,13.00,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
114,2002,2002-10-06,5,29.330,STL,@,SFO,L 13-37,*,6,4,32,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
115,2002,2002-10-13,6,29.337,STL,,OAK,W 28-13,*,7,5,70,14.00,1,71.4%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
116,2002,2002-10-20,7,29.344,STL,,SEA,W 37-20,*,6,4,63,15.75,0,66.7%,10.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
117,2002,2002-11-03,8,29.358,STL,@,ARI,W 27-14,*,7,3,31,10.33,0,42.9%,4.43,1,-1,-1.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
118,2002,2002-11-10,9,30.000,STL,,SDG,W 28-24,*,12,10,163,16.30,3,83.3%,13.58,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,18,0.0,,
119,2002,2002-11-18,10,30.008,STL,,CHI,W 21-16,*,9,6,141,23.50,0,66.7%,15.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
120,2002,2002-11-24,11,30.014,STL,@,WAS,L 17-20,*,10,7,89,12.71,0,70.0%,8.90,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
121,2002,2002-12-01,12,30.021,STL,@,PHI,L 3-10,*,11,5,74,14.80,0,45.5%,6.73,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
122,2002,2002-12-08,13,30.028,STL,@,KAN,L 10-49,*,7,5,47,9.40,1,71.4%,6.71,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
123,2002,2002-12-15,14,30.035,STL,,ARI,W 30-28,*,7,2,29,14.50,0,28.6%,4.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
124,2002,2002-12-22,15,30.042,STL,@,SEA,L 10-30,*,7,4,49,12.25,0,57.1%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,0.0,,
125,2002,2002-12-30,16,30.050,STL,,SFO,W 31-20,*,8,4,53,13.25,1,50.0%,6.63,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,6,0.0,,
126,2003,2003-09-07,1,30.301,STL,@,NYG,L 13-23,*,14,8,120,15.00,0,57.1%,8.57,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
127,2003,2003-09-14,2,30.308,STL,,SFO,W 27-24,*,7,6,63,10.50,0,85.7%,9.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
128,2003,2003-09-21,3,30.315,STL,@,SEA,L 23-24,*,7,5,69,13.80,1,71.4%,9.86,1,3,3.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
129,2003,2003-09-28,4,30.322,STL,,ARI,W 37-13,*,10,4,58,14.50,0,40.0%,5.80,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
130,2003,2003-10-13,5,30.337,STL,,ATL,W 36-0,*,8,4,87,21.75,0,50.0%,10.88,0,0,,0,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,0,0,,0,0,0,0.0,,
131,2003,2003-10-19,6,30.343,STL,,GNB,W 34-24,*,13,9,129,14.33,0,69.2%,9.92,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
132,2003,2003-10-26,7,30.350,STL,@,PIT,W 33-21,*,4,3,73,24.33,0,75.0%,18.25,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
133,2003,2003-11-02,8,30.357,STL,@,SFO,L 10-30,*,9,4,93,23.25,0,44.4%,10.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
134,2003,2003-11-09,9,30.364,STL,,BAL,W 33-22,*,6,2,13,6.50,0,33.3%,2.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
135,2003,2003-11-16,10,31.006,STL,@,CHI,W 23-21,*,14,9,54,6.00,0,64.3%,3.86,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,0.0,,
136,2003,2003-11-23,11,31.013,STL,@,ARI,W 30-27,*,14,7,99,14.14,1,50.0%,7.07,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
137,2003,2003-11-30,12,31.020,STL,,MIN,W 48-17,*,3,3,49,16.33,1,100.0%,16.33,1,14,14.00,0,1,1,100.00,41,0,0,118.7,0,0,41.00,41.00,0,0,,0,1,6,0.0,,
138,2003,2003-12-08,13,31.028,STL,@,CLE,W 26-20,*,6,3,31,10.33,1,50.0%,5.17,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
139,2003,2003-12-14,14,31.034,STL,,SEA,W 27-22,*,3,2,43,21.50,1,66.7%,14.33,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
140,2003,2003-12-28,16,31.048,STL,@,DET,L 20-30,*,1,,,,,0.0%,,,,,,,,,,,,,0,,,,,,,,,,,,
141,2004,2004-09-12,1,31.307,STL,,ARI,W 17-10,*,13,9,112,12.44,1,69.2%,8.62,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,6,0.0,,
