ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
160,1987,1987-12-19,14,34.023,NYG,,GNB,W 20-10,,,,,,,,,,,,,,
161,1987,1987-12-27,15,34.031,NYG,,NYJ,W 20-7,,,,,,,,,,,,,,
162,1988,1988-09-05,1,34.284,NYG,,WAS,W 27-20,,,,,,,,,,,,,,
163,1988,1988-09-11,2,34.290,NYG,,SFO,L 17-20,,,,,,,,,,,,,,
164,1988,1988-09-18,3,34.297,NYG,@,DAL,W 12-10,0,0,,0,0,0,,0,0,0,0.0,1,66,0
165,1988,1988-09-25,4,34.304,NYG,,RAM,L 31-45,,,,,,,,,,,,,,
166,1988,1988-10-02,5,34.311,NYG,@,WAS,W 24-23,,,,,,,,,,,,,,
167,1988,1988-10-10,6,34.319,NYG,@,PHI,L 13-24,,,,,,,,,,,,,,
168,1988,1988-10-16,7,34.325,NYG,,DET,W 30-10,,,,,,,,,,,,,,
169,1988,1988-10-23,8,34.332,NYG,@,ATL,W 23-16,0,0,,0,0,0,,0,0,0,0.0,1,0,0
170,1988,1988-10-30,9,34.339,NYG,@,DET,W 13-10,,,,,,,,,,,,,,
171,1988,1988-11-06,10,34.346,NYG,,DAL,W 29-21,,,,,,,,,,,,,,
172,1988,1988-11-13,11,34.353,NYG,@,PHO,L 17-24,,,,,,,,,,,,,,
173,1988,1988-12-18,16,35.022,NYG,@,NYJ,L 21-27,,,,,,,,,,,,,,
