ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
51,1962,1962-11-11,9,26.046,DET,@,SFO,W 38-24,2,22,11.00,0,0,0,,0,0,0
52,1962,1962-11-18,10,26.053,DET,@,MIN,W 17-6,3,20,6.67,2,0,0,,0,2,12
53,1962,1962-11-22,11,26.057,DET,,GNB,W 26-14,3,24,8.00,0,0,0,,0,0,0
54,1962,1962-12-02,12,26.067,DET,,BAL,W 21-14,2,20,10.00,0,0,0,,0,0,0
55,1962,1962-12-16,14,26.081,DET,@,CHI,L 0-3,4,32,8.00,0,0,0,,0,0,0
56,1963,1963-09-14,1,26.353,DET,@,RAM,W 23-2,1,8,8.00,0,0,0,,0,0,0
57,1963,1963-09-22,2,26.361,DET,@,GNB,L 10-31,2,29,14.50,0,0,0,,0,0,0
58,1963,1963-09-29,3,27.003,DET,,CHI,L 21-37,2,33,16.50,0,0,0,,0,0,0
59,1963,1963-10-13,5,27.017,DET,@,DAL,L 14-17,3,26,8.67,0,0,0,,0,0,0
60,1963,1963-11-03,8,27.038,DET,@,SFO,W 45-7,5,72,14.40,0,0,0,,0,0,0
61,1963,1963-11-10,9,27.045,DET,@,BAL,L 21-24,5,64,12.80,0,0,0,,0,0,0
62,1963,1963-11-17,10,27.052,DET,,RAM,L 21-28,4,72,18.00,1,0,0,,0,1,6
63,1963,1963-11-24,11,27.059,DET,@,MIN,L 31-34,2,12,6.00,0,0,0,,0,0,0
64,1963,1963-11-28,12,27.063,DET,,GNB,T 13-13,2,23,11.50,0,0,0,,0,0,0
65,1963,1963-12-08,13,27.073,DET,,CLE,W 38-10,3,44,14.67,0,0,0,,0,0,0
66,1963,1963-12-15,14,27.080,DET,@,CHI,L 14-24,3,29,9.67,0,0,0,,0,0,0
67,1964,1964-09-13,1,27.353,DET,@,SFO,W 26-17,1,14,14.00,0,0,0,,0,0,0
68,1964,1964-09-28,3,28.002,DET,,GNB,L 10-14,5,45,9.00,0,0,0,,0,0,0
69,1964,1964-10-04,4,28.008,DET,,NYG,W 26-3,1,19,19.00,0,0,0,,0,0,0
70,1964,1964-10-11,5,28.015,DET,@,MIN,W 24-20,6,86,14.33,0,0,0,,0,0,0
71,1964,1964-10-18,6,28.022,DET,@,CHI,W 10-0,3,28,9.33,1,0,0,,0,1,6
72,1964,1964-10-25,7,28.029,DET,,BAL,L 0-34,2,34,17.00,0,0,0,,0,0,0
73,1964,1964-11-01,8,28.036,DET,,RAM,W 37-17,3,42,14.00,0,0,0,,0,0,0
74,1964,1964-11-08,9,28.043,DET,@,GNB,L 7-30,4,43,10.75,0,0,0,,0,0,0
75,1964,1964-11-15,10,28.050,DET,@,CLE,L 21-37,5,27,5.40,1,0,0,,0,1,6
76,1964,1964-11-22,11,28.057,DET,,MIN,T 23-23,2,11,5.50,1,0,0,,0,1,6
77,1964,1964-11-26,12,28.061,DET,,CHI,L 24-27,6,73,12.17,1,0,0,,0,1,6
78,1964,1964-12-06,13,28.071,DET,@,BAL,W 31-14,3,22,7.33,2,0,0,,0,2,12
79,1964,1964-12-13,14,28.078,DET,,SFO,W 24-7,4,161,40.25,2,0,0,,0,2,12
80,1965,1965-09-19,1,28.358,DET,,RAM,W 20-0,1,24,24.00,0,0,0,,0,0,0
81,1965,1965-09-26,2,29.000,DET,@,MIN,W 31-29,5,40,8.00,1,0,0,,0,1,6
82,1965,1965-10-03,3,29.007,DET,,WAS,W 14-10,1,6,6.00,0,0,0,,0,0,0
83,1965,1965-10-10,4,29.014,DET,@,BAL,L 7-31,1,13,13.00,0,0,0,,0,0,0
84,1965,1965-10-24,6,29.028,DET,@,CHI,L 10-38,1,7,7.00,0,0,0,,0,0,0
85,1965,1965-12-12,13,29.077,DET,,MIN,L 7-29,1,7,7.00,0,0,0,,0,0,0
86,1965,1965-12-19,14,29.084,DET,@,PHI,W 35-28,2,14,7.00,1,0,0,,0,1,6
87,1966,1966-10-23,7,30.027,DET,@,SFO,L 24-27,1,2,2.00,1,0,0,,0,1,6
88,1967,1967-10-15,5,31.019,DET,@,CHI,L 3-14,1,3,3.00,0,0,0,,0,0,0
89,1967,1967-10-29,7,31.033,DET,@,SFO,W 45-3,1,11,11.00,0,0,0,,0,0,0
90,1967,1967-11-12,9,31.047,DET,@,MIN,T 10-10,1,21,21.00,0,0,0,,0,0,0
91,1967,1967-11-19,10,31.054,DET,@,BAL,L 7-41,3,36,12.00,0,0,0,,0,0,0
92,1967,1967-11-23,11,31.058,DET,,RAM,L 7-31,2,18,9.00,0,0,0,,0,0,0
93,1967,1967-12-03,12,31.068,DET,,PIT,L 14-24,1,4,4.00,0,0,0,,0,0,0
94,1967,1967-12-10,13,31.075,DET,@,NYG,W 30-7,1,14,14.00,0,0,0,,0,0,0
95,1968,1968-09-22,2,31.362,DET,,CHI,W 42-0,1,18,18.00,0,0,0,,0,0,0
96,1968,1968-09-29,3,32.003,DET,@,GNB,W 23-17,1,20,20.00,0,0,0,,0,0,0
