ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
24,1961,1961-10-29,8,26.355,BOS,@,DTX,W 18-17,5,16,3.20,0,4,17,4.25,0,0,0,,0,0,0
25,1961,1961-11-03,9,26.360,BOS,,DTX,W 28-21,1,4,4.00,0,0,0,,0,0,0,,0,0,0
26,1961,1961-11-12,10,27.004,BOS,@,HOU,L 15-27,1,0,0.00,0,1,0,0.00,0,0,0,,0,0,0
27,1961,1961-12-03,12,27.025,BOS,@,DEN,W 28-24,8,6,0.75,1,4,36,9.00,1,0,0,,0,2,12
28,1961,1961-12-09,13,27.031,BOS,@,OAK,W 35-21,20,86,4.30,2,5,62,12.40,1,0,0,,0,3,18
29,1961,1961-12-17,14,27.039,BOS,@,SDG,W 41-0,20,94,4.70,1,3,2,0.67,0,0,0,,0,1,6
30,1962,1962-11-03,8,27.360,BOS,@,BUF,T 28-28,3,16,5.33,0,1,1,1.00,0,0,0,,0,0,0
31,1962,1962-11-23,11,28.015,BOS,,BUF,W 21-10,2,5,2.50,0,0,0,,0,0,0,,0,0,0
32,1962,1962-11-30,12,28.022,BOS,,NYT,W 24-17,1,1,1.00,0,0,0,,0,0,0,,0,0,0
33,1962,1962-12-16,14,28.038,BOS,@,OAK,L 0-20,2,12,6.00,0,0,0,,0,0,0,,0,0,0
34,1963,1963-09-08,1,28.304,BOS,,NYJ,W 38-14,4,9,2.25,2,1,-1,-1.00,0,0,0,,0,2,12
35,1963,1963-09-14,2,28.310,BOS,@,SDG,L 13-17,1,0,0.00,0,0,0,,0,0,0,,0,0,0
36,1963,1963-09-22,3,28.318,BOS,@,OAK,W 20-14,5,14,2.80,0,2,62,31.00,1,0,0,,0,1,6
37,1963,1963-09-29,4,28.325,BOS,@,DEN,L 10-14,1,3,3.00,0,0,0,,0,0,0,,0,0,0
38,1963,1963-10-05,5,28.331,BOS,@,NYJ,L 24-31,2,9,4.50,0,0,0,,0,0,0,,0,0,0
39,1963,1963-10-11,6,28.337,BOS,,OAK,W 20-14,6,16,2.67,0,0,0,,0,0,0,,0,0,0
40,1963,1963-11-01,9,28.358,BOS,,HOU,W 45-3,3,9,3.00,0,0,0,,0,0,0,,0,0,0
41,1963,1963-11-10,10,29.002,BOS,,SDG,L 6-7,3,5,1.67,0,0,0,,0,0,0,,0,0,0
42,1963,1963-12-08,13,29.030,BOS,@,HOU,W 46-28,7,10,1.43,0,0,0,,0,0,0,,0,0,0
43,1963,1963-12-14,14,29.036,BOS,@,KAN,L 3-35,3,3,1.00,0,0,0,,0,0,0,,0,0,0
