ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
55,1998,1998-11-09,9,26.074,PIT,,GNB,W 27-20,,0,0,,0,2.5
56,1998,1998-11-15,10,26.080,PIT,@,TEN,L 14-23,,,,,,
57,1998,1998-11-22,11,26.087,PIT,,JAX,W 30-15,,,,,,
58,1998,1998-11-26,12,26.091,PIT,@,DET,L 16-19,,,,,,
59,1998,1998-12-06,13,26.101,PIT,,NWE,L 9-23,,,,,,
60,1998,1998-12-13,14,26.108,PIT,@,TAM,L 3-16,,,,,,
61,1998,1998-12-20,15,26.115,PIT,,CIN,L 24-25,,,,,,
62,1998,1998-12-28,16,26.123,PIT,@,JAX,L 3-21,,,,,,
63,1999,1999-09-12,1,27.016,CAR,@,NOR,L 10-19,,,,,,
64,1999,1999-09-19,2,27.023,CAR,,JAX,L 20-22,,,,,,
65,1999,1999-09-26,3,27.030,CAR,,CIN,W 27-3,,,,,,
66,1999,1999-10-03,4,27.037,CAR,@,WAS,L 36-38,,,,,,
67,1999,1999-10-17,5,27.051,CAR,@,SFO,W 31-29,,,,,,
68,1999,1999-10-24,6,27.058,CAR,,DET,L 9-24,,,,,,
69,1999,1999-10-31,7,27.065,CAR,@,ATL,L 20-27,,,,,,
70,1999,1999-11-07,8,27.072,CAR,,PHI,W 33-7,,,,,,
71,1999,1999-11-14,9,27.079,CAR,@,STL,L 10-35,,,,,,
72,1999,1999-11-21,10,27.086,CAR,@,CLE,W 31-17,,,,,,
73,1999,1999-11-28,11,27.093,CAR,,ATL,W 34-28,,,,,,
74,1999,1999-12-05,12,27.100,CAR,,STL,L 21-34,,,,,,
75,1999,1999-12-12,13,27.107,CAR,@,GNB,W 33-31,,,,,,
76,1999,1999-12-18,14,27.113,CAR,,SFO,W 41-24,,,,,,
77,1999,1999-12-26,15,27.121,CAR,@,PIT,L 20-30,,,,,,
78,1999,2000-01-02,16,27.128,CAR,,NOR,W 45-13,,,,,,
79,2000,2000-09-03,1,28.007,NOR,,DET,L 10-14,,,,,,
80,2000,2000-09-10,2,28.014,NOR,@,SDG,W 28-27,,,,,,
81,2000,2000-09-17,3,28.021,NOR,@,SEA,L 10-20,,,,,,
82,2000,2000-09-24,4,28.028,NOR,,PHI,L 7-21,,,,,,
83,2000,2000-10-08,5,28.042,NOR,@,CHI,W 31-10,,,,,,
84,2000,2000-11-12,10,28.077,NOR,@,CAR,W 20-10,,,,,,
85,2000,2000-11-19,11,28.084,NOR,,OAK,L 22-31,,,,,,
86,2000,2000-11-26,12,28.091,NOR,@,STL,W 31-24,,,,,,
87,2000,2000-12-03,13,28.098,NOR,,DEN,L 23-38,,,,,,
88,2000,2000-12-10,14,28.105,NOR,@,SFO,W 31-27,,,,,,
89,2000,2000-12-17,15,28.112,NOR,,ATL,W 23-7,,,,,,
90,2000,2000-12-24,16,28.119,NOR,,STL,L 21-26,,,,,,
