ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring
33,2017,2017-10-15,5,24.264,TAM,@,ARI,L 33-38,,7,6,51,8.50,0,85.7%,7.29,0,0,,0,0,0,,0,0,0,,0,,0,0
34,2017,2017-10-22,6,24.271,TAM,@,BUF,L 27-30,*,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0,,0,,0,0
35,2017,2017-10-29,7,24.278,TAM,,CAR,L 3-17,*,6,4,26,6.50,0,66.7%,4.33,0,0,,0,0,0,,0,0,0,,0,,0,0
36,2017,2017-11-05,8,24.285,TAM,@,NOR,L 10-30,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,0,0
37,2017,2017-11-12,9,24.292,TAM,,NYJ,W 15-10,,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,0,0,,0,,0,0
38,2017,2017-11-19,10,24.299,TAM,@,MIA,W 30-20,,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,,0,1,7,7.00,0,,0,0
39,2017,2017-11-26,11,24.306,TAM,@,ATL,L 20-34,,6,4,38,9.50,0,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,,0,0
40,2017,2017-12-03,12,24.313,TAM,@,GNB,L 20-26,,4,4,33,8.25,0,100.0%,8.25,0,0,,0,0,0,,0,3,12,4.00,0,,0,0
41,2017,2017-12-10,13,24.320,TAM,,DET,L 21-24,,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,0,0,0,,0,,0,0
42,2017,2017-12-18,14,24.328,TAM,,ATL,L 21-24,,5,5,43,8.60,1,100.0%,8.60,1,6,6.00,0,0,0,,0,2,30,15.00,0,,1,6
43,2017,2017-12-24,15,24.334,TAM,@,CAR,L 19-22,,3,3,51,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,,0,,0,0
44,2017,2017-12-31,16,24.341,TAM,,NOR,W 31-24,*,11,7,102,14.57,0,63.6%,9.27,0,0,,0,0,0,,0,0,0,,0,,0,0
45,2018,2018-09-09,1,25.228,TAM,@,NOR,W 48-40,*,5,3,27,9.00,0,60.0%,5.40,0,0,,0,1,4,4.00,0,2,17,8.50,0,,0,0
46,2018,2018-09-16,2,25.235,TAM,,PHI,W 27-21,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,1,13,13.00,0,3,18,6.00,0,,0,0
47,2018,2018-09-24,3,25.243,TAM,,PIT,L 27-30,,5,3,30,10.00,0,60.0%,6.00,1,4,4.00,0,0,0,,0,0,0,,0,,0,0
