ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks,def_int,def_int_yds,def_int_td
25,1984,1984-11-25,13,24.072,STL,,PHI,W 17-16,,0,0,,0,,,,,,
26,1984,1984-12-02,14,24.079,STL,@,NWE,W 33-10,,1,6,6.00,0,,,0.0,0,0,0
27,1984,1984-12-09,15,24.086,STL,,NYG,W 31-21,,0,0,,0,,,,,,
28,1984,1984-12-16,16,24.093,STL,@,WAS,L 27-29,,0,0,,0,,,,,,
29,1985,1985-09-08,1,24.359,STL,@,CLE,W 27-24,,0,0,,0,,,,,,
30,1985,1985-09-15,2,25.001,STL,,CIN,W 41-27,,1,16,16.00,0,,,0.0,0,0,0
31,1985,1985-09-22,3,25.008,STL,@,NYG,L 17-27,,0,0,,0,,,0.0,1,0,0
32,1985,1985-09-29,4,25.015,STL,,GNB,W 43-28,,0,0,,0,,,,,,
33,1985,1985-10-07,5,25.023,STL,@,WAS,L 10-27,,0,0,,0,,,,,,
34,1985,1985-10-13,6,25.029,STL,@,PHI,L 7-30,,0,0,,0,,,,,,
35,1985,1985-10-20,7,25.036,STL,@,PIT,L 10-23,,0,0,,0,,,,,,
36,1985,1985-10-27,8,25.043,STL,,HOU,L 10-20,,0,0,,0,,,0.0,1,10,0
37,1985,1985-11-04,9,25.051,STL,,DAL,W 21-10,,0,0,,0,,,,,,
38,1985,1985-11-10,10,25.057,STL,@,TAM,L 0-16,,0,0,,0,,,,,,
39,1985,1985-11-17,11,25.064,STL,,PHI,L 14-24,,0,0,,0,,,,,,
40,1985,1985-11-24,12,25.071,STL,,NYG,L 3-34,,0,0,,0,,,,,,
41,1985,1985-11-28,13,25.075,STL,@,DAL,L 17-35,,0,0,,0,,,,,,
42,1985,1985-12-08,14,25.085,STL,,NOR,W 28-16,,0,0,,0,,,,,,
43,1985,1985-12-15,15,25.092,STL,@,RAM,L 14-46,,0,0,,0,,,,,,
44,1985,1985-12-21,16,25.098,STL,,WAS,L 16-27,,0,0,,0,,,,,,
45,1986,1986-09-07,1,25.358,STL,,RAM,L 10-16,,,,,,,,,,,
46,1986,1986-09-14,2,26.000,STL,@,ATL,L 13-33,,,,,,,,,,,
47,1986,1986-09-21,3,26.007,STL,@,BUF,L 10-17,,,,,,,,,,,
48,1986,1986-09-29,4,26.015,STL,,DAL,L 7-31,,,,,,,,,,,
49,1986,1986-10-05,5,26.021,STL,,NYG,L 6-13,,,,,,,,,,,
50,1986,1986-10-12,6,26.028,STL,@,TAM,W 30-19,,,,,,,,,,,
51,1986,1986-10-19,7,26.035,STL,@,WAS,L 21-28,,,,,,,,,,,
52,1986,1986-11-02,9,26.049,STL,,PHI,W 13-10,,,,,,,,,,,
53,1986,1986-11-09,10,26.056,STL,@,SFO,L 17-43,,,,,,,,,,,
54,1986,1986-11-16,11,26.063,STL,,NOR,L 7-16,,,,,,,,,,,
55,1986,1986-11-23,12,26.070,STL,,KAN,W 23-14,,0,0,,0,,,0.0,2,0,0
56,1986,1986-11-30,13,26.077,STL,,WAS,L 17-20,,,,,,,,,,,
57,1986,1986-12-07,14,26.084,STL,@,PHI,T 10-10,,,,,,,,,,,
58,1986,1986-12-14,15,26.091,STL,@,NYG,L 7-27,,,,,,,,,,,
59,1986,1986-12-21,16,26.098,STL,,TAM,W 21-17,,0,0,,0,,,0.0,2,42,0
60,1987,1987-09-13,1,26.364,STL,,DAL,W 24-13,,,,,,,,,,,
61,1987,1987-09-20,2,27.006,STL,@,SDG,L 24-28,,0,0,,0,,,0.0,1,0,0
62,1987,1987-10-25,6,27.041,STL,@,NYG,L 7-30,,,,,,,,,,,
63,1987,1987-11-01,7,27.048,STL,,PHI,L 23-28,,0,0,,0,,,1.0,0,0,0
64,1987,1987-11-08,8,27.055,STL,,TAM,W 31-28,,,,,,,,,,,
65,1987,1987-11-15,9,27.062,STL,,RAM,L 24-27,,,,,,,,,,,
66,1987,1987-11-22,10,27.069,STL,@,PHI,W 31-19,,,,,,,,,,,
67,1987,1987-11-29,11,27.076,STL,@,ATL,W 34-21,,,,,,,,,,,
68,1987,1987-12-20,14,27.097,STL,@,TAM,W 31-14,,0,0,,0,,,0.0,1,0,0
69,1987,1987-12-27,15,27.104,STL,@,DAL,L 16-21,,,,,,,,,,,
70,1988,1988-09-04,1,27.356,PHO,@,CIN,L 14-21,,,,,,,,,,,
71,1988,1988-09-12,2,27.364,PHO,,DAL,L 14-17,,,,,,,,,,,
72,1988,1988-09-18,3,28.004,PHO,@,TAM,W 30-24,,,,,,,,,,,
73,1988,1988-09-25,4,28.011,PHO,,WAS,W 30-21,,,,,,,,,,,
74,1988,1988-10-02,5,28.018,PHO,@,RAM,W 41-27,,,,,,,,,,,
75,1988,1988-10-09,6,28.025,PHO,,PIT,W 31-14,,,,,,,,,,,
76,1988,1988-10-16,7,28.032,PHO,@,WAS,L 17-33,,0,0,,0,,,0.0,1,12,0
77,1988,1988-10-23,8,28.039,PHO,,CLE,L 21-29,,0,0,,0,,,0.0,1,11,0
78,1988,1988-10-30,9,28.046,PHO,@,DAL,W 16-10,,0,0,,0,,,0.0,1,10,0
79,1988,1988-11-06,10,28.053,PHO,,SFO,W 24-23,,,,,,,,,,,
80,1988,1988-11-13,11,28.060,PHO,,NYG,W 24-17,,,,,,,,,,,
81,1988,1988-11-20,12,28.067,PHO,@,HOU,L 20-38,,,,,,,,,,,
82,1988,1988-11-27,13,28.074,PHO,@,PHI,L 21-31,,,,,,,,,,,
83,1988,1988-12-04,14,28.081,PHO,@,NYG,L 7-44,,,,,,,,,,,
84,1988,1988-12-10,15,28.087,PHO,,PHI,L 17-23,,,,,,,,,,,
85,1988,1988-12-18,16,28.095,PHO,,GNB,L 17-26,,,,,,,,,,,
86,1989,1989-09-10,1,28.361,PHO,@,DET,W 16-13,,,,,,,,,,,
87,1989,1989-09-17,2,29.003,PHO,@,SEA,W 34-24,,,,,,,,,,,
88,1989,1989-09-24,3,29.010,PHO,@,NYG,L 7-35,,,,,,,,,,,
89,1989,1989-10-01,4,29.017,PHO,,SDG,L 13-24,,,,,,,,,,,
90,1989,1989-10-08,5,29.024,PHO,@,WAS,L 28-30,,,,,,,,,,,
91,1989,1989-10-15,6,29.031,PHO,,PHI,L 5-17,,0,0,,0,,,0.0,1,0,0
92,1989,1989-10-22,7,29.038,PHO,,ATL,W 34-20,,,,,,,,,,,
93,1989,1989-10-29,8,29.045,PHO,@,DAL,W 19-10,,,,,,,,,,,
94,1989,1989-11-05,9,29.052,PHO,,NYG,L 13-20,,,,,,,,,,,
95,1989,1989-11-12,10,29.059,PHO,,DAL,W 24-20,,,,,,,,,,,
96,1989,1989-11-19,11,29.066,PHO,@,RAM,L 14-37,,,,,,,,,,,
97,1989,1989-11-26,12,29.073,PHO,,TAM,L 13-14,,,,,,,,,,,
98,1989,1989-12-03,13,29.080,PHO,,WAS,L 10-29,,0,0,,0,,,0.0,1,9,0
99,1989,1989-12-10,14,29.087,PHO,@,RAI,L 14-16,,,,,,,,,,,
100,1989,1989-12-16,15,29.093,PHO,,DEN,L 0-37,,0,0,,0,,,0.0,2,6,0
101,1989,1989-12-24,16,29.101,PHO,@,PHI,L 14-31,,0,0,,0,,,1.0,0,0,0
102,1990,1990-09-09,1,29.360,PHO,@,WAS,L 0-31,,,,,,,,,,,
103,1990,1990-09-16,2,30.002,PHO,@,PHI,W 23-21,,,,,,,,,,,
104,1990,1990-09-23,3,30.009,PHO,@,NOR,L 7-28,,,,,,,,,,,
105,1990,1990-09-30,4,30.016,PHO,,WAS,L 10-38,,,,,,,,,,,
106,1990,1990-10-14,5,30.030,PHO,,DAL,W 20-3,,,,,,,,,,,
107,1990,1990-10-21,6,30.037,PHO,@,NYG,L 19-20,,,,,,,,,,,
108,1990,1990-10-28,7,30.044,PHO,,CHI,L 21-31,,,,,,,,,,,
109,1990,1990-11-04,8,30.051,PHO,@,MIA,L 3-23,,,,,,,,,,,
110,1990,1990-11-11,9,30.058,PHO,@,BUF,L 14-45,,0,0,,0,,,1.0,0,0,0
111,1990,1990-11-18,10,30.065,PHO,,GNB,L 21-24,,,,,,,,,,,
112,1990,1990-11-25,11,30.072,PHO,,NWE,W 34-14,,,,,,,,,,,
113,1990,1990-12-02,12,30.079,PHO,,IND,W 20-17,,0,0,,0,,,0.0,1,14,0
114,1990,1990-12-09,13,30.086,PHO,@,ATL,W 24-13,,0,0,,0,,,0.0,1,39,0
115,1990,1990-12-16,14,30.093,PHO,@,DAL,L 10-41,,,,,,,,,,,
116,1990,1990-12-23,15,30.100,PHO,,NYG,L 21-24,,,,,,,,,,,
117,1990,1990-12-29,16,30.106,PHO,,PHI,L 21-23,,,,,,,,,,,
118,1991,1991-09-01,1,30.352,SDG,@,PIT,L 20-26,,,,,,,,,,,
119,1991,1991-09-15,3,31.001,SDG,,ATL,L 10-13,,,,,,,,,,,
120,1991,1991-11-24,12,31.071,SDG,@,NYJ,L 3-24,,,,,,,,,,,
121,1991,1991-12-01,13,31.078,SDG,,RAI,L 7-9,,,,,,,,,,,
122,1991,1991-12-08,14,31.085,SDG,@,KAN,L 17-20,,,,,,,,,,,
123,1991,1991-12-15,15,31.092,SDG,,MIA,W 38-30,,,,,,,,,,,
124,1991,1991-12-22,16,31.099,SDG,,DEN,L 14-17,,,,,,,,,,,
125,1992,1992-09-06,1,31.358,KAN,@,SDG,W 24-10,,,,,,0.0%,,,,,
126,1992,1992-09-13,2,31.365,NOR,,CHI,W 28-6,,,,,,0.0%,,,,,
127,1992,1992-09-20,3,32.006,NOR,@,ATL,W 10-7,,,,,,0.0%,,,,,
128,1992,1992-09-27,4,32.013,NOR,,SFO,L 10-16,,,,,,0.0%,,,,,
129,1992,1992-10-04,5,32.020,NOR,@,DET,W 13-7,,,,,,0.0%,,,,,
130,1992,1992-10-11,6,32.027,NOR,,RAM,W 13-10,,,,,,0.0%,,,,,
131,1992,1992-10-18,7,32.034,NOR,@,PHO,W 30-21,,,,,,0.0%,,,,,
132,1992,1992-11-08,9,32.055,NOR,@,NWE,W 31-14,,,,,,0.0%,,,,,
133,1992,1992-11-15,10,32.062,NOR,@,SFO,L 20-21,,,,,,0.0%,,,,,
134,1992,1992-11-23,11,32.070,NOR,,WAS,W 20-3,,,,,,0.0%,,,,,
135,1992,1992-11-29,12,32.076,NOR,,MIA,W 24-13,,,,,,0.0%,,,,,
136,1992,1992-12-03,13,32.080,NOR,,ATL,W 22-14,,,,,,0.0%,,,,,
137,1992,1992-12-13,14,32.090,NOR,@,RAM,W 37-14,,,,,,0.0%,,,,,
138,1992,1992-12-20,15,32.097,NOR,,BUF,L 16-20,,,,,,0.0%,,,,,
139,1992,1992-12-26,16,32.103,NOR,@,NYJ,W 20-0,,,,,,0.0%,,,,,
140,1993,1993-09-05,1,32.356,NOR,,HOU,W 33-21,,,,,,0.0%,,,,,
