ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
19,2014,2014-09-21,3,24.205,NWE,,OAK,W 16-9,,0.0,0,0,5,240,48.00,0
20,2014,2014-09-29,4,24.213,NWE,@,KAN,L 14-41,,0.0,0,0,6,293,48.83,0
21,2014,2014-10-05,5,24.219,NWE,,CIN,W 43-17,,0.0,0,0,3,121,40.33,0
22,2014,2014-10-12,6,24.226,NWE,@,BUF,W 37-22,,0.0,0,0,4,186,46.50,0
23,2014,2014-10-16,7,24.230,NWE,,NYJ,W 27-25,,0.0,0,0,5,232,46.40,0
24,2014,2014-10-26,8,24.240,NWE,,CHI,W 51-23,,0.0,0,0,1,46,46.00,0
25,2014,2014-11-02,9,24.247,NWE,,DEN,W 43-21,,0.0,0,0,5,223,44.60,0
26,2014,2014-11-16,10,24.261,NWE,@,IND,W 42-20,,0.0,0,0,1,59,59.00,0
27,2014,2014-11-23,11,24.268,NWE,,DET,W 34-9,,0.0,0,0,5,238,47.60,0
28,2014,2014-11-30,12,24.275,NWE,@,GNB,L 21-26,,0.0,0,0,4,144,36.00,0
29,2014,2014-12-07,13,24.282,NWE,@,SDG,W 23-14,,0.0,0,0,5,247,49.40,0
30,2014,2014-12-14,14,24.289,NWE,,MIA,W 41-13,,0.0,0,0,3,142,47.33,0
31,2014,2014-12-21,15,24.296,NWE,@,NYJ,W 17-16,,0.0,0,0,5,263,52.60,0
32,2014,2014-12-28,16,24.303,NWE,,BUF,L 9-17,,0.0,0,0,4,174,43.50,0
33,2015,2015-09-10,1,25.194,NWE,,PIT,W 28-21,,0.0,0,0,4,191,47.75,0
34,2015,2015-09-20,2,25.204,NWE,@,BUF,W 40-32,,0.0,0,0,1,54,54.00,0
35,2015,2015-09-27,3,25.211,NWE,,JAX,W 51-17,,0.0,0,0,0,0,,0
36,2015,2015-10-11,4,25.225,NWE,@,DAL,W 30-6,,0.0,0,0,4,175,43.75,0
37,2015,2015-10-18,5,25.232,NWE,@,IND,W 34-27,,0.0,0,0,5,239,47.80,0
38,2015,2015-10-25,6,25.239,NWE,,NYJ,W 30-23,,0.0,0,0,3,134,44.67,0
39,2015,2015-10-29,7,25.243,NWE,,MIA,W 36-7,,0.0,0,0,6,264,44.00,0
40,2015,2015-11-08,8,25.253,NWE,,WAS,W 27-10,,0.0,0,0,2,69,34.50,0
41,2015,2015-11-15,9,25.260,NWE,@,NYG,W 27-26,,0.0,0,0,4,200,50.00,0
42,2015,2015-11-23,10,25.268,NWE,,BUF,W 20-13,,0.0,0,0,7,288,41.14,0
43,2015,2015-11-29,11,25.274,NWE,@,DEN,L 24-30,,0.0,0,0,10,450,45.00,0
44,2015,2015-12-06,12,25.281,NWE,,PHI,L 28-35,,0.0,0,0,6,303,50.50,1
45,2015,2015-12-13,13,25.288,NWE,@,HOU,W 27-6,,0.0,0,0,6,264,44.00,0
46,2015,2015-12-20,14,25.295,NWE,,TEN,W 33-16,,0.0,0,0,4,182,45.50,0
47,2015,2015-12-27,15,25.302,NWE,@,NYJ,L 20-26,,0.0,0,0,4,184,46.00,0
48,2015,2016-01-03,16,25.309,NWE,@,MIA,L 10-20,,0.0,0,0,7,361,51.57,0
49,2016,2016-09-11,1,26.196,NWE,@,ARI,W 23-21,,0.0,0,0,2,89,44.50,0
50,2016,2016-09-18,2,26.203,NWE,,MIA,W 31-24,,0.0,0,0,4,128,32.00,0
51,2016,2016-09-22,3,26.207,NWE,,HOU,W 27-0,,0.0,0,0,7,333,47.57,0
52,2016,2016-10-02,4,26.217,NWE,,BUF,L 0-16,,0.0,0,0,6,311,51.83,0
53,2016,2016-10-09,5,26.224,NWE,@,CLE,W 33-13,,0.0,0,0,5,209,41.80,0
54,2016,2016-10-16,6,26.231,NWE,,CIN,W 35-17,,0.0,0,0,3,133,44.33,0
55,2016,2016-10-23,7,26.238,NWE,@,PIT,W 27-16,,0.0,0,0,5,203,40.60,0
56,2016,2016-10-30,8,26.245,NWE,@,BUF,W 41-25,,0.0,0,0,3,134,44.67,0
57,2016,2016-11-13,9,26.259,NWE,,SEA,L 24-31,,0.0,0,0,2,92,46.00,0
58,2016,2016-11-20,10,26.266,NWE,@,SFO,W 30-17,,0.0,0,0,5,216,43.20,0
59,2016,2016-11-27,11,26.273,NWE,@,NYJ,W 22-17,,0.0,0,0,4,183,45.75,0
60,2016,2016-12-04,12,26.280,NWE,,LAR,W 26-10,,0.0,0,0,6,247,41.17,0
61,2016,2016-12-12,13,26.288,NWE,,BAL,W 30-23,,0.0,0,0,6,294,49.00,0
62,2016,2016-12-18,14,26.294,NWE,@,DEN,W 16-3,,0.0,0,0,7,312,44.57,0
63,2016,2016-12-24,15,26.300,NWE,,NYJ,W 41-3,,0.0,0,0,4,187,46.75,0
64,2016,2017-01-01,16,26.308,NWE,@,MIA,W 35-14,,0.0,0,0,3,146,48.67,0
65,2017,2017-09-07,1,27.191,NWE,,KAN,L 27-42,,0.0,0,0,6,242,40.33,0
66,2017,2017-09-17,2,27.201,NWE,@,NOR,W 36-20,,0.0,0,0,3,111,37.00,0
67,2017,2017-09-24,3,27.208,NWE,,HOU,W 36-33,,0.0,0,0,6,272,45.33,0
68,2017,2017-10-01,4,27.215,NWE,,CAR,L 30-33,,0.0,0,0,3,135,45.00,0
69,2017,2017-10-05,5,27.219,NWE,@,TAM,W 19-14,,0.0,0,0,4,188,47.00,0
70,2017,2017-10-15,6,27.229,NWE,@,NYJ,W 24-17,,0.0,0,0,4,160,40.00,0
71,2017,2017-10-22,7,27.236,NWE,,ATL,W 23-7,,0.0,0,0,2,100,50.00,0
72,2017,2017-10-29,8,27.243,NWE,,LAC,W 21-13,,0.0,0,0,3,130,43.33,0
73,2017,2017-11-12,9,27.257,NWE,@,DEN,W 41-16,,0.0,0,0,1,43,43.00,0
74,2017,2017-11-19,10,27.264,NWE,@,OAK,W 33-8,,0.0,0,0,2,95,47.50,0
75,2017,2017-11-26,11,27.271,NWE,,MIA,W 35-17,,0.0,0,0,3,122,40.67,0
76,2017,2017-12-03,12,27.278,NWE,@,BUF,W 23-3,,0.0,0,0,3,105,35.00,0
77,2017,2017-12-11,13,27.286,NWE,@,MIA,L 20-27,,0.0,0,0,7,334,47.71,0
78,2017,2017-12-17,14,27.292,NWE,@,PIT,W 27-24,,0.0,0,0,2,96,48.00,0
79,2017,2017-12-24,15,27.299,NWE,,BUF,W 37-16,,0.0,0,0,1,44,44.00,0
80,2017,2017-12-31,16,27.306,NWE,,NYJ,W 26-6,,0.0,0,0,8,338,42.25,0
81,2018,2018-09-09,1,28.193,NWE,,HOU,W 27-20,,0.0,0,0,6,281,46.83,0
82,2018,2018-09-16,2,28.200,NWE,@,JAX,L 20-31,,0.0,0,0,4,222,55.50,0
83,2018,2018-09-23,3,28.207,NWE,@,DET,L 10-26,,0.0,0,0,5,217,43.40,0
