ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
58,1994,1994-11-27,12,24.345,TAM,@,MIN,W 20-17,,0,0,0,,0,0.0%,,0,0,,0,1.0,0,0,0
59,1994,1994-12-04,13,24.352,TAM,,WAS,W 26-21,,0,0,0,,0,0.0%,,0,0,,0,,,,
60,1994,1994-12-11,14,24.359,TAM,,RAM,W 24-14,,0,0,0,,0,0.0%,,0,0,,0,,,,
61,1994,1994-12-18,15,25.001,TAM,@,WAS,W 17-14,,0,0,0,,0,0.0%,,0,0,,0,,,,
62,1994,1994-12-24,16,25.007,TAM,,GNB,L 19-34,,0,0,0,,0,0.0%,,0,0,,0,,,,
63,1995,1995-09-03,1,25.260,CHI,,MIN,W 31-14,,,,,,,0.0%,,,,,,,,,
64,1995,1995-09-11,2,25.268,CHI,,GNB,L 24-27,,,,,,,0.0%,,,,,,,,,
65,1995,1995-09-17,3,25.274,CHI,@,TAM,W 25-6,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,15,0
66,1995,1995-09-24,4,25.281,CHI,@,STL,L 28-34,,,,,,,0.0%,,,,,,,,,
67,1995,1995-10-08,5,25.295,CHI,,CAR,W 31-27,,,,,,,0.0%,,,,,,,,,
68,1995,1995-10-15,6,25.302,CHI,@,JAX,W 30-27,,,,,,,0.0%,,,,,,,,,
69,1995,1995-10-22,7,25.309,CHI,,HOU,W 35-32,,,,,,,0.0%,,,,,,,,,
70,1995,1995-10-30,8,25.317,CHI,@,MIN,W 14-6,,,,,,,0.0%,,,,,,,,,
71,1995,1995-11-05,9,25.323,CHI,,PIT,L 34-37,,,,,,,0.0%,,,,,,,,,
72,1995,1995-11-12,10,25.330,CHI,@,GNB,L 28-35,,,,,,,0.0%,,,,,,,,,
73,1995,1995-11-19,11,25.337,CHI,,DET,L 17-24,,,,,,,0.0%,,,,,,,,,
74,1995,1995-11-26,12,25.344,CHI,@,NYG,W 27-24,,,,,,,0.0%,,,,,,,,,
75,1995,1995-12-04,13,25.352,CHI,@,DET,L 7-27,,,,,,,0.0%,,,,,,,,,
76,1995,1995-12-10,14,25.358,CHI,@,CIN,L 10-16,,,,,,,0.0%,,,,,,,,,
77,1995,1995-12-17,15,26.000,CHI,,TAM,W 31-10,,,,,,,0.0%,,,,,,,,,
78,1995,1995-12-24,16,26.007,CHI,,PHI,W 20-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,5,0
79,1996,1996-09-02,1,26.260,CHI,,DAL,W 22-6,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,29,0
80,1996,1996-09-08,2,26.266,CHI,@,WAS,L 3-10,,,,,,,0.0%,,,,,,,,,
81,1996,1996-09-15,3,26.273,CHI,,MIN,L 14-20,,,,,,,0.0%,,,,,,,,,
82,1996,1996-09-22,4,26.280,CHI,@,DET,L 16-35,,,,,,,0.0%,,,,,,,,,
83,1996,1996-09-29,5,26.287,CHI,,OAK,W 19-17,,,,,,,0.0%,,,,,,,,,
84,1996,1996-10-06,6,26.294,CHI,,GNB,L 6-37,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,-1,0
85,1996,1996-10-13,7,26.301,CHI,@,NOR,L 24-27,,,,,,,0.0%,,,,,,,,,
86,1996,1996-10-28,8,26.316,CHI,@,MIN,W 15-13,,,,,,,0.0%,,,,,,,,,
87,1996,1996-11-03,9,26.322,CHI,,TAM,W 13-10,,,,,,,0.0%,,,,,,,,,
88,1996,1996-11-10,10,26.329,CHI,@,DEN,L 12-17,,,,,,,0.0%,,,,,,,,,
89,1996,1996-11-17,11,26.336,CHI,@,KAN,L 10-14,,,,,,,0.0%,,,,,,,,,
90,1996,1996-11-24,12,26.343,CHI,,DET,W 31-14,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,6,0
91,1996,1996-12-01,13,26.350,CHI,@,GNB,L 17-28,,,,,,,0.0%,,,,,,,,,
92,1996,1996-12-08,14,26.357,CHI,,STL,W 35-9,,,,,,,0.0%,,,,,,,,,
93,1996,1996-12-14,15,26.363,CHI,,SDG,W 27-14,,,,,,,0.0%,,,,,,,,,
94,1996,1996-12-22,16,27.005,CHI,@,TAM,L 19-34,,,,,,,0.0%,,,,,,,,,
95,1997,1997-09-01,1,27.258,CHI,@,GNB,L 24-38,,0,0,0,,0,0.0%,,0,0,,0,0.0,1,14,0
96,1997,1997-09-07,2,27.264,CHI,,MIN,L 24-27,,,,,,,0.0%,,,,,,,,,
97,1997,1997-09-14,3,27.271,CHI,,DET,L 7-32,,,,,,,0.0%,,,,,,,,,
98,1997,1997-09-28,5,27.285,CHI,@,DAL,L 3-27,,,,,,,0.0%,,,,,,,,,
99,1997,1997-10-05,6,27.292,CHI,,NOR,L 17-20,,,,,,,0.0%,,,,,,,,,
100,1997,1997-10-12,7,27.299,CHI,,GNB,L 23-24,,,,,,,0.0%,,,,,,,,,
101,1997,1997-10-27,8,27.314,CHI,@,MIA,W 36-33,,,,,,,0.0%,,,,,,,,,
102,1997,1997-11-02,9,27.320,CHI,,WAS,L 8-31,,,,,,,0.0%,,,,,,,,,
103,1997,1997-11-09,10,27.327,CHI,@,MIN,L 22-29,,,,,,,0.0%,,,,,,,,,
104,1997,1997-11-16,11,27.334,CHI,,NYJ,L 15-23,,,,,,,0.0%,,,,,,,,,
105,1997,1997-11-23,12,27.341,CHI,,TAM,W 13-7,,,,,,,0.0%,,,,,,,,,
106,1997,1997-11-27,13,27.345,CHI,@,DET,L 20-55,,,,,,,0.0%,,,,,,,,,
107,1997,1997-12-07,14,27.355,CHI,,BUF,W 20-3,,,,,,,0.0%,,,,,,,,,
108,1997,1997-12-14,15,27.362,CHI,@,STL,W 13-10,,0,0,0,,0,0.0%,,0,0,,0,1.0,0,0,0
109,1997,1997-12-21,16,28.004,CHI,@,TAM,L 15-31,,,,,,,0.0%,,,,,,,,,
110,1999,1999-09-12,1,29.269,ATL,,MIN,L 14-17,*,0,,,,,0.0%,,,,,,,,,
111,1999,1999-09-20,2,29.277,ATL,@,DAL,L 7-24,*,0,,,,,0.0%,,,,,,,,,
112,1999,1999-09-26,3,29.283,ATL,@,STL,L 7-35,*,0,,,,,0.0%,,,,,,,,,
113,1999,1999-10-03,4,29.290,ATL,,BAL,L 13-19,*,0,,,,,0.0%,,,,,,,,,
114,1999,1999-10-10,5,29.297,ATL,@,NOR,W 20-17,*,0,,,,,0.0%,,,,,,,,,
115,1999,1999-10-17,6,29.304,ATL,,STL,L 13-41,*,0,,,,,0.0%,,,,,,,,,
116,1999,1999-10-25,7,29.312,ATL,@,PIT,L 9-13,*,0,,,,,0.0%,,,,,,,,,
117,1999,1999-10-31,8,29.318,ATL,,CAR,W 27-20,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,4,0
118,1999,1999-11-07,9,29.325,ATL,,JAX,L 7-30,*,0,,,,,0.0%,,,,,,,,,
119,1999,1999-11-21,10,29.339,ATL,@,TAM,L 10-19,*,0,,,,,0.0%,,,,,,,,,
120,1999,1999-11-28,11,29.346,ATL,@,CAR,L 28-34,*,0,,,,,0.0%,,,,,,,,,
121,2000,2000-09-03,1,30.261,ATL,,SFO,W 36-28,*,0,,,,,0.0%,,,,,,,,,
122,2000,2000-09-10,2,30.268,ATL,@,DEN,L 14-42,*,0,,,,,0.0%,,,,,,,,,
123,2000,2000-09-17,3,30.275,ATL,@,CAR,W 15-10,*,0,,,,,0.0%,,,,,,,,,
124,2000,2000-09-24,4,30.282,ATL,,STL,L 20-41,*,0,,,,,0.0%,,,,,,,,,
125,2000,2000-10-01,5,30.289,ATL,@,PHI,L 10-38,*,0,,,,,0.0%,,,,,,,,,
126,2000,2000-10-08,6,30.296,ATL,,NYG,L 6-13,*,0,,,,,0.0%,,,,,,,,,
127,2000,2000-10-15,7,30.303,ATL,@,STL,L 29-45,*,0,,,,,0.0%,,,,,,,,,
128,2000,2000-10-22,8,30.310,ATL,,NOR,L 19-21,*,0,,,,,0.0%,,,,,,,,,
129,2000,2000-10-29,9,30.317,ATL,,CAR,W 13-12,*,0,,,,,0.0%,,,,,,,,,
130,2000,2000-11-05,10,30.324,ATL,,TAM,L 14-27,*,0,,,,,0.0%,,,,,,,,,
131,2000,2000-11-12,11,30.331,ATL,@,DET,L 10-13,,0,0,0,,0,0.0%,,0,0,,0,1.0,0,0,0
132,2000,2000-11-19,12,30.338,ATL,@,SFO,L 6-16,,0,,,,,0.0%,,,,,,,,,
133,2000,2000-11-26,13,30.345,ATL,@,OAK,L 14-41,*,0,,,,,0.0%,,,,,,,,,
134,2000,2000-12-03,14,30.352,ATL,,SEA,L 10-30,,0,,,,,0.0%,,,,,,,,,
135,2000,2000-12-17,15,31.000,ATL,@,NOR,L 7-23,*,0,,,,,0.0%,,,,,,,,,
136,2000,2000-12-24,16,31.007,ATL,,KAN,W 29-13,*,0,0,0,,0,0.0%,,0,0,,0,1.0,0,0,0
137,2001,2001-09-23,2,31.280,ATL,,CAR,W 24-16,*,0,,,,,0.0%,,,,,,,,,
138,2001,2001-09-30,3,31.287,ATL,@,ARI,W 34-14,*,0,,,,,0.0%,,,,,,,,,
139,2001,2001-10-07,4,31.294,ATL,,CHI,L 3-31,*,0,,,,,0.0%,,,,,,,,,
140,2001,2001-10-14,5,31.301,ATL,,SFO,L 31-37,*,0,,,,,0.0%,,,,,,,,,
141,2001,2001-12-16,13,31.364,DET,,MIN,W 27-24,,0,,,,,0.0%,,,,,,,,,
142,2001,2001-12-23,14,32.006,DET,@,PIT,L 14-47,,,,,,,0.0%,,,,,,,,,
143,2001,2001-12-30,15,32.013,DET,,CHI,L 0-24,,0,,,,,0.0%,,,,,,,,,
144,2001,2002-01-06,16,32.020,DET,,DAL,W 15-10,*,0,0,0,,0,0.0%,,0,0,,0,0.0,1,0,0
