ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
17,2003,2003-09-04,1,23.275,WAS,,NYJ,W 16-13,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
18,2003,2003-09-14,2,23.285,WAS,@,ATL,W 33-31,,3,1,0.33,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0.0,,
19,2003,2003-09-21,3,23.292,WAS,,NYG,L 21-24,,1,-3,-3.00,0,4,2,30,15.00,0,50.0%,7.50,0,0,,0,,0,0,0.0,,
20,2003,2003-09-28,4,23.299,WAS,,NWE,W 20-17,,1,3,3.00,1,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,1,6,0.0,,
21,2003,2003-10-05,5,23.306,WAS,@,PHI,L 25-27,,3,3,1.00,0,2,1,9,9.00,0,50.0%,4.50,0,0,,0,,0,0,0.0,,
22,2003,2003-10-12,6,23.313,WAS,,TAM,L 13-35,,2,4,2.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,,
23,2003,2003-10-19,7,23.320,WAS,@,BUF,L 7-24,,4,18,4.50,0,1,0,0,,0,0.0%,0.00,1,13,13.00,0,,0,0,0.0,,
24,2003,2003-11-02,8,23.334,WAS,@,DAL,L 14-21,,8,44,5.50,0,2,2,9,4.50,0,100.0%,4.50,0,0,,0,,0,0,0.0,,
25,2003,2003-11-09,9,23.341,WAS,,SEA,W 27-20,,13,81,6.23,0,2,2,15,7.50,0,100.0%,7.50,1,13,13.00,0,,0,0,0.0,,
26,2003,2003-11-16,10,23.348,WAS,@,CAR,L 17-20,,9,32,3.56,0,3,2,26,13.00,0,66.7%,8.67,0,0,,0,,0,0,0.0,,
27,2003,2003-11-30,12,23.362,WAS,,NOR,L 20-24,,4,27,6.75,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,,
28,2003,2003-12-07,13,24.004,WAS,@,NYG,W 20-7,,12,19,1.58,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
29,2003,2003-12-14,14,24.011,WAS,,DAL,L 0-27,*,21,94,4.48,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
30,2003,2003-12-21,15,24.018,WAS,@,CHI,L 24-27,*,13,41,3.15,0,4,2,15,7.50,0,50.0%,3.75,0,0,,0,,0,0,0.0,,
31,2003,2003-12-27,16,24.024,WAS,,PHI,L 7-31,*,12,43,3.58,1,5,5,53,10.60,0,100.0%,10.60,0,0,,0,,1,6,0.0,,
32,2004,2004-10-03,4,24.305,WAS,@,CLE,L 13-17,,,,,,,,,,,0.0%,,,,,,,,,,,
33,2004,2004-10-10,5,24.312,WAS,,BAL,L 10-17,,,,,,,,,,,0.0%,,,,,,,,,,,
34,2004,2004-10-17,6,24.319,WAS,@,CHI,W 13-10,,,,,,0,,,,,0.0%,,,,,,,,,,,
35,2004,2004-10-31,7,24.333,WAS,,GNB,L 14-28,,,,,,0,,,,,0.0%,,,,,,,,,,,
36,2004,2004-11-07,8,24.340,WAS,@,DET,W 17-10,,,,,,,,,,,0.0%,,,,,,,,,,,
37,2004,2004-11-14,9,24.347,WAS,,CIN,L 10-17,,,,,,0,,,,,0.0%,,,,,,,,,,,
38,2004,2004-11-21,10,24.354,WAS,@,PHI,L 6-28,,,,,,1,,,,,0.0%,,,,,,,,,,,
39,2004,2004-11-28,11,24.361,WAS,@,PIT,L 7-16,,,,,,,,,,,0.0%,,,,,,,,,,,
40,2004,2004-12-05,12,25.002,WAS,,NYG,W 31-7,,,,,,0,,,,,0.0%,,,,,,,,,,,
41,2004,2004-12-12,13,25.009,WAS,,PHI,L 14-17,,,,,,0,,,,,0.0%,,,,,,,,,,,
42,2004,2004-12-18,14,25.015,WAS,@,SFO,W 26-16,,,,,,0,,,,,0.0%,,,,,,,,,,,
43,2004,2004-12-26,15,25.023,WAS,@,DAL,L 10-13,,,,,,,,,,,0.0%,,,,,,,,,,,
44,2004,2005-01-02,16,25.030,WAS,,MIN,W 21-18,,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
45,2005,2005-09-11,1,25.282,WAS,,CHI,W 9-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
46,2005,2005-09-19,2,25.290,WAS,@,DAL,W 14-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
47,2005,2005-10-02,3,25.303,WAS,,SEA,W 20-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
48,2005,2005-10-09,4,25.310,WAS,@,DEN,L 19-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
49,2005,2005-10-16,5,25.317,WAS,@,KAN,L 21-28,,4,14,3.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
50,2005,2005-10-23,6,25.324,WAS,,SFO,W 52-17,,5,14,2.80,1,0,0,0,,0,0.0%,,4,82,20.50,0,,1,6,0.0,,
51,2005,2005-10-30,7,25.331,WAS,@,NYG,L 0-36,,2,21,10.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
52,2005,2005-11-06,8,25.338,WAS,,PHI,W 17-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
53,2005,2005-11-13,9,25.345,WAS,@,TAM,L 35-36,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
54,2005,2005-11-20,10,25.352,WAS,,OAK,L 13-16,,3,6,2.00,0,1,1,17,17.00,0,100.0%,17.00,0,0,,0,,0,0,0.0,,
55,2005,2005-11-27,11,25.359,WAS,,SDG,L 17-23,,1,13,13.00,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,,
56,2005,2005-12-04,12,26.001,WAS,@,STL,W 24-9,,9,118,13.11,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
57,2005,2005-12-11,13,26.008,WAS,@,ARI,W 17-13,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
58,2005,2005-12-18,14,26.015,WAS,,DAL,W 35-7,,3,13,4.33,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,,
59,2005,2005-12-24,15,26.021,WAS,,NYG,W 35-20,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
60,2005,2006-01-01,16,26.029,WAS,@,PHI,W 31-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
61,2006,2006-09-11,1,26.282,WAS,,MIN,L 16-19,,0,0,,0,0,0,0,,0,0.0%,,3,57,19.00,0,,0,0,0.0,,
62,2006,2006-09-17,2,26.288,WAS,@,DAL,L 10-27,,0,0,,0,0,0,0,,0,0.0%,,4,163,40.75,1,,1,6,0.0,,
63,2006,2006-09-24,3,26.295,WAS,@,HOU,W 31-15,,5,15,3.00,0,0,0,0,,0,0.0%,,3,62,20.67,0,,0,0,0.0,,
64,2006,2006-10-01,4,26.302,WAS,,JAX,W 36-30,,0,0,,0,0,0,0,,0,0.0%,,5,150,30.00,0,,0,0,0.0,,
65,2006,2006-10-08,5,26.309,WAS,@,NYG,L 3-19,,0,0,,0,0,0,0,,0,0.0%,,4,71,17.75,0,,0,0,0.0,,
66,2006,2006-10-15,6,26.316,WAS,,TEN,L 22-25,,0,0,,0,0,0,0,,0,0.0%,,5,115,23.00,0,,0,0,0.0,,
67,2006,2006-10-22,7,26.323,WAS,@,IND,L 22-36,,0,0,,0,0,0,0,,0,0.0%,,7,152,21.71,0,,0,0,0.0,,
68,2006,2006-11-05,8,26.337,WAS,,DAL,W 22-19,,0,0,,0,0,0,0,,0,0.0%,,3,56,18.67,0,,0,0,0.0,,
69,2006,2006-11-12,9,26.344,WAS,@,PHI,L 3-27,,0,0,,0,0,0,0,,0,0.0%,,5,123,24.60,0,,0,0,0.0,,
70,2006,2006-11-19,10,26.351,WAS,@,TAM,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,3,65,21.67,0,,0,0,0.0,,
71,2006,2006-11-26,11,26.358,WAS,,CAR,W 17-13,,0,0,,0,0,0,0,,0,0.0%,,2,57,28.50,0,,0,0,0.0,,
72,2006,2006-12-03,12,27.000,WAS,,ATL,L 14-24,,0,0,,0,0,0,0,,0,0.0%,,4,89,22.25,0,,0,0,0.0,,
73,2006,2006-12-10,13,27.007,WAS,,PHI,L 19-21,,0,0,,0,0,0,0,,0,0.0%,,3,79,26.33,0,,0,0,0.0,,
74,2006,2006-12-17,14,27.014,WAS,@,NOR,W 16-10,,0,0,,0,0,0,0,,0,0.0%,,2,56,28.00,0,,0,0,0.0,,
75,2006,2006-12-24,15,27.021,WAS,@,STL,L 31-37,,0,0,,0,0,0,0,,0,0.0%,,5,111,22.20,0,,0,0,0.0,,
76,2006,2006-12-30,16,27.027,WAS,,NYG,L 28-34,,0,0,,0,0,0,0,,0,0.0%,,6,135,22.50,0,,0,0,0.0,,
77,2007,2007-09-09,1,27.280,WAS,,MIA,W 16-13,,0,0,,0,0,0,0,,0,0.0%,,2,50,25.00,0,,0,0,0.0,,
78,2007,2007-09-17,2,27.288,WAS,@,PHI,W 20-12,,0,0,,0,0,0,0,,0,0.0%,,5,130,26.00,0,,0,0,0.0,,
79,2007,2007-09-23,3,27.294,WAS,,NYG,L 17-24,,0,0,,0,0,0,0,,0,0.0%,,5,140,28.00,0,,0,0,0.0,,
80,2007,2007-10-07,4,27.308,WAS,,DET,W 34-3,,2,0,0.00,0,0,0,0,,0,0.0%,,2,46,23.00,0,,0,0,0.0,,
81,2007,2007-10-14,5,27.315,WAS,@,GNB,L 14-17,,0,0,,0,0,0,0,,0,0.0%,,4,109,27.25,0,,0,0,0.0,,
82,2007,2007-10-21,6,27.322,WAS,,ARI,W 21-19,,0,0,,0,0,0,0,,0,0.0%,,1,80,80.00,0,,0,0,0.0,,
83,2007,2007-11-04,8,27.336,WAS,@,NYJ,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,4,104,26.00,0,,0,0,0.0,,
84,2007,2007-11-11,9,27.343,WAS,,PHI,L 25-33,,0,0,,0,0,0,0,,0,0.0%,,6,141,23.50,0,,0,0,0.0,,
85,2007,2007-11-18,10,27.350,WAS,@,DAL,L 23-28,,0,0,,0,0,0,0,,0,0.0%,,5,145,29.00,0,,0,0,0.0,,
86,2007,2007-11-25,11,27.357,WAS,@,TAM,L 13-19,,0,0,,0,0,0,0,,0,0.0%,,3,69,23.00,0,,0,0,0.0,,
87,2007,2007-12-02,12,27.364,WAS,,BUF,L 16-17,,0,0,,0,0,0,0,,0,0.0%,,5,134,26.80,0,,0,0,0.0,,
88,2007,2007-12-06,13,28.003,WAS,,CHI,W 24-16,,0,0,,0,0,0,0,,0,0.0%,,3,51,17.00,0,,0,0,0.0,,
89,2007,2007-12-16,14,28.013,WAS,@,NYG,W 22-10,,0,0,,0,0,0,0,,0,0.0%,,3,55,18.33,0,,0,0,0.0,,
90,2007,2007-12-23,15,28.020,WAS,@,MIN,W 32-21,,0,0,,0,0,0,0,,0,0.0%,,2,44,22.00,0,,0,0,0.0,,
91,2007,2007-12-30,16,28.027,WAS,,DAL,W 27-6,,0,0,,0,0,0,0,,0,0.0%,,2,41,20.50,0,,0,0,0.0,,
92,2008,2008-09-04,1,28.276,WAS,@,NYG,L 7-16,,0,0,,0,0,0,0,,0,0.0%,,5,145,29.00,0,,0,0,0.0,0,0
93,2008,2008-09-14,2,28.286,WAS,,NOR,W 29-24,,0,0,,0,0,0,0,,0,0.0%,,3,76,25.33,0,,0,0,0.0,0,0
94,2008,2008-09-21,3,28.293,WAS,,ARI,W 24-17,,0,0,,0,0,0,0,,0,0.0%,,2,37,18.50,0,,0,0,0.0,0,0
95,2008,2008-09-28,4,28.300,WAS,@,DAL,W 26-24,,0,0,,0,0,0,0,,0,0.0%,,3,71,23.67,0,,0,0,0.0,0,0
96,2008,2008-10-05,5,28.307,WAS,@,PHI,W 23-17,,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0,,0,0,0.0,0,0
97,2008,2008-10-12,6,28.314,WAS,,STL,L 17-19,,1,1,1.00,0,0,0,0,,0,0.0%,,3,77,25.67,0,,0,0,0.0,0,1
98,2008,2008-10-19,7,28.321,WAS,,CLE,W 14-11,,3,12,4.00,0,1,1,-7,-7.00,0,100.0%,-7.00,2,60,30.00,0,,0,0,0.0,0,0
99,2008,2008-10-26,8,28.328,WAS,@,DET,W 25-17,,0,0,,0,0,0,0,,0,0.0%,,2,43,21.50,0,,0,0,0.0,0,0
100,2008,2008-11-03,9,28.336,WAS,,PIT,L 6-23,,0,0,,0,0,0,0,,0,0.0%,,4,75,18.75,0,,0,0,0.0,0,0
101,2008,2008-11-16,10,28.349,WAS,,DAL,L 10-14,,0,0,,0,0,0,0,,0,0.0%,,3,80,26.67,0,,0,0,0.0,0,1
102,2008,2008-11-23,11,28.356,WAS,@,SEA,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,3,84,28.00,0,,0,0,0.0,0,0
103,2008,2008-11-30,12,28.363,WAS,,NYG,L 7-23,,0,0,,0,0,0,0,,0,0.0%,,3,69,23.00,0,,0,0,0.0,0,0
104,2008,2008-12-07,13,29.004,WAS,@,BAL,L 10-24,,0,0,,0,0,0,0,,0,0.0%,,5,94,18.80,0,,0,0,0.0,0,0
105,2008,2008-12-14,14,29.011,WAS,@,CIN,L 13-20,,0,0,,0,0,0,0,,0,0.0%,,5,182,36.40,0,,0,0,0.0,0,0
106,2008,2008-12-21,15,29.018,WAS,,PHI,W 10-3,,1,1,1.00,0,0,0,0,,0,0.0%,,1,20,20.00,0,,0,0,0.0,0,0
107,2008,2008-12-28,16,29.025,WAS,@,SFO,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,5,143,28.60,0,,0,0,0.0,0,0
108,2009,2009-09-13,1,29.284,WAS,@,NYG,L 17-23,,0,0,,0,0,0,0,,0,0.0%,,3,73,24.33,0,,0,0,0.0,0,1
109,2009,2009-09-20,2,29.291,WAS,,STL,W 9-7,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,,0,0,0.0,0,0
110,2009,2009-09-27,3,29.298,WAS,@,DET,L 14-19,,0,0,,0,3,3,12,4.00,1,100.0%,4.00,4,92,23.00,0,,1,6,0.0,0,0
111,2009,2009-10-04,4,29.305,WAS,,TAM,W 16-13,,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0,,0,0,0.0,0,0
112,2009,2009-10-11,5,29.312,WAS,@,CAR,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,,0,0,0.0,0,0
113,2009,2009-10-18,6,29.319,WAS,,KAN,L 6-14,,0,0,,0,0,0,0,,0,0.0%,,5,98,19.60,0,,0,0,0.0,0,2
114,2009,2009-10-26,7,29.327,WAS,,PHI,L 17-27,,1,11,11.00,0,0,0,0,,0,0.0%,,6,161,26.83,0,,0,0,0.0,0,0
115,2009,2009-11-08,8,29.340,WAS,@,ATL,L 17-31,,7,16,2.29,0,1,1,-1,-1.00,0,100.0%,-1.00,3,54,18.00,0,,0,0,0.0,0,0
116,2009,2009-11-15,9,29.347,WAS,,DEN,W 27-17,,9,41,4.56,0,2,2,9,4.50,0,100.0%,4.50,3,69,23.00,0,,0,0,0.0,0,0
117,2009,2009-11-22,10,29.354,WAS,@,DAL,L 6-7,,13,67,5.15,0,8,7,73,10.43,0,87.5%,9.13,0,0,,0,,0,0,0.0,0,1
118,2009,2009-11-29,11,29.361,WAS,@,PHI,L 24-27,*,15,38,2.53,0,3,3,26,8.67,0,100.0%,8.67,0,0,,0,,0,0,0.0,0,0
119,2009,2009-12-06,12,30.003,WAS,,NOR,L 30-33,*,13,39,3.00,0,4,3,31,10.33,0,75.0%,7.75,0,0,,0,,0,0,0.0,0,0
120,2009,2009-12-13,13,30.010,WAS,@,OAK,W 34-13,,1,0,0.00,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0
121,2009,2009-12-21,14,30.018,WAS,,NYG,L 12-45,,1,7,7.00,0,2,1,51,51.00,0,50.0%,25.50,4,73,18.25,0,,0,0,0.0,0,0
122,2009,2009-12-27,15,30.024,WAS,,DAL,L 0-17,,3,6,2.00,0,7,5,14,2.80,0,71.4%,2.00,1,24,24.00,0,,0,0,0.0,0,1
123,2009,2010-01-03,16,30.031,WAS,@,SDG,L 20-23,,1,3,3.00,0,1,1,19,19.00,0,100.0%,19.00,6,127,21.17,0,,0,0,0.0,0,0
124,2010,2010-09-12,1,30.283,OAK,@,TEN,L 13-38,,0,0,,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,,0,0,0.0,0,1
125,2010,2010-09-19,2,30.290,OAK,,STL,W 16-14,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
126,2010,2010-09-26,3,30.297,OAK,@,ARI,L 23-24,,0,0,,0,1,0,0,,0,0.0%,0.00,1,24,24.00,0,,0,0,0.0,0,0
127,2010,2010-10-03,4,30.304,OAK,,HOU,L 24-31,,0,0,,0,0,0,0,,0,0.0%,,1,14,14.00,0,,0,0,0.0,0,0
128,2010,2010-10-10,5,30.311,OAK,,SDG,W 35-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,0,2,0.0,0,0
129,2010,2010-10-17,6,30.318,OAK,@,SFO,L 9-17,,1,-3,-3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,1
130,2010,2010-10-24,7,30.325,OAK,@,DEN,W 59-14,,5,17,3.40,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
131,2010,2010-10-31,8,30.332,OAK,,SEA,W 33-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
132,2010,2010-11-07,9,30.339,OAK,,KAN,W 23-20,,1,2,2.00,0,0,0,0,,0,0.0%,,1,14,14.00,0,,0,0,0.0,1,0
133,2010,2010-11-21,10,30.353,OAK,@,PIT,L 3-35,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
134,2010,2010-11-28,11,30.360,OAK,,MIA,L 17-33,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
135,2010,2010-12-05,12,31.002,OAK,@,SDG,W 28-13,,0,0,,0,0,0,0,,0,0.0%,,1,28,28.00,0,,0,0,0.0,0,0
136,2010,2010-12-12,13,31.009,OAK,@,JAX,L 31-38,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
137,2010,2010-12-19,14,31.016,OAK,,DEN,W 39-23,,0,0,,0,0,0,0,,0,0.0%,,1,9,9.00,0,,0,0,0.0,0,0
138,2010,2010-12-26,15,31.023,OAK,,IND,L 26-31,,,,,,,,,,,0.0%,,,,,,,,,,,
139,2010,2011-01-02,16,31.030,OAK,@,KAN,W 31-10,,2,6,3.00,0,0,0,0,,0,0.0%,,1,14,14.00,0,,0,0,0.0,0,0
140,2011,2011-09-12,1,31.283,OAK,@,DEN,W 23-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
141,2011,2011-09-18,2,31.289,OAK,@,BUF,L 35-38,,,,,,,,,,,0.0%,,,,,,,,,,,
142,2011,2011-09-25,3,31.296,OAK,,NYJ,W 34-24,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,1
143,2011,2011-10-02,4,31.303,OAK,,NWE,L 19-31,,0,0,,0,1,1,0,0.00,0,100.0%,0.00,1,1,1.00,0,,0,0,0.0,0,0
144,2011,2011-10-09,5,31.310,OAK,@,HOU,W 25-20,,1,35,35.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
145,2011,2011-10-23,7,31.324,OAK,,KAN,L 0-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
146,2011,2011-11-06,8,31.338,OAK,,DEN,L 24-38,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
147,2011,2011-11-10,9,31.342,OAK,@,SDG,W 24-17,,,,,,,,,,,0.0%,,,,,,,,,,,
148,2011,2011-11-20,10,31.352,OAK,@,MIN,W 27-21,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
149,2011,2011-11-27,11,31.359,OAK,,CHI,W 25-20,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
150,2011,2011-12-04,12,32.001,OAK,@,MIA,L 14-34,,,,,,,,,,,0.0%,,,,,,,,,,,
151,2011,2011-12-11,13,32.008,OAK,@,GNB,L 16-46,,1,5,5.00,0,3,2,16,8.00,0,66.7%,5.33,1,0,0.00,0,,0,0,0.0,0,0
152,2011,2011-12-18,14,32.015,OAK,,DET,L 27-28,,0,0,,0,0,0,0,,0,0.0%,,1,14,14.00,0,,0,0,0.0,0,0
153,2011,2011-12-24,15,32.021,OAK,@,KAN,W 16-13,,0,0,,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,0,0,0.0,0,0
154,2011,2012-01-01,16,32.029,OAK,,SDG,L 26-38,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
