ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
19,1988,1988-11-20,12,23.353,NOR,,DEN,W 42-0,,,,,,,,,,,,,,,,,
20,1988,1988-11-27,13,23.360,NOR,,NYG,L 12-13,,0,0,,0,,,0,0,,0,0,0,0.0,1,0,0
21,1988,1988-12-04,14,24.001,NOR,@,MIN,L 3-45,,,,,,,,,,,,,,,,,
22,1988,1988-12-11,15,24.008,NOR,@,SFO,L 17-30,,,,,,,,,,,,,,,,,
23,1988,1988-12-18,16,24.015,NOR,,ATL,W 10-9,,,,,,,,,,,,,,,,,
24,1989,1989-09-10,1,24.281,NOR,,DAL,W 28-0,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
25,1989,1989-09-17,2,24.288,NOR,@,GNB,L 34-35,,1,8,8.00,0,,,0,0,,0,0,0,0.0,0,0,0
26,1989,1989-09-24,3,24.295,NOR,@,TAM,L 10-20,,0,0,,0,,,,,,,,,,,,
27,1989,1989-10-01,4,24.302,NOR,,WAS,L 14-16,,0,0,,0,,,,,,,,,,,,
28,1989,1989-10-08,5,24.309,NOR,,SFO,L 20-24,,0,0,,0,,,,,,,,,,,,
29,1989,1989-10-15,6,24.316,NOR,,NYJ,W 29-14,,0,0,,0,,,,,,,,,,,,
30,1989,1989-10-22,7,24.323,NOR,@,RAM,W 40-21,,0,0,,0,,,0,0,,0,0,0,0.0,1,10,0
31,1989,1989-10-29,8,24.330,NOR,,ATL,W 20-13,,0,0,,0,,,,,,,,,,,,
32,1989,1989-11-06,9,24.338,NOR,@,SFO,L 13-31,,0,0,,0,,,,,,,,,,,,
33,1989,1989-11-12,10,24.344,NOR,@,NWE,W 28-24,,0,0,,0,,,,,,,,,,,,
34,1989,1989-11-19,11,24.351,NOR,@,ATL,W 26-17,,0,0,,0,,,,,,,,,,,,
35,1989,1989-11-26,12,24.358,NOR,,RAM,L 17-20,,0,0,,0,,,,,,,,,,,,
36,1989,1989-12-03,13,25.000,NOR,@,DET,L 14-21,,0,0,,0,,,,,,,,,,,,
37,1989,1989-12-10,14,25.007,NOR,@,BUF,W 22-19,,0,0,,0,,,0,0,,0,0,0,0.0,1,8,0
38,1989,1989-12-18,15,25.015,NOR,,PHI,W 30-20,,0,0,,0,,,,,,,,,,,,
39,1989,1989-12-24,16,25.021,NOR,,IND,W 41-6,,0,0,,0,,,0,0,,0,1,6,0.0,1,63,1
40,1990,1990-09-10,1,25.281,NOR,,SFO,L 12-13,,0,0,,0,,,0,0,,0,0,0,0.0,1,5,0
41,1990,1990-09-16,2,25.287,NOR,@,MIN,L 3-32,,,,,,,,,,,,,,,,,
42,1990,1990-09-23,3,25.294,NOR,,PHO,W 28-7,,,,,,,,,,,,,,,,,
43,1990,1990-10-07,4,25.308,NOR,@,ATL,L 27-28,,,,,,,,,,,,,,,,,
44,1990,1990-10-14,5,25.315,NOR,,CLE,W 25-20,,,,,,,,,,,,,,,,,
45,1990,1990-10-21,6,25.322,NOR,@,HOU,L 10-23,,,,,,,,,,,,,,,,,
46,1990,1990-10-28,7,25.329,NOR,,DET,L 10-27,,,,,,,,,,,,,,,,,
47,1990,1990-11-04,8,25.336,NOR,@,CIN,W 21-7,,,,,,,,,,,,,,,,,
48,1990,1990-11-11,9,25.343,NOR,,TAM,W 35-7,,0,0,,0,,,0,0,,0,0,0,0.0,1,50,0
49,1990,1990-11-18,10,25.350,NOR,@,WAS,L 17-31,,,,,,,,,,,,,,,,,
50,1990,1990-11-25,11,25.357,NOR,,ATL,W 10-7,,0,0,,0,,,0,0,,0,0,0,1.0,0,0,0
51,1990,1990-12-02,12,25.364,NOR,@,DAL,L 13-17,,,,,,,,,,,,,,,,,
52,1990,1990-12-09,13,26.006,NOR,@,RAM,W 24-20,,,,,,,,,,,,,,,,,
53,1990,1990-12-16,14,26.013,NOR,,PIT,L 6-9,,,,,,,,,,,,,,,,,
54,1990,1990-12-23,15,26.020,NOR,@,SFO,W 13-10,,,,,,,,,,,,,,,,,
55,1990,1990-12-31,16,26.028,NOR,,RAM,W 20-17,,,,,,,,,,,,,,,,,
56,1991,1991-09-01,1,26.272,NOR,,SEA,W 27-24,,0,0,,0,,,0,0,,0,0,0,0.0,1,14,0
57,1991,1991-09-08,2,26.279,NOR,@,KAN,W 17-10,,,,,,,,,,,,,,,,,
58,1991,1991-09-15,3,26.286,NOR,,RAM,W 24-7,,,,,,,,,,,,,,,,,
59,1991,1991-09-22,4,26.293,NOR,,MIN,W 26-0,,,,,,,,,,,,,,,,,
60,1991,1991-09-29,5,26.300,NOR,@,ATL,W 27-6,,,,,,,,,,,,,,,,,
61,1991,1991-10-13,6,26.314,NOR,@,PHI,W 13-6,,0,0,,0,,,0,0,,0,0,0,0.0,1,22,0
62,1991,1991-10-20,7,26.321,NOR,,TAM,W 23-7,,0,0,,0,,,0,0,,0,0,0,0.0,1,18,0
63,1991,1991-10-27,8,26.328,NOR,,CHI,L 17-20,,,,,,,,,,,,,,,,,
64,1991,1991-11-03,9,26.335,NOR,@,RAM,W 24-17,,,,,,,,,,,,,,,,,
65,1991,1991-11-10,10,26.342,NOR,,SFO,W 10-3,,,,,,,,,,,,,,,,,
66,1991,1991-11-17,11,26.349,NOR,@,SDG,L 21-24,,,,,,,,,,,,,,,,,
67,1991,1991-11-24,12,26.356,NOR,,ATL,L 20-23,,,,,,,,,,,,,,,,,
68,1991,1991-12-01,13,26.363,NOR,@,SFO,L 24-38,,,,,,,,,,,,,,,,,
69,1991,1991-12-08,14,27.005,NOR,@,DAL,L 14-23,,,,,,,,,,,,,,,,,
70,1992,1992-09-06,1,27.278,NOR,@,PHI,L 13-15,,,,,,0.0%,,,,,,,,,,,
71,1992,1992-09-13,2,27.285,NOR,,CHI,W 28-6,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,4,0
72,1992,1992-09-20,3,27.292,NOR,@,ATL,W 10-7,,,,,,0.0%,,,,,,,,,,,
73,1992,1992-09-27,4,27.299,NOR,,SFO,L 10-16,,,,,,0.0%,,,,,,,,,,,
74,1992,1992-10-04,5,27.306,NOR,@,DET,W 13-7,,,,,,0.0%,,,,,,,,,,,
75,1992,1992-10-11,6,27.313,NOR,,RAM,W 13-10,,,,,,0.0%,,,,,,,,,,,
76,1992,1992-10-18,7,27.320,NOR,@,PHO,W 30-21,,,,,,0.0%,,,,,,,,,,,
77,1992,1992-11-01,8,27.334,NOR,,TAM,W 23-21,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
78,1992,1992-11-08,9,27.341,NOR,@,NWE,W 31-14,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,11,0
79,1992,1992-11-15,10,27.348,NOR,@,SFO,L 20-21,,,,,,0.0%,,,,,,,,,,,
80,1992,1992-11-23,11,27.356,NOR,,WAS,W 20-3,,,,,,0.0%,,,,,,,,,,,
81,1992,1992-11-29,12,27.362,NOR,,MIA,W 24-13,,,,,,0.0%,,,,,,,,,,,
82,1992,1992-12-03,13,28.000,NOR,,ATL,W 22-14,,0,0,,0,0.0%,,0,0,,0,1,6,0.0,1,48,1
83,1992,1992-12-13,14,28.010,NOR,@,RAM,W 37-14,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,16,0
84,1992,1992-12-20,15,28.017,NOR,,BUF,L 16-20,,,,,,0.0%,,,,,,,,,,,
85,1992,1992-12-26,16,28.023,NOR,@,NYJ,W 20-0,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,2,11,0
86,1993,1993-09-05,1,28.276,NOR,,HOU,W 33-21,,0,0,,0,0.0%,,0,0,,0,0,0,1.0,1,0,0
87,1993,1993-09-12,2,28.283,NOR,@,ATL,W 34-31,,,,,,0.0%,,,,,,,,,,,
88,1993,1993-09-19,3,28.290,NOR,,DET,W 14-3,,,,,,0.0%,,,,,,,,,,,
89,1993,1993-09-26,4,28.297,NOR,,SFO,W 16-13,,,,,,0.0%,,,,,,,,,,,
90,1993,1993-10-03,5,28.304,NOR,@,RAM,W 37-6,,,,,,0.0%,,,,,,,,,,,
91,1993,1993-10-17,6,28.318,NOR,@,PIT,L 14-37,,,,,,0.0%,,,,,,,,,,,
92,1993,1993-10-24,7,28.325,NOR,,ATL,L 15-26,,,,,,0.0%,,,,,,,,,,,
93,1993,1993-10-31,8,28.332,NOR,@,PHO,W 20-17,,,,,,0.0%,,,,,,,,,,,
94,1993,1993-11-14,9,28.346,NOR,,GNB,L 17-19,,,,,,0.0%,,,,,,,,,,,
95,1993,1993-11-22,10,28.354,NOR,@,SFO,L 7-42,,,,,,0.0%,,,,,,,,,,,
96,1993,1993-11-28,11,28.360,NOR,@,MIN,W 17-14,,,,,,0.0%,,,,,,,,,,,
97,1993,1993-12-05,12,29.002,NOR,@,CLE,L 13-17,,,,,,0.0%,,,,,,,,,,,
98,1993,1993-12-12,13,29.009,NOR,,RAM,L 20-23,,,,,,0.0%,,,,,,,,,,,
99,1993,1993-12-20,14,29.017,NOR,,NYG,L 14-24,,,,,,0.0%,,,,,,,,,,,
100,1993,1993-12-26,15,29.023,NOR,@,PHI,L 26-37,,,,,,0.0%,,,,,,,,,,,
101,1993,1994-01-02,16,29.030,NOR,,CIN,W 20-13,,,,,,0.0%,,,,,,,,,,,
102,1994,1994-09-05,1,29.276,SFO,,RAI,W 44-14,,,,,,0.0%,,,,,,,,,,,
103,1994,1994-09-11,2,29.282,SFO,@,KAN,L 17-24,,,,,,0.0%,,,,,,,,,,,
104,1994,1994-09-18,3,29.289,SFO,@,RAM,W 34-19,,,,,,0.0%,,,,,,,,,,,
105,1994,1994-09-25,4,29.296,SFO,,NOR,W 24-13,,,,,,0.0%,,,,,,,,,,,
106,1994,1994-10-02,5,29.303,SFO,,PHI,L 8-40,,,,,,0.0%,,,,,,,,,,,
107,1994,1994-10-09,6,29.310,SFO,@,DET,W 27-21,,,,,,0.0%,,,,,,,,,,,
108,1994,1994-10-16,7,29.317,SFO,@,ATL,W 42-3,,,,,,0.0%,,,,,,,,,,,
109,1994,1994-10-23,8,29.324,SFO,,TAM,W 41-16,,,,,,0.0%,,,,,,,,,,,
110,1994,1994-11-06,9,29.338,SFO,@,WAS,W 37-22,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,18,0
111,1994,1994-11-13,10,29.345,SFO,,DAL,W 21-14,,,,,,0.0%,,,,,,,,,,,
112,1994,1994-11-20,11,29.352,SFO,,RAM,W 31-27,,,,,,0.0%,,,,,,,,,,,
113,1994,1994-11-28,12,29.360,SFO,@,NOR,W 35-14,,,,,,0.0%,,,,,,,,,,,
114,1994,1994-12-04,13,30.001,SFO,,ATL,W 50-14,,,,,,0.0%,,,,,,,,,,,
115,1994,1994-12-11,14,30.008,SFO,@,SDG,W 38-15,,,,,,0.0%,,,,,,,,,,,
116,1994,1994-12-17,15,30.014,SFO,,DEN,W 42-19,,,,,,0.0%,,,,,,,,,,,
117,1994,1994-12-26,16,30.023,SFO,@,MIN,L 14-21,,,,,,0.0%,,,,,,,,,,,
118,1995,1995-09-03,1,30.274,SFO,@,NOR,W 24-22,,,,,,0.0%,,,,,,,,,,,
119,1995,1995-09-10,2,30.281,SFO,,ATL,W 41-10,,,,,,0.0%,,,,,,,,,,,
120,1996,1996-09-01,1,31.273,CAR,,ATL,W 29-6,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
121,1996,1996-09-22,3,31.294,CAR,,SFO,W 23-7,,,,,,0.0%,,,,,,,,,,,
122,1996,1996-09-29,4,31.301,CAR,@,JAX,L 14-24,,,,,,0.0%,,,,,,,,,,,
123,1996,1996-10-06,5,31.308,CAR,@,MIN,L 12-14,,,,,,0.0%,,,,,,,,,,,
124,1996,1996-10-13,6,31.315,CAR,,STL,W 45-13,,,,,,0.0%,,,,,,,,,,,
125,1996,1996-10-20,7,31.322,CAR,,NOR,W 19-7,,,,,,0.0%,,,,,,,,,,,
126,1996,1996-10-27,8,31.329,CAR,@,PHI,L 9-20,,,,,,0.0%,,,,,,,,,,,
127,1996,1996-11-03,9,31.336,CAR,@,ATL,L 17-20,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
128,1996,1996-11-10,10,31.343,CAR,,NYG,W 27-17,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,22,0
129,1996,1996-11-17,11,31.350,CAR,@,STL,W 20-10,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,6,0
130,1996,1996-11-24,12,31.357,CAR,@,HOU,W 31-6,,,,,,0.0%,,,,,,,,,,,
131,1996,1996-12-01,13,31.364,CAR,,TAM,W 24-0,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
132,1996,1996-12-08,14,32.005,CAR,@,SFO,W 30-24,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
133,1996,1996-12-15,15,32.012,KAN,,IND,L 19-24,,,,,,0.0%,,,,,,,,,,,
134,1996,1996-12-22,16,32.019,CAR,,PIT,W 18-14,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0,0
135,1997,1997-08-31,1,32.271,CAR,,WAS,L 10-24,,,,,,0.0%,,,,,,,,,,,
136,1997,1997-09-07,2,32.278,CAR,@,ATL,W 9-6,,,,,,0.0%,,,,,,,,,,,
137,1997,1997-09-14,3,32.285,CAR,@,SDG,W 26-7,,,,,,0.0%,,,,,,,,,,,
138,1997,1997-09-21,4,32.292,CAR,,KAN,L 14-35,,,,,,0.0%,,,,,,,,,,,
139,1997,1997-09-29,5,32.300,CAR,,SFO,L 21-34,,,,,,0.0%,,,,,,,,,,,
140,1997,1997-10-12,6,32.313,CAR,@,MIN,L 14-21,,,,,,0.0%,,,,,,,,,,,
141,1997,1997-10-19,7,32.320,CAR,@,NOR,W 13-0,,,,,,0.0%,,,,,,,,,,,
142,1997,1997-10-26,8,32.327,CAR,,ATL,W 21-12,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,0,0,0
143,1997,1997-11-02,9,32.334,CAR,,OAK,W 38-14,,,,,,0.0%,,,,,,,,,,,
144,1997,1997-11-09,10,32.341,CAR,@,DEN,L 0-34,,,,,,0.0%,,,,,,,,,,,
145,1997,1997-11-16,11,32.348,CAR,@,SFO,L 19-27,,,,,,0.0%,,,,,,,,,,,
146,1997,1997-11-23,12,32.355,CAR,@,STL,W 16-10,,,,,,0.0%,,,,,,,,,,,
147,1997,1997-11-30,13,32.362,CAR,,NOR,L 13-16,,,,,,0.0%,,,,,,,,,,,
148,1997,1997-12-08,14,33.005,CAR,@,DAL,W 23-13,,,,,,0.0%,,,,,,,,,,,
149,1997,1997-12-14,15,33.011,CAR,,GNB,L 10-31,,,,,,0.0%,,,,,,,,,,,
150,1997,1997-12-20,16,33.017,CAR,,STL,L 18-30,,,,,,0.0%,,,,,,,,,,,
