ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,sacks,tackles_solo,tackles_assists
11,2005,2005-11-27,11,22.219,JAX,@,ARI,W 24-17,,1,1,7,7.00,0,100.0%,7.00,1,8,8.00,0,0,0,,0,0,0,,0,,,,0,0,0.0,,
12,2005,2005-12-04,12,22.226,JAX,@,CLE,W 20-14,,0,0,0,,0,0.0%,,1,3,3.00,0,0,0,,0,0,0,,0,,,,0,0,0.0,,
13,2005,2005-12-11,13,22.233,JAX,,IND,L 18-26,,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0,0.0,,
14,2005,2005-12-18,14,22.240,JAX,,SFO,W 10-9,,4,2,11,5.50,0,50.0%,2.75,1,2,2.00,0,0,0,,0,0,0,,0,,,,0,0,0.0,,
15,2005,2005-12-24,15,22.246,JAX,@,HOU,W 38-20,,2,0,0,,0,0.0%,0.00,1,5,5.00,0,0,0,,0,0,0,,0,,,,0,0,0.0,,
16,2005,2006-01-01,16,22.254,JAX,,TEN,W 40-13,,5,3,55,18.33,1,60.0%,11.00,0,0,,0,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,1,6,0.0,,
17,2006,2006-09-10,1,23.141,JAX,,DAL,W 24-17,*,9,5,71,14.20,0,55.6%,7.89,1,-6,-6.00,0,0,0,,0,0,0,,,,,,0,0,0.0,,
18,2006,2006-09-18,2,23.149,JAX,,PIT,W 9-0,*,12,6,73,12.17,0,50.0%,6.08,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
19,2006,2006-09-24,3,23.155,JAX,@,IND,L 14-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
20,2006,2006-10-01,4,23.162,JAX,@,WAS,L 30-36,*,5,2,13,6.50,0,40.0%,2.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
21,2006,2006-10-29,7,23.190,JAX,@,PHI,W 13-6,,2,2,32,16.00,0,100.0%,16.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
22,2006,2006-11-05,8,23.197,JAX,,TEN,W 37-7,,6,3,66,22.00,0,50.0%,11.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
23,2006,2006-11-12,9,23.204,JAX,,HOU,L 10-13,,5,1,11,11.00,0,20.0%,2.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
24,2006,2006-11-20,10,23.212,JAX,,NYG,W 26-10,,3,1,49,49.00,0,33.3%,16.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
25,2006,2006-11-26,11,23.218,JAX,@,BUF,L 24-27,,3,2,8,4.00,1,66.7%,2.67,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
26,2006,2006-12-03,12,23.225,JAX,@,MIA,W 24-10,,7,6,128,21.33,1,85.7%,18.29,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
27,2006,2006-12-10,13,23.232,JAX,,IND,W 44-17,,5,1,7,7.00,0,20.0%,1.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
28,2006,2006-12-17,14,23.239,JAX,@,TEN,L 17-24,*,6,3,12,4.00,1,50.0%,2.00,1,-9,-9.00,0,0,0,,0,0,0,,,,,,1,6,0.0,,
29,2006,2006-12-24,15,23.246,JAX,,NWE,L 21-24,,4,4,69,17.25,1,100.0%,17.25,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
30,2006,2006-12-31,16,23.253,JAX,@,KAN,L 30-35,,9,5,104,20.80,0,55.6%,11.56,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
31,2007,2007-09-09,1,24.140,JAX,,TEN,L 10-13,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
32,2007,2007-09-16,2,24.147,JAX,,ATL,W 13-7,,5,3,36,12.00,0,60.0%,7.20,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
33,2007,2007-10-07,4,24.168,JAX,@,KAN,W 17-7,,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
34,2007,2007-10-14,5,24.175,JAX,,HOU,W 37-17,,6,3,18,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
35,2007,2007-10-28,7,24.189,JAX,@,TAM,W 24-23,,3,1,8,8.00,1,33.3%,2.67,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
36,2007,2007-11-04,8,24.196,JAX,@,NOR,L 24-41,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
37,2007,2007-11-25,11,24.217,JAX,,BUF,W 36-14,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
38,2007,2007-12-02,12,24.224,JAX,@,IND,L 25-28,,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
39,2007,2007-12-09,13,24.231,JAX,,CAR,W 37-6,,4,1,6,6.00,1,25.0%,1.50,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
40,2007,2007-12-16,14,24.238,JAX,@,PIT,W 29-22,,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,,
41,2007,2007-12-23,15,24.245,JAX,,OAK,W 49-11,,3,1,37,37.00,1,33.3%,12.33,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
42,2007,2007-12-30,16,24.252,JAX,@,HOU,L 28-42,,15,8,138,17.25,1,53.3%,9.20,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,,
43,2008,2008-09-07,1,25.138,JAX,@,TEN,L 10-17,*,10,6,80,13.33,0,60.0%,8.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,1,0
44,2008,2008-09-14,2,25.145,JAX,,BUF,L 16-20,*,10,5,50,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
45,2008,2008-09-21,3,25.152,JAX,@,IND,W 23-21,*,5,5,43,8.60,0,100.0%,8.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
46,2008,2008-09-28,4,25.159,JAX,,HOU,W 30-27,*,7,5,71,14.20,1,71.4%,10.14,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,0,0
47,2008,2008-10-05,5,25.166,JAX,,PIT,L 21-26,*,6,2,25,12.50,0,33.3%,4.17,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
48,2008,2008-10-12,6,25.173,JAX,@,DEN,W 24-17,*,10,7,69,9.86,0,70.0%,6.90,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
49,2008,2008-10-26,7,25.187,JAX,,CLE,L 17-23,*,16,8,117,14.63,1,50.0%,7.31,0,0,,0,0,0,,0,0,0,,,,,,1,6,0.0,0,0
50,2008,2008-11-02,8,25.194,JAX,@,CIN,L 19-21,*,12,7,69,9.86,0,58.3%,5.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
51,2008,2008-11-09,9,25.201,JAX,@,DET,W 38-14,,5,5,62,12.40,0,100.0%,12.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
52,2008,2008-11-23,11,25.215,JAX,,MIN,L 12-30,*,9,4,37,9.25,0,44.4%,4.11,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
53,2008,2008-12-01,12,25.223,JAX,@,HOU,L 17-30,*,11,8,104,13.00,0,72.7%,9.45,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
54,2008,2008-12-07,13,25.229,JAX,@,CHI,L 10-23,,6,3,34,11.33,0,50.0%,5.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,0.0,0,0
