ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
22,2016,2016-10-30,8,25.142,DEN,,SDG,W 27-19,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
23,2016,2016-11-06,9,25.149,DEN,@,OAK,L 20-30,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
24,2016,2016-11-13,10,25.156,DEN,@,NOR,W 25-23,,0,0,0,,0,0.0%,,0,0,,0,0,0
25,2016,2016-11-27,11,25.170,DEN,,KAN,L 27-30,,2,1,76,76.00,1,50.0%,38.00,0,0,,0,1,6
26,2016,2016-12-11,13,25.184,DEN,@,TEN,L 10-13,,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0
27,2016,2016-12-18,14,25.191,DEN,,NWE,L 3-16,,0,0,0,,0,0.0%,,0,0,,0,0,0
28,2016,2016-12-25,15,25.198,DEN,@,KAN,L 10-33,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0
29,2016,2017-01-01,16,25.205,DEN,,OAK,W 24-6,,0,0,0,,0,0.0%,,0,0,,0,0,0
30,2017,2017-09-11,1,26.093,DEN,,LAC,W 24-21,,4,3,21,7.00,2,75.0%,5.25,0,0,,0,2,12
31,2017,2017-09-17,2,26.099,DEN,,DAL,W 42-17,*,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0
32,2017,2017-09-24,3,26.106,DEN,@,BUF,L 16-26,,7,4,55,13.75,0,57.1%,7.86,0,0,,0,0,0
33,2017,2017-10-01,4,26.113,DEN,,OAK,W 16-10,,2,2,35,17.50,0,100.0%,17.50,0,0,,0,0,0
34,2017,2017-10-15,5,26.127,DEN,,NYG,L 10-23,*,8,3,21,7.00,0,37.5%,2.63,0,0,,0,0,0
35,2017,2017-10-22,6,26.134,DEN,@,LAC,L 0-21,,5,5,45,9.00,0,100.0%,9.00,0,0,,0,0,0
36,2017,2017-10-30,7,26.142,DEN,@,KAN,L 19-29,,6,2,35,17.50,0,33.3%,5.83,0,0,,0,0,0
37,2017,2017-11-05,8,26.148,DEN,@,PHI,L 23-51,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
38,2017,2017-11-12,9,26.155,DEN,,NWE,L 16-41,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
39,2017,2017-11-19,10,26.162,DEN,,CIN,L 17-20,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0
40,2017,2017-11-26,11,26.169,DEN,@,OAK,L 14-21,,4,3,33,11.00,1,75.0%,8.25,0,0,,0,1,6
41,2017,2017-12-03,12,26.176,DEN,@,MIA,L 9-35,,4,1,23,23.00,0,25.0%,5.75,0,0,,0,0,0
42,2017,2017-12-10,13,26.183,DEN,,NYJ,W 23-0,,0,0,0,,0,0.0%,,0,0,,0,0,0
43,2017,2017-12-14,14,26.187,DEN,@,IND,W 25-13,,0,0,0,,0,0.0%,,0,0,,0,0,0
44,2017,2017-12-24,15,26.197,DEN,@,WAS,L 11-27,*,3,0,0,,0,0.0%,0.00,1,6,6.00,0,0,0
45,2017,2017-12-31,16,26.204,DEN,,KAN,L 24-27,*,6,4,56,14.00,0,66.7%,9.33,0,0,,0,0,0
