ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
63,1996,1996-12-08,14,26.245,DAL,@,ARI,W 10-6,,,,,,,,,,,,,,
64,1996,1996-12-15,15,26.252,DAL,,NWE,W 12-6,,,,,,,,,,,,,,
65,1996,1996-12-22,16,26.259,DAL,@,WAS,L 10-37,,,,,,,,,,,,,,
66,1997,1997-08-31,1,27.146,DAL,@,PIT,W 37-7,,,,,,,,,,,,,,
67,1997,1997-09-07,2,27.153,DAL,@,ARI,L 22-25,,,,,,,,,,,,,,
68,1997,1997-09-15,3,27.161,DAL,,PHI,W 21-20,,,,,,,,,,,,,,
69,1997,1997-09-28,4,27.174,DAL,,CHI,W 27-3,,0,0,,0,0,0,,0,0,0,1,21,0
70,1997,1997-10-05,5,27.181,DAL,@,NYG,L 17-20,,,,,,,,,,,,,,
71,1997,1997-10-13,6,27.189,DAL,@,WAS,L 16-21,,,,,,,,,,,,,,
72,1997,1997-10-19,7,27.195,DAL,,JAX,W 26-22,,,,,,,,,,,,,,
73,1997,1997-10-26,8,27.202,DAL,@,PHI,L 12-13,,,,,,,,,,,,,,
74,1997,1997-11-02,9,27.209,DAL,@,SFO,L 10-17,,,,,,,,,,,,,,
75,1997,1997-11-09,10,27.216,DAL,,ARI,W 24-6,,,,,,,,,,,,,,
76,1997,1997-11-16,11,27.223,DAL,,WAS,W 17-14,,,,,,,,,,,,,,
77,1997,1997-11-23,12,27.230,DAL,@,GNB,L 17-45,,,,,,,,,,,,,,
78,1997,1997-11-27,13,27.234,DAL,,TEN,L 14-27,,,,,,,,,,,,,,
79,1997,1997-12-08,14,27.245,DAL,,CAR,L 13-23,,,,,,,,,,,,,,
80,1997,1997-12-14,15,27.251,DAL,@,CIN,L 24-31,,,,,,,,,,,,,,
81,1997,1997-12-21,16,27.258,DAL,,NYG,L 7-20,,,,,,,,,,,,,,
82,1998,1998-09-06,1,28.152,DAL,,ARI,W 38-10,,,,,,,,,,,,,,
83,1998,1998-09-13,2,28.159,DAL,@,DEN,L 23-42,,,,,,,,,,,,,,
84,1998,1998-09-21,3,28.167,DAL,@,NYG,W 31-7,,,,,,,,,,,,,,
85,1998,1998-09-27,4,28.173,DAL,,OAK,L 12-13,,,,,,,,,,,,,,
86,1998,1998-10-04,5,28.180,DAL,@,WAS,W 31-10,,,,,,,,,,,,,,
87,1998,1998-10-11,6,28.187,DAL,,CAR,W 27-20,,,,,,,,,,,,,,
88,1998,1998-10-18,7,28.194,DAL,@,CHI,L 12-13,,,,,,,,,,,,,,
89,1998,1998-11-02,8,28.209,DAL,@,PHI,W 34-0,,,,,,,,,,,,,,
90,1998,1998-11-08,9,28.215,DAL,,NYG,W 16-6,,,,,,,,,,,,,,
91,1998,1998-11-15,10,28.222,DAL,@,ARI,W 35-28,,,,,,,,,,,,,,
92,1998,1998-11-22,11,28.229,DAL,,SEA,W 30-22,,0,0,,0,0,0,,0,0,0,1,22,0
93,1998,1998-11-26,12,28.233,DAL,,MIN,L 36-46,,0,0,,0,1,11,11.00,0,0,0,0,0,0
94,1998,1998-12-20,15,28.257,DAL,,PHI,W 13-9,,0,0,,0,0,0,,0,0,0,1,9,0
95,1998,1998-12-27,16,28.264,DAL,,WAS,W 23-7,,,,,,,,,,,,,,
96,1999,1999-10-10,4,29.186,DAL,@,PHI,L 10-13,*,,,,,,,,,,,,,
97,1999,1999-10-18,5,29.194,DAL,@,NYG,L 10-13,*,,,,,,,,,,,,,
98,1999,1999-10-24,6,29.200,DAL,,WAS,W 38-20,*,,,,,,,,,,,,,
99,1999,1999-10-31,7,29.207,DAL,@,IND,L 24-34,*,,,,,,,,,,,,,
100,1999,1999-11-08,8,29.215,DAL,@,MIN,L 17-27,*,,,,,,,,,,,,,
101,1999,1999-11-14,9,29.221,DAL,,GNB,W 27-13,*,0,0,,0,0,0,,0,0,0,1,16,0
102,1999,1999-11-21,10,29.228,DAL,@,ARI,L 9-13,*,,,,,,,,,,,,,
103,1999,1999-12-19,14,29.256,DAL,,NYJ,L 21-22,*,,,,,,,,,,,,,
