ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
47,1999,1999-09-19,2,26.212,ARI,@,MIA,L 16-19,*,,,,,,,,,
48,1999,1999-09-27,3,26.220,ARI,,SFO,L 10-24,*,,,,,,,,,
49,1999,1999-10-03,4,26.226,ARI,@,DAL,L 7-35,*,,,,,,,,,
50,1999,1999-10-10,5,26.233,ARI,,NYG,W 14-3,*,,,,,,,,,
51,1999,1999-10-17,6,26.240,ARI,,WAS,L 10-24,*,,,,,,,,,
52,1999,1999-10-31,7,26.254,ARI,,NWE,L 3-27,*,,,,,,,,,
53,1999,1999-11-07,8,26.261,ARI,@,NYJ,L 7-12,*,,,,,,,,,
54,1999,1999-11-14,9,26.268,ARI,,DET,W 23-19,*,,,,,,,,,
55,1999,1999-11-21,10,26.275,ARI,,DAL,W 13-9,*,,,,,,,,,
56,1999,1999-11-28,11,26.282,ARI,@,NYG,W 34-24,*,,,,,,,,,
57,1999,1999-12-05,12,26.289,ARI,,PHI,W 21-17,*,,,,,,,,,
58,1999,1999-12-12,13,26.296,ARI,@,WAS,L 3-28,*,,,,,,,,,
59,1999,1999-12-19,14,26.303,ARI,,BUF,L 21-31,*,0,0,,0,0,0,1,13,0
60,1999,1999-12-26,15,26.310,ARI,@,ATL,L 14-37,*,,,,,,,,,
61,2000,2000-09-10,2,27.204,ARI,,DAL,W 32-31,,,,,,,,,,
62,2000,2000-09-24,3,27.218,ARI,,GNB,L 3-29,,,,,,,,,,
63,2000,2000-10-01,4,27.225,ARI,@,SFO,L 20-27,,,,,,,,,,
64,2000,2000-10-08,5,27.232,ARI,,CLE,W 29-21,,,,,,,,,,
65,2000,2000-10-15,6,27.239,ARI,,PHI,L 14-33,,,,,,,,,,
66,2000,2000-10-22,7,27.246,ARI,@,DAL,L 7-48,,,,,,,,,,
67,2000,2000-11-26,12,27.281,ARI,,NYG,L 7-31,,,,,,,,,,
68,2000,2000-12-03,13,27.288,ARI,@,CIN,L 13-24,,1,17,17.00,0,0,0,0,0,0
69,2000,2000-12-10,14,27.295,ARI,@,JAX,L 10-44,,,,,,,,,,
70,2000,2000-12-17,15,27.302,ARI,,BAL,L 7-13,,,,,,,,,,
71,2000,2000-12-24,16,27.309,ARI,@,WAS,L 3-20,,,,,,,,,,
72,2001,2001-09-09,1,28.202,DET,@,GNB,L 6-28,,,,,,,,,,
73,2001,2001-09-23,2,28.216,DET,@,CLE,L 14-24,,,,,,,,,,
74,2001,2001-11-04,7,28.258,DET,@,SFO,L 13-21,,,,,,,,,,
75,2001,2001-11-11,8,28.265,DET,,TAM,L 17-20,,,,,,,,,,
76,2001,2001-11-18,9,28.272,DET,@,ARI,L 38-45,,,,,,,,,,
77,2001,2001-11-22,10,28.276,DET,,GNB,L 27-29,,,,,,,,,,
78,2001,2001-12-02,11,28.286,DET,@,CHI,L 10-13,,,,,,,,,,
79,2001,2001-12-09,12,28.293,DET,@,TAM,L 12-15,,,,,,,,,,
