ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
15,1968,1968-10-20,7,23.300,CIN,,MIA,L 22-24,,,,,,,,,,,,,,,,,,,,,,,,
16,1968,1968-10-27,8,23.307,CIN,@,OAK,L 10-31,2,15,7.50,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
17,1968,1968-11-03,9,23.314,CIN,,HOU,L 17-27,4,33,8.25,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
18,1968,1968-11-10,10,23.321,CIN,,KAN,L 9-16,2,35,17.50,0,1,3,3.00,0,0,0,,0,0,0,,0,,,,,,,0,0
19,1968,1968-11-17,11,23.328,CIN,@,MIA,W 38-21,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
20,1968,1968-11-24,12,23.335,CIN,,OAK,L 0-34,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
21,1968,1968-12-01,13,23.342,CIN,@,BOS,L 14-33,2,36,18.00,1,0,0,,0,0,0,,0,0,0,,0,2,2,100.0,,,,1,8
22,1968,1968-12-08,14,23.349,CIN,@,NYJ,L 14-27,2,16,8.00,0,0,0,,0,0,0,,0,0,0,,0,2,2,100.0,,1,0.0,0,2
23,1969,1969-11-02,8,24.312,OAK,@,CIN,L 17-31,0,0,,0,0,0,,0,3,77,25.67,0,0,0,,0,,,,,,,0,0
24,1969,1969-11-09,9,24.319,OAK,,DEN,W 41-10,0,0,,0,0,0,,0,0,0,,0,2,19,9.50,0,,,,,,,0,0
25,1969,1969-11-16,10,24.326,OAK,,SDG,W 21-16,0,0,,0,0,0,,0,4,103,25.75,0,1,4,4.00,0,,,,,,,0,0
26,1969,1969-11-23,11,24.333,OAK,@,KAN,W 27-24,0,0,,0,0,0,,0,2,53,26.50,0,0,0,,0,,,,,,,0,0
27,1969,1969-11-30,12,24.340,OAK,@,NYJ,W 27-14,0,0,,0,0,0,,0,2,45,22.50,0,2,0,0.00,0,,,,,,,0,0
28,1969,1969-12-07,13,24.347,OAK,,CIN,W 37-17,0,0,,0,0,0,,0,0,0,,0,1,5,5.00,0,,,,,,,0,0
29,1969,1969-12-13,14,24.353,OAK,,KAN,W 10-6,0,0,,0,0,0,,0,1,22,22.00,0,3,18,6.00,0,,,,,,,0,0
30,1970,1970-09-20,1,25.269,OAK,@,CIN,L 21-31,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
31,1970,1970-09-27,2,25.276,OAK,@,SDG,T 27-27,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
32,1970,1970-10-03,3,25.282,OAK,@,MIA,L 13-20,0,0,,0,0,0,,0,0,0,,0,1,45,45.00,0,,,,,,,0,0
33,1970,1970-10-11,4,25.290,OAK,,DEN,W 35-23,1,18,18.00,0,0,0,,0,0,0,,0,1,6,6.00,0,,,,,,,0,0
34,1970,1970-10-19,5,25.298,OAK,,WAS,W 34-20,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
35,1970,1970-10-25,6,25.304,OAK,,PIT,W 31-14,0,0,,0,1,2,2.00,0,0,0,,0,0,0,,0,,,,,,,0,0
36,1970,1970-11-01,7,25.311,OAK,@,KAN,T 17-17,1,24,24.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
37,1970,1970-11-08,8,25.318,OAK,,CLE,W 23-20,4,35,8.75,0,0,0,,0,0,0,,0,1,10,10.00,0,,,,,,,0,0
38,1970,1970-11-15,9,25.325,OAK,@,DEN,W 24-19,3,55,18.33,0,0,0,,0,0,0,,0,1,-1,-1.00,0,,,,,,,0,0
39,1970,1970-11-22,10,25.332,OAK,,SDG,W 20-17,0,0,,0,0,0,,0,1,19,19.00,0,1,-1,-1.00,0,,,,,,,0,0
40,1970,1970-11-26,11,25.336,OAK,@,DET,L 14-28,,,,,,,,,,,,,,,,,,,,,,,,
41,1970,1970-12-06,12,25.346,OAK,@,NYJ,W 14-13,3,71,23.67,0,0,0,,0,0,0,,0,2,8,4.00,0,,,,,,,0,0
42,1970,1970-12-12,13,25.352,OAK,,KAN,W 20-6,0,0,,0,0,0,,0,0,0,,0,1,-2,-2.00,0,,,,,,,0,0
43,1970,1970-12-20,14,25.360,OAK,,SFO,L 7-38,3,49,16.33,0,0,0,,0,1,20,20.00,0,0,0,,0,,,,,,,0,0
44,1971,1971-09-19,1,26.268,OAK,@,NWE,L 6-20,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
45,1971,1971-09-26,2,26.275,OAK,@,SDG,W 34-0,1,10,10.00,0,0,0,,0,0,0,,0,1,0,0.00,0,,,,,,,0,0
46,1971,1971-10-04,3,26.283,OAK,@,CLE,W 34-20,1,11,11.00,0,0,0,,0,0,0,,0,1,2,2.00,0,,,,,,,0,0
47,1971,1971-10-10,4,26.289,OAK,@,DEN,W 27-16,3,48,16.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
48,1971,1971-10-17,5,26.296,OAK,,PHI,W 34-10,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
49,1971,1971-11-07,8,26.317,OAK,@,NOR,T 21-21,,,,,,,,,,,,,,,,,,,,,,,,
50,1971,1971-11-14,9,26.324,OAK,,HOU,W 41-21,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
51,1971,1971-11-21,10,26.331,OAK,,SDG,W 34-33,1,32,32.00,1,0,0,,0,0,0,,0,0,0,,0,,,,,,,1,6
52,1971,1971-11-28,11,26.338,OAK,,BAL,L 14-37,1,12,12.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
53,1971,1971-12-05,12,26.345,OAK,@,ATL,L 13-24,,,,,,,,,,,,,,,,,,,,,,,,
54,1971,1971-12-12,13,26.352,OAK,@,KAN,L 14-16,1,26,26.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
55,1971,1971-12-19,14,26.359,OAK,,DEN,W 21-13,,,,,,,,,,,,,,,,,,,,,,,,
56,1972,1972-09-17,1,27.267,DEN,,HOU,W 30-17,4,110,27.50,0,1,2,2.00,0,0,0,,0,2,26,13.00,0,,,,,,,0,0
57,1972,1972-09-24,2,27.274,DEN,@,SDG,L 14-37,6,95,15.83,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
58,1972,1972-10-01,3,27.281,DEN,,KAN,L 24-45,0,0,,0,0,0,,0,0,0,,0,3,31,10.33,0,,,,,,,0,0
59,1972,1972-10-08,4,27.288,DEN,@,CIN,L 10-21,1,9,9.00,0,0,0,,0,0,0,,0,1,10,10.00,0,,,,,,,0,0
60,1972,1972-10-15,5,27.295,DEN,,MIN,L 20-23,5,93,18.60,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
61,1972,1972-10-22,6,27.302,DEN,@,OAK,W 30-23,2,22,11.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
62,1972,1972-10-29,7,27.309,DEN,,CLE,L 20-27,4,40,10.00,0,0,0,,0,0,0,,0,1,14,14.00,0,,,,,,,0,0
63,1972,1972-11-05,8,27.316,DEN,@,NYG,L 17-29,3,53,17.67,0,0,0,,0,0,0,,0,1,7,7.00,0,,,,,,,0,0
64,1972,1972-11-12,9,27.323,DEN,@,RAM,W 16-10,2,20,10.00,0,0,0,,0,0,0,,0,1,-2,-2.00,0,,,,,,,0,0
65,1972,1972-11-19,10,27.330,DEN,,OAK,L 20-37,3,50,16.67,1,0,0,,0,0,0,,0,0,0,,0,,,,,,,1,6
66,1972,1972-11-26,11,27.337,DEN,@,ATL,L 20-23,2,44,22.00,1,0,0,,0,0,0,,0,0,0,,0,,,,,,,1,6
67,1972,1972-12-03,12,27.344,DEN,@,KAN,L 21-24,2,27,13.50,0,0,0,,0,0,0,,0,1,3,3.00,0,,,,,,,0,0
68,1972,1972-12-10,13,27.351,DEN,,SDG,W 38-13,2,27,13.50,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
69,1972,1972-12-17,14,27.358,DEN,,NWE,W 45-21,2,71,35.50,1,0,0,,0,0,0,,0,0,0,,0,,,,,,,1,6
70,1973,1973-12-02,12,28.342,RAM,@,CHI,W 26-0,,,,,,,,,,,,,,,,,,,,,,,,
71,1973,1973-12-10,13,28.350,RAM,,NYG,W 40-6,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,0,,,,,,,0,0
72,1973,1973-12-16,14,28.356,RAM,,CLE,W 30-17,,,,,,,,,,,,,,,,,,,,,,,,
