ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
27,1980,1980-11-16,11,23.139,STL,@,DAL,L 21-31,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,3,66,22.00,0,2,12,6.00,0,0,0,1,10,0
28,1980,1980-11-23,12,23.146,STL,,KAN,L 13-21,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,4,92,23.00,0,2,20,10.00,0,0,0,0,0,0
29,1980,1980-11-30,13,23.153,STL,@,NYG,W 23-7,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,34,11.33,0,0,0,0,0,0
30,1980,1980-12-07,14,23.160,STL,,DET,W 24-23,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,2,58,29.00,0,7,92,13.14,1,1,6,0,0,0
31,1980,1980-12-14,15,23.167,STL,@,PHI,L 3-17,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,,,1,13,13.00,0,1,5,5.00,0,0,0,0,0,0
32,1981,1981-09-06,1,24.068,STL,,MIA,L 7-20,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,,,,,3,58,19.33,0,0,0,,0,0,0,0,0,0
33,1981,1981-09-13,2,24.075,STL,@,DAL,L 17-30,,1,60,60.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,4,60,15.00,0,0,0,,0,0,0,0,0,0
34,1981,1981-09-20,3,24.082,STL,,WAS,W 40-30,,4,115,28.75,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,17,17.00,0,0,0,,0,1,6,1,15,0
35,1981,1981-09-27,4,24.089,STL,@,TAM,L 10-20,,2,24,12.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
36,1981,1981-10-04,5,24.096,STL,,DAL,W 20-17,,5,89,17.80,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
37,1981,1981-10-11,6,24.103,STL,@,NYG,L 14-34,,1,24,24.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
38,1981,1981-10-18,7,24.110,STL,@,ATL,L 20-41,,2,41,20.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
39,1981,1981-10-25,8,24.117,STL,,MIN,W 30-17,,3,69,23.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
40,1981,1981-11-01,9,24.124,STL,@,WAS,L 21-42,,3,62,20.67,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
41,1981,1981-11-08,10,24.131,STL,,PHI,L 10-52,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
42,1981,1981-11-15,11,24.138,STL,,BUF,W 24-0,,1,9,9.00,0,,,1,10,10.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,1,0,0
43,1981,1981-11-22,12,24.145,STL,@,BAL,W 35-24,,2,19,9.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
44,1981,1981-11-29,13,24.152,STL,@,NWE,W 27-20,,3,79,26.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
45,1981,1981-12-06,14,24.159,STL,,NOR,W 30-3,,1,28,28.00,0,,,1,44,44.00,1,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,1,29,0
46,1981,1981-12-13,15,24.166,STL,,NYG,L 10-20,,1,39,39.00,0,,,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
47,1981,1981-12-20,16,24.173,STL,@,PHI,L 0-38,,3,37,12.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
48,1982,1982-09-12,1,25.074,STL,@,NOR,W 21-7,,2,9,4.50,0,,,1,-10,-10.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
49,1982,1982-09-19,2,25.081,STL,,DAL,L 7-24,,10,170,17.00,0,,,1,3,3.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,0,0,0,0,0
50,1982,1982-11-21,3,25.144,STL,,SFO,L 20-31,,3,28,9.33,1,,,1,5,5.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,1,6,0,0,0
51,1982,1982-11-28,4,25.151,STL,@,ATL,W 23-20,,1,8,8.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
52,1982,1982-12-05,5,25.158,STL,@,PHI,W 23-20,,5,42,8.40,0,,,2,8,4.00,0,0,0,,0,0,0,,0,,,,0,0,,0,3,20,6.67,0,0,0,0,0,0
53,1982,1982-12-12,6,25.165,STL,,WAS,L 7-12,,2,49,24.50,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
54,1982,1982-12-19,7,25.172,STL,@,CHI,W 10-7,,2,23,11.50,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
55,1982,1982-12-26,8,25.179,STL,,NYG,W 24-21,,4,66,16.50,2,,,1,2,2.00,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,2,12,0,0,0
56,1982,1983-01-02,9,25.186,STL,@,WAS,L 0-28,,3,58,19.33,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0,0,0,0
57,1983,1983-09-04,1,26.066,STL,@,NOR,L 17-28,,8,82,10.25,0,,,1,25,25.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
58,1983,1983-09-11,2,26.073,STL,,DAL,L 17-34,,6,89,14.83,1,,,0,0,,0,0,0,,0,0,0,,,,,,1,14,14.00,0,0,0,,0,1,6,0,0,0
59,1983,1983-09-18,3,26.080,STL,,SFO,L 27-42,,8,133,16.63,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
60,1983,1983-09-25,4,26.087,STL,@,PHI,W 14-11,,4,57,14.25,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
61,1983,1983-10-02,5,26.094,STL,@,KAN,L 14-38,,5,66,13.20,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
62,1983,1983-10-09,6,26.101,STL,,WAS,L 14-38,,5,65,13.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
63,1983,1983-10-16,7,26.108,STL,@,TAM,W 34-27,,1,6,6.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
64,1983,1983-10-24,8,26.116,STL,,NYG,T 20-20,,6,100,16.67,0,,,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
65,1983,1983-10-30,9,26.122,STL,,MIN,W 41-31,,6,79,13.17,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,0,0
66,1983,1983-11-06,10,26.129,STL,@,WAS,L 7-45,,3,65,21.67,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
67,1983,1983-11-13,11,26.136,STL,,SEA,W 33-28,,6,130,21.67,4,,,1,6,6.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,4,24,0,0,0
68,1983,1983-11-20,12,26.143,STL,,SDG,W 44-14,,4,80,20.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
69,1983,1983-11-24,13,26.147,STL,@,DAL,L 17-35,,3,85,28.33,1,,,1,16,16.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
70,1983,1983-12-04,14,26.157,STL,@,NYG,W 10-6,,2,40,20.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
71,1983,1983-12-11,15,26.164,STL,@,RAI,W 34-24,,5,86,17.20,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
72,1983,1983-12-18,16,26.171,STL,,PHI,W 31-7,,6,64,10.67,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
73,1984,1984-09-02,1,27.064,STL,@,GNB,L 23-24,,3,67,22.33,1,,,1,-10,-10.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
74,1984,1984-09-09,2,27.071,STL,,BUF,W 37-7,,3,51,17.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
75,1984,1984-09-16,3,27.078,STL,@,IND,W 34-33,,8,183,22.88,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,0,0
76,1984,1984-09-23,4,27.085,STL,@,NOR,L 24-34,,2,25,12.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
77,1984,1984-09-30,5,27.092,STL,,MIA,L 28-36,,4,48,12.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
78,1984,1984-10-07,6,27.099,STL,@,DAL,W 31-20,,8,189,23.63,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,0,0
79,1984,1984-10-14,7,27.106,STL,,CHI,W 38-21,,6,166,27.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
80,1984,1984-10-21,8,27.113,STL,,WAS,W 26-24,,6,163,27.17,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,0,0
81,1984,1984-10-28,9,27.120,STL,@,PHI,W 34-14,,3,64,21.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
82,1984,1984-11-04,10,27.127,STL,,RAM,L 13-16,,5,105,21.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
83,1984,1984-11-11,11,27.134,STL,,DAL,L 17-24,,8,99,12.38,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
84,1984,1984-11-18,12,27.141,STL,@,NYG,L 10-16,,1,23,23.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
85,1984,1984-11-25,13,27.148,STL,,PHI,W 17-16,,5,55,11.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
86,1984,1984-12-02,14,27.155,STL,@,NWE,W 33-10,,2,32,16.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
87,1984,1984-12-09,15,27.162,STL,,NYG,W 31-21,,6,89,14.83,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
88,1984,1984-12-16,16,27.169,STL,@,WAS,L 27-29,,8,196,24.50,2,,,0,0,,0,0,0,,0,0,0,,,,,,1,18,18.00,0,0,0,,0,2,12,0,0,0
89,1985,1985-09-08,1,28.070,STL,@,CLE,W 27-24,,2,57,28.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
90,1985,1985-09-15,2,28.077,STL,,CIN,W 41-27,,6,68,11.33,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
91,1985,1985-09-22,3,28.084,STL,@,NYG,L 17-27,,1,39,39.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
92,1985,1985-09-29,4,28.091,STL,,GNB,W 43-28,,6,94,15.67,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
93,1985,1985-10-07,5,28.099,STL,@,WAS,L 10-27,,4,65,16.25,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
94,1985,1985-10-13,6,28.105,STL,@,PHI,L 7-30,,3,26,8.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
95,1985,1985-10-20,7,28.112,STL,@,PIT,L 10-23,,5,38,7.60,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
96,1985,1985-10-27,8,28.119,STL,,HOU,L 10-20,,3,41,13.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
97,1985,1985-11-24,12,28.147,STL,,NYG,L 3-34,,2,17,8.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
98,1985,1985-11-28,13,28.151,STL,@,DAL,L 17-35,,7,88,12.57,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
99,1985,1985-12-08,14,28.161,STL,,NOR,W 28-16,,2,48,24.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
100,1985,1985-12-15,15,28.168,STL,@,RAM,L 14-46,,5,82,16.40,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
101,1985,1985-12-21,16,28.174,STL,,WAS,L 16-27,,4,30,7.50,1,,,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
102,1986,1986-09-07,1,29.069,STL,,RAM,L 10-16,,2,42,21.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
103,1986,1986-09-14,2,29.076,STL,@,ATL,L 13-33,,3,66,22.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
104,1986,1986-10-26,8,29.118,STL,@,DAL,L 6-37,,6,51,8.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
105,1986,1986-11-02,9,29.125,STL,,PHI,W 13-10,,4,35,8.75,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
106,1986,1986-11-09,10,29.132,STL,@,SFO,L 17-43,,4,44,11.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
107,1986,1986-11-16,11,29.139,STL,,NOR,L 7-16,,0,0,,0,,,1,1,1.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
108,1986,1986-11-23,12,29.146,STL,,KAN,W 23-14,,7,69,9.86,1,,,1,-5,-5.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
109,1986,1986-11-30,13,29.153,STL,,WAS,L 17-20,,2,42,21.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
110,1986,1986-12-07,14,29.160,STL,@,PHI,T 10-10,,6,100,16.67,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
111,1986,1986-12-14,15,29.167,STL,@,NYG,L 7-27,,5,40,8.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
112,1986,1986-12-21,16,29.174,STL,,TAM,W 21-17,,3,28,9.33,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
113,1987,1987-09-13,1,30.075,STL,,DAL,W 24-13,,4,90,22.50,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,0,0
114,1987,1987-09-20,2,30.082,STL,@,SDG,L 24-28,,7,139,19.86,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
115,1987,1987-10-04,3,30.096,STL,@,WAS,L 21-28,,1,16,16.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
116,1987,1987-10-25,6,30.117,STL,@,NYG,L 7-30,,5,72,14.40,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
117,1987,1987-11-01,7,30.124,STL,,PHI,L 23-28,,1,13,13.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
118,1987,1987-11-15,9,30.138,STL,,RAM,L 24-27,,1,2,2.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
119,1987,1987-11-22,10,30.145,STL,@,PHI,W 31-19,,2,26,13.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
120,1987,1987-11-29,11,30.152,STL,@,ATL,W 34-21,,3,62,20.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
121,1987,1987-12-06,12,30.159,STL,,WAS,L 17-34,,6,90,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
122,1987,1987-12-13,13,30.166,STL,,NYG,W 27-24,,1,23,23.00,0,,,1,26,26.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
123,1987,1987-12-20,14,30.173,STL,@,TAM,W 31-14,,5,86,17.20,0,,,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
124,1987,1987-12-27,15,30.180,STL,@,DAL,L 16-21,,7,112,16.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
125,1988,1988-09-04,1,31.066,PHO,@,CIN,L 14-21,,4,75,18.75,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
126,1988,1988-09-12,2,31.074,PHO,,DAL,L 14-17,,5,51,10.20,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
127,1988,1988-09-18,3,31.080,PHO,@,TAM,W 30-24,,1,21,21.00,0,,,1,18,18.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
128,1988,1988-09-25,4,31.087,PHO,,WAS,W 30-21,,2,79,39.50,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
129,1988,1988-10-02,5,31.094,PHO,@,RAM,W 41-27,,5,90,18.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
130,1988,1988-10-09,6,31.101,PHO,,PIT,W 31-14,,4,119,29.75,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
131,1988,1988-10-16,7,31.108,PHO,@,WAS,L 17-33,,5,85,17.00,1,,,1,-10,-10.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
132,1988,1988-10-23,8,31.115,PHO,,CLE,L 21-29,,5,69,13.80,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
133,1988,1988-10-30,9,31.122,PHO,@,DAL,W 16-10,,1,7,7.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
134,1988,1988-11-06,10,31.129,PHO,,SFO,W 24-23,,6,93,15.50,2,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0,0,0
135,1988,1988-11-13,11,31.136,PHO,,NYG,W 24-17,,9,176,19.56,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
136,1988,1988-11-20,12,31.143,PHO,@,HOU,L 20-38,,3,39,13.00,0,,,1,-3,-3.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
137,1988,1988-11-27,13,31.150,PHO,@,PHI,L 21-31,,6,55,9.17,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
138,1988,1988-12-04,14,31.157,PHO,@,NYG,L 7-44,,3,23,7.67,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
139,1988,1988-12-10,15,31.163,PHO,,PHI,L 17-23,,4,40,10.00,0,,,1,-4,-4.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
140,1988,1988-12-18,16,31.171,PHO,,GNB,L 17-26,,5,75,15.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
141,1989,1989-09-10,1,32.072,PHO,@,DET,W 16-13,,2,34,17.00,1,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0,0,0
142,1989,1989-09-17,2,32.079,PHO,@,SEA,W 34-24,,8,166,20.75,3,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,3,18,0,0,0
143,1989,1989-09-24,3,32.086,PHO,@,NYG,L 7-35,,4,50,12.50,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0,0,0
