ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
76,2011,2012-01-01,16,30.293,BUF,@,NWE,L 21-49,*,1,6,6.00,0,0,0,,0,0,0,0.0,6,4,0,0,0
77,2012,2012-09-09,1,31.179,BUF,@,NYJ,L 28-48,*,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
78,2012,2012-09-16,2,31.186,BUF,,KAN,W 35-17,*,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
79,2012,2012-09-23,3,31.193,BUF,@,CLE,W 24-14,*,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
80,2012,2012-09-30,4,31.200,BUF,,NWE,L 28-52,*,0,0,,0,0,0,,0,0,0,0.0,9,1,0,0,0
81,2012,2012-10-07,5,31.207,BUF,@,SFO,L 3-45,*,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
82,2012,2012-10-14,6,31.214,BUF,@,ARI,W 19-16,*,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
83,2012,2012-10-21,7,31.221,BUF,,TEN,L 34-35,*,0,0,,0,0,0,,0,0,0,0.0,6,2,0,0,0
84,2012,2012-11-04,8,31.235,BUF,@,HOU,L 9-21,*,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
85,2012,2012-11-11,9,31.242,BUF,@,NWE,L 31-37,*,0,0,,0,0,0,,0,0,0,0.0,2,3,0,0,0
86,2012,2012-11-15,10,31.246,BUF,,MIA,W 19-14,*,0,0,,0,0,0,,0,0,0,0.0,4,2,0,0,0
87,2012,2012-11-25,11,31.256,BUF,@,IND,L 13-20,*,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
88,2012,2012-12-02,12,31.263,BUF,,JAX,W 34-18,*,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
89,2012,2012-12-09,13,31.270,BUF,,STL,L 12-15,*,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
90,2012,2012-12-16,14,31.277,BUF,,SEA,L 17-50,*,0,0,,0,0,0,,0,0,0,0.0,8,2,0,0,0
91,2012,2012-12-23,15,31.284,BUF,@,MIA,L 10-24,*,0,0,,0,0,0,,0,0,0,0.0,8,1,0,0,0
92,2012,2012-12-30,16,31.291,BUF,,NYJ,W 28-9,*,0,0,,0,0,0,,0,0,0,0.0,3,3,0,0,0
93,2013,2013-09-08,1,32.178,TEN,@,PIT,W 16-9,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
94,2013,2013-09-15,2,32.185,TEN,@,HOU,L 24-30,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
95,2013,2013-09-22,3,32.192,TEN,,SDG,W 20-17,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
96,2013,2013-09-29,4,32.199,TEN,,NYJ,W 38-13,*,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
97,2013,2013-10-06,5,32.206,TEN,,KAN,L 17-26,,0,0,,0,0,0,,0,0,0,0.0,2,3,0,0,0
98,2013,2013-10-13,6,32.213,TEN,@,SEA,L 13-20,,0,0,,0,0,0,,0,0,0,0.0,2,1,0,0,0
99,2013,2013-10-20,7,32.220,TEN,,SFO,L 17-31,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
100,2013,2013-11-03,8,32.234,TEN,@,STL,W 28-21,*,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
101,2013,2013-11-10,9,32.241,TEN,,JAX,L 27-29,,,,,,,,,,,,,,,,,
102,2013,2013-11-14,10,32.245,TEN,,IND,L 27-30,,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
103,2013,2013-11-24,11,32.255,TEN,@,OAK,W 23-19,,0,0,,0,0,0,,0,0,0,0.0,2,2,0,0,0
104,2013,2013-12-01,12,32.262,TEN,@,IND,L 14-22,*,0,0,,0,0,0,,0,0,0,0.0,3,2,0,0,0
105,2013,2013-12-08,13,32.269,TEN,@,DEN,L 28-51,,0,0,,0,0,0,,0,0,0,0.0,5,1,0,0,0
106,2013,2013-12-15,14,32.276,TEN,,ARI,L 34-37,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
107,2013,2013-12-22,15,32.283,TEN,@,JAX,W 20-16,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0
108,2013,2013-12-29,16,32.290,TEN,,HOU,W 16-10,,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
109,2014,2014-09-07,1,33.177,TEN,@,KAN,W 26-10,,,,,,,,,,,,,,,,,
110,2014,2014-09-14,2,33.184,TEN,,DAL,L 10-26,*,0,0,,0,0,0,,0,0,0,0.0,2,0,0,0,0
111,2014,2014-09-21,3,33.191,TEN,@,CIN,L 7-33,,0,0,,0,0,0,,0,0,0,0.0,2,1,1,0,0
112,2014,2014-09-28,4,33.198,TEN,@,IND,L 17-41,,0,0,,0,0,0,,0,0,0,0.0,4,4,0,0,0
113,2014,2014-10-05,5,33.205,TEN,,CLE,L 28-29,,0,0,,0,0,0,,0,0,0,0.0,1,0,0,0,0
114,2014,2014-10-12,6,33.212,TEN,,JAX,W 16-14,*,0,0,,0,0,0,,0,0,0,0.0,1,1,0,0,0
115,2014,2014-10-19,7,33.219,TEN,@,WAS,L 17-19,*,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
116,2014,2014-10-26,8,33.226,TEN,,HOU,L 16-30,,0,0,,0,0,0,,0,0,0,0.0,1,2,0,0,0
117,2014,2014-11-09,9,33.240,TEN,@,BAL,L 7-21,*,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
118,2014,2014-11-17,10,33.248,TEN,,PIT,L 24-27,*,0,0,,0,0,0,,0,0,0,0.0,7,1,0,0,0
119,2014,2014-11-23,11,33.254,TEN,@,PHI,L 24-43,,0,0,,0,0,0,,0,0,0,0.0,3,0,0,0,0
120,2014,2014-11-30,12,33.261,TEN,@,HOU,L 21-45,*,0,0,,0,0,0,,0,0,0,0.0,7,2,0,0,0
121,2014,2014-12-07,13,33.268,TEN,,NYG,L 7-36,*,0,0,,0,0,0,,0,0,0,0.0,6,2,0,0,0
122,2014,2014-12-14,14,33.275,TEN,,NYJ,L 11-16,*,0,0,,0,0,0,,0,0,0,1.0,6,3,0,0,0
123,2014,2014-12-18,15,33.279,TEN,@,JAX,L 13-21,*,0,0,,0,0,0,,0,0,0,0.0,6,0,0,0,0
124,2014,2014-12-28,16,33.289,TEN,,IND,L 10-27,*,0,0,,0,0,0,,0,0,0,0.0,4,0,0,0,0
