ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
34,1981,1981-09-13,2,23.312,ATL,@,GNB,W 31-17,0,0,,0,0,0,,0,1,15,15.00,0,0,0,0,0,0
35,1981,1981-09-20,3,23.319,ATL,,SFO,W 34-17,3,12,4.00,0,0,0,,0,0,0,,0,0,0,0,0,0
36,1981,1981-09-27,4,23.326,ATL,@,CLE,L 17-28,0,0,,0,0,0,,0,1,8,8.00,0,0,0,0,0,0
37,1981,1981-10-05,5,23.334,ATL,@,PHI,L 13-16,0,0,,0,0,0,,0,0,0,,0,0,,,,
38,1981,1981-10-11,6,23.340,ATL,,RAM,L 35-37,0,0,,0,0,0,,0,0,0,,0,0,,,,
39,1981,1981-10-18,7,23.347,ATL,,STL,W 41-20,2,7,3.50,0,0,0,,0,0,0,,0,0,0,0,0,0
40,1981,1981-10-25,8,23.354,ATL,,NYG,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,,,,
41,1981,1981-11-01,9,23.361,ATL,@,NOR,W 41-10,6,26,4.33,0,0,0,,0,0,0,,0,0,0,0,0,0
42,1981,1981-11-08,10,24.003,ATL,@,SFO,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,,,,
43,1981,1981-11-15,11,24.010,ATL,,PIT,L 20-34,0,0,,0,0,0,,0,0,0,,0,0,,,,
44,1981,1981-11-23,12,24.018,ATL,,MIN,W 31-30,0,0,,0,0,0,,0,0,0,,0,0,,,,
45,1981,1981-11-29,13,24.024,ATL,@,HOU,W 31-27,0,0,,0,0,0,,0,0,0,,0,0,,,,
46,1981,1981-12-06,14,24.031,ATL,@,TAM,L 23-24,0,0,,0,1,6,6.00,0,0,0,,0,0,0,0,0,0
47,1981,1981-12-14,15,24.039,ATL,@,RAM,L 16-21,0,0,,0,0,0,,0,0,0,,0,0,,,,
48,1981,1981-12-20,16,24.045,ATL,,CIN,L 28-30,1,2,2.00,0,2,-2,-1.00,0,0,0,,0,0,0,0,0,0
