ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
43,1966,1966-10-02,4,25.023,WAS,,PIT,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,4,179,44.75,0
44,1966,1966-10-09,5,25.030,WAS,,ATL,W 33-20,2,38,19.00,0,0,0,,0,0,0,,0,0,0,3,125,41.67,0
45,1966,1966-10-16,6,25.037,WAS,@,NYG,L 10-13,0,0,,0,0,0,,0,0,0,,0,0,0,6,265,44.17,0
46,1966,1966-10-23,7,25.044,WAS,,STL,W 26-20,1,13,13.00,0,0,0,,0,0,0,,0,0,0,3,130,43.33,0
47,1966,1966-10-30,8,25.051,WAS,@,PHI,W 27-13,0,0,,0,0,0,,0,0,0,,0,0,0,5,196,39.20,0
48,1966,1966-11-06,9,25.058,WAS,@,BAL,L 10-37,0,0,,0,0,0,,0,0,0,,0,0,0,4,156,39.00,0
49,1966,1966-11-13,10,25.065,WAS,,DAL,L 30-31,0,0,,0,0,0,,0,0,0,,0,0,0,7,329,47.00,0
50,1966,1966-11-20,11,25.072,WAS,@,CLE,L 3-14,0,0,,0,0,0,,0,0,0,,0,0,0,3,97,32.33,0
51,1966,1966-11-27,12,25.079,WAS,,NYG,W 72-41,0,0,,0,0,0,,0,0,0,,0,0,0,6,276,46.00,0
52,1966,1966-12-11,13,25.093,WAS,@,DAL,W 34-31,0,0,,0,0,0,,0,0,0,,0,0,0,5,211,42.20,0
53,1966,1966-12-18,14,25.100,WAS,,PHI,L 28-37,0,0,,0,0,0,,0,0,0,,0,0,0,5,206,41.20,0
54,1967,1967-09-17,1,26.008,WAS,@,PHI,L 24-35,0,0,,0,0,0,,0,0,0,,0,0,0,2,89,44.50,0
55,1967,1967-09-24,2,26.015,WAS,@,NOR,W 30-10,1,31,31.00,0,0,0,,0,0,0,,0,0,0,4,173,43.25,0
56,1967,1967-10-01,3,26.022,WAS,,NYG,W 38-34,0,0,,0,0,0,,0,0,0,,0,0,0,4,171,42.75,0
57,1967,1967-10-08,4,26.029,WAS,,DAL,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,6,254,42.33,0
58,1967,1967-10-15,5,26.036,WAS,@,ATL,T 20-20,0,0,,0,0,0,,0,0,0,,0,0,0,4,170,42.50,0
59,1967,1967-10-22,6,26.043,WAS,@,RAM,T 28-28,0,0,,0,0,0,,0,0,0,,0,0,0,9,346,38.44,0
60,1967,1967-10-29,7,26.050,WAS,,BAL,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,4,161,40.25,0
61,1967,1967-11-05,8,26.057,WAS,,STL,L 21-27,0,0,,0,0,0,,0,0,0,,0,0,0,7,267,38.14,0
62,1967,1967-11-12,9,26.064,WAS,,SFO,W 31-28,0,0,,0,0,0,,0,0,0,,0,0,0,2,100,50.00,0
63,1967,1967-11-19,10,26.071,WAS,@,DAL,W 27-20,0,0,,0,0,0,,0,0,0,,0,0,0,8,360,45.00,0
64,1967,1967-11-26,11,26.078,WAS,@,CLE,L 37-42,0,0,,0,0,0,,0,0,0,,0,0,0,4,141,35.25,0
65,1967,1967-12-03,12,26.085,WAS,,PHI,T 35-35,0,0,,0,0,0,,0,0,0,,0,0,0,4,153,38.25,0
66,1967,1967-12-10,13,26.092,WAS,@,PIT,W 15-10,0,0,,0,0,0,,0,0,0,,0,0,0,9,371,41.22,0
67,1967,1967-12-17,14,26.099,WAS,,NOR,L 14-30,0,0,,0,0,0,,0,0,0,,0,0,0,5,222,44.40,0
68,1968,1968-09-15,1,27.006,WAS,@,CHI,W 38-28,4,57,14.25,3,0,0,,0,0,0,,0,3,18,0,0,,0
69,1968,1968-09-22,2,27.013,WAS,@,NOR,L 17-37,3,34,11.33,1,0,0,,0,0,0,,0,1,6,0,0,,0
70,1968,1968-09-29,3,27.020,WAS,@,NYG,L 21-48,2,16,8.00,1,0,0,,0,0,0,,0,1,6,0,0,,0
71,1968,1968-10-06,4,27.027,WAS,,PHI,W 17-14,2,37,18.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
72,1968,1968-10-13,5,27.034,WAS,,PIT,W 16-13,3,49,16.33,0,0,0,,0,0,0,,0,0,0,0,0,,0
73,1968,1968-10-20,6,27.041,WAS,@,STL,L 14-41,5,78,15.60,1,0,0,,0,0,0,,0,1,6,0,0,,0
74,1968,1968-10-27,7,27.048,WAS,,NYG,L 10-13,3,27,9.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
75,1968,1968-11-03,8,27.055,WAS,@,MIN,L 14-27,3,28,9.33,1,0,0,,0,0,0,,0,1,6,0,0,,0
76,1968,1968-11-10,9,27.062,WAS,@,PHI,W 16-10,2,22,11.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
77,1968,1968-11-17,10,27.069,WAS,,DAL,L 24-44,2,52,26.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
78,1968,1968-11-24,11,27.076,WAS,,GNB,L 7-27,4,30,7.50,1,0,0,,0,0,0,,0,1,6,0,0,,0
79,1968,1968-11-28,12,27.080,WAS,@,DAL,L 20-29,4,49,12.25,1,0,0,,0,0,0,,0,1,6,0,0,,0
80,1968,1968-12-08,13,27.090,WAS,,CLE,L 21-24,2,19,9.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
81,1968,1968-12-15,14,27.097,WAS,,DET,W 14-3,3,35,11.67,0,0,0,,0,0,0,,0,0,0,0,0,,0
82,1969,1969-12-07,12,28.089,WAS,@,PHI,W 34-29,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,,0
83,1970,1970-09-20,1,29.011,WAS,@,SFO,L 17-26,2,30,15.00,0,0,0,,0,1,0,0.00,0,0,0,0,0,,0
84,1970,1970-09-27,2,29.018,WAS,@,STL,L 17-27,,,,,,,,,,,,,,,,,,
85,1970,1970-10-04,3,29.025,WAS,@,PHI,W 33-21,0,0,,0,0,0,,0,1,0,0.00,0,0,0,0,0,,0
86,1970,1970-10-11,4,29.032,WAS,,DET,W 31-10,,,,,,,,,,,,,,,,,,
87,1970,1970-10-19,5,29.040,WAS,@,OAK,L 20-34,,,,,,,,,,,,,,,,,,
88,1970,1970-10-25,6,29.046,WAS,,CIN,W 20-0,,,,,,,,,,,,,,,,,,
89,1970,1970-11-01,7,29.053,WAS,@,DEN,W 19-3,,,,,,,,,,,,,,,,,,
90,1970,1970-11-08,8,29.060,WAS,,MIN,L 10-19,,,,,,,,,,,,,,,,,,
91,1970,1970-11-15,9,29.067,WAS,@,NYG,L 33-35,,,,,,,,,,,,,,,,,,
92,1970,1970-11-22,10,29.074,WAS,,DAL,L 21-45,,,,,,,,,,,,,,,,,,
93,1970,1970-11-29,11,29.081,WAS,,NYG,L 24-27,,,,,,,,,,,,,,,,,,
