ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,def_int,def_int_yds,def_int_td
40,1998,1998-12-13,14,24.203,NYJ,@,MIA,W 21-16,,,,,,,0.0%,,,,,,
41,1998,1998-12-19,15,24.209,NYJ,@,BUF,W 17-10,,,,,,,0.0%,,,,,,
42,1998,1998-12-27,16,24.217,NYJ,,NWE,W 31-10,,,,,,,0.0%,,,,,,
43,1999,1999-09-12,1,25.111,NYJ,,NWE,L 28-30,,0,,,,,0.0%,,,,,,
44,1999,1999-09-19,2,25.118,NYJ,@,BUF,L 3-17,,0,,,,,0.0%,,,,,,
45,1999,1999-09-26,3,25.125,NYJ,,WAS,L 20-27,,0,,,,,0.0%,,,,,,
46,1999,1999-10-03,4,25.132,NYJ,@,DEN,W 21-13,,0,0,0,,0,0.0%,,0,0,2,7,0
47,1999,1999-10-11,5,25.140,NYJ,,JAX,L 6-16,*,0,,,,,0.0%,,,,,,
48,1999,1999-10-17,6,25.146,NYJ,,IND,L 13-16,,0,,,,,0.0%,,,,,,
49,1999,1999-10-24,7,25.153,NYJ,@,OAK,L 23-24,,0,,,,,0.0%,,,,,,
50,1999,1999-11-07,8,25.167,NYJ,,ARI,W 12-7,*,0,,,,,0.0%,,,,,,
51,1999,1999-11-15,9,25.175,NYJ,@,NWE,W 24-17,*,0,0,0,,0,0.0%,,0,0,2,26,0
52,1999,1999-11-21,10,25.181,NYJ,,BUF,W 17-7,*,0,,,,,0.0%,,,,,,
53,1999,1999-11-28,11,25.188,NYJ,@,IND,L 6-13,*,0,,,,,0.0%,,,,,,
54,1999,1999-12-05,12,25.195,NYJ,@,NYG,L 28-41,*,0,,,,,0.0%,,,,,,
55,1999,1999-12-12,13,25.202,NYJ,,MIA,W 28-20,*,0,,,,,0.0%,,,,,,
56,1999,1999-12-19,14,25.209,NYJ,@,DAL,W 22-21,*,0,,,,,0.0%,,,,,,
57,1999,1999-12-27,15,25.217,NYJ,@,MIA,W 38-31,*,0,0,0,,0,0.0%,,1,6,1,98,1
58,1999,2000-01-02,16,25.223,NYJ,,SEA,W 19-9,*,0,0,0,,0,0.0%,,0,0,1,34,0
59,2000,2000-09-03,1,26.102,NYJ,@,GNB,W 20-16,*,0,,,,,0.0%,,,,,,
60,2000,2000-09-11,2,26.110,NYJ,,NWE,W 20-19,*,0,,,,,0.0%,,,,,,
61,2000,2000-09-17,3,26.116,NYJ,,BUF,W 27-14,,1,1,45,45.00,1,100.0%,45.00,1,6,0,0,0
62,2000,2000-09-24,4,26.123,NYJ,@,TAM,W 21-17,*,0,,,,,0.0%,,,,,,
63,2000,2000-10-08,5,26.137,NYJ,,PIT,L 3-20,,0,,,,,0.0%,,,,,,
64,2000,2000-10-15,6,26.144,NYJ,@,NWE,W 34-17,*,1,,,,,0.0%,,,,,,
65,2000,2000-10-23,7,26.152,NYJ,,MIA,W 40-37,*,0,0,0,,0,0.0%,,0,0,3,7,0
66,2000,2000-10-29,8,26.158,NYJ,@,BUF,L 20-23,*,0,,,,,0.0%,,,,,,
67,2000,2000-11-05,9,26.165,NYJ,,DEN,L 23-30,*,0,,,,,0.0%,,,,,,
68,2000,2000-11-12,10,26.172,NYJ,@,IND,L 15-23,*,0,,,,,0.0%,,,,,,
69,2000,2000-11-19,11,26.179,NYJ,@,MIA,W 20-3,*,0,,,,,0.0%,,,,,,
70,2000,2000-11-26,12,26.186,NYJ,,CHI,W 17-10,,0,,,,,0.0%,,,,,,
71,2000,2000-12-03,13,26.193,NYJ,,IND,W 27-17,*,0,,,,,0.0%,,,,,,
72,2000,2000-12-10,14,26.200,NYJ,@,OAK,L 7-31,,0,,,,,0.0%,,,,,,
73,2000,2000-12-17,15,26.207,NYJ,,DET,L 7-10,,0,,,,,0.0%,,,,,,
74,2000,2000-12-24,16,26.214,NYJ,@,BAL,L 20-34,,0,0,0,,0,0.0%,,0,0,1,-1,0
75,2001,2001-09-09,1,27.108,NYJ,,IND,L 24-45,*,0,0,0,,0,0.0%,,0,0,1,36,0
76,2001,2001-09-23,2,27.122,NYJ,@,NWE,W 10-3,*,0,,,,,0.0%,,,,,,
77,2001,2001-10-01,3,27.130,NYJ,,SFO,L 17-19,*,0,,,,,0.0%,,,,,,
78,2001,2001-10-07,4,27.136,NYJ,@,BUF,W 42-36,*,0,,,,,0.0%,,,,,,
79,2001,2001-10-14,5,27.143,NYJ,,MIA,W 21-17,*,0,,,,,0.0%,,,,,,
80,2001,2001-10-21,6,27.150,NYJ,,STL,L 14-34,*,0,,,,,0.0%,,,,,,
81,2001,2001-10-28,7,27.157,NYJ,@,CAR,W 13-12,*,0,,,,,0.0%,,,,,,
82,2001,2001-11-04,8,27.164,NYJ,@,NOR,W 16-9,*,0,,,,,0.0%,,,,,,
83,2001,2001-11-11,9,27.171,NYJ,,KAN,W 27-7,*,0,0,0,,0,0.0%,,0,0,1,5,0
84,2001,2001-11-18,10,27.178,NYJ,@,MIA,W 24-0,*,0,,,,,0.0%,,,,,,
85,2001,2001-12-02,11,27.192,NYJ,,NWE,L 16-17,*,0,,,,,0.0%,,,,,,
86,2001,2001-12-09,12,27.199,NYJ,@,PIT,L 7-18,*,0,,,,,0.0%,,,,,,
87,2001,2001-12-16,13,27.206,NYJ,,CIN,W 15-14,*,0,,,,,0.0%,,,,,,
88,2001,2001-12-23,14,27.213,NYJ,@,IND,W 29-28,,0,,,,,0.0%,,,,,,
89,2001,2001-12-30,15,27.220,NYJ,,BUF,L 9-14,*,0,,,,,0.0%,,,,,,
90,2001,2002-01-06,16,27.227,NYJ,@,OAK,W 24-22,*,0,,,,,0.0%,,,,,,
91,2002,2002-09-08,1,28.107,HOU,,DAL,W 19-10,*,0,,,,,0.0%,,,,,,
92,2002,2002-09-15,2,28.114,HOU,@,SDG,L 3-24,*,0,,,,,0.0%,,,,,,
93,2002,2002-09-22,3,28.121,HOU,,IND,L 3-23,*,0,,,,,0.0%,,,,,,
94,2002,2002-09-29,4,28.128,HOU,@,PHI,L 17-35,*,0,,,,,0.0%,,,,,,
95,2002,2002-10-13,5,28.142,HOU,,BUF,L 24-31,*,0,,,,,0.0%,,,,,,
96,2002,2002-10-20,6,28.149,HOU,@,CLE,L 17-34,*,0,,,,,0.0%,,,,,,
97,2002,2002-10-27,7,28.156,HOU,@,JAX,W 21-19,*,0,,,,,0.0%,,,,,,
98,2002,2002-11-03,8,28.163,HOU,,CIN,L 3-38,*,0,,,,,0.0%,,,,,,
99,2002,2002-11-10,9,28.170,HOU,@,TEN,L 10-17,*,0,0,0,,0,0.0%,,0,0,1,0,0
100,2002,2002-11-17,10,28.177,HOU,,JAX,L 21-24,*,0,,,,,0.0%,,,,,,
101,2002,2002-11-24,11,28.184,HOU,,NYG,W 16-14,*,0,,,,,0.0%,,,,,,
102,2002,2002-12-01,12,28.191,HOU,@,IND,L 3-19,*,0,,,,,0.0%,,,,,,
103,2002,2002-12-08,13,28.198,HOU,@,PIT,W 24-6,*,0,,,,,0.0%,,,,,,
104,2002,2002-12-15,14,28.205,HOU,,BAL,L 19-23,*,0,,,,,0.0%,,,,,,
105,2002,2002-12-22,15,28.212,HOU,@,WAS,L 10-26,*,0,,,,,0.0%,,,,,,
106,2002,2002-12-29,16,28.219,HOU,,TEN,L 3-13,*,0,,,,,0.0%,,,,,,
107,2003,2003-09-07,1,29.106,HOU,@,MIA,W 21-20,*,1,1,6,6.00,0,100.0%,6.00,0,0,2,3,0
108,2003,2003-09-14,2,29.113,HOU,@,NOR,L 10-31,*,0,,,,,0.0%,,,,,,
109,2003,2003-09-21,3,29.120,HOU,,KAN,L 14-42,*,0,0,0,,0,0.0%,,0,0,1,0,0
110,2003,2003-09-28,4,29.127,HOU,,JAX,W 24-20,*,0,0,0,,0,0.0%,,0,0,1,0,0
111,2003,2003-10-12,5,29.141,HOU,@,TEN,L 17-38,*,0,,,,,0.0%,,,,,,
112,2003,2003-10-19,6,29.148,HOU,,NYJ,L 14-19,*,0,,,,,0.0%,,,,,,
113,2003,2003-10-26,7,29.155,HOU,@,IND,L 21-30,*,0,,,,,0.0%,,,,,,
114,2003,2003-11-02,8,29.162,HOU,,CAR,W 14-10,*,0,,,,,0.0%,,,,,,
115,2003,2003-11-09,9,29.169,HOU,@,CIN,L 27-34,*,0,,,,,0.0%,,,,,,
116,2003,2003-11-23,11,29.183,HOU,,NWE,L 20-23,*,0,0,0,,0,0.0%,,0,0,1,29,0
117,2003,2003-11-30,12,29.190,HOU,,ATL,W 17-13,*,0,0,0,,0,0.0%,,0,0,1,22,0
118,2003,2003-12-07,13,29.197,HOU,@,JAX,L 0-27,*,0,,,,,0.0%,,,,,,
119,2003,2003-12-14,14,29.204,HOU,@,TAM,L 3-16,*,0,,,,,0.0%,,,,,,
120,2003,2003-12-21,15,29.211,HOU,,TEN,L 24-27,*,0,,,,,0.0%,,,,,,
121,2003,2003-12-28,16,29.218,HOU,,IND,L 17-20,*,0,0,0,,0,0.0%,,0,0,1,41,0
122,2004,2004-09-12,1,30.111,HOU,,SDG,L 20-27,*,0,,,,,0.0%,,,,,,
123,2004,2004-09-19,2,30.118,HOU,@,DET,L 16-28,*,0,,,,,0.0%,,,,,,
124,2004,2004-09-26,3,30.125,HOU,@,KAN,W 24-21,*,0,0,0,,0,0.0%,,1,6,1,102,1
125,2004,2004-10-03,4,30.132,HOU,,OAK,W 30-17,*,0,,,,,0.0%,,,,,,
126,2004,2004-10-10,5,30.139,HOU,,MIN,L 28-34,*,0,,,,,0.0%,,,,,,
127,2004,2004-10-17,6,30.146,HOU,@,TEN,W 20-10,*,0,0,0,,0,0.0%,,0,0,1,14,0
128,2004,2004-10-31,7,30.160,HOU,,JAX,W 20-6,*,0,,,,,0.0%,,,,,,
129,2004,2004-11-07,8,30.167,HOU,@,DEN,L 13-31,*,0,,,,,0.0%,,,,,,
130,2004,2004-11-14,9,30.174,HOU,@,IND,L 14-49,*,0,,,,,0.0%,,,,,,
131,2004,2004-11-21,10,30.181,HOU,,GNB,L 13-16,*,0,,,,,0.0%,,,,,,
132,2004,2004-11-28,11,30.188,HOU,,TEN,W 31-21,*,0,,,,,0.0%,,,,,,
133,2004,2004-12-05,12,30.195,HOU,@,NYJ,L 7-29,*,0,,,,,0.0%,,,,,,
134,2005,2005-09-11,1,31.110,HOU,@,BUF,L 7-22,*,0,,,,,0.0%,,,,,,
135,2005,2005-09-18,2,31.117,HOU,,PIT,L 7-27,*,0,,,,,0.0%,,,,,,
136,2005,2005-10-02,3,31.131,HOU,@,CIN,L 10-16,*,0,,,,,0.0%,,,,,,
137,2005,2005-10-09,4,31.138,HOU,,TEN,L 20-34,*,0,,,,,0.0%,,,,,,
138,2005,2005-10-16,5,31.145,HOU,@,SEA,L 10-42,*,0,,,,,0.0%,,,,,,
139,2005,2005-10-23,6,31.152,HOU,,IND,L 20-38,*,0,,,,,0.0%,,,,,,
140,2005,2005-10-30,7,31.159,HOU,,CLE,W 19-16,*,0,,,,,0.0%,,,,,,
141,2005,2005-11-06,8,31.166,HOU,@,JAX,L 14-21,*,0,,,,,0.0%,,,,,,
142,2005,2005-11-13,9,31.173,HOU,@,IND,L 17-31,*,0,,,,,0.0%,,,,,,
143,2005,2005-11-20,10,31.180,HOU,,KAN,L 17-45,*,0,,,,,0.0%,,,,,,
144,2005,2005-11-27,11,31.187,HOU,,STL,L 27-33,*,0,0,0,,0,0.0%,,0,0,1,6,0
145,2005,2005-12-11,13,31.201,HOU,@,TEN,L 10-13,,,,,,,0.0%,,,,,,
146,2005,2005-12-18,14,31.208,HOU,,ARI,W 30-19,,,,,,,0.0%,,,,,,
147,2005,2005-12-24,15,31.214,HOU,,JAX,L 20-38,,0,,,,,0.0%,,,,,,
148,2005,2006-01-01,16,31.222,HOU,@,SFO,L 17-20,,,,,,,0.0%,,,,,,
149,2006,2006-10-23,6,32.152,DAL,,NYG,L 22-36,,0,,,,,0.0%,,,,,,
150,2006,2006-10-29,7,32.158,DAL,@,CAR,W 35-14,,,,,,,0.0%,,,,,,
151,2006,2006-11-05,8,32.165,DAL,@,WAS,L 19-22,,,,,,,0.0%,,,,,,
